usd,name,synergy,type,mana_cost,colors,produced_mana,power,tough,keywords,rarity,text,rank,png,art,url
3.67,Afterlife from the Loam,365.4,Sorcery,{5}{B}{B}{B},B,,,,Delve,rare,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
For each player, choose up to one target creature card in that player's graveyard. Put those cards onto the battlefield under your control. They're Zombies in addition to their other types.",10467,https://cards.scryfall.io/png/front/9/3/9361b548-a8d9-4e57-98cf-0c464742e1c9.png?1743205771,https://cards.scryfall.io/art_crop/front/9/3/9361b548-a8d9-4e57-98cf-0c464742e1c9.jpg?1743205771,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624416%3Fpage%3D1
28.64,Ancient Brass Dragon,1209.6,Creature — Elder Dragon,{5}{B}{B},B,,7,6,Flying,mythic,"Flying
Whenever this creature deals combat damage to a player, roll a d20. When you do, put any number of target creature cards with total mana value X or less from graveyards onto the battlefield under your control, where X is the result.",1409,https://cards.scryfall.io/png/front/6/4/6430c61b-407d-471d-9012-07f1ddef28aa.png?1674135945,https://cards.scryfall.io/art_crop/front/6/4/6430c61b-407d-471d-9012-07f1ddef28aa.jpg?1674135945,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F267052%3Fpage%3D1
85.4,Ancient Copper Dragon,2405.7,Creature — Elder Dragon,{4}{R}{R},R,,6,5,"Flying,Treasure",mythic,"Flying
Whenever this creature deals combat damage to a player, roll a d20. You create a number of Treasure tokens equal to the result.",676,https://cards.scryfall.io/png/front/3/8/3836dddd-a7e4-499f-ad49-ce298aa65720.png?1674136426,https://cards.scryfall.io/art_crop/front/3/8/3836dddd-a7e4-499f-ad49-ce298aa65720.jpg?1674136426,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F273001%3Fpage%3D1
17.76,Ancient Gold Dragon,1458.8,Creature — Elder Dragon,{5}{W}{W},W,,7,10,Flying,mythic,"Flying
Whenever this creature deals combat damage to a player, roll a d20. You create a number of 1/1 blue Faerie Dragon creature tokens with flying equal to the result.",1788,https://cards.scryfall.io/png/front/4/2/421395b1-2694-42fd-bb90-0007e78adefc.png?1674134865,https://cards.scryfall.io/art_crop/front/4/2/421395b1-2694-42fd-bb90-0007e78adefc.jpg?1674134865,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F273299%3Fpage%3D1
38,Ancient Silver Dragon,2376,Creature — Elder Dragon,{6}{U}{U},U,,8,8,Flying,mythic,"Flying
Whenever this creature deals combat damage to a player, roll a d20. Draw cards equal to the result. You have no maximum hand size for the rest of the game.",1211,https://cards.scryfall.io/png/front/c/e/ced18935-4ce9-466e-a88d-2b14ff8f989f.png?1674135398,https://cards.scryfall.io/art_crop/front/c/e/ced18935-4ce9-466e-a88d-2b14ff8f989f.jpg?1674135398,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F273014%3Fpage%3D1
99.25,Ancient Tomb,2025,Land,,,C,,,,rare,{T}: Add {C}{C}. This land deals 2 damage to you.,57,https://cards.scryfall.io/png/front/b/d/bd3d4b4b-cf31-4f89-8140-9650edb03c7b.png?1582753000,https://cards.scryfall.io/art_crop/front/b/d/bd3d4b4b-cf31-4f89-8140-9650edb03c7b.jpg?1582753000,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F179473%3Fpage%3D1
0.85,Anguished Unmaking,7715.4,Instant,{1}{W}{B},"B,W",,,,,rare,Exile target nonland permanent. You lose 3 life.,166,https://cards.scryfall.io/png/front/c/7/c7ce164c-3437-440c-b462-acca491bfd91.png?1743207065,https://cards.scryfall.io/art_crop/front/c/7/c7ce164c-3437-440c-b462-acca491bfd91.jpg?1743207065,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624626%3Fpage%3D1
0.08,Araumi of the Dead Tide,271.7,Legendary Creature — Merfolk Wizard,{1}{U}{B},"B,U",,1,4,,uncommon,"{T}, Exile cards from your graveyard equal to the number of opponents you have: Target creature card in your graveyard gains encore until end of turn. The encore cost is equal to its mana cost. (Exile the creature card and pay its mana cost: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)",8050,https://cards.scryfall.io/png/front/4/8/48b597dd-f6eb-45da-977d-453e8c1433cc.png?1608911023,https://cards.scryfall.io/art_crop/front/4/8/48b597dd-f6eb-45da-977d-453e8c1433cc.jpg?1608911023,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F226972%3Fpage%3D1
1.62,Arcane Denial,4998,Instant,{1}{U},U,,,,,common,"Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.
You draw a card at the beginning of the next turn's upkeep.",59,https://cards.scryfall.io/png/front/9/b/9b3f47a9-65fb-4b53-8e52-1c4b678b5841.png?1726284627,https://cards.scryfall.io/art_crop/front/9/b/9b3f47a9-65fb-4b53-8e52-1c4b678b5841.jpg?1726284627,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F578950%3Fpage%3D1
0.35,Arcane Sanctum,3416.2,Land,,,"B,U,W",,,,uncommon,"This land enters tapped.
{T}: Add {W}, {U}, or {B}.",337,https://cards.scryfall.io/png/front/c/7/c75eeb97-3249-4762-84b0-387f27fb255f.png?1726285349,https://cards.scryfall.io/art_crop/front/c/7/c75eeb97-3249-4762-84b0-387f27fb255f.jpg?1726285349,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F579131%3Fpage%3D1
