card name,synergy %
Command Tower,88
Sol Ring,87
"Raffine, Scheming Seer",84
Tiamat,82
"Sauron, Lord of the Rings",82
"Miirym, Sentinel Wyrm",80
Arcane Signet,80
Sefris of the Hidden Ways,79
The Ur-Dragon,78
"Sauron, the Dark Lord",74
The Infamous Cruelclaw,73
Ancient Copper Dragon,63
Ancient Silver Dragon,62
Dragonlord Dromoka,62
Ancient Gold Dragon,59
"Mr. House, President and CEO",58
Stomping Ground,57
Swords to Plowshares,56
Blood Crypt,56
Temur Ascendancy,54
Overgrown Tomb,54
Old Gnawbone,52
Ziatora's Proving Ground,52
Farseek,51
Sacred Foundry,49
Godless Shrine,47
"Henzie ""Toolbox"" Torre",46
"Rith, Liberated Primeval",46
"Morophon, the Boundless",46
Watery Grave,46
Savai Triome,46
Ketria Triome,46
Steam Vents,46
Birds of Paradise,45
Exotic Orchard,45
Call the Spirit Dragons,44
Smothering Tithe,44
Breeding Pool,44
Satoru Umezawa,43
"Atarka, World Render",43
Nature's Lore,42
Terror of the Peaks,42
Luxury Suite,42
Temple Garden,42
"Hashaton, Scarab's Fist",41
"Sarkhan, Soul Aflame",39
Lightning Greaves,39
Path to Exile,39
Garruk's Uprising,38
Counterspell,38
Cultivate,38
Goldspan Dragon,37
Ignoble Hierarch,37
Dragon Tempest,37
Zagoth Triome,37
Two-Headed Hellkite,36
Teferi's Protection,36
Three Visits,36
Hallowed Fountain,36
Dragonskull Summit,36
Jetmir's Garden,36
"Ziatora, the Incinerator",35
Ureni of the Unwritten,34
Cyclonic Rift,34
Balefire Dragon,33
Reanimate,33
Rhythm of the Wild,33
Indatha Triome,33
The World Tree,33
Rhystic Study,32
"Klauth, Unrivaled Ancient",32
Heroic Intervention,32
Assassin's Trophy,32
Vault of Champions,32
"Ramos, Dragon Engine",31
Spire Garden,31
Bloodstained Mire,31
Undergrowth Stadium,31
Spectator Seating,31
Nomad Outpost,31
Scion of the Ur-Dragon,30
Felix Five-Boots,30
Morphic Pool,30
Xander's Lounge,30
Kodama's Reach,29
Raugrin Triome,29
"Olivia, Crimson Bride",28
Ancient Bronze Dragon,28
Smoldering Marsh,28
"Sivitri, Dragon Master",27
"Lathliss, Dragon Queen",27
Utvara Hellkite,27
Blasphemous Act,27
Rampant Growth,27
Isolated Chapel,27
Sunken Hollow,27
Drowned Catacomb,27
Demonic Tutor,26
Twinflame Tyrant,26
Ruinous Ultimatum,26
Swiftfoot Boots,26
Reliquary Tower,26
Fellwar Stone,26
Clifftop Retreat,26
Path of Ancestry,26
Beast Within,25
Sarkhan Unbroken,25
Bojuka Bog,25
Talisman of Dominance,25
Spara's Headquarters,25
Savage Lands,25
Dracogenesis,24
"Korlessa, Scale Singer",24
Dragonspeaker Shaman,24
Bloom Tender,24
Hellkite Tyrant,24
Anguished Unmaking,24
Mana Drain,24
Crux of Fate,24
Dimir Signet,24
Marsh Flats,24
Raffine's Tower,24
Chaos Warp,23
Rakdos Signet,23
Cinder Glade,23
Haunted Ridge,23
Shipwreck Marsh,23
Verdant Catacombs,23
Victimize,22
"Urborg, Tomb of Yawgmoth",22
Chromatic Lantern,22
Talisman of Indulgence,22
Arid Mesa,22
Sulfurous Springs,22
Rivaz of the Claw,21
Dragonlord's Servant,21
Savage Ventmaw,21
"Avacyn, Angel of Hope",21
Thrakkus the Butcher,21
"Gisela, Blade of Goldnight",21
Deflecting Swat,21
The Great Henge,21
Animate Dead,21
"Boseiju, Who Endures",21
Talisman of Hierarchy,21
"Silumgar, the Drifting Death",20
Scourge of Valkas,20
Delighted Halfling,20
"Aurelia, the Warleader",20
"Teneb, the Harvester",20
Bladewing the Risen,20
Sakura-Tribe Elder,20
"Etali, Primal Conqueror",20
Fist of Suns,20
Woodland Cemetery,20
Polluted Delta,20
Vampiric Tutor,19
Eerie Ultimatum,19
Leyline of the Guildpact,19
Mirari's Wake,19
Orzhov Signet,19
Talisman of Conviction,19
Dragon's Hoard,19
Crumbling Necropolis,19
Caves of Koilos,19
Solemn Simulacrum,18
"Junji, the Midnight Sky",18
An Offer You Can't Refuse,18
Fierce Guardianship,17
Esper Sentinel,17
Archon of Cruelty,17
Zurgo and Ojutai,17
Boros Charm,17
Contraband Livestock,17
Dark Ritual,17
Toxic Deluge,17
Riveteers Ascendancy,17
Rogue's Passage,17
Boros Signet,17
Maelstrom of the Spirit Dragon,16
"Ojer Kaslem, Deepest Growth",16
Cavern-Hoard Dragon,16
Terminate,16
Deadly Rollick,16
Faithless Looting,16
Living Death,16
Greater Good,16
"Comet, Stellar Pup",16
"Takenuma, Abandoned Mire",16
Timeless Lotus,16
"Atsushi, the Blazing Sky",15
"Sheoldred, Whispering One",15
Hellkite Courser,15
Scalelord Reckoner,15
"Nicol Bolas, the Ravager",15
Arcane Denial,15
Skyshroud Claim,15
Urza's Incubator,15
Phyrexian Arena,15
Kindred Discovery,15
"Betor, Kin to All",14
Enlightened Tutor,14
"Karrthus, Tyrant of Jund",14
"Etali, Primal Storm",14
Seedguide Ash,14
"Ganax, Astral Hunter",14
"Jan Jansen, Chaos Crafter",14
"Delina, Wild Mage",14
Anger,14
Negate,14
Swan Song,14
Farewell,14
Commander's Sphere,14
Herald's Horn,14
Barbarian Class,14
"Otawara, Soaring City",14
Flawless Maneuver,13
Worldly Tutor,13
Wyll's Reversal,13
Malakir Rebirth,13
Frantic Search,13
Feed the Swarm,13
Damn,13
Orb of Dragonkind,13
Wand of Wonder,13
Sneak Attack,13
Black Market Connections,13
Carnelian Orb of Dragonkind,13
Revivify,12
Entomb,12
Monster Manual,12
Arena of Glory,12
Ancient Tomb,11
Generous Gift,11
Brainstorm,11
Jeska's Will,11
Windfall,11
Buried Alive,11
Last March of the Ents,11
Up the Beanstalk,11
Shadow in the Warp,11
Anointed Procession,11
Thought Vessel,11
"Jin-Gitaxias, Core Augur",10
Deadly Dispute,10
Akroma's Will,10
Big Score,10
Vandalblast,10
Damnation,10
Mind Stone,10
Birthing Pod,10
Mystic Remora,10
Birthing Ritual,10
Leyline of Mutation,10
Mosswort Bridge,10
Cabal Coffers,10
Mox Jasper,10
Vexing Puzzlebox,10
Jade Orb of Dragonkind,10
