card name,synergy %
"Liesa, Shroud of Dusk",98
Command Tower,94
Sol Ring,89
Arcane Signet,86
Kaalia of the Vast,81
Thalia and The Gitrog Monster,79
Swords to Plowshares,76
Teysa Karlov,67
"Atraxa, Praetors' Voice",67
"Oloro, Ageless Ascetic",67
Eriette of the Charmed Apple,65
Farseek,64
Godless Shrine,59
Path to Exile,58
Hallowed Fountain,58
Watery Grave,55
Isolated Chapel,54
Overgrown Tomb,53
Blood Crypt,53
Temple Garden,53
Sacred Foundry,53
Breeding Pool,51
Stomping Ground,50
Exotic Orchard,49
"Caesar, Legion's Emperor",48
Cultivate,47
Savai Triome,47
Raffine's Tower,47
The World Tree,46
Indatha Triome,46
Birds of Paradise,45
Assassin's Trophy,45
Nature's Lore,44
Steam Vents,44
Sidar Jabari of Zhalfir,43
Talisman of Hierarchy,43
Vault of Champions,43
Caves of Koilos,43
Nomad Outpost,43
Counterspell,42
Marsh Flats,42
Dragonskull Summit,41
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",40
Ketria Triome,40
Zagoth Triome,40
Ruinous Ultimatum,39
Orzhov Signet,38
Spara's Headquarters,38
Sandsteppe Citadel,38
Three Visits,37
Bojuka Bog,37
Clifftop Retreat,37
Jetmir's Garden,37
Arcane Sanctum,37
Void Rend,36
Heroic Intervention,36
Rhystic Study,35
Cyclonic Rift,35
Talisman of Conviction,35
Woodland Cemetery,35
Spectator Seating,35
Boros Charm,34
Sea of Clouds,34
Ziatora's Proving Ground,34
Sunpetal Grove,34
Luxury Suite,34
Smothering Tithe,33
Talisman of Dominance,33
Talisman of Indulgence,33
Canopy Vista,33
Queen Marchesa,32
Morphic Pool,32
Dovin's Veto,31
Path of Ancestry,31
Beast Within,30
Talisman of Progress,30
Raugrin Triome,30
"Dihada, Binder of Wills",29
Teferi's Protection,29
Damn,29
Lightning Greaves,29
Battlefield Forge,29
Generous Gift,28
Rakdos Signet,28
Glacial Fortress,28
Fellwar Stone,27
Boros Signet,27
Reliquary Tower,26
Brushland,26
Undergrowth Stadium,26
Bountiful Promenade,26
Prairie Stream,26
Shattered Sanctum,26
Drowned Catacomb,26
Swiftfoot Boots,25
Skullclamp,25
Rhythm of the Wild,25
Azorius Signet,25
Dimir Signet,25
Sunken Hollow,25
Tireless Provisioner,24
Despark,24
Kodama's Reach,24
Rampant Growth,24
Smoldering Marsh,24
Blasphemous Act,23
Toxic Deluge,23
Phyrexian Arena,23
"Urborg, Tomb of Yawgmoth",23
Xander's Lounge,23
Demonic Tutor,22
Esper Sentinel,22
Supreme Verdict,22
Arbor Adherent,21
Arcane Denial,21
Temur Ascendancy,21
An Offer You Can't Refuse,20
Chromatic Lantern,20
"Treebeard, Gracious Host",19
Farmer Cotton,19
Delighted Halfling,19
Black Market Connections,19
Vault of the Archangel,19
"Boseiju, Who Endures",19
Rampart Architect,18
Gilded Goose,18
Peregrin Took,18
Fierce Guardianship,18
Faeburrow Elder,18
Blood Artist,18
Chaos Warp,18
Mana Drain,18
Eerie Ultimatum,18
Rogue's Passage,18
Vampiric Tutor,17
Samwise Gamgee,17
Baleful Strix,17
"Miirym, Sentinel Wyrm",17
"Aurelia, the Warleader",17
Mirkwood Bats,17
"Elas il-Kor, Sadistic Pilgrim",17
Mortify,17
Farewell,17
Leyline of the Guildpact,17
Sanguine Bond,17
The Ur-Dragon,16
"Athreos, God of Passage",16
Canopy Gargantuan,16
"Vito, Thorn of the Dusk Rose",16
"Morophon, the Boundless",16
Bloom Tender,16
"Lotho, Corrupt Shirriff",16
Eternal Witness,16
Banquet Guests,16
Swan Song,16
Mystic Remora,16
Propaganda,16
Prize Pig,15
"Pippin, Warden of Isengard",15
"Atarka, World Render",15
"Jhoira, Weatherlight Captain",15
Essence Warden,15
Growth Spiral,15
Negate,15
Night's Whisper,15
The Shire,15
Call the Spirit Dragons,14
Feasting Hobbit,14
Savvy Hunter,14
Cruel Celebrant,14
"Gisela, Blade of Goldnight",14
"Merry, Warden of Isengard",14
Ignoble Hierarch,14
Sakura-Tribe Elder,14
Enlightened Tutor,14
Deflecting Swat,14
Deadly Dispute,14
Brainstorm,14
Reanimate,14
Commander's Sphere,14
Sylvan Library,14
"Otawara, Soaring City",14
Timeless Lotus,14
Windcrag Siege,13
Prosperous Innkeeper,13
Two-Headed Hellkite,13
Dryad of the Ilysian Grove,13
Tiamat,13
Viscera Seer,13
"Betor, Kin to All",13
Mardu Siegebreaker,13
Crackling Doom,13
Stroke of Midnight,13
Revive the Shire,13
Ashnod's Altar,13
Anointed Procession,13
Kindred Discovery,13
Annie Joins Up,13
Warleader's Call,13
Ghostly Prison,13
"Isshin, Two Heavens as One",12
Bolas's Citadel,12
Zulaport Cutthroat,12
Solemn Simulacrum,12
Ureni of the Unwritten,12
Meriadoc Brandybuck,12
Noble Hierarch,12
Pitiless Plunderer,12
Wear // Tear,12
Dark Ritual,12
Terminate,12
Skyshroud Claim,12
Mind Stone,12
Blind Obedience,12
Exquisite Blood,12
Mirari's Wake,12
"Takenuma, Abandoned Mire",12
Thought Vessel,12
Edgar Markov,11
"Mondrak, Glory Dominus",11
"Ramos, Dragon Engine",11
"Anim Pakal, Thousandth Moon",11
"Elenda, the Dusk Rose",11
Goldspan Dragon,11
"Kambal, Profiteering Mayor",11
Stromkirk Captain,11
Motivated Pony,11
Flawless Maneuver,11
Fracture,11
Inkshield,11
Vandalblast,11
Austere Command,11
Windfall,11
Phyrexian Tower,11
Village Rites,10
Fell the Profane,10
Rakdos Charm,10
Deadly Rollick,10
Akroma's Will,10
Faithless Looting,10
Vindicate,10
Victimize,10
The Great Henge,10
Impact Tremors,10
Bastion of Remembrance,10
Doubling Season,10
"Oko, Thief of Crowns",10
The One Ring,9
Ancient Tomb,9
Crop Rotation,9
Worldly Tutor,9
Eladamri's Call,9
Utter End,9
Frantic Search,9
Sign in Blood,9
Harmonize,9
Many Partings,9
Bring to Light,9
Phyrexian Altar,9
Wayfarer's Bauble,9
Brokers Ascendancy,9
Authority of the Consuls,9
Fervent Charge,9
All-Out Assault,9
Dragon Tempest,9
"Eiganjo, Seat of the Empire",9
Minas Tirith,9
Dawn's Truce,8
Sink into Stupor,8
Mystical Tutor,8
Malakir Rebirth,8
Read the Bones,8
Diabolic Intent,8
Jeska's Will,8
Fist of Suns,8
Well of Lost Dreams,8
Conduit of Worlds,8
Herald's Horn,8
Rising of the Day,8
Shared Animosity,8
Teferi's Ageless Insight,8
Animate Dead,8
Exploration,8
Assemble the Entmoot,8
Night of the Sweets' Revenge,8
Guardian Project,8
Parallel Lives,8
Cabal Coffers,8
Planar Genesis,7
Ponder,7
Bala Ged Recovery,7
Fumigate,7
Life from the Loam,7
Will of the Abzan,7
Sevinne's Reclamation,7
Wrath of God,7
Aetherflux Reservoir,7
Bident of Thassa,7
Infantry Shield,7
Idol of Oblivion,7
Maelstrom Nexus,7
Assemble the Legion,7
Land Tax,7
Aura Shards,7
The Meathook Massacre,7
Jaws of Defeat,7
"Tamiyo, Field Researcher",7
Seat of the Synod,7
Hall of Heliod's Generosity,7
"Yavimaya, Cradle of Growth",7
Academy Ruins,7
Shifting Woodland,7
Castle Locthwain,7
Trouble in Pairs,6
Deflecting Palm,6
Revitalizing Repast,6
Force of Will,6
Harrow,6
Abrupt Decay,6
Mortality Spear,6
Blasphemous Edict,6
Time Wipe,6
Dusk // Dawn,6
Exsanguinate,6
Reunion of the House,6
Distant Melody,6
Sword of the Animist,6
Alhammarret's Archive,6
