card name,synergy %
"Dromoka, the Eternal",93
Sol Ring,86
Gandalf the White,85
"Cadric, Soul Kindler",85
"Havi, the All-Father",80
Arcane Signet,79
Command Tower,76
"Keleth, Sunmane Familiar // Yoshimaru, Ever Faithful",72
"O-Kagachi, Vengeful Kami",71
Swords to Plowshares,66
"Atsushi, the Blazing Sky",59
"Junji, the Midnight Sky",57
The Ur-Dragon,54
Path to Exile,53
Duke Ulder Ravengard,51
Caves of Koilos,48
Clifftop Retreat,48
Isolated Chapel,48
"Miirym, Sentinel Wyrm",47
Cultivate,45
Orzhov Signet,45
Godless Shrine,45
Battlefield Forge,44
"Kura, the Boundless Sky",43
"Elas il-Kor, Sadistic Pilgrim",43
The Jolly Balloon Man,42
Hofri Ghostforge,42
The Kami War,42
Talisman of Hierarchy,42
Talisman of Conviction,41
"Kairi, the Swirling Sky",40
Prairie Stream,40
"Kyodai, Soul of Kamigawa",38
Farseek,38
Vault of Champions,38
Kodama's Reach,37
Sacred Foundry,37
"Dihada, Binder of Wills",36
Boros Signet,36
Counterspell,35
Generous Gift,35
Anguished Unmaking,34
Temple Garden,34
Skullclamp,33
Bojuka Bog,33
Spectator Seating,33
Tainted Field,33
Solemn Simulacrum,32
Boros Charm,32
Victimize,32
Hallowed Fountain,32
Indatha Triome,32
Jungle Shrine,32
Canopy Vista,32
Nomad Outpost,32
Exotic Orchard,32
"Kokusho, the Evening Star",31
"Drivnod, Carnage Dominus",31
Chaos Warp,31
Rampant Growth,31
Nature's Lore,31
Azorius Signet,31
Jetmir's Garden,31
The World Tree,31
Temple of Triumph,31
Teysa Karlov,30
"Keiga, the Tide Star",30
"Elenda, the Dusk Rose",30
Blasphemous Act,30
Savai Triome,30
Furycalm Snarl,30
Boros Garrison,30
Call the Spirit Dragons,29
Orzhov Basilica,29
Temple of Silence,29
Raffine's Tower,29
Viscera Seer,28
"Braids, Arisen Nightmare",28
Damn,28
Ashnod's Altar,28
Glacial Fortress,28
Rugged Prairie,28
Spara's Headquarters,28
Sundown Pass,28
Drogskol Captain,27
Sandsteppe Citadel,27
Shattered Sanctum,27
Fetid Heath,27
Raugrin Triome,27
Stomping Ground,27
Overgrown Tomb,27
Ketria Triome,27
Loran of the Third Path,26
Impact Tremors,26
"Takenuma, Abandoned Mire",26
Mystic Monastery,26
Arcane Sanctum,26
Shineshadow Snarl,26
Zagoth Triome,26
The Ever-Changing 'Dane,25
"Yahenni, Undying Partisan",25
Village Rites,25
Despark,25
Goblin Bombardment,25
Ziatora's Proving Ground,25
Port Town,25
Blood Crypt,25
King of the Oathbreakers,24
Smothering Tithe,24
Zulaport Cutthroat,24
Beast Within,24
Swiftfoot Boots,24
Annie Joins Up,24
Reliquary Tower,24
Temple of Enlightenment,24
Sea of Clouds,24
Blood Artist,23
Bartolomé del Presidio,23
"Éowyn, Fearless Knight",23
"Kambal, Profiteering Mayor",23
"Syr Konrad, the Grim",23
Reanimate,23
Phyrexian Tower,23
Fellwar Stone,23
Myriad Landscape,23
Brightclimb Pathway,23
Path of Ancestry,23
"Jugan, the Rising Star",22
"Liesa, Forgotten Archangel",22
Rattlechains,22
Cruel Celebrant,22
Supreme Phantom,22
Deadly Dispute,22
Three Visits,22
Mind Stone,22
"Eiganjo, Seat of the Empire",22
Talisman of Progress,22
Sun Titan,21
"Mondrak, Glory Dominus",21
"Lotho, Corrupt Shirriff",21
Trumpeting Carnosaur,21
Primevals' Glorious Rebirth,21
Leyline of the Guildpact,21
Garruk's Uprising,21
Tiamat,20
"Athreos, God of Passage",20
Zealous Conscripts,20
"Atarka, World Render",20
Heroic Intervention,20
Teferi's Protection,20
Ruinous Ultimatum,20
Lightning Greaves,20
Minas Tirith,20
"Boseiju, Who Endures",20
Ureni of the Unwritten,19
Molten Gatekeeper,19
Pitiless Plunderer,19
Agate Instigator,19
"Ertha Jo, Frontier Mentor",19
Karmic Guide,19
Birds of Paradise,19
Austere Command,19
Warleader's Call,19
Timeless Lotus,19
Relic of Legends,19
Esper Sentinel,18
"Shanid, Sleepers' Scourge",18
Overlord of the Boilerbilges,18
Witty Roastmaster,18
"Boromir, Warden of the Tower",18
"Arabella, Abandoned Doll",18
Malakir Rebirth,18
Eerie Ultimatum,18
Bastion of Remembrance,18
Rhystic Study,17
"Ayara, First of Locthwain",17
"Yawgmoth, Thran Physician",17
Enduring Innocence,17
Grim Haruspex,17
Nasty End,17
Arcane Denial,17
Anointed Procession,17
Rhythm of the Wild,17
Phyrexian Arena,17
Vault of the Archangel,17
Kaalia of the Vast,16
"Korlessa, Scale Singer",16
"Teshar, Ancestor's Apostle",16
Empyrean Eagle,16
Sakura-Tribe Elder,16
"Kira, Great Glass-Spinner",16
"Yosei, the Morning Star",16
Negate,16
Dovin's Veto,16
Faithless Looting,16
Urza's Ruinous Blast,16
Farewell,16
Panharmonicon,16
Flowering of the White Tree,16
Kindred Discovery,16
"Sokenzan, Crucible of Defiance",16
"Otawara, Soaring City",16
"Betor, Kin to All",15
"Ureni, the Song Unending",15
Demonic Tutor,15
Dark Ritual,15
Untimely Malfunction,15
Diabolic Intent,15
Commander's Sphere,15
Animate Dead,15
Rakdos Signet,15
Jeska's Will,14
Cyclonic Rift,14
Mortify,14
Supreme Verdict,14
Phyrexian Altar,14
Temur Ascendancy,14
Echoing Assault,14
Caretaker's Talent,14
Mirari's Wake,14
Determined Iteration,14
Reconnaissance Mission,14
High Market,14
Thought Vessel,14
Fracture,13
Void Rend,13
Stroke of Midnight,13
Distant Melody,13
Living Death,13
Sevinne's Reclamation,13
Bident of Thassa,13
Wayfarer's Bauble,13
Hardened Scales,13
Black Market Connections,13
Moorland Haunt,13
Jade Orb of Dragonkind,13
Talisman of Indulgence,13
Sunbillow Verge,12
Enlightened Tutor,12
Assassin's Trophy,12
Vandalblast,12
Fist of Suns,12
Idol of Oblivion,12
The Great Henge,12
The Meathook Massacre,12
"Shizo, Death's Storehouse",12
Cursed Mirror,12
Talisman of Creativity,12
Dimir Signet,12
Ratadrabik of Urborg,11
Bolas's Citadel,11
Vampiric Tutor,11
Wear // Tear,11
Inspiring Call,11
Deflecting Swat,11
Ephemerate,11
Saw in Half,11
Abrade,11
Toxic Deluge,11
Rite of Oblivion,11
Greater Good,11
Jugan Defends the Temple,11
Encroaching Dragonstorm,11
Gavony Township,11
Cabal Coffers,11
Talisman of Dominance,11
Flare of Fortitude,10
Flawless Maneuver,10
Growth Spiral,10
Inkshield,10
Thrill of Possibility,10
An Offer You Can't Refuse,10
Plumb the Forbidden,10
Corrupted Conviction,10
Rootborn Defenses,10
Brainstorm,10
Night's Whisper,10
Ribbons of the Reikai,10
Dread Return,10
Archaeomancer's Map,10
Grave Pact,10
Land Tax,10
Bard Class,10
The Kenriths' Royal Funeral,10
Reflections of Littjara,10
Call of the Ring,10
