card name,synergy %
Sol Ring,93
Command Tower,82
The Ur-Dragon,79
"Isshin, Two Heavens as One",76
"Shorikai, Genesis Engine",71
Swords to Plowshares,68
Sidar Jabari of Zhalfir,66
"Atraxa, Praetors' Voice",63
"Kenrith, the Returned King",52
Path to Exile,51
Cultivate,50
Edgar Markov,49
"Aragorn, the Uniter",49
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",47
The Wise Mothman,45
Counterspell,45
"Miirym, Sentinel Wyrm",44
"Jodah, the Unifier",42
Watery Grave,42
Hallowed Fountain,42
Exotic Orchard,42
Godless Shrine,42
Overgrown Tomb,42
Farseek,41
Breeding Pool,41
Stomping Ground,41
Cinder Glade,41
Steam Vents,40
Blood Crypt,40
Kaalia of the Vast,39
Beast Within,39
Canopy Vista,39
Temple Garden,39
Rampant Growth,38
Talisman of Dominance,38
Sunken Hollow,38
"Nekusar, the Mindrazer",37
Prairie Stream,37
Sacred Foundry,37
Blasphemous Act,36
Smoldering Marsh,36
Nature's Lore,35
Sulfur Falls,35
Dragonskull Summit,35
Jungle Shrine,35
Chaos Warp,34
Talisman of Creativity,34
The World Tree,34
Kodama's Reach,33
Rakdos Signet,33
Dimir Signet,33
Clifftop Retreat,33
Crumbling Necropolis,33
Ketria Triome,33
Heroic Intervention,32
Talisman of Indulgence,32
Isolated Chapel,32
Jetmir's Garden,32
Caves of Koilos,32
Assassin's Trophy,31
Bojuka Bog,31
Reliquary Tower,31
Izzet Signet,31
Orzhov Signet,31
Talisman of Hierarchy,31
Hinterland Harbor,31
Woodland Cemetery,31
Nomad Outpost,31
Ziatora's Proving Ground,31
"Yuriko, the Tiger's Shadow",30
Birds of Paradise,30
Swiftfoot Boots,30
Spara's Headquarters,30
Arcane Sanctum,30
Glacial Fortress,30
Zagoth Triome,30
Shivan Reef,30
Indatha Triome,30
Frontier Bivouac,30
Rejuvenating Springs,30
Mystic Monastery,30
"Pantlaza, Sun-Favored",29
Rhystic Study,29
Talisman of Progress,29
Azorius Signet,29
Talisman of Conviction,29
Training Center,29
Drowned Catacomb,29
Opulent Palace,29
Battlefield Forge,29
Cyclonic Rift,28
Fellwar Stone,28
Yavimaya Coast,28
Luxury Suite,28
Sea of Clouds,28
Seaside Citadel,28
Morphic Pool,28
Savai Triome,28
Ignoble Hierarch,27
Generous Gift,27
Three Visits,27
Lightning Greaves,27
Smothering Tithe,26
Boros Charm,26
Anguished Unmaking,26
Boros Signet,26
Rhythm of the Wild,25
Dark Ritual,24
An Offer You Can't Refuse,23
Negate,23
Demonic Tutor,22
Terminate,22
Growth Spiral,22
Arcane Denial,22
Esper Sentinel,21
Brainstorm,21
Teferi's Protection,20
Ruinous Ultimatum,20
Feed the Swarm,20
Rogue's Passage,20
Thought Vessel,20
Fierce Guardianship,19
Llanowar Elves,19
Dovin's Veto,19
Toxic Deluge,19
Mind Stone,19
Mystic Remora,19
Jeska's Will,18
Vampiric Tutor,18
Eternal Witness,18
Swan Song,18
Damn,18
Reanimate,18
Faithless Looting,18
"Boseiju, Who Endures",18
Sakura-Tribe Elder,17
Noble Hierarch,17
Enlightened Tutor,17
Deflecting Swat,17
Putrefy,17
Vandalblast,17
Commander's Sphere,17
Garruk's Uprising,17
Leyline of the Guildpact,17
"Otawara, Soaring City",17
Talisman of Curiosity,17
Simic Signet,17
"Sauron, the Dark Lord",16
"Morophon, the Boundless",16
Despark,16
Rakdos Charm,16
Mana Drain,16
Phyrexian Arena,16
Temur Ascendancy,16
Kessig Wolf Run,16
Talisman of Resilience,16
Mystical Tutor,15
Elvish Mystic,15
"Kutzil, Malamet Exemplar",15
Solemn Simulacrum,15
Void Rend,15
Bedevil,15
Golgari Signet,15
"Lotho, Corrupt Shirriff",14
Baleful Strix,14
Frantic Search,14
Worldly Tutor,14
Supreme Verdict,14
Windfall,14
Farewell,14
Gruul Signet,14
Goblin Anarchomancer,13
Avacyn's Pilgrim,13
Faeburrow Elder,13
Ponder,13
Austere Command,13
Skullclamp,13
Annie Joins Up,13
Mirari's Wake,13
Propaganda,13
Timeless Lotus,13
Talisman of Impulse,13
Delighted Halfling,12
Blood Artist,12
Return of the Wildspeaker,12
Deadly Rollick,12
Mortify,12
Pongify,12
Deadly Dispute,12
Abrade,12
Victimize,12
Eerie Ultimatum,12
Black Market Connections,12
Ghostly Prison,12
Vault of the Archangel,12
Mystic Sanctuary,12
Call the Spirit Dragons,11
Deathrite Shaman,11
"Elas il-Kor, Sadistic Pilgrim",11
Mirkwood Bats,11
Force of Will,11
Stroke of Midnight,11
Lightning Bolt,11
Flawless Maneuver,11
Culling Ritual,11
Preordain,11
Wayfarer's Bauble,11
Whirlwind of Thought,11
Ancient Tomb,11
Chromatic Lantern,11
Mayhem Devil,10
Tireless Provisioner,10
"Tatyova, Benthic Druid",10
"Zacama, Primal Calamity",10
"Etali, Primal Conqueror",10
Orcish Bowmasters,10
Storm-Kiln Artist,10
Fyndhorn Elves,10
Goblin Electromancer,10
Beast Whisperer,10
Abrupt Decay,10
Thrill of Possibility,10
Akroma's Will,10
Village Rites,10
Opt,10
Eladamri's Call,10
Sink into Stupor,10
Big Score,10
Rapid Hybridization,10
Gamble,10
Night's Whisper,10
Sign in Blood,10
Rishkar's Expertise,10
Impact Tremors,10
Doubling Season,10
Hardened Scales,10
Sylvan Library,10
Animate Dead,10
Mosswort Bridge,10
"Urborg, Tomb of Yawgmoth",10
Cabal Coffers,10
"Takenuma, Abandoned Mire",10
Selesnya Signet,10
Talisman of Unity,10
Relic of Sauron,10
Mardu Siegebreaker,9
The One Ring,9
Sun Titan,9
Grand Abolisher,9
Zulaport Cutthroat,9
"Etali, Primal Storm",9
"Syr Konrad, the Grim",9
Viscera Seer,9
Dockside Extortionist,9
Bloom Tender,9
Professional Face-Breaker,9
Cruel Celebrant,9
Gray Merchant of Asphodel,9
Force of Negation,9
Reality Shift,9
Withering Torment,9
Explore,9
The Great Henge,9
Bolas's Citadel,9
Wild Growth,9
Warleader's Call,9
Anointed Procession,9
Moldervine Reclamation,9
Temple of the False God,9
Gavony Township,9
Ureni of the Unwritten,8
Temur Battlecrier,8
Elves of Deep Shadow,8
"Niv-Mizzet, Parun",8
Two-Headed Hellkite,8
Scute Swarm,8
Seedborn Muse,8
Archmage Emeritus,8
Tiamat,8
Reclamation Sage,8
Wear // Tear,8
Inspiring Call,8
Fell the Profane,8
Diabolic Intent,8
