card name,synergy %
Command Tower,92
Lord Windgrace,85
Sol Ring,85
The Necrobloom,83
Ezio Auditore da Firenze,78
"Shelob, Child of Ungoliant",78
Arcane Signet,71
The Wise Mothman,70
The Gitrog Monster,69
Swords to Plowshares,69
"Atraxa, Praetors' Voice",66
Overgrown Tomb,65
Temple Garden,60
Stomping Ground,60
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",58
Breeding Pool,58
Godless Shrine,57
The Ur-Dragon,56
Watery Grave,56
Blood Crypt,55
Meren of Clan Nel Toth,53
"Ygra, Eater of All",53
Path to Exile,50
Verdant Catacombs,50
Ziatora's Proving Ground,49
"Muldrotha, the Gravetide",48
Ignoble Hierarch,48
Hallowed Fountain,48
Exotic Orchard,47
Undergrowth Stadium,46
Indatha Triome,46
Zagoth Triome,46
Beast Within,45
Woodland Cemetery,44
Steam Vents,43
Birds of Paradise,42
Farseek,42
Nature's Lore,42
Sacred Foundry,40
Cultivate,39
Cyclonic Rift,39
Heroic Intervention,37
Rhystic Study,37
Llanowar Wastes,37
"Korvold, Fae-Cursed King",36
Anguished Unmaking,36
Counterspell,36
The World Tree,36
Three Visits,35
Ketria Triome,35
Rejuvenating Springs,34
"Yavimaya, Cradle of Growth",33
Bojuka Bog,33
Blasphemous Act,32
Spara's Headquarters,32
"Chatterfang, Squirrel General",31
Eternal Witness,31
"Boseiju, Who Endures",30
Rampant Growth,29
Lightning Greaves,29
Spire Garden,29
Jetmir's Garden,29
Thalia and The Gitrog Monster,28
"Urborg, Tomb of Yawgmoth",28
Demonic Tutor,28
Smothering Tithe,28
Teferi's Protection,28
Toxic Deluge,28
Bountiful Promenade,28
Opulent Palace,28
Luxury Suite,28
Misty Rainforest,28
Morphic Pool,28
Sakura-Tribe Elder,26
Kodama's Reach,26
Windswept Heath,26
Vault of Champions,26
Marsh Flats,26
Savage Lands,26
An Offer You Can't Refuse,25
Reliquary Tower,25
Hinterland Harbor,25
Cinder Glade,25
Wooded Foothills,25
Polluted Delta,25
Savai Triome,25
Mystic Remora,24
Bloodstained Mire,24
Raffine's Tower,24
Deathcap Glade,24
Fierce Guardianship,23
Esper Sentinel,23
Chaos Warp,23
Swiftfoot Boots,23
Underground Mortuary,23
Vampiric Tutor,22
Noble Hierarch,22
Swan Song,22
Deflecting Swat,22
Abrupt Decay,22
Reanimate,22
Raugrin Triome,22
Smoldering Marsh,22
Sandsteppe Citadel,22
Enlightened Tutor,21
Deathrite Shaman,21
Llanowar Elves,21
Rhythm of the Wild,21
Xander's Lounge,21
"Henzie ""Toolbox"" Torre",20
Faeburrow Elder,20
Mana Drain,20
Terminate,20
Skullclamp,20
Drowned Catacomb,20
Savannah,20
Yavimaya Coast,20
"Yarok, the Desecrated",19
Bayek of Siwa,19
Dovin's Veto,19
Putrefy,19
Elves of Deep Shadow,18
Sylvan Library,18
"Otawara, Soaring City",18
Aya of Alexandria,17
Tireless Provisioner,17
Elvish Mystic,17
Delighted Halfling,17
Worldly Tutor,17
Arcane Denial,17
Culling Ritual,17
Eerie Ultimatum,17
Rogue's Passage,17
"Morophon, the Boundless",16
Mayhem Devil,16
Avacyn's Pilgrim,16
Growth Spiral,16
Generous Gift,16
Talisman of Resilience,16
Fellwar Stone,16
Altaïr Ibn-La'Ahad,15
Crop Rotation,15
Eladamri's Call,15
Dark Ritual,15
Damn,15
Leyline of the Guildpact,15
Temur Ascendancy,15
