card name,synergy %
The Jolly Balloon Man,97
"Evereth, Viceroy of Plunder",95
"Henzie ""Toolbox"" Torre",88
Sol Ring,87
Arcane Signet,79
Command Tower,75
Rivaz of the Claw,70
"Cadric, Soul Kindler",66
"Korvold, Fae-Cursed King",64
"Rionya, Fire Dancer",64
Ziatora's Proving Ground,63
The Ur-Dragon,61
Temur Ascendancy,60
Swords to Plowshares,59
"Rakdos, the Muscle",58
Ignoble Hierarch,58
Farseek,53
Overgrown Tomb,52
Cinder Glade,52
Blasphemous Act,51
Stomping Ground,51
Blood Crypt,51
Deceptive Frostkite,50
"Herigast, Erupting Nullkite",49
Chaos Warp,49
Beast Within,48
Hammerhead Tyrant,47
"Junji, the Midnight Sky",47
Path to Exile,47
Garruk's Uprising,47
Smoldering Marsh,47
Cultivate,46
Nature's Lore,44
Dragonskull Summit,44
Sacred Foundry,44
Frontier Bivouac,44
Will of the Temur,43
"Ao, the Dawn Sky",43
Clifftop Retreat,43
Savage Lands,43
Broodcaller Scourge,42
Riveteers Ascendancy,41
Kodama's Reach,41
Steam Vents,41
Luxury Suite,41
Sulfur Falls,41
Ketria Triome,41
Rockfall Vale,41
"Orthion, Hero of Lavabrink",39
Goldspan Dragon,39
Assassin's Trophy,39
Battlefield Forge,39
Undergrowth Stadium,39
"Magda, Brazen Outlaw",38
Birds of Paradise,38
Spire Garden,38
Shivan Reef,38
Whirlwing Stormbrood,37
"Korlessa, Scale Singer",37
Old Gnawbone,37
Tiamat,37
Counterspell,37
Exotic Orchard,37
"Sarkhan, Soul Aflame",36
Talisman of Conviction,36
Spectator Seating,36
Jetmir's Garden,36
"Ziatora, the Incinerator",35
Victimize,35
Rampant Growth,35
Breeding Pool,35
Rootbound Crag,35
Encroaching Dragonstorm,34
Solemn Simulacrum,34
Three Visits,34
Boros Signet,34
The World Tree,34
Temple Garden,34
"Miirym, Sentinel Wyrm",33
Lightning Greaves,33
Bojuka Bog,33
Watery Grave,33
Call the Spirit Dragons,32
Training Center,32
Savai Triome,32
Xander's Lounge,32
Heroic Intervention,31
Terminate,31
Deadly Dispute,31
Boros Charm,31
Become the Avalanche,31
Rhythm of the Wild,31
Talisman of Creativity,31
Ureni of the Unwritten,30
Sakura-Tribe Elder,30
Parapet Thrasher,30
Generous Gift,30
Godless Shrine,30
Hinterland Harbor,30
Sulfurous Springs,30
Raugrin Triome,30
Woodland Cemetery,30
Sundown Pass,30
Thundermane Dragon,29
Dragonlord Dromoka,29
Swiftfoot Boots,29
Yavimaya Coast,29
Haunted Ridge,29
Smothering Tithe,28
Terror of the Peaks,28
Mayhem Devil,28
Hallowed Fountain,28
"Atarka, World Render",27
Ancient Silver Dragon,27
Rakdos Signet,27
Karplusan Forest,27
Bountiful Landscape,27
Jeska's Will,26
Reanimate,26
Mosswort Bridge,26
Talisman of Indulgence,26
Zagoth Triome,26
Indatha Triome,26
"Lathliss, Dragon Queen",25
"Rith, Liberated Primeval",25
Astral Dragon,25
Temur Battlecrier,25
"Lozhan, Dragons' Legacy",25
Professional Face-Breaker,25
"Morophon, the Boundless",25
Ancient Copper Dragon,25
"Keiga, the Tide Star",25
"Kyodai, Soul of Kamigawa",25
Dragon Tempest,25
Llanowar Wastes,25
Nomad Outpost,25
Path of Ancestry,25
Rejuvenating Springs,25
