card name,synergy %
"Omnath, Locus of All",99
Niv-Mizzet Reborn,95
Command Tower,92
Sol Ring,89
"Kenrith, the Returned King",84
"Miirym, Sentinel Wyrm",84
Arcane Signet,81
Dragon Tempest,77
Reaper King,76
Dracogenesis,72
Crux of Fate,72
The Ur-Dragon,70
"Jodah, Archmage Eternal",66
Terror of the Peaks,65
Dragonlord Dromoka,65
"Lathliss, Dragon Queen",65
"Atarka, World Render",64
Old Gnawbone,63
Haven of the Spirit Dragon,63
Maelstrom of the Spirit Dragon,62
Farseek,60
Temur Ascendancy,57
Dragonspeaker Shaman,56
Exotic Orchard,56
Tiamat,55
Rivaz of the Claw,55
Scion of the Ur-Dragon,54
Ancient Copper Dragon,54
Chromatic Lantern,54
Path of Ancestry,53
Go-Shintai of Life's Origin,52
Goldspan Dragon,52
"Morophon, the Boundless",51
Mox Jasper,51
Ureni of the Unwritten,51
"Sarkhan, Soul Aflame",51
Dragonlord's Servant,51
Cavern of Souls,51
"Esika, God of the Tree",50
"Jodah, the Unifier",50
Urza's Incubator,48
Utvara Hellkite,48
Ancient Silver Dragon,48
Dragon's Hoard,48
Stomping Ground,48
"Rith, Liberated Primeval",46
Scourge of Valkas,45
Ketria Triome,45
Garruk's Uprising,44
Twinflame Tyrant,43
Nature's Lore,43
Overgrown Tomb,43
Swords to Plowshares,42
Steam Vents,42
Breeding Pool,42
Wooded Foothills,42
"Klauth, Unrivaled Ancient",41
Blood Crypt,41
Temple Garden,41
"Rukarumel, Biologist",40
Hellkite Courser,40
Heroic Intervention,40
Cultivate,40
Three Visits,39
Herald's Horn,39
Rhythm of the Wild,39
Sacred Foundry,39
Ancient Gold Dragon,38
"O-Kagachi, Vengeful Kami",37
Verdant Catacombs,37
Balefire Dragon,36
Ancient Brass Dragon,36
Birds of Paradise,36
Windswept Heath,36
Bloodstained Mire,36
Misty Rainforest,36
Arid Mesa,36
Scalding Tarn,36
Bladewing the Risen,35
Teferi's Protection,35
Ziatora's Proving Ground,35
Smothering Tithe,34
Two-Headed Hellkite,34
Jetmir's Garden,34
"Kyodai, Soul of Kamigawa",33
Scion of Draco,33
The World Tree,33
Zagoth Triome,33
Hallowed Fountain,32
Roaming Throne,31
Watery Grave,31
Indatha Triome,31
"Ramos, Dragon Engine",30
"Korlessa, Scale Singer",30
Kodama's Reach,30
Savai Triome,30
Flooded Strand,30
Polluted Delta,30
Cyclonic Rift,29
"Silumgar, the Drifting Death",29
Fellwar Stone,29
Raugrin Triome,29
Reflecting Pool,29
Marsh Flats,29
Path to Exile,28
Unclaimed Territory,28
Secluded Courtyard,28
Godless Shrine,28
Demonic Tutor,27
Bloom Tender,27
Scalelord Reckoner,27
Savage Ventmaw,27
Counterspell,27
Orb of Dragonkind,27
Temple of the Dragon Queen,27
"Jenson Carthalion, Druid Exile",26
Dragonstorm Globe,26
Rhystic Study,26
"Ganax, Astral Hunter",26
Thrakkus the Butcher,26
"Betor, Kin to All",26
Lightning Greaves,26
Reliquary Tower,25
Carnelian Orb of Dragonkind,24
Hellkite Tyrant,23
Rampant Growth,23
Sarkhan Unbroken,23
Spara's Headquarters,23
"Karrthus, Tyrant of Jund",22
Crucible of the Spirit Dragon,22
Stormscale Scion,21
The Great Henge,21
Xander's Lounge,21
Wrathful Red Dragon,20
Scavenger Regent,20
Sarkhan's Triumph,20
Mana Drain,20
Frontier Bivouac,20
Skyshroud Claim,19
Fist of Suns,19
Leyline of the Guildpact,19
Kindred Discovery,19
City of Brass,19
Mana Confluence,19
Dragonlord Kolaghan,18
Encroaching Dragonstorm,18
Three Tree City,18
Ancient Bronze Dragon,17
Scaled Nurturer,17
Broodcaller Scourge,17
"Lozhan, Dragons' Legacy",17
Assassin's Trophy,17
Eerie Ultimatum,17
Evolving Wilds,17
Vampiric Tutor,16
Earthquake Dragon,16
Zurgo and Ojutai,16
Hellkite Charger,16
Commander's Sphere,16
Monster Manual,16
Crucible of Fire,16
Mystic Monastery,16
Opulent Palace,16
"Niv-Mizzet, Guildpact",15
"Neriv, Heart of the Storm",15
Dragonlord Silumgar,15
Mirari's Wake,15
Jade Orb of Dragonkind,15
Taiga,15
Enlightened Tutor,14
Dragonmaster Outcast,14
Scourge of the Throne,14
Faeburrow Elder,14
Dragonlord Ojutai,14
Ignoble Hierarch,14
Breaching Dragonstorm,14
Up the Beanstalk,14
Mistrise Village,14
Sandsteppe Citadel,14
Jungle Shrine,14
Nomad Outpost,14
Tropical Island,14
"Teneb, the Harvester",13
Delighted Halfling,13
"Ureni, the Song Unending",13
Timeless Lotus,13
The One Ring,12
Bloomvine Regent,12
Dragonologist,12
Worldly Tutor,12
Beast Within,12
Majestic Genesis,12
Last March of the Ents,12
Roiling Dragonstorm,12
Frostcliff Siege,12
"Sivitri, Dragon Master",12
"Boseiju, Who Endures",12
Herd Heirloom,12
Anguished Unmaking,11
Ruinous Ultimatum,11
Patriarch's Bidding,11
Dragon Arch,11
Swiftfoot Boots,11
Dragonback Assault,11
"Sarkhan, Fireblood",11
Ancient Tomb,10
An Offer You Can't Refuse,10
Blasphemous Act,10
Elemental Bond,10
"Yavimaya, Cradle of Growth",10
Chromatic Orrery,10
Fierce Guardianship,9
Deflecting Swat,9
Stubborn Denial,9
Leyline of Mutation,9
Cascading Cataracts,9
Patchwork Banner,9
Lapis Orb of Dragonkind,9
Smuggler's Surprise,8
Swan Song,8
Negate,8
Dragon's Fire,8
Growth Spiral,8
Kindred Dominance,8
Aggravated Assault,8
Frontier Siege,8
Defense of the Heart,8
Mana Vault,7
Chaos Warp,7
Boros Charm,7
Reanimate,7
All-Out Assault,7
Invasion of Tarkir,7
Temple of the False God,7
Arena of Glory,7
Chrome Mox,6
Spit Flame,6
Klauth's Will,6
Return of the Wildspeaker,6
Dispelling Exhale,6
Farewell,6
Explore,6
Steely Resolve,6
Sylvan Library,6
Sneak Attack,6
Corroding Dragonstorm,6
Monstrous Vortex,6
Thought Vessel,6
Generous Gift,5
Maskwood Nexus,5
Quicksilver Amulet,5
