card name,synergy %
"Winota, Joiner of Forces",98
"Wilhelt, the Rotcleaver",92
"Ulalek, Fused Atrocity",91
Sol Ring,91
Command Tower,77
"Giada, Font of Hope",75
Kaalia of the Vast,74
Arcane Signet,73
"Magda, Brazen Outlaw",71
Swords to Plowshares,66
Stomping Ground,63
Watery Grave,62
Breeding Pool,62
Overgrown Tomb,61
Temple Garden,60
The Ur-Dragon,59
Blood Crypt,59
Godless Shrine,58
"Zhulodok, Void Gorger",57
Steam Vents,57
Hallowed Fountain,57
Sacred Foundry,57
"Lathril, Blade of the Elves",56
Cyclonic Rift,52
Rhystic Study,52
Demonic Tutor,49
Path to Exile,46
Heroic Intervention,46
Ketria Triome,45
Vampiric Tutor,42
"Boseiju, Who Endures",41
Jetmir's Garden,41
Smothering Tithe,40
Fierce Guardianship,40
"Morophon, the Boundless",38
Nature's Lore,38
Deflecting Swat,37
Teferi's Protection,37
Rhythm of the Wild,37
Birds of Paradise,37
Farseek,37
Morphic Pool,37
Ancient Tomb,36
The World Tree,36
"Pantlaza, Sun-Favored",35
Mana Drain,35
"Otawara, Soaring City",35
Three Visits,35
Savai Triome,35
Path of Ancestry,35
Zagoth Triome,35
Exotic Orchard,35
Cultivate,34
Ziatora's Proving Ground,34
Enlightened Tutor,33
Esper Sentinel,33
Swan Song,33
Dark Ritual,33
Talisman of Dominance,33
Indatha Triome,33
Luxury Suite,33
Spire Garden,33
Worldly Tutor,32
Assassin's Trophy,32
Counterspell,32
Underground Sea,32
"Gishath, Sun's Avatar",31
Lightning Greaves,31
Mystic Remora,31
Scrubland,31
Tundra,31
Spectator Seating,31
Rejuvenating Springs,31
Temur Ascendancy,30
Vault of Champions,30
Bayou,30
Training Center,30
Beast Within,29
Spara's Headquarters,29
Badlands,29
Tropical Island,29
Bountiful Promenade,29
Volcanic Island,29
Force of Will,28
An Offer You Can't Refuse,28
Plateau,28
Raugrin Triome,28
Misty Rainforest,28
Savannah,28
Bloodstained Mire,28
Polluted Delta,28
Roaming Throne,27
Reliquary Tower,27
Xander's Lounge,27
Arid Mesa,27
Marsh Flats,27
Undergrowth Stadium,27
Taiga,27
Verdant Catacombs,27
Sea of Clouds,27
Scalding Tarn,27
"Miirym, Sentinel Wyrm",25
Sliver Overlord,25
Call the Spirit Dragons,25
Three Tree City,25
Kindred Discovery,25
Delighted Halfling,25
Blasphemous Act,25
The Great Henge,25
Mystical Tutor,24
Kodama's Reach,24
Jeska's Will,24
Toxic Deluge,24
Reanimate,24
Sylvan Library,24
Fellwar Stone,24
Deadly Rollick,23
Force of Negation,23
Anguished Unmaking,23
Herald's Horn,23
The One Ring,23
Bojuka Bog,23
Mana Vault,22
Chrome Mox,22
Tiamat,22
Finale of Devastation,22
Garruk's Uprising,22
Ureni of the Unwritten,21
Grand Abolisher,21
Llanowar Elves,21
Chaos Warp,21
Rampant Growth,21
Lotus Petal,21
Talisman of Indulgence,21
Elvish Mystic,20
Akroma's Will,20
"Urborg, Tomb of Yawgmoth",20
Mana Crypt,20
Sliver Hivelord,19
Orcish Bowmasters,19
Sliver Legion,19
Flusterstorm,19
Pact of Negation,19
Urza's Incubator,19
Swiftfoot Boots,19
Black Market Connections,19
Urza's Saga,19
Gaea's Cradle,19
Talisman of Hierarchy,19
Talisman of Progress,19
Talisman of Creativity,19
Hakbal of the Surging Soul,18
"Ragavan, Nimble Pilferer",18
Boros Charm,18
Flawless Maneuver,18
Imperial Seal,18
"Yavimaya, Cradle of Growth",18
Phyrexian Tower,18
Dockside Extortionist,17
Opposition Agent,17
"Zacama, Primal Calamity",17
Realmwalker,17
Thassa's Oracle,17
Deathrite Shaman,17
Noble Hierarch,17
Eladamri's Call,17
Silence,17
Mental Misstep,17
Gamble,17
Rogue's Passage,17
Dimir Signet,17
Mox Diamond,17
"Krenko, Mob Boss",16
Drannith Magistrate,16
"Atarka, World Render",16
Eternal Witness,16
Fyndhorn Elves,16
Generous Gift,16
Leyline of the Guildpact,16
Mirari's Wake,16
Cabal Coffers,16
Edgar Markov,15
Ranger-Captain of Eos,15
Ignoble Hierarch,15
Terror of the Peaks,15
Bloom Tender,15
Red Elemental Blast,15
Veil of Summer,15
Crop Rotation,15
Pyroblast,15
Diabolic Intent,15
Jeweled Lotus,15
"Takenuma, Abandoned Mire",15
"Nykthos, Shrine to Nyx",15
Rakdos Signet,15
The First Sliver,14
"Lotho, Corrupt Shirriff",14
"Etali, Primal Conqueror",14
"Sarkhan, Soul Aflame",14
Simian Spirit Guide,14
Two-Headed Hellkite,14
Brainstorm,14
Mindbreak Trap,14
Abrupt Decay,14
Arcane Denial,14
Damn,14
Farewell,14
Green Sun's Zenith,14
Kindred Dominance,14
Skullclamp,14
Dragon Tempest,14
"Eiganjo, Seat of the Empire",14
Mox Opal,14
Chromatic Lantern,14
Talisman of Conviction,14
Orzhov Signet,14
"Klauth, Unrivaled Ancient",13
Old Gnawbone,13
Dragonlord Dromoka,13
Ancient Copper Dragon,13
Return of the Wildspeaker,13
Chord of Calling,13
Ruinous Ultimatum,13
Vandalblast,13
Skyshroud Claim,13
Vanquisher's Banner,13
Reflections of Littjara,13
Guardian Project,13
Patchwork Banner,13
Timeless Lotus,13
Dracogenesis,12
Goldspan Dragon,12
Imperial Recruiter,12
Elves of Deep Shadow,12
Dauthi Voidwalker,12
Regisaur Alpha,12
Scion of the Ur-Dragon,12
Beast Whisperer,12
Avacyn's Pilgrim,12
"Ramos, Dragon Engine",12
Phyrexian Metamorph,12
Dovin's Veto,12
Entomb,12
Tainted Pact,12
Sink into Stupor,12
Feed the Swarm,12
Windfall,12
Wheel of Fortune,12
Wishclaw Talisman,12
Fist of Suns,12
Phyrexian Arena,12
Doubling Season,12
Arena of Glory,12
Thought Vessel,12
Talisman of Curiosity,12
Mistrise Village,11
Archivist of Oghma,11
Sliver Gravemother,11
Sliver Queen,11
Quartzwood Crasher,11
Rivaz of the Claw,11
Chain of Vapor,11
Cabal Ritual,11
Lightning Bolt,11
Demonic Consultation,11
Rishkar's Expertise,11
Raise the Palisade,11
Patriarch's Bidding,11
Necropotence,11
Anointed Procession,11
Animate Dead,11
Wild Growth,11
Growing Rites of Itlimoc,11
"Teferi, Time Raveler",11
Sarkhan Unbroken,11
Kessig Wolf Run,11
Minas Tirith,11
Shifting Woodland,11
Command Beacon,11
Vault of the Archangel,11
Izzet Signet,11
Voice of Victory,10
Negate,10
Growth Spiral,10
Abrade,10
Noxious Revival,10
Pongify,10
Terminate,10
Eldritch Evolution,10
Culling Ritual,10
Mind Stone,10
Underworld Breach,10
Carpet of Flowers,10
Land Tax,10
Invasion of Ikoria,10
"Minamo, School at Water's Edge",10
Mosswort Bridge,10
Mox Amber,10
Talisman of Impulse,10
Force of Vigor,9
Culling the Weak,9
Nature's Claim,9
Rapid Hybridization,9
Archdruid's Charm,9
Faithless Looting,9
Eerie Ultimatum,9
Last March of the Ents,9
Distant Melody,9
Damnation,9
Sevinne's Reclamation,9
Grim Tutor,9
Sensei's Divining Top,9
Bolas's Citadel,9
Impact Tremors,9
Shared Animosity,9
Aura Shards,9
Parallel Lives,9
Annie Joins Up,9
War Room,9
Castle Garenbrig,9
Boros Signet,9
Talisman of Resilience,9
Dawn's Truce,8
Supreme Verdict,8
Beseech the Mirror,8
Crux of Fate,8
Rite of Flame,8
Ponder,8
Bala Ged Recovery,8
Austere Command,8
Mnemonic Betrayal,8
Commander's Sphere,8
Warleader's Call,8
Exploration,8
Blind Obedience,8
Utopia Sprawl,8
Trouble in Pairs,8
The Meathook Massacre,8
Tribute to the World Tree,8
Mystic Sanctuary,8
Temple of the False God,8
"Shizo, Death's Storehouse",8
Azorius Signet,8
Grim Monolith,8
Shatterskull Smashing,7
Ashnod's Altar,7
Banner of Kinship,7
Phyrexian Altar,7
Blood Moon,7
Elemental Bond,7
Exquisite Blood,7
Hardened Scales,7
Leyline of Mutation,7
Cathars' Crusade,7
Descendants' Path,7
Up the Beanstalk,7
Frostcliff Siege,7
Shadow in the Warp,7
Cursed Mirror,7
Simic Signet,7
Victimize,6
Shamanic Revelation,6
Blasphemous Edict,6
Buried Alive,6
Night's Whisper,6
Triumph of the Hordes,6
Gitaxian Probe,6
Wrath of God,6
Natural Order,6
Coat of Arms,6
Monster Manual,6
The Skullspore Nexus,6
Bident of Thassa,6
Door of Destinies,6
Lion's Eye Diamond,6
Maskwood Nexus,6
Goblin Bombardment,6
Deafening Silence,6
Aggravated Assault,6
Survival of the Fittest,6
Flowering of the White Tree,6
Cryptolith Rite,6
Cover of Darkness,6
Grave Pact,6
Dryad Arbor,6
Gavony Township,6
"Emeria, the Sky Ruin",6
Alchemist's Refuge,6
Strip Mine,6
Emergence Zone,6
Cephalid Coliseum,6
Wirewood Lodge,6
Homeward Path,6
Castle Locthwain,6
"Sokenzan, Crucible of Defiance",6
Gruul Signet,6
Thran Dynamo,6
Talisman of Unity,6
Golgari Signet,6
Inventors' Fair,5
Dragon's Hoard,5
