card name,synergy %
"Nekusar, the Mindrazer",99
The First Sliver,97
"Be'lakor, the Dark Master",93
Command Tower,92
Sol Ring,89
Arcane Signet,85
"Jodah, the Unifier",79
"Kenrith, the Returned King",76
Ezio Auditore da Firenze,65
Exotic Orchard,58
Swords to Plowshares,56
Farseek,52
Cultivate,50
"Urtet, Remnant of Memnarch",49
"Aragorn, the Uniter",46
"Morophon, the Boundless",44
The World Tree,42
Path to Exile,41
Counterspell,37
Path of Ancestry,37
Reliquary Tower,35
Breeding Pool,35
Hallowed Fountain,35
Overgrown Tomb,35
Temple Garden,35
Stomping Ground,35
Watery Grave,34
Godless Shrine,34
Ketria Triome,33
Kodama's Reach,32
Steam Vents,32
Nature's Lore,31
Fellwar Stone,31
Blood Crypt,31
The Ur-Dragon,30
Sacred Foundry,30
Zagoth Triome,30
Spara's Headquarters,30
Indatha Triome,30
Jetmir's Garden,30
Heroic Intervention,29
Birds of Paradise,28
Rampant Growth,28
Ziatora's Proving Ground,28
"Atraxa, Praetors' Voice",27
Commander's Sphere,27
Lightning Greaves,27
Evolving Wilds,27
Smothering Tithe,26
Jungle Shrine,26
Raugrin Triome,26
Sandsteppe Citadel,26
Rhystic Study,25
Three Visits,25
Crumbling Necropolis,25
Savai Triome,25
Raffine's Tower,25
Frontier Bivouac,25
Cyclonic Rift,24
Beast Within,24
Swiftfoot Boots,24
Xander's Lounge,24
Blasphemous Act,23
Opulent Palace,23
Arcane Sanctum,23
Canopy Vista,23
Seaside Citadel,23
"Omnath, Locus of All",22
Teferi's Protection,22
Leyline of the Guildpact,22
Kaalia of the Vast,21
Mystic Monastery,21
Nomad Outpost,21
Sunken Hollow,21
"Breya, Etherium Shaper",20
Demonic Tutor,20
Cinder Glade,20
Terramorphic Expanse,20
Faeburrow Elder,19
Anguished Unmaking,19
Prairie Stream,19
Chaos Warp,18
Assassin's Trophy,18
Rhythm of the Wild,18
Savage Lands,18
Smoldering Marsh,18
Bojuka Bog,17
Timeless Lotus,17
Sulfur Falls,17
Dragonskull Summit,17
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",16
Boros Charm,16
Rogue's Passage,16
Thought Vessel,16
Rejuvenating Springs,16
Isolated Chapel,16
Marsh Flats,16
Training Center,16
Sea of Clouds,16
Misty Rainforest,16
Growth Spiral,15
Negate,15
Arcane Denial,15
Ruinous Ultimatum,15
Temur Ascendancy,15
Talisman of Dominance,15
Morphic Pool,15
Enlightened Tutor,14
Vampiric Tutor,14
Bloom Tender,14
Dryad of the Ilysian Grove,14
Generous Gift,14
Mirari's Wake,14
Dovin's Veto,13
Brainstorm,13
Farewell,13
Propaganda,13
Annie Joins Up,13
Garruk's Uprising,13
Talisman of Creativity,13
Dimir Signet,13
Rakdos Signet,13
Go-Shintai of Life's Origin,12
Call the Spirit Dragons,12
Fierce Guardianship,12
Ignoble Hierarch,12
Mana Drain,12
Terminate,12
Supreme Verdict,12
Herald's Horn,12
Ghostly Prison,12
Phyrexian Arena,12
Talisman of Indulgence,12
Izzet Signet,12
Delighted Halfling,11
Esper Sentinel,11
An Offer You Can't Refuse,11
Dark Ritual,11
Eerie Ultimatum,11
Toxic Deluge,11
"Yavimaya, Cradle of Growth",11
"Urborg, Tomb of Yawgmoth",11
Orzhov Signet,11
Roaming Throne,10
"Miirym, Sentinel Wyrm",10
Solemn Simulacrum,10
"Ramos, Dragon Engine",10
Void Rend,10
Mortify,10
Worldly Tutor,10
Deflecting Swat,10
Skyshroud Claim,10
Kindred Discovery,10
Doubling Season,10
Mystic Remora,10
Temple of the False God,10
"Boseiju, Who Endures",10
Azorius Signet,10
Boros Signet,10
Talisman of Hierarchy,10
Two-Headed Hellkite,9
"Atarka, World Render",9
Eternal Witness,9
Tiamat,9
Vandalblast,9
Fist of Suns,9
Urza's Incubator,9
Maelstrom Nexus,9
Talisman of Progress,9
Talisman of Conviction,9
Decanter of Endless Water,9
"Esika, God of the Tree",8
Tom Bombadil,8
Ureni of the Unwritten,8
Mystical Tutor,8
Noble Hierarch,8
"Sythis, Harvest's Hand",8
Baleful Strix,8
Sliver Hivelord,8
Sakura-Tribe Elder,8
"Sisay, Weatherlight Captain",8
Surrak Dragonclaw,8
