card name,synergy %
Command Tower,94
"The Master, Transcendent",90
Meren of Clan Nel Toth,83
"Teval, Arbiter of Virtue",82
Sol Ring,82
"Teval, the Balanced Scale",80
"Sin, Spira's Punishment",73
"Coram, the Undertaker",73
Arcane Signet,73
"Sidisi, Brood Tyrant",71
"Miirym, Sentinel Wyrm",70
Life from the Loam,62
"Henzie ""Toolbox"" Torre",61
Hedron Crab,61
Hinterland Harbor,61
Exotic Orchard,61
Woodland Cemetery,61
Teval's Judgment,59
Opulent Palace,59
Dreamroot Cascade,58
Farseek,57
Stomping Ground,56
Temple Garden,55
Wonder,54
Sakura-Tribe Elder,54
Victimize,53
Stitcher's Supplier,52
Kishla Skimmer,51
Ripples of Undeath,51
Blood Crypt,51
Godless Shrine,51
Llanowar Wastes,51
"Muldrotha, the Gravetide",50
Six,50
Overgrown Tomb,50
Conduit of Worlds,49
Ignoble Hierarch,49
Swords to Plowshares,49
Sunken Hollow,49
Living Death,48
Skull Prophet,48
Foreboding Landscape,48
Ureni of the Unwritten,47
Ziatora's Proving Ground,47
Reanimate,46
"Glarb, Calamity's Augur",45
Will of the Sultai,45
Indatha Triome,45
Terror of the Peaks,44
Dragonlord Dromoka,43
Verdant Catacombs,43
"Kotis, Sibsig Champion",42
Watery Grave,42
Afterlife from the Loam,41
River Kelpie,41
Kheru Goldkeeper,41
Call the Spirit Dragons,41
Cephalid Coliseum,41
Breeding Pool,41
Command Beacon,40
Zagoth Triome,40
Steam Vents,40
Gravecrawler,39
Cultivate,39
Hedge Shredder,39
Dragon Tempest,39
Ketria Triome,39
Sacred Foundry,39
Nyx Weaver,38
Timeless Witness,38
Eternal Witness,38
Assassin's Trophy,38
Rampant Growth,38
Temur Ascendancy,38
The Ur-Dragon,37
Harrow,37
Scion of the Ur-Dragon,36
Terramorphic Expanse,36
Steward of the Harvest,35
Phyrexian Reclamation,35
Polluted Delta,35
Bladewing the Risen,34
Floral Evoker,34
Avenger of Zendikar,34
Insidious Roots,34
Underground Mortuary,34
Golgari Rot Farm,34
Ancient Copper Dragon,33
Tear Asunder,33
Grapple with the Past,33
Welcome the Dead,33
Darkwater Catacombs,33
Misty Rainforest,33
Fetid Pools,33
"Ob Nixilis, the Fallen",32
Putrefy,32
Undergrowth Stadium,32
Aftermath Analyst,31
Rivaz of the Claw,31
"Atarka, World Render",31
Grisly Salvage,31
Eerie Ultimatum,31
Hallowed Fountain,31
"Betor, Ancestor's Voice",30
"Sarkhan, Soul Aflame",30
Diviner of Mist,30
The Gitrog Monster,30
"Shigeki, Jukai Visionary",30
"Syr Konrad, the Grim",29
Birds of Paradise,29
Nature's Lore,29
Shifting Woodland,29
Jetmir's Garden,29
Hedge Maze,29
Springbloom Druid,28
Path to Exile,28
Dread Return,28
Treasure Cruise,28
Crypt of Agadeem,28
Drownyard Temple,28
Memorial to Folly,28
Rejuvenating Springs,28
Satyr Wayfinder,27
Tiamat,27
Balefire Dragon,27
Anguished Unmaking,27
Undercity Sewers,27
Savai Triome,27
"Tasigur, the Golden Fang",26
Deathrite Shaman,26
Millikin,26
"Jarad, Golgari Lich Lord",26
"Lathliss, Dragon Queen",26
Lethal Scheme,26
Dracogenesis,26
Myriad Landscape,26
Caves of Koilos,26
Spire Garden,26
Temple of Malady,26
Dauthi Voidwalker,25
Utvara Hellkite,25
"Morophon, the Boundless",25
"Takenuma, Abandoned Mire",25
"Boseiju, Who Endures",25
The World Tree,25
The Wise Mothman,24
Noble Hierarch,24
Scourge of Valkas,24
Two-Headed Hellkite,24
"Rith, Liberated Primeval",24
Crawling Sensation,24
Animate Dead,24
Luxury Suite,24
Brushland,24
Volcanic Island,24
The Scarab God,23
Anger,23
Beast Within,23
Forbidden Alchemy,23
Three Visits,23
"Yavimaya, Cradle of Growth",23
Lush Portico,23
Plateau,23
Haunted Mire,23
Sandsteppe Citadel,23
Raugrin Triome,23
Lightning Greaves,22
Bojuka Bog,22
"Urborg, Tomb of Yawgmoth",22
"Tatyova, Benthic Druid",21
Twinflame Tyrant,21
Noxious Gearhulk,21
Goldspan Dragon,21
"Klauth, Unrivaled Ancient",21
Counterspell,21
Toxic Deluge,21
Faithless Looting,21
Casualties of War,21
Rhythm of the Wild,21
Ramunap Excavator,20
Wight of the Reliquary,20
"Teneb, the Harvester",20
Deflecting Swat,20
Blasphemous Act,20
Altar of Dementia,20
Field of the Dead,20
Smothering Tithe,19
Necromantic Selection,19
Teferi's Protection,18
An Offer You Can't Refuse,18
Entomb,18
Essence Anchor,18
Heroic Intervention,17
Awaken the Honored Dead,17
Titans' Nest,17
Dakmor Salvage,17
Buried Alive,16
Mesmeric Orb,16
Tortured Existence,16
"Otawara, Soaring City",16
Cyclonic Rift,15
Breach the Multiverse,15
Glacierwood Siege,15
Bala Ged Recovery,14
The Mycotyrant,13
Crop Rotation,13
Death Begets Life,13
Orb of Dragonkind,13
Sneak Attack,13
Phyrexian Tower,13
Arcane Denial,12
Smuggler's Surprise,12
"Winter, Cynical Opportunist",11
Demonic Tutor,11
Rhystic Study,11
Enlightened Tutor,11
Fierce Guardianship,11
Rise of the Dark Realms,11
Swiftfoot Boots,11
Phyrexian Altar,11
Leyline of the Guildpact,11
Sarkhan Unbroken,11
Mistrise Village,11
Vault of the Archangel,11
Talisman of Hierarchy,11
Talisman of Resilience,11
Frantic Search,10
Chaos Warp,10
Swan Song,10
Fell the Profane,10
Perennation,10
Culling Ritual,10
Damn,10
Dredger's Insight,10
Reliquary Tower,10
Kessig Wolf Run,10
Carnelian Orb of Dragonkind,10
Fellwar Stone,10
Timeless Lotus,10
Deadly Rollick,9
Noxious Revival,9
Revitalizing Repast,9
Auroral Procession,9
Rise of the Witch-king,9
Windfall,9
Unburial Rites,9
Kodama's Reach,9
Sevinne's Reclamation,9
Crucible of Worlds,9
Out of the Tombs,9
Walk-In Closet // Forgotten Cellar,9
Exploration,9
Kishla Village,9
Strip Mine,9
Talisman of Unity,9
The Necrobloom,8
Vampiric Tutor,8
Mana Drain,8
Generous Gift,8
Sink into Stupor,8
Terminate,8
Fist of Suns,8
Palantír of Orthanc,8
Mystic Remora,8
Necromancy,8
"Grist, the Hunger Tide",8
Talisman of Dominance,8
Dark Ritual,7
Malakir Rebirth,7
Abrupt Decay,7
Negate,7
Silence,7
Exsanguinate,7
Chandra's Ignition,7
Incarnation Technique,7
Ruinous Ultimatum,7
Malevolent Rumble,7
Blasphemous Edict,7
Perpetual Timepiece,7
Ashnod's Altar,7
Cursecloth Wrappings,7
Oversold Cemetery,7
Industrial Advancement,7
Dragonback Assault,7
Aggravated Assault,7
Greater Good,7
Deadbridge Chant,7
Breaching Dragonstorm,7
Cemetery Tampering,7
Riveteers Ascendancy,7
Cabal Coffers,7
Arena of Glory,7
Lotus Field,7
Talisman of Impulse,7
Talisman of Curiosity,7
Underworld Breach,6
Ancient Tomb,6
Drag to the Roots,6
Rakshasa's Bargain,6
Thrill of Possibility,6
Entish Restoration,6
Growth Spiral,6
Dovin's Veto,6
Agadeem's Awakening,6
Villainous Wealth,6
Crux of Fate,6
Squirming Emergence,6
Whip of Erebos,6
Elixir of Immortality,6
Sylvan Library,6
Spelunking,6
Frostcliff Siege,6
Sultai Ascendancy,6
The Meathook Massacre,6
Lunar Convocation,6
Mirari's Wake,6
Garruk's Uprising,6
"Sarkhan, Fireblood",6
Dryad Arbor,6
Chromatic Lantern,6
Talisman of Indulgence,6
The One Ring,5
Abzan Charm,5
Dawn's Truce,5
Akroma's Will,5
Farewell,5
Lie in Wait,5
