card name,synergy %
"Henzie ""Toolbox"" Torre",99
Teysa Karlov,99
"Nekusar, the Mindrazer",99
"Korvold, Fae-Cursed King",99
Rivaz of the Claw,99
"Omnath, Locus of All",99
"Ulalek, Fused Atrocity",99
"Ghyrson Starn, Kelermorph",99
"Klauth, Unrivaled Ancient",99
"Bhaal, Lord of Murder",99
Command Tower,98
The Ur-Dragon,98
"Morophon, the Boundless",98
"Liesa, Shroud of Dusk",98
Thalia and The Gitrog Monster,98
Go-Shintai of Life's Origin,98
"Winota, Joiner of Forces",98
"Wilhelt, the Rotcleaver",98
"Teval, the Balanced Scale",98
"Zimone, Mystery Unraveler",98
Nine-Fingers Keene,98
Hakbal of the Surging Soul,98
Zurgo and Ojutai,98
"Eshki, Temur's Roar",98
The Jolly Balloon Man,97
"Muldrotha, the Gravetide",97
Scion of the Ur-Dragon,97
The First Sliver,97
"Glarb, Calamity's Augur",97
Marneus Calgar,97
"Otharri, Suns' Glory",97
Arcane Signet,96
"Kyodai, Soul of Kamigawa",96
"Lathliss, Dragon Queen",96
"Coram, the Undertaker",96
"Firkraag, Cunning Instigator",96
Queen Marchesa,96
Skanos Dragonheart // Acolyte of Bahamut,96
"Azlask, the Swelling Scourge",96
Eshki Dragonclaw,96
"Nashi, Moon's Legacy",96
"Hashaton, Scarab's Fist",95
"Evereth, Viceroy of Plunder",95
Niv-Mizzet Reborn,95
"Giada, Font of Hope",95
"Nicol Bolas, the Ravager",95
"Jegantha, the Wellspring",95
Sol Ring,94
Kaalia of the Vast,94
"Kenrith, the Returned King",94
"Lathril, Blade of the Elves",94
"Pantlaza, Sun-Favored",94
"Gishath, Sun's Avatar",94
The Ever-Changing 'Dane,94
"Totentanz, Swarm Piper",94
"Sarkhan, Soul Aflame",93
"Oloro, Ageless Ascetic",93
"Dromoka, the Eternal",93
"O-Kagachi, Vengeful Kami",93
"Shorikai, Genesis Engine",93
"Be'lakor, the Dark Master",93
The Mycotyrant,93
"Omnath, Locus of Creation",93
Goro-Goro and Satoru,93
Iname as One,93
"Karumonix, the Rat King",93
"Sauron, the Dark Lord",92
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",92
"Shelob, Child of Ungoliant",92
"Ramos, Dragon Engine",92
"Rohgahh, Kher Keep Overlord",92
"Animar, Soul of Elements",92
"Indominus Rex, Alpha",92
Rashmi and Ragavan,92
"Miirym, Sentinel Wyrm",91
"Intet, the Dreamer",91
Ranar the Ever-Watchful,91
Temur Ascendancy,90
"The Master, Transcendent",90
"Teval, Arbiter of Virtue",90
"Sivitri, Dragon Master",90
"Valgavoth, Harrower of Souls",90
Child of Alara,90
"Eris, Roar of the Storm",90
"Tatsunari, Toad Rider",90
"Isshin, Two Heavens as One",89
The Necrobloom,89
"Omnath, Locus of Rage",89
"Flubs, the Fool",89
Gisa and Geralf,89
"Korvold, Gleeful Glutton",89
"Kadena, Slinking Sorcerer",89
"Aragorn, the Uniter",88
Ureni of the Unwritten,88
"Urza, Lord High Artificer",88
"Ziatora, the Incinerator",88
"Ureni, the Song Unending",88
"Éowyn, Shieldmaiden",88
"Shiko and Narset, Unified",88
"Raffine, Scheming Seer",87
"Braids, Arisen Nightmare",87
"Millicent, Restless Revenant",87
"Xira, the Golden Sting",87
Tiamat,86
Lord Windgrace,86
"Rakdos, the Muscle",86
Dragon Tempest,86
Ms. Bumbleflower,86
The Mimeoplasm,86
"Mirko, Obsessive Theorist",86
"Krenko, Mob Boss",86
Captain N'ghathrod,86
Celestial Kirin,86
Gandalf the White,85
"Cadric, Soul Kindler",85
"Jodah, Archmage Eternal",85
"Sin, Spira's Punishment",85
"Silumgar, the Drifting Death",85
Tom Bombadil,85
Hidetsugu and Kairi,85
"Vega, the Watcher",85
"Rin and Seri, Inseparable",85
"Kotis, the Fangkeeper",85
Swords to Plowshares,84
The Wise Mothman,84
Meren of Clan Nel Toth,84
"Esika, God of the Tree",84
"Korlessa, Scale Singer",84
"Taigam, Ojutai Master",84
Teval's Judgment,83
"Renari, Merchant of Marvels // Acolyte of Bahamut",83
"Radha, Heir to Keld",83
"Atraxa, Grand Unifier",83
Drogskol Captain,83
"Cleopatra, Exiled Pharaoh",83
"Marchesa, the Black Rose",83
"Tariel, Reckoner of Souls",83
"Titania, Voice of Gaea",83
"Bane, Lord of Darkness",83
Lord of the Nazgûl,83
"Rukarumel, Biologist",83
"Ognis, the Dragon's Lash",83
"Sauron, Lord of the Rings",82
The Gitrog Monster,82
Crux of Fate,82
"Grimgrin, Corpse-Born",82
"Breya, Etherium Shaper",82
"Tergrid, God of Fright",82
"Tazri, Stalwart Survivor",82
"Vaevictis Asmadi, the Dire",82
"Obeka, Splitter of Seconds",82
"Atarka, World Render",81
"Jodah, the Unifier",81
"Karrthus, Tyrant of Jund",81
"Xyris, the Writhing Storm",81
Colossal Grave-Reaver,81
"Jon Irenicus, Shattered One",81
Farseek,80
"Havi, the All-Father",80
"Sisay, Weatherlight Captain",80
Soul of Windgrace,80
"Mimeoplasm, Revered One",80
"Yuma, Proud Protector",80
Sefris of the Hidden Ways,79
Haven of the Spirit Dragon,79
Dragonspeaker Shaman,79
"Ojutai, Soul of Winter",79
"Hinata, Dawn-Crowned",79
Ezio Auditore da Firenze,78
"Alela, Cunning Conqueror",78
"Varina, Lich Queen",78
Indatha Triome,77
Zagoth Triome,77
Life from the Loam,77
"Tatyova, Benthic Druid",77
Sulfur Falls,76
Reaper King,76
Dragon's Hoard,76
Rootbound Crag,76
"Tasigur, the Golden Fang",76
Shattergang Brothers,76
Talisman of Curiosity,76
Talisman of Creativity,75
Frontier Bivouac,75
Rockfall Vale,75
Hinterland Harbor,75
Araumi of the Dead Tide,75
Riku of Many Paths,75
"Rith, Liberated Primeval",74
"Dihada, Binder of Wills",74
Woodland Cemetery,74
Dragonlord's Servant,74
"Yuriko, the Tiger's Shadow",74
"Sek'Kuar, Deathkeeper",74
The Infamous Cruelclaw,73
Hedron Crab,73
Opulent Palace,73
"Piru, the Volatile",73
"Tivit, Seller of Secrets",73
"Yidris, Maelstrom Wielder",73
Brion Stoutarm,73
Exotic Orchard,72
"Keleth, Sunmane Familiar // Yoshimaru, Ever Faithful",72
Cinder Glade,72
Broodcaller Scourge,72
Dracogenesis,72
Dreamroot Cascade,72
"Kodama of the East Tree // Ravos, Soultender",72
Dragonlord Dromoka,71
"Magda, Brazen Outlaw",71
"Sidisi, Brood Tyrant",71
"Betor, Ancestor's Voice",71
"Kozilek, the Great Distortion",71
Kynaios and Tiro of Meletis,71
Zur the Enchanter,71
"Yarok, the Desecrated",71
"Vrondiss, Rage of Ancients",70
Thundermane Dragon,70
Talisman of Indulgence,70
"Kalamax, the Stormsire",70
Overgrown Tomb,69
Terror of the Peaks,69
Cultivate,69
Kodama's Reach,69
Beast Within,69
Blasphemous Act,69
Chromatic Lantern,69
Path of Ancestry,69
Conduit of Worlds,69
"Ganax, Astral Hunter // Acolyte of Bahamut",69
Talisman of Progress,69
"Kethis, the Hidden Hand",69
Jared Carthalion,69
"Voja, Jaws of the Conclave",69
Talisman of Resilience,69
Godless Shrine,68
Ignoble Hierarch,68
Wonder,68
"Geralf, Visionary Stitcher",68
"Atraxa, Praetors' Voice",67
Talisman of Hierarchy,67
Rhystic Study,67
Jetmir's Garden,67
"Storm, Force of Nature",67
Raugrin Triome,67
Garruk's Uprising,66
Sidar Jabari of Zhalfir,66
Spara's Headquarters,66
Scourge of Valkas,66
Bladewing the Risen,66
Parapet Thrasher,66
Karplusan Forest,66
"Tinybones, Trinket Thief",66
"Jenson Carthalion, Druid Exile",66
Stomping Ground,65
Old Gnawbone,65
Path to Exile,65
Eriette of the Charmed Apple,65
Hallowed Fountain,65
Victimize,65
Sunken Hollow,65
Utvara Hellkite,65
Kishla Skimmer,65
Foreboding Landscape,65
Shivan Reef,65
"Keiga, the Tide Star",65
Zimone and Dina,65
Afterlife from the Loam,65
