card name,synergy %
"Wilhelt, the Rotcleaver",93
"Gishath, Sun's Avatar",89
Sol Ring,87
Kaalia of the Vast,84
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",83
"Kenrith, the Returned King",80
Arcane Signet,80
"Yuriko, the Tiger's Shadow",74
"Lathril, Blade of the Elves",67
"Shorikai, Genesis Engine",64
Swords to Plowshares,64
"Sauron, the Dark Lord",62
"Atraxa, Praetors' Voice",51
The Ur-Dragon,48
"Aragorn, the Uniter",48
Exotic Orchard,48
Path to Exile,47
Cultivate,46
Overgrown Tomb,44
Breeding Pool,43
Counterspell,42
Stomping Ground,42
Watery Grave,42
Hallowed Fountain,42
Godless Shrine,42
Temple Garden,42
Cinder Glade,41
Edgar Markov,40
Steam Vents,40
Blood Crypt,40
Canopy Vista,39
Farseek,38
"Nekusar, the Mindrazer",37
Beast Within,37
Sacred Foundry,37
Sunken Hollow,37
Prairie Stream,36
Smoldering Marsh,35
Jungle Shrine,35
Rampant Growth,34
Talisman of Dominance,34
Sulfur Falls,34
Dragonskull Summit,34
The World Tree,34
Blasphemous Act,33
Nature's Lore,33
Ketria Triome,33
Crumbling Necropolis,33
Assassin's Trophy,32
Jetmir's Garden,32
Clifftop Retreat,32
Woodland Cemetery,32
Hinterland Harbor,32
Reliquary Tower,31
Isolated Chapel,31
Ziatora's Proving Ground,31
Indatha Triome,31
Spara's Headquarters,31
Caves of Koilos,31
Zagoth Triome,31
Rejuvenating Springs,31
Heroic Intervention,30
Chaos Warp,30
Kodama's Reach,30
Bojuka Bog,30
Talisman of Creativity,30
Rakdos Signet,30
Nomad Outpost,30
Frontier Bivouac,30
Arcane Sanctum,30
Birds of Paradise,29
Dimir Signet,29
Glacial Fortress,29
Opulent Palace,29
Shivan Reef,29
Mystic Monastery,29
Yavimaya Coast,29
"Isshin, Two Heavens as One",28
Talisman of Indulgence,28
Izzet Signet,28
Training Center,28
Drowned Catacomb,28
Seaside Citadel,28
Llanowar Wastes,28
Sandsteppe Citadel,28
Battlefield Forge,28
Luxury Suite,28
Sea of Clouds,28
Rhystic Study,27
Cyclonic Rift,27
Ignoble Hierarch,27
Swiftfoot Boots,27
Orzhov Signet,27
Morphic Pool,27
Talisman of Hierarchy,26
Azorius Signet,26
Boros Charm,25
Anguished Unmaking,25
Three Visits,25
Lightning Greaves,25
Rhythm of the Wild,25
Talisman of Progress,25
Talisman of Conviction,25
Smothering Tithe,24
Generous Gift,24
Fellwar Stone,24
"Pantlaza, Sun-Favored",23
Boros Signet,23
Growth Spiral,22
An Offer You Can't Refuse,22
Demonic Tutor,21
Negate,21
Terminate,21
Esper Sentinel,20
Dark Ritual,20
Arcane Denial,20
Rogue's Passage,20
Fierce Guardianship,19
Eternal Witness,19
Llanowar Elves,19
Teferi's Protection,19
Brainstorm,19
Dovin's Veto,19
Ruinous Ultimatum,19
"Boseiju, Who Endures",19
Sakura-Tribe Elder,18
Vampiric Tutor,17
Enlightened Tutor,17
Noble Hierarch,17
Swan Song,17
Toxic Deluge,17
Damn,17
Mystic Remora,17
"Otawara, Soaring City",17
Kessig Wolf Run,17
Deflecting Swat,16
Putrefy,16
Despark,16
Reanimate,16
Jeska's Will,16
Commander's Sphere,16
Leyline of the Guildpact,16
Temur Ascendancy,16
