card name,synergy %
"Teval, the Balanced Scale",98
"Zimone, Mystery Unraveler",98
"Glarb, Calamity's Augur",97
The Mycotyrant,93
"Omnath, Locus of Rage",89
Lord Windgrace,86
Thalia and The Gitrog Monster,83
Command Tower,78
"Omnath, Locus of Creation",77
Sol Ring,74
Swords to Plowshares,61
"Flubs, the Fool",55
"Baba Lysaga, Night Witch",55
Ramunap Excavator,53
Overgrown Tomb,53
Ziatora's Proving Ground,53
Arcane Signet,52
"Tatyova, Benthic Druid",51
Indatha Triome,51
Path to Exile,50
Felidar Retreat,49
Stomping Ground,49
Temple Garden,49
"Azusa, Lost but Seeking",48
Cultivate,48
Breeding Pool,48
Godless Shrine,48
Ketria Triome,48
Nine-Fingers Keene,47
Beast Within,47
Assassin's Trophy,47
Scute Swarm,46
Zagoth Triome,46
The World Tree,44
Blood Crypt,43
Opulent Palace,43
Lotus Cobra,42
Counterspell,42
Jetmir's Garden,42
Watery Grave,42
Crop Rotation,41
Tireless Provisioner,41
Spara's Headquarters,41
Avenger of Zendikar,40
Exploration,40
Growth Spiral,40
Bojuka Bog,40
Steam Vents,40
Eternal Witness,39
Nature's Lore,39
Evolving Wilds,39
Simic Growth Chamber,39
"Muldrotha, the Gravetide",38
Woodland Cemetery,38
The Gitrog Monster,37
Crucible of Worlds,37
"Mina and Denn, Wildborn",37
Ancient Greenwarden,37
Hallowed Fountain,37
Ignoble Hierarch,36
Harrow,36
Farseek,36
"Yavimaya, Cradle of Growth",36
Hinterland Harbor,36
Teval's Judgment,35
Colossal Grave-Reaver,35
"Kotis, Sibsig Champion",35
Oracle of Mul Daya,35
Dryad of the Ilysian Grove,35
Cinder Glade,35
Terramorphic Expanse,35
Rampant Growth,34
Blasphemous Act,34
Kodama's Reach,34
Eerie Ultimatum,34
Gruul Turf,34
Abraded Bluffs,34
Undergrowth Stadium,34
"Aesi, Tyrant of Gyre Strait",33
Rampaging Baloths,33
Fabled Passage,33
Golgari Rot Farm,33
