card name,synergy %
"Ghyrson Starn, Kelermorph",99
Hakbal of the Surging Soul,98
"Sauron, the Dark Lord",92
"Wilhelt, the Rotcleaver",90
Sol Ring,90
"Urza, Lord High Artificer",88
Arcane Signet,83
Command Tower,83
"Alela, Cunning Conqueror",78
Swords to Plowshares,75
"Yuriko, the Tiger's Shadow",73
"Miirym, Sentinel Wyrm",72
"Atraxa, Praetors' Voice",63
"Nekusar, the Mindrazer",61
Path to Exile,57
Cultivate,56
Reliquary Tower,50
"Shorikai, Genesis Engine",46
Farseek,46
Beast Within,46
"Arcades, the Strategist",45
Sunken Hollow,45
Sulfur Falls,44
Prairie Stream,43
Hallowed Fountain,43
Crumbling Necropolis,43
Exotic Orchard,43
Rampant Growth,42
Watery Grave,42
"Oloro, Ageless Ascetic",41
Blasphemous Act,41
Steam Vents,41
Breeding Pool,41
Kodama's Reach,40
Dimir Signet,40
Hinterland Harbor,40
Chaos Warp,39
Talisman of Dominance,39
Izzet Signet,39
Godless Shrine,39
Arcane Sanctum,39
Negate,38
Overgrown Tomb,38
Glacial Fortress,38
Temple Garden,38
Nature's Lore,37
Talisman of Creativity,37
Drowned Catacomb,37
Stomping Ground,37
Ketria Triome,37
Frontier Bivouac,36
Azorius Signet,35
Spara's Headquarters,35
Blood Crypt,35
Shivan Reef,35
Opulent Palace,35
Xander's Lounge,35
Zagoth Triome,35
The World Tree,35
Heroic Intervention,34
Seaside Citadel,34
Mystic Monastery,34
Raffine's Tower,34
Rejuvenating Springs,34
Satoru Umezawa,33
Training Center,33
Yavimaya Coast,33
Dovin's Veto,32
Sacred Foundry,32
Swiftfoot Boots,31
Bojuka Bog,31
Thought Vessel,31
Sea of Clouds,31
Raugrin Triome,31
"Aesi, Tyrant of Gyre Strait",30
Arcane Denial,30
Growth Spiral,30
Birds of Paradise,30
Cyclonic Rift,30
Talisman of Progress,30
Morphic Pool,30
Smothering Tithe,29
Assassin's Trophy,29
Lightning Greaves,29
Dragonskull Summit,29
Indatha Triome,29
Rhystic Study,28
Brainstorm,28
Generous Gift,28
Three Visits,28
An Offer You Can't Refuse,27
Fellwar Stone,27
Rakdos Signet,27
Cinder Glade,27
Canopy Vista,27
Smoldering Marsh,27
Simic Growth Chamber,27
Shipwreck Marsh,26
Dreamroot Cascade,26
Terminate,25
Talisman of Indulgence,25
Jetmir's Garden,25
Stormcarved Coast,25
Underground River,24
Temple of Epiphany,24
Void Rend,23
Dark Ritual,23
Feed the Swarm,23
Orzhov Signet,23
Adarkar Wastes,23
Demonic Tutor,22
Teferi's Protection,22
Leyline of the Guildpact,22
Talisman of Hierarchy,22
Eternal Witness,21
Supreme Verdict,21
Anguished Unmaking,20
Toxic Deluge,20
Talisman of Conviction,20
Esper Sentinel,19
Vandalblast,19
Mind Stone,19
Ghostly Prison,19
Temur Ascendancy,19
Rogue's Passage,19
Simic Signet,19
"Niv-Mizzet, Parun",18
Enlightened Tutor,18
Mana Drain,18
Faithless Looting,18
Ponder,18
Farewell,18
Rhythm of the Wild,18
Fierce Guardianship,17
Jeska's Will,17
Storm-Kiln Artist,17
Baleful Strix,17
"Tatyova, Benthic Druid",17
Swan Song,17
Pongify,17
Frantic Search,17
Commander's Sphere,17
Propaganda,17
Mystic Remora,17
Mystic Sanctuary,17
Boros Signet,17
Timeless Lotus,17
Vampiric Tutor,16
Sakura-Tribe Elder,16
Llanowar Elves,16
Boros Charm,16
Reanimate,16
Whirlwind of Thought,16
The Ur-Dragon,15
Mystical Tutor,15
Faeburrow Elder,15
Noble Hierarch,15
"Morophon, the Boundless",15
Bedevil,15
Damn,15
Windfall,15
Preordain,15
"Boseiju, Who Endures",15
Solemn Simulacrum,14
Goblin Electromancer,14
Deflecting Swat,14
Lightning Bolt,14
Opt,14
Garruk's Uprising,14
"Otawara, Soaring City",14
Talisman of Curiosity,14
Elvish Mystic,13
Rapid Hybridization,13
Worldly Tutor,13
Despark,13
Reality Shift,13
Explore,13
Phyrexian Arena,13
Chromatic Lantern,13
Lord of the Nazgûl,12
Call the Spirit Dragons,12
Scute Swarm,12
Avenger of Zendikar,12
Guttersnipe,12
Putrefy,12
Austere Command,12
Eerie Ultimatum,12
Relic of Sauron,12
Tireless Provisioner,11
"Atarka, World Render",11
Seedborn Muse,11
"Azusa, Lost but Seeking",11
Deadly Rollick,11
Ruinous Ultimatum,11
Villainous Wealth,11
Annie Joins Up,11
Mirari's Wake,11
Exploration,11
Hardened Scales,11
