card name,synergy %
Sol Ring,90
Command Tower,87
"Lathliss, Dragon Queen",84
"Atarka, World Render",80
"Morophon, the Boundless",79
Crux of Fate,79
Dragonspeaker Shaman,79
Haven of the Spirit Dragon,79
Arcane Signet,78
Dragon's Hoard,76
Dragon Tempest,75
Dragonlord's Servant,74
Cultivate,68
Path of Ancestry,68
Scourge of Valkas,66
Bladewing the Risen,62
Savage Ventmaw,62
Garruk's Uprising,62
"Firkraag, Cunning Instigator",60
"Klauth, Unrivaled Ancient",58
Temur Ascendancy,58
"Miirym, Sentinel Wyrm",57
Rivaz of the Claw,57
Tiamat,55
Dragonlord Dromoka,55
"Silumgar, the Drifting Death",54
Thrakkus the Butcher,54
Farseek,54
"Rith, Liberated Primeval",53
Utvara Hellkite,52
"Korlessa, Scale Singer",51
"Ganax, Astral Hunter",51
Kodama's Reach,50
"Ganax, Astral Hunter // Acolyte of Bahamut",49
Exotic Orchard,49
Carnelian Orb of Dragonkind,48
Old Gnawbone,47
Terror of the Peaks,46
Rampant Growth,46
Herald's Horn,46
"Sarkhan, Soul Aflame",45
"Renari, Merchant of Marvels // Acolyte of Bahamut",45
"Ramos, Dragon Engine",45
Frontier Bivouac,45
Swords to Plowshares,44
Scion of the Ur-Dragon,43
Goldspan Dragon,43
Orb of Dragonkind,43
Crucible of Fire,42
Temple of the Dragon Queen,42
Call the Spirit Dragons,41
Wrathful Red Dragon,40
Rhythm of the Wild,40
Earthquake Dragon,39
Ancient Silver Dragon,39
"Lozhan, Dragons' Legacy",39
Cinder Glade,39
Scalelord Reckoner,38
"Drakuseth, Maw of Flames",37
Counterspell,37
Sarkhan's Triumph,37
Nature's Lore,37
"Karrthus, Tyrant of Jund",36
Scaled Nurturer,36
"Teneb, the Harvester",36
Jade Orb of Dragonkind,36
The World Tree,36
Jungle Shrine,36
Ketria Triome,36
Dragonmaster Outcast,35
Ancient Copper Dragon,35
Two-Headed Hellkite,34
"Ojutai, Soul of Winter",34
Thunderbreak Regent,34
"Kolaghan, the Storm's Fury",34
Heroic Intervention,34
Savage Lands,34
Unclaimed Territory,34
"Dromoka, the Eternal",33
Urza's Incubator,33
Kindred Discovery,33
Ancient Gold Dragon,32
Beast Within,32
Stomping Ground,32
Maelstrom of the Spirit Dragon,31
Dracogenesis,31
Sarkhan Unbroken,31
Chromatic Lantern,31
Ziatora's Proving Ground,31
Crumbling Necropolis,31
Ancient Brass Dragon,30
Balefire Dragon,30
Hellkite Charger,30
Lightning Greaves,30
Reliquary Tower,30
Mystic Monastery,30
Twinflame Tyrant,29
Steel Hellkite,29
Dragonborn Champion,29
Commander's Sphere,29
Secluded Courtyard,29
Steam Vents,29
Jetmir's Garden,29
Fist of Suns,28
Lapis Orb of Dragonkind,28
Blood Crypt,28
Opulent Palace,28
Nomad Outpost,28
"Iymrith, Desert Doom",27
Overgrown Tomb,27
Evolving Wilds,27
Breeding Pool,27
Ureni of the Unwritten,26
Sunscorch Regent,26
Path to Exile,26
Return of the Wildspeaker,26
Blasphemous Act,26
Three Visits,26
Temple Garden,26
Zagoth Triome,26
Hellkite Tyrant,25
Astral Dragon,25
Decadent Dragon,25
"Renari, Merchant of Marvels",25
Chaos Warp,25
Swiftfoot Boots,25
Mosswort Bridge,25
Sandsteppe Citadel,25
Indatha Triome,25
Savai Triome,25
Cavern of Souls,25
Smothering Tithe,24
Minion of the Mighty,24
Spit Flame,24
Frontier Siege,24
Sacred Foundry,24
Raugrin Triome,24
Klauth's Will,23
Elemental Bond,23
Roaming Throne,22
Scourge of the Throne,22
Warstorm Surge,22
Cyclonic Rift,21
