card name,synergy %
"Morophon, the Boundless",98
Goro-Goro and Satoru,93
Sol Ring,89
"Rohgahh, Kher Keep Overlord",88
Command Tower,88
"Ramos, Dragon Engine",84
Kaalia of the Vast,82
"Miirym, Sentinel Wyrm",81
Arcane Signet,79
"Nicol Bolas, the Ravager",78
Rivaz of the Claw,68
Dragon Tempest,66
"Atarka, World Render",66
Farseek,63
Dragonlord Dromoka,60
Temur Ascendancy,60
"Wasitora, Nekoru Queen",59
Tiamat,58
"Ziatora, the Incinerator",55
"Lathliss, Dragon Queen",53
Old Gnawbone,52
"Skithiryx, the Blight Dragon",51
Dragonspeaker Shaman,51
Cultivate,51
Exotic Orchard,51
"Rith, Liberated Primeval",50
Swords to Plowshares,48
Stomping Ground,48
Terror of the Peaks,46
Utvara Hellkite,46
Dragonlord's Servant,46
Dragon's Hoard,46
Haven of the Spirit Dragon,46
"Korvold, Fae-Cursed King",44
Scourge of Valkas,44
Nature's Lore,44
Rhythm of the Wild,44
Path of Ancestry,44
Goldspan Dragon,43
Garruk's Uprising,43
Ketria Triome,43
Bladewing the Risen,42
Overgrown Tomb,42
Blood Crypt,42
"Sarkhan, Soul Aflame",41
Steam Vents,41
Call the Spirit Dragons,40
Kodama's Reach,39
Chromatic Lantern,39
Breeding Pool,39
Temple Garden,39
"Silumgar, the Drifting Death",38
Heroic Intervention,38
The World Tree,38
Ziatora's Proving Ground,38
Savage Ventmaw,37
Two-Headed Hellkite,37
"Klauth, Unrivaled Ancient",37
Three Visits,37
Scion of the Ur-Dragon,36
Ancient Copper Dragon,36
Ancient Silver Dragon,36
Sacred Foundry,36
Ancient Gold Dragon,35
Lightning Greaves,35
The Ur-Dragon,34
Dracogenesis,34
Watery Grave,34
"Sivitri, Dragon Master",33
Smothering Tithe,33
Scalelord Reckoner,33
Birds of Paradise,33
Counterspell,33
Herald's Horn,33
Jetmir's Garden,33
Ureni of the Unwritten,32
Teferi's Protection,31
Rampant Growth,31
Cyclonic Rift,30
Balefire Dragon,30
Zagoth Triome,30
Hallowed Fountain,30
Maelstrom of the Spirit Dragon,29
Hellkite Courser,29
Thrakkus the Butcher,29
Twinflame Tyrant,29
Urza's Incubator,29
Savai Triome,29
Indatha Triome,29
"Korlessa, Scale Singer",28
"Ganax, Astral Hunter",28
Fellwar Stone,28
Godless Shrine,28
Cavern of Souls,28
Path to Exile,27
Sarkhan Unbroken,27
Bloodstained Mire,27
Crumbling Necropolis,27
"Teneb, the Harvester",26
Orb of Dragonkind,26
Raugrin Triome,26
Savage Lands,26
"Karrthus, Tyrant of Jund",25
Rhystic Study,25
Reliquary Tower,25
Xander's Lounge,25
Ancient Brass Dragon,24
Assassin's Trophy,24
Blasphemous Act,24
Dragonskull Summit,24
Verdant Catacombs,24
Wooded Foothills,24
Hellkite Tyrant,23
"Kolaghan, the Storm's Fury",23
Fist of Suns,23
Kindred Discovery,23
Carnelian Orb of Dragonkind,23
Frontier Bivouac,23
Smoldering Marsh,23
Evolving Wilds,23
Wrathful Red Dragon,22
Skyshroud Claim,22
Commander's Sphere,22
Swiftfoot Boots,22
Crucible of Fire,22
Jungle Shrine,22
Unclaimed Territory,22
Scalding Tarn,22
Demonic Tutor,21
Decadent Dragon,21
Zurgo and Ojutai,21
"Ojutai, Soul of Winter",21
Chaos Warp,21
Beast Within,21
Sarkhan's Triumph,21
Crucible of the Spirit Dragon,21
Arid Mesa,21
Spara's Headquarters,21
Scion of Draco,20
Hellkite Charger,20
Bloom Tender,20
"Dromoka, the Eternal",20
Mirari's Wake,20
Bojuka Bog,20
Polluted Delta,20
Misty Rainforest,20
Roaming Throne,19
The Great Henge,19
Luxury Suite,19
Secluded Courtyard,19
Opulent Palace,19
Cinder Glade,19
Temple of the Dragon Queen,19
Windswept Heath,19
Mox Jasper,18
Scourge of the Throne,18
Ignoble Hierarch,18
Terminate,18
Nomad Outpost,18
Marsh Flats,18
Mystic Monastery,18
Sunken Hollow,18
Dragonlord Silumgar,17
"Drakuseth, Maw of Flames",17
Earthquake Dragon,17
Dragonlord Ojutai,17
Anguished Unmaking,17
Mana Drain,17
Rakdos Signet,17
Steel Hellkite,16
"Lozhan, Dragons' Legacy",16
Dragonmaster Outcast,16
Negate,16
Eerie Ultimatum,16
Leyline of the Guildpact,16
Scaled Nurturer,15
Faeburrow Elder,15
Cavern-Hoard Dragon,15
Dimir Signet,15
Dragonborn Champion,14
Sunscorch Regent,14
Scavenger Regent,14
Patriarch's Bidding,14
Feed the Swarm,14
Elemental Bond,14
Up the Beanstalk,14
Jade Orb of Dragonkind,14
Vampiric Tutor,13
"Sarkhan, Fireblood",13
Talisman of Dominance,13
Bedevil,12
Dark Ritual,12
Return of the Wildspeaker,12
Reanimate,12
Frontier Siege,12
Talisman of Indulgence,12
Timeless Lotus,12
An Offer You Can't Refuse,11
Worldly Tutor,11
Boros Charm,11
Last March of the Ents,11
