card name,synergy %
Sol Ring,92
"Lathliss, Dragon Queen",91
Kaalia of the Vast,89
Command Tower,88
Arcane Signet,84
"Miirym, Sentinel Wyrm",79
Tiamat,78
"Rith, Liberated Primeval",74
"Atarka, World Render",72
Scion of the Ur-Dragon,70
"Vrondiss, Rage of Ancients",70
Zurgo and Ojutai,69
Temur Ascendancy,68
Crux of Fate,66
Dragonlord Dromoka,63
Garruk's Uprising,63
Dragonspeaker Shaman,61
Dragon's Hoard,61
Farseek,60
Scourge of Valkas,59
Cultivate,59
Haven of the Spirit Dragon,58
"Firkraag, Cunning Instigator",56
Dragonlord's Servant,56
Old Gnawbone,56
Terror of the Peaks,56
Swords to Plowshares,54
Ureni of the Unwritten,53
Savage Ventmaw,53
Path of Ancestry,53
Utvara Hellkite,51
"Morophon, the Boundless",50
"Ganax, Astral Hunter // Acolyte of Bahamut",49
"Sarkhan, Soul Aflame",48
Goldspan Dragon,48
Nature's Lore,48
Exotic Orchard,48
Thrakkus the Butcher,47
Kodama's Reach,47
Rhythm of the Wild,47
Stomping Ground,46
Blood Crypt,46
Rivaz of the Claw,45
Ketria Triome,45
"Ganax, Astral Hunter",44
Steam Vents,43
Bladewing the Risen,42
"Silumgar, the Drifting Death",42
Heroic Intervention,42
Sacred Foundry,42
Overgrown Tomb,42
Call the Spirit Dragons,41
Ancient Copper Dragon,41
Breeding Pool,41
"Klauth, Unrivaled Ancient",40
Ancient Silver Dragon,40
"Korlessa, Scale Singer",40
Temple Garden,40
Lightning Greaves,39
Two-Headed Hellkite,38
Balefire Dragon,38
Three Visits,38
Cinder Glade,38
Ancient Gold Dragon,37
"Ramos, Dragon Engine",37
Beast Within,37
Rampant Growth,37
Smothering Tithe,36
Wrathful Red Dragon,36
Twinflame Tyrant,36
Counterspell,36
Ziatora's Proving Ground,36
The World Tree,36
Frontier Bivouac,36
"Drakuseth, Maw of Flames",35
Path to Exile,35
Herald's Horn,35
Carnelian Orb of Dragonkind,35
Godless Shrine,35
Earthquake Dragon,34
Teferi's Protection,34
Goro-Goro and Satoru,33
Blasphemous Act,33
Savai Triome,33
Jetmir's Garden,33
Ancient Brass Dragon,32
Urza's Incubator,32
Watery Grave,32
Broodcaller Scourge,31
Hellkite Tyrant,31
Chaos Warp,31
Hallowed Fountain,31
Maelstrom of the Spirit Dragon,30
Cyclonic Rift,30
Scaled Nurturer,30
Birds of Paradise,30
Scalelord Reckoner,30
Swiftfoot Boots,30
Kindred Discovery,30
Elemental Bond,30
Cavern of Souls,30
Dracogenesis,29
"Lozhan, Dragons' Legacy",29
Chromatic Lantern,29
Zagoth Triome,29
