card name,synergy %
"Sivitri, Dragon Master",90
Sol Ring,90
"Klauth, Unrivaled Ancient",89
Ureni of the Unwritten,88
Command Tower,86
Arcane Signet,83
Zurgo and Ojutai,77
The Ur-Dragon,75
Scion of the Ur-Dragon,74
Dragon Tempest,74
"Atarka, World Render",73
Crux of Fate,73
Dragonspeaker Shaman,68
Garruk's Uprising,66
Cultivate,64
"Lathliss, Dragon Queen",63
Dragonlord's Servant,63
Temur Ascendancy,63
Haven of the Spirit Dragon,63
Path of Ancestry,61
Scourge of Valkas,60
Dragonlord Dromoka,56
Savage Ventmaw,56
Farseek,56
Tiamat,55
Rivaz of the Claw,54
"Miirym, Sentinel Wyrm",52
Thrakkus the Butcher,51
"Rith, Liberated Primeval",50
"Ganax, Astral Hunter",50
Bladewing the Risen,50
Swords to Plowshares,49
"Morophon, the Boundless",48
Old Gnawbone,48
Utvara Hellkite,48
Kodama's Reach,48
Terror of the Peaks,47
"Korlessa, Scale Singer",47
Goldspan Dragon,46
Exotic Orchard,46
"Sarkhan, Soul Aflame",45
"Firkraag, Cunning Instigator",44
Carnelian Orb of Dragonkind,44
"Silumgar, the Drifting Death",43
Nature's Lore,43
Cinder Glade,43
Rampant Growth,42
Rhythm of the Wild,42
"Drakuseth, Maw of Flames",40
Wrathful Red Dragon,40
Beast Within,40
Frontier Bivouac,40
Ketria Triome,40
The World Tree,39
Call the Spirit Dragons,38
Earthquake Dragon,38
Counterspell,38
Stomping Ground,38
Two-Headed Hellkite,37
Ancient Silver Dragon,37
Heroic Intervention,37
Herald's Horn,37
"Ramos, Dragon Engine",36
Overgrown Tomb,36
Scaled Nurturer,35
"Lozhan, Dragons' Legacy",35
Steam Vents,35
Blood Crypt,35
Ancient Copper Dragon,34
Ancient Gold Dragon,34
Blasphemous Act,34
Ziatora's Proving Ground,34
Temple Garden,34
Breeding Pool,34
Scalelord Reckoner,33
Chaos Warp,33
Orb of Dragonkind,33
Thunderbreak Regent,32
Three Visits,32
Crucible of Fire,32
Jade Orb of Dragonkind,32
Sacred Foundry,32
"Vrondiss, Rage of Ancients",31
Jetmir's Garden,31
Broodcaller Scourge,30
Dragonmaster Outcast,30
Twinflame Tyrant,30
Balefire Dragon,30
Ancient Brass Dragon,30
Path to Exile,30
Urza's Incubator,30
Lightning Greaves,30
Kindred Discovery,30
Temple of the Dragon Queen,30
Maelstrom of the Spirit Dragon,28
Steel Hellkite,28
Dragonborn Champion,28
Astral Dragon,28
Swiftfoot Boots,28
Elemental Bond,28
Crucible of the Spirit Dragon,28
Deceptive Frostkite,27
Smothering Tithe,27
"Kolaghan, the Storm's Fury",27
"Teneb, the Harvester",27
Sarkhan's Triumph,27
Encroaching Dragonstorm,27
Dracogenesis,27
Zagoth Triome,27
Watery Grave,27
Indatha Triome,27
Savai Triome,27
Hellkite Tyrant,26
"Iymrith, Desert Doom",26
Parapet Thrasher,26
Thundermane Dragon,26
Sarkhan Unbroken,26
Reliquary Tower,26
Chromatic Lantern,26
Hallowed Fountain,26
Jungle Shrine,26
Raugrin Triome,26
Unclaimed Territory,26
Decadent Dragon,25
Hammerhead Tyrant,25
Return of the Wildspeaker,25
Fellwar Stone,25
Savage Lands,25
Sulfur Falls,25
Rockfall Vale,25
Scourge of the Throne,24
Roaming Throne,24
Teferi's Protection,24
Crumbling Necropolis,24
Evolving Wilds,24
Cavern of Souls,24
Cyclonic Rift,23
