card name,synergy %
Rivaz of the Claw,94
Gisa and Geralf,89
Sol Ring,84
"Grimgrin, Corpse-Born",82
Arcane Signet,73
Command Tower,71
"Miirym, Sentinel Wyrm",64
"Varina, Lich Queen",62
"Sivitri, Dragon Master",59
The Scarab God,56
Kaalia of the Vast,55
The Ur-Dragon,51
"Liliana, Heretical Healer",50
Sunken Hollow,49
Cultivate,47
"Ziatora, the Incinerator",45
"Nymris, Oona's Trickster",45
Farseek,40
Counterspell,40
Ziatora's Proving Ground,40
Tiamat,38
"The Gitrog, Ravenous Ride",38
Dragon Tempest,38
Old Gnawbone,38
Swords to Plowshares,38
Smoldering Marsh,38
"Lathliss, Dragon Queen",37
Dimir Signet,37
Dragonskull Summit,37
Watery Grave,37
Dragonspeaker Shaman,36
"Atarka, World Render",36
Talisman of Dominance,36
Drowned Catacomb,36
Bojuka Bog,35
Overgrown Tomb,35
Dragonlord's Servant,34
Bladewing the Risen,34
"Korlessa, Scale Singer",34
Dragonlord Dromoka,34
Blood Crypt,34
Call the Spirit Dragons,33
"Rith, Liberated Primeval",33
Rampant Growth,33
Acererak the Archlich,32
Kodama's Reach,32
Rooftop Storm,32
Goldspan Dragon,32
Diregraf Captain,32
Shipwreck Marsh,32
Choked Estuary,32
Savage Lands,32
Stomping Ground,32
"Iymrith, Desert Doom",31
Garruk's Uprising,31
Terror of the Peaks,30
"Ganax, Astral Hunter",30
Dimir Aqueduct,30
Temple of Deceit,30
Cinder Glade,29
Godless Shrine,29
Path of Ancestry,29
Thrakkus the Butcher,28
"Atsushi, the Blazing Sky",28
Feed the Swarm,28
Nature's Lore,28
Tainted Isle,28
Woodland Cemetery,28
Zagoth Triome,28
Scourge of Valkas,27
Chaos Warp,27
Dark Ritual,27
Beast Within,27
Blasphemous Act,27
Orb of Dragonkind,27
Rakdos Signet,27
Carnelian Orb of Dragonkind,27
Morphic Pool,27
Exotic Orchard,27
Ketria Triome,27
Gravecrawler,26
Death Baron,26
Terminate,26
Temur Ascendancy,26
Luxury Suite,26
Darkwater Catacombs,26
The World Tree,26
"Morophon, the Boundless",25
Ignoble Hierarch,25
"Icingdeath, Frost Tyrant",25
Gray Merchant of Asphodel,25
Path to Exile,25
Assassin's Trophy,25
Crux of Fate,25
Victimize,25
Rhythm of the Wild,25
Reliquary Tower,25
Arcane Sanctum,25
Raffine's Tower,25
Wrathful Red Dragon,24
Ancient Copper Dragon,24
Utvara Hellkite,24
"Sarkhan, Soul Aflame",24
Ancient Silver Dragon,24
"Ramos, Dragon Engine",24
"Lozhan, Dragons' Legacy",24
Decadent Dragon,24
Dragon's Hoard,24
Indatha Triome,24
Savai Triome,24
Undergrowth Stadium,24
Diregraf Colossus,23
Reanimate,23
Necroduality,23
Riveteers Ascendancy,23
Breeding Pool,23
Myriad Landscape,23
Steam Vents,23
Haunted Ridge,23
Jetmir's Garden,23
Two-Headed Hellkite,22
Ancient Gold Dragon,22
Sakura-Tribe Elder,22
Adult Gold Dragon,22
Three Visits,22
Kindred Discovery,22
"Urborg, Tomb of Yawgmoth",22
Hallowed Fountain,22
Xander's Lounge,22
Temple Garden,22
Dragonlord Silumgar,21
Earthquake Dragon,21
Lord of the Accursed,21
Minion of the Mighty,21
"Junji, the Midnight Sky",21
Scion of the Ur-Dragon,21
Lightning Greaves,21
Raugrin Triome,21
Underground River,21
Opulent Palace,21
Foreboding Ruins,21
Sacred Foundry,21
Isolated Chapel,21
Crumbling Necropolis,21
"Silumgar, the Drifting Death",20
Dragonmaster Outcast,20
Birds of Paradise,20
Cemetery Reaper,20
"Klauth, Unrivaled Ancient",20
Ancient Brass Dragon,20
Heroic Intervention,20
Negate,20
Bedevil,20
Talisman of Indulgence,20
Llanowar Wastes,20
Evolving Wilds,20
Rockfall Vale,20
Champion of the Perished,19
Undead Augur,19
Hordewing Skaab,19
"Drakuseth, Maw of Flames",19
"Kyodai, Soul of Kamigawa",19
"Kolaghan, the Storm's Fury",19
Savage Ventmaw,19
Swiftfoot Boots,19
Commander's Sphere,19
Crucible of Fire,19
Endless Ranks of the Dead,19
Cabal Coffers,19
Dracogenesis,18
Cyclonic Rift,18
Dragonborn Champion,18
Undead Warchief,18
"Renari, Merchant of Marvels",18
Boneyard Scourge,18
Phyrexian Arena,18
Sarkhan Unbroken,18
Fellwar Stone,18
Orzhov Signet,18
Anguished Unmaking,17
Faithless Looting,17
Herald's Horn,17
Mind Stone,17
Lapis Orb of Dragonkind,17
Jade Orb of Dragonkind,17
Rhystic Study,16
Smothering Tithe,16
Toxic Deluge,16
Reflections of Littjara,16
Ureni of the Unwritten,15
Demonic Tutor,15
Zombie Apocalypse,15
Ashnod's Altar,15
Talisman of Hierarchy,15
Thought Vessel,15
Colossal Grave-Reaver,14
Despark,14
Withering Torment,14
Deadly Dispute,14
Village Rites,14
Return of the Wildspeaker,14
Brainstorm,14
Arcane Denial,14
Army of the Damned,14
Jet Medallion,14
Wayfarer's Bauble,14
"Takenuma, Abandoned Mire",14
"Rohgahh, Kher Keep Overlord",13
Sarkhan's Triumph,13
Infernal Grasp,13
Malakir Rebirth,13
Dragon's Fire,13
Void Rend,13
Vandalblast,13
Empty the Laboratory,13
Damnation,13
Fist of Suns,13
Skullclamp,13
Leyline of the Guildpact,13
"Liliana, Dreadhorde General",13
"Liliana, Death's Majesty",13
Scavenger Regent,12
Thrill of Possibility,12
Rakdos Charm,12
Putrefy,12
Teferi's Protection,12
An Offer You Can't Refuse,12
Big Score,12
Generous Gift,12
Go for the Throat,12
Spit Flame,12
Ruinous Ultimatum,12
Damn,12
Urza's Incubator,12
Bontu's Monument,12
Phyrexian Altar,12
Mirari's Wake,12
Warstorm Surge,12
On Wings of Gold,12
Propaganda,12
"Sarkhan, Fireblood",12
Mortuary Mire,12
Rogue's Passage,12
"Boseiju, Who Endures",12
Phyrexian Tower,12
Draconic Lore,11
Mana Drain,11
Unexpected Windfall,11
Growth Spiral,11
Sign in Blood,11
Eerie Ultimatum,11
Rishkar's Expertise,11
Dread Return,11
Distant Melody,11
Crowded Crypt,11
The Skullspore Nexus,11
Monster Manual,11
The Great Henge,11
Wand of Orcus,11
Animate Dead,11
Grave Pact,11
Sneak Attack,11
Cave of the Frost Dragon,11
"Otawara, Soaring City",11
Timeless Lotus,11
Patchwork Banner,11
Charcoal Diamond,11
Silumgar's Scorn,10
Fell the Profane,10
Entomb,10
Bala Ged Recovery,10
Living Death,10
Patriarch's Bidding,10
Buried Alive,10
Greater Good,10
Black Market Connections,10
Encroaching Dragonstorm,10
Liliana's Mastery,10
Unnatural Growth,10
Elemental Bond,10
Kessig Wolf Run,10
Crucible of the Spirit Dragon,10
Golgari Signet,10
Chromatic Lantern,10
Vampiric Tutor,9
Fierce Guardianship,9
Jeska's Will,9
Deadly Rollick,9
Klauth's Will,9
Mortify,9
Soul Manipulation,9
Blasphemous Edict,9
Skyshroud Claim,9
Night's Whisper,9
There and Back Again,9
Dreadhorde Invasion,9
Monastery Siege,9
Roiling Dragonstorm,9
The Kami War,9
Three Tree City,9
Castle Locthwain,9
Unholy Grotto,9
Mosswort Bridge,9
Witch's Cottage,9
Temple of the False God,9
