card name,synergy %
The Ur-Dragon,96
Command Tower,91
"Ureni, the Song Unending",88
"Teval, the Balanced Scale",86
Sol Ring,84
"Radha, Heir to Keld",83
"Ramos, Dragon Engine",79
Scion of the Ur-Dragon,77
Temur Ascendancy,74
Arcane Signet,74
Dragon Tempest,73
"Betor, Ancestor's Voice",71
"Lathliss, Dragon Queen",70
"Atarka, World Render",68
"Sarkhan, Soul Aflame",65
Frontier Bivouac,65
Haven of the Spirit Dragon,63
Farseek,62
Path of Ancestry,60
Call the Spirit Dragons,58
Cinder Glade,58
Exotic Orchard,58
Dragonlord's Servant,55
Kodama's Reach,55
Dragon's Hoard,55
Sulfur Falls,54
"Ruby, Daring Tracker",53
Hinterland Harbor,53
Rootbound Crag,53
Rockfall Vale,52
"Miirym, Sentinel Wyrm",51
"Betor, Kin to All",50
Broodcaller Scourge,49
Garruk's Uprising,49
"Teval, Arbiter of Virtue",48
Deceptive Frostkite,48
Blasphemous Act,48
Thundermane Dragon,47
Parapet Thrasher,47
Crux of Fate,47
Beast Within,47
Scourge of the Throne,47
Hammerhead Tyrant,46
Hellkite Courser,46
Shivan Reef,46
Yavimaya Coast,46
Karplusan Forest,45
Rivaz of the Claw,44
Will of the Temur,44
Chaos Warp,43
Dragonlord Dromoka,43
Breaching Dragonstorm,43
Bountiful Landscape,43
Temple of the Dragon Queen,43
Terror of the Peaks,42
Mosswort Bridge,42
Cultivate,41
Elemental Bond,41
Whirlwing Stormbrood,40
Evolving Wilds,40
"Nogi, Draco-Zealot",39
Dragonspeaker Shaman,39
Frontier Siege,39
Tiamat,38
Thunderbreak Regent,38
"Ganax, Astral Hunter",38
Maelstrom of the Spirit Dragon,38
Flooded Grove,38
Dragonlord Atarka,37
Scourge of Valkas,36
Bloomvine Regent,35
"Morophon, the Boundless",35
Rapid Hybridization,35
Mossfire Valley,35
"Rith, Liberated Primeval",34
"Atsushi, the Blazing Sky",34
Temur Battlecrier,34
Dracogenesis,34
Kessig Wolf Run,34
Sandsteppe Citadel,34
Utvara Hellkite,33
Reality Shift,33
Nature's Lore,33
Rampant Growth,33
Reflections of Littjara,33
Temple of Abandon,33
Goldspan Dragon,32
Savage Ventmaw,32
Swords to Plowshares,32
Opulent Palace,32
Ketria Triome,32
Rhythm of the Wild,31
Carnelian Orb of Dragonkind,31
Temple of Mystery,31
Sheltered Thicket,31
Scavenger Regent,30
Bladewing the Risen,30
Become the Avalanche,30
Selvala's Stampede,30
Fellwar Stone,30
Ureni of the Unwritten,29
"Ganax, Astral Hunter // Acolyte of Bahamut",29
Old Gnawbone,29
Thrakkus the Butcher,29
Migration Path,29
Mystic Monastery,29
Stomping Ground,29
"Eshki, Temur's Roar",28
Eshki Dragonclaw,28
Twinflame Tyrant,28
Steel Hellkite,28
Talisman of Creativity,28
"Keiga, the Tide Star",27
Dragonmaster Outcast,27
Wrathful Red Dragon,27
Spit Flame,27
Talisman of Impulse,27
Dragonstorm Globe,26
Breeding Pool,26
The World Tree,26
"Drakuseth, Maw of Flames",25
"Korlessa, Scale Singer",25
Balefire Dragon,25
Frostcliff Siege,25
Nomad Outpost,25
Steam Vents,25
Ancient Gold Dragon,24
Ancient Copper Dragon,24
Heroic Intervention,24
Three Visits,24
Ancient Silver Dragon,23
Leyline Tyrant,23
Earthquake Dragon,23
"Silumgar, the Drifting Death",23
Two-Headed Hellkite,23
Path to Exile,23
Roiling Dragonstorm,23
Ziatora's Proving Ground,23
Overgrown Tomb,23
Jetmir's Garden,23
Marang River Regent,22
"Klauth, Unrivaled Ancient",22
Disruptive Stormbrood,22
Counterspell,22
Urza's Incubator,22
Corroding Dragonstorm,22
Mox Jasper,22
Rapacious Dragon,21
Vengeful Ancestor,21
Dragonback Assault,21
Mistrise Village,21
Zagoth Triome,21
Ancient Brass Dragon,20
