card name,synergy %
Go-Shintai of Life's Origin,98
Command Tower,98
"Pantlaza, Sun-Favored",94
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",92
Sol Ring,89
The Ur-Dragon,88
Tom Bombadil,85
Arcane Signet,84
"Jodah, the Unifier",71
"Aragorn, the Uniter",70
Swords to Plowshares,66
The Wise Mothman,65
"Sauron, the Dark Lord",51
"Henzie ""Toolbox"" Torre",47
Path to Exile,47
Cultivate,47
Farseek,46
Cinder Glade,42
Canopy Vista,41
Counterspell,39
Watery Grave,39
Breeding Pool,39
Hallowed Fountain,39
Overgrown Tomb,39
Stomping Ground,38
Sunken Hollow,38
Godless Shrine,38
Prairie Stream,38
Temple Garden,38
Jungle Shrine,37
The World Tree,37
Rampant Growth,36
Steam Vents,36
Blood Crypt,36
Beast Within,35
Smoldering Marsh,35
Path of Ancestry,35
Talisman of Dominance,34
Fellwar Stone,34
Crumbling Necropolis,34
Frontier Bivouac,34
Nature's Lore,33
Blasphemous Act,33
Sacred Foundry,33
Opulent Palace,33
Sulfur Falls,33
Arcane Sanctum,32
Sandsteppe Citadel,32
Mystic Monastery,32
Birds of Paradise,31
Seaside Citadel,31
Ketria Triome,31
Clifftop Retreat,31
Dragonskull Summit,31
Chaos Warp,30
Kodama's Reach,30
Reliquary Tower,30
Jetmir's Garden,30
Caves of Koilos,30
Nomad Outpost,30
Shivan Reef,30
Yavimaya Coast,30
Bojuka Bog,29
Talisman of Creativity,29
Spara's Headquarters,29
Hinterland Harbor,29
Ziatora's Proving Ground,29
Woodland Cemetery,29
Rejuvenating Springs,29
Evolving Wilds,29
Assassin's Trophy,28
Heroic Intervention,28
Rakdos Signet,28
Indatha Triome,28
Zagoth Triome,28
Battlefield Forge,28
Glacial Fortress,28
Llanowar Wastes,28
Dimir Signet,27
Talisman of Indulgence,27
Isolated Chapel,27
Savage Lands,27
Ignoble Hierarch,26
Swiftfoot Boots,26
Rhystic Study,26
Izzet Signet,26
Training Center,26
Morphic Pool,26
Cyclonic Rift,25
Three Visits,25
Lightning Greaves,25
Generous Gift,24
Talisman of Progress,24
Orzhov Signet,24
Talisman of Hierarchy,24
Talisman of Conviction,24
Boros Charm,23
Anguished Unmaking,23
An Offer You Can't Refuse,23
Smothering Tithe,23
Rhythm of the Wild,23
Azorius Signet,23
Negate,21
Boros Signet,21
Terminate,20
Demonic Tutor,20
Rogue's Passage,20
Esper Sentinel,19
Arcane Denial,19
Dark Ritual,19
Growth Spiral,18
Mystic Remora,18
"Miirym, Sentinel Wyrm",17
Edgar Markov,17
Eternal Witness,17
Sakura-Tribe Elder,17
Noble Hierarch,17
Brainstorm,17
Fierce Guardianship,17
Swan Song,17
Dovin's Veto,17
Teferi's Protection,17
Ruinous Ultimatum,17
Commander's Sphere,17
"Boseiju, Who Endures",17
Sidar Jabari of Zhalfir,16
Llanowar Elves,16
Vampiric Tutor,16
Enlightened Tutor,16
Toxic Deluge,16
Leyline of the Guildpact,16
Thought Vessel,16
Faeburrow Elder,15
"Morophon, the Boundless",15
Despark,15
Deflecting Swat,15
Temur Ascendancy,15
Garruk's Uprising,15
"Otawara, Soaring City",15
Chromatic Lantern,15
"Kutzil, Malamet Exemplar",14
"Lotho, Corrupt Shirriff",14
Putrefy,14
Void Rend,14
Rakdos Charm,14
Feed the Swarm,14
Reanimate,14
Damn,14
Jeska's Will,14
Faithless Looting,14
Mind Stone,14
Kessig Wolf Run,14
Talisman of Curiosity,14
Elvish Mystic,13
Avacyn's Pilgrim,13
Delighted Halfling,13
Mystical Tutor,13
Worldly Tutor,13
Windfall,13
Annie Joins Up,13
Talisman of Resilience,13
Solemn Simulacrum,12
Baleful Strix,12
Mana Drain,12
Bedevil,12
Frantic Search,12
Supreme Verdict,12
Vandalblast,12
Phyrexian Arena,12
Timeless Lotus,12
Simic Signet,12
Deathrite Shaman,11
Bloom Tender,11
Mortify,11
Eerie Ultimatum,11
Farewell,11
Culling Ritual,11
Austere Command,11
Skullclamp,11
Mirari's Wake,11
Propaganda,11
Ghostly Prison,11
Whirlwind of Thought,11
"Kenrith, the Returned King",10
Call the Spirit Dragons,10
Ancient Tomb,10
Tireless Provisioner,10
Mirkwood Bats,10
"Etali, Primal Storm",10
Orcish Bowmasters,10
Goblin Anarchomancer,10
"Etali, Primal Conqueror",10
Return of the Wildspeaker,10
Force of Will,10
Abrupt Decay,10
Eladamri's Call,10
Deadly Rollick,10
Ponder,10
Victimize,10
Wild Growth,10
Black Market Connections,10
Temple of the False God,10
Golgari Signet,10
Gruul Signet,10
Talisman of Impulse,10
"Atraxa, Praetors' Voice",9
"Esika, God of the Tree",9
Mayhem Devil,9
Elves of Deep Shadow,9
"Zacama, Primal Calamity",9
Grand Abolisher,9
Fyndhorn Elves,9
Deadly Dispute,9
Stroke of Midnight,9
Rishkar's Expertise,9
Preordain,9
Wayfarer's Bauble,9
Sylvan Library,9
Mosswort Bridge,9
Vault of the Archangel,9
"Yavimaya, Cradle of Growth",9
"Isshin, Two Heavens as One",8
Mardu Siegebreaker,8
Temur Battlecrier,8
The One Ring,8
Beast Whisperer,8
Storm-Kiln Artist,8
Dockside Extortionist,8
"Sythis, Harvest's Hand",8
Seedborn Muse,8
Two-Headed Hellkite,8
Blood Artist,8
Professional Face-Breaker,8
"Tatyova, Benthic Druid",8
"Syr Konrad, the Grim",8
Goblin Electromancer,8
Sliver Hivelord,8
Flawless Maneuver,8
Force of Negation,8
Akroma's Will,8
Pongify,8
Flusterstorm,8
Abrade,8
Sink into Stupor,8
Pact of Negation,8
Opt,8
Inspiring Call,8
Gamble,8
Villainous Wealth,8
Diabolic Intent,8
Lotus Petal,8
Hardened Scales,8
Impact Tremors,8
Animate Dead,8
Doubling Season,8
Maelstrom Nexus,8
"Urborg, Tomb of Yawgmoth",8
"Takenuma, Abandoned Mire",8
Ureni of the Unwritten,7
Colossal Grave-Reaver,7
Thassa's Oracle,7
Opposition Agent,7
Chrome Mox,7
Sun Titan,7
"Elas il-Kor, Sadistic Pilgrim",7
"Ragavan, Nimble Pilferer",7
Reclamation Sage,7
"Ramos, Dragon Engine",7
Dauthi Voidwalker,7
Roaming Throne,7
Tiamat,7
"Sisay, Weatherlight Captain",7
Viscera Seer,7
Crackling Doom,7
Dawn's Truce,7
Crop Rotation,7
Explore,7
Night's Whisper,7
Skyshroud Claim,7
Sevinne's Reclamation,7
Shamanic Revelation,7
Finale of Devastation,7
Decimate,7
Bala Ged Recovery,7
The Great Henge,7
Herald's Horn,7
Wishclaw Talisman,7
Fist of Suns,7
Kindred Discovery,7
Guardian Project,7
Warleader's Call,7
The Kami War,7
Sterling Grove,7
Anointed Procession,7
Brokers Ascendancy,7
Utopia Sprawl,7
Aura Shards,7
Gavony Township,7
Mystic Sanctuary,7
Talisman of Unity,7
Relic of Sauron,7
Selesnya Signet,7
Mana Vault,6
Imperial Seal,6
Underworld Breach,6
Drannith Magistrate,6
Expressive Iteration,6
Blasphemous Edict,6
Harmonize,6
Time Wipe,6
Neoform,6
Sign in Blood,6
Eldritch Evolution,6
Ashnod's Altar,6
Bident of Thassa,6
Bolas's Citadel,6
Idol of Oblivion,6
Moldervine Reclamation,6
Binding the Old Gods,6
Parallel Lives,6
Jeskai Ascendancy,6
Felidar Retreat,6
Blind Obedience,6
"Teferi, Time Raveler",6
Minas Tirith,6
"Eiganjo, Seat of the Empire",6
Hall of Heliod's Generosity,6
Phyrexian Tower,6
Mana Crypt,6
Mox Diamond,5
Distant Melody,5
Buried Alive,5
Read the Bones,5
Gitaxian Probe,5
Genesis Ultimatum,5
Leyline of Mutation,5
Windcrag Siege,5
All-Out Assault,5
Exploration,5
"Tamiyo, Field Researcher",5
Shifting Woodland,5
Seat of the Synod,5
Urza's Saga,5
Kaalia of the Vast,0
