card name,synergy %
Rivaz of the Claw,99
Scion of the Ur-Dragon,93
"Rohgahh, Kher Keep Overlord",92
Hidetsugu and Kairi,85
Command Tower,85
Sol Ring,84
"Karrthus, Tyrant of Jund",81
"Atarka, World Render",81
Crux of Fate,73
Arcane Signet,73
"Silumgar, the Drifting Death",69
"Nicol Bolas, the Ravager",69
Dragonlord's Servant,69
Dragonspeaker Shaman,69
"Miirym, Sentinel Wyrm",69
Bladewing the Risen,66
Dragon Tempest,65
Dragon's Hoard,65
"Lathliss, Dragon Queen",59
Cultivate,57
Tiamat,55
Savage Ventmaw,55
Haven of the Spirit Dragon,55
Crucible of Fire,54
"Ziatora, the Incinerator",51
Scourge of Valkas,48
Farseek,46
Path of Ancestry,45
"Kolaghan, the Storm's Fury",44
"Teneb, the Harvester",44
"Dromoka, the Eternal",44
"Rith, Liberated Primeval",43
"Ganax, Astral Hunter",43
Thrakkus the Butcher,43
Temur Ascendancy,43
Crucible of the Spirit Dragon,43
Carnelian Orb of Dragonkind,42
Frontier Bivouac,42
Utvara Hellkite,41
"Ojutai, Soul of Winter",41
Kodama's Reach,41
Garruk's Uprising,41
Jungle Shrine,41
The Ur-Dragon,40
Dragonmaster Outcast,40
Rampant Growth,40
Crumbling Necropolis,40
Savage Lands,40
"Korlessa, Scale Singer",38
Goro-Goro and Satoru,37
Dragonlord Dromoka,37
Orb of Dragonkind,37
Lapis Orb of Dragonkind,37
Dragonlord Silumgar,36
"Drakuseth, Maw of Flames",36
Counterspell,36
Exotic Orchard,36
Temple of the Dragon Queen,36
Deathbringer Regent,35
Sarkhan's Triumph,35
Commander's Sphere,35
Evolving Wilds,35
Frontier Siege,34
Ancient Silver Dragon,33
"Renari, Merchant of Marvels",33
Old Gnawbone,33
Steel Hellkite,33
Spit Flame,33
Negate,33
Herald's Horn,33
Sunken Hollow,33
Call the Spirit Dragons,32
"Iymrith, Desert Doom",32
Ancient Brass Dragon,32
Boneyard Scourge,32
Jade Orb of Dragonkind,32
Opulent Palace,32
Minion of the Mighty,31
"Keiga, the Tide Star",31
Draconic Lore,31
Smoldering Marsh,31
Earthquake Dragon,30
Terminate,30
Mystic Monastery,30
Terror of the Peaks,29
Swords to Plowshares,29
Dragon's Fire,29
Kaalia of the Vast,28
Scaled Nurturer,28
"Ramos, Dragon Engine",27
Wrathful Red Dragon,27
"Lozhan, Dragons' Legacy",27
Thunderbreak Regent,27
Dimir Signet,27
Nomad Outpost,27
"Sivitri, Dragon Master",26
