card name,synergy %
Arcane Signet,95
"Kenrith, the Returned King",94
Sol Ring,93
"Valgavoth, Harrower of Souls",90
Command Tower,84
"Atraxa, Grand Unifier",83
"Breya, Etherium Shaper",82
Swords to Plowshares,70
"Nekusar, the Mindrazer",69
"Alela, Cunning Conqueror",67
Exotic Orchard,58
Sidar Jabari of Zhalfir,55
"Ghyrson Starn, Kelermorph",55
Path to Exile,50
Watery Grave,47
Farseek,46
Talisman of Dominance,46
Hallowed Fountain,46
"Esika, God of the Tree",44
Steam Vents,44
Breeding Pool,44
Counterspell,43
Talisman of Creativity,43
Godless Shrine,43
Cultivate,42
Blood Crypt,42
Birds of Paradise,41
Overgrown Tomb,41
Stomping Ground,40
Talisman of Indulgence,39
Sacred Foundry,38
Rakdos Signet,37
Izzet Signet,37
Dimir Signet,37
Temple Garden,37
Blasphemous Act,36
Rhystic Study,36
Talisman of Progress,36
Sunken Hollow,36
Chaos Warp,35
Talisman of Conviction,35
Smoldering Marsh,35
Prairie Stream,35
Nature's Lore,34
Talisman of Hierarchy,34
The World Tree,34
"Sauron, the Dark Lord",33
Cyclonic Rift,33
Azorius Signet,33
Sulfur Falls,33
Dragonskull Summit,33
Shivan Reef,33
An Offer You Can't Refuse,32
Rampant Growth,32
Morphic Pool,32
Training Center,32
Mind Stone,31
Dark Ritual,31
Orzhov Signet,31
Caves of Koilos,31
Crumbling Necropolis,31
Beast Within,30
Smothering Tithe,30
Boros Signet,30
Battlefield Forge,30
Cinder Glade,30
Sea of Clouds,30
Luxury Suite,30
Mystic Monastery,30
Kodama's Reach,29
Reliquary Tower,29
Arcane Sanctum,29
Ketria Triome,29
Jungle Shrine,29
Mystic Remora,28
Generous Gift,28
Lightning Greaves,28
Swiftfoot Boots,28
Bojuka Bog,28
Nomad Outpost,28
Canopy Vista,28
Clifftop Retreat,28
Vault of Champions,28
"Prosper, Tome-Bound",27
"Tivit, Seller of Secrets",27
Esper Sentinel,27
Assassin's Trophy,27
Three Visits,27
Demonic Tutor,27
Glacial Fortress,27
Jetmir's Garden,27
Drowned Catacomb,27
Ignoble Hierarch,26
Swan Song,26
Thought Vessel,26
Frontier Bivouac,26
Spectator Seating,26
Seaside Citadel,26
Spara's Headquarters,26
Rejuvenating Springs,26
Ziatora's Proving Ground,26
Xander's Lounge,26
Yavimaya Coast,26
"Jodah, the Unifier",25
Fierce Guardianship,25
Boros Charm,25
Raffine's Tower,25
Opulent Palace,25
Isolated Chapel,25
Indatha Triome,25
Kaalia of the Vast,24
Heroic Intervention,24
Negate,24
Vampiric Tutor,23
Anguished Unmaking,23
Arcane Denial,23
Brainstorm,23
"Otawara, Soaring City",23
"Boseiju, Who Endures",23
Faeburrow Elder,22
Enlightened Tutor,22
Terminate,22
Jeska's Will,22
Toxic Deluge,22
Mystical Tutor,21
Deflecting Swat,21
Dovin's Veto,21
Feed the Swarm,21
Talisman of Curiosity,21
Noble Hierarch,20
Worldly Tutor,20
"Lotho, Corrupt Shirriff",19
Delighted Halfling,19
Teferi's Protection,19
Mana Drain,19
Reanimate,19
Faithless Looting,19
Commander's Sphere,19
Force of Will,18
Windfall,18
Ancient Tomb,17
Bloom Tender,17
Llanowar Elves,17
Eternal Witness,17
Rakdos Charm,17
Vandalblast,17
Damn,17
Ruinous Ultimatum,17
Rhythm of the Wild,17
Leyline of the Guildpact,17
"Shorikai, Genesis Engine",16
Solemn Simulacrum,16
Deathrite Shaman,16
Frantic Search,16
Bedevil,16
Despark,16
Rogue's Passage,16
Orcish Bowmasters,15
"Kutzil, Malamet Exemplar",15
Force of Negation,15
Growth Spiral,15
Culling Ritual,15
Gamble,15
Ponder,15
Phyrexian Arena,15
Talisman of Impulse,15
Simic Signet,15
Elvish Mystic,14
Baleful Strix,14
Void Rend,14
Deadly Rollick,14
Flusterstorm,14
Abrupt Decay,14
Pact of Negation,14
Supreme Verdict,14
Wayfarer's Bauble,14
Lotus Petal,14
The One Ring,14
Temur Ascendancy,14
Chromatic Lantern,14
Talisman of Resilience,14
Mana Vault,13
Chrome Mox,13
Grand Abolisher,13
"Morophon, the Boundless",13
Sakura-Tribe Elder,13
Abrade,13
Sink into Stupor,13
Pongify,13
Mental Misstep,13
Sylvan Library,13
Garruk's Uprising,13
Annie Joins Up,13
Timeless Lotus,13
Gruul Signet,13
Dockside Extortionist,12
Thassa's Oracle,12
"Ragavan, Nimble Pilferer",12
Opposition Agent,12
Lightning Bolt,12
Silence,12
Finale of Devastation,12
Farewell,12
Preordain,12
Sevinne's Reclamation,12
Wishclaw Talisman,12
Black Market Connections,12
Ghostly Prison,12
Whirlwind of Thought,12
Propaganda,12
Animate Dead,12
Mystic Sanctuary,12
Seedborn Muse,11
Storm-Kiln Artist,11
Dauthi Voidwalker,11
Phyrexian Metamorph,11
Mayhem Devil,11
Eladamri's Call,11
Veil of Summer,11
Stroke of Midnight,11
Snap,11
Skullclamp,11
Underworld Breach,11
Golgari Signet,11
Call the Spirit Dragons,10
Fyndhorn Elves,10
Avacyn's Pilgrim,10
