card name,synergy %
Queen Marchesa,96
"Shorikai, Genesis Engine",93
"Gishath, Sun's Avatar",89
Sol Ring,88
Arcane Signet,83
Command Tower,83
Swords to Plowshares,79
"Giada, Font of Hope",71
"Kenrith, the Returned King",66
Path to Exile,65
Beast Within,64
"Isshin, Two Heavens as One",57
"Atla Palani, Nest Tender",56
Hylda of the Icy Crown,56
Cultivate,56
Canopy Vista,56
Farseek,53
"Arcades, the Strategist",52
Prairie Stream,52
Counterspell,51
"Narset, Enlightened Exile",50
Jungle Shrine,50
"Dihada, Binder of Wills",47
Cinder Glade,46
Clifftop Retreat,46
Godless Shrine,46
Ms. Bumbleflower,45
Glacial Fortress,45
Caves of Koilos,45
Hallowed Fountain,44
Seaside Citadel,44
Nomad Outpost,44
Isolated Chapel,44
Rampant Growth,43
Exotic Orchard,43
Temple Garden,43
Anguished Unmaking,42
Nature's Lore,42
Talisman of Hierarchy,42
Orzhov Signet,42
Azorius Signet,41
Sacred Foundry,41
"Kykar, Wind's Fury",40
Boros Charm,40
Mystic Monastery,40
Jetmir's Garden,40
Stomping Ground,40
Overgrown Tomb,39
Bojuka Bog,38
Spara's Headquarters,38
Battlefield Forge,38
Arcane Sanctum,38
Steam Vents,38
Kodama's Reach,37
Heroic Intervention,37
Talisman of Conviction,37
Watery Grave,37
Breeding Pool,37
Sunpetal Grove,37
Blood Crypt,37
The World Tree,37
Raugrin Triome,37
Chaos Warp,36
Boros Signet,36
Talisman of Progress,36
Savai Triome,36
Vault of Champions,36
Indatha Triome,36
Swiftfoot Boots,35
Sea of Clouds,35
Spectator Seating,35
Raffine's Tower,35
Rhythm of the Wild,34
Blasphemous Act,33
Dragonskull Summit,33
Sandsteppe Citadel,33
Bountiful Promenade,32
Assassin's Trophy,31
Three Visits,31
Reliquary Tower,31
Hinterland Harbor,31
Ruinous Ultimatum,30
Talisman of Creativity,30
Ketria Triome,30
Sulfur Falls,30
Dovin's Veto,29
Talisman of Dominance,29
Rakdos Signet,29
Adarkar Wastes,29
Talisman of Indulgence,28
Sunken Hollow,28
Void Rend,27
Izzet Signet,27
Training Center,27
Rejuvenating Springs,27
Yavimaya Coast,27
Temple of Enlightenment,27
Shalai and Hallar,26
Kaalia of the Vast,26
Smothering Tithe,26
Arcane Denial,26
Negate,26
Damn,26
Lightning Greaves,26
Fellwar Stone,26
Deserted Beach,26
Smoldering Marsh,26
Birds of Paradise,25
Dimir Signet,25
Rhystic Study,24
An Offer You Can't Refuse,24
Despark,24
Teferi's Protection,24
Rogue's Passage,24
Stroke of Midnight,23
Whirlwind of Thought,23
Cyclonic Rift,23
Esper Sentinel,21
Austere Command,21
Phyrexian Arena,21
"Kutzil, Malamet Exemplar",20
Supreme Verdict,20
Mind Stone,20
Avacyn's Pilgrim,19
Kessig Wolf Run,19
Thought Vessel,19
Eriette of the Charmed Apple,18
"Voja, Jaws of the Conclave",18
"Zacama, Primal Calamity",18
Brainstorm,18
Farewell,18
Propaganda,18
Llanowar Elves,17
Vault of the Archangel,17
Solemn Simulacrum,16
"Elas il-Kor, Sadistic Pilgrim",16
Noble Hierarch,16
Return of the Wildspeaker,16
Toxic Deluge,16
Skullclamp,16
Annie Joins Up,16
Black Market Connections,16
Garruk's Uprising,16
Gavony Township,16
Eternal Witness,15
Champion of Lambholt,15
Mirkwood Bats,15
Flawless Maneuver,15
Demonic Tutor,15
Eerie Ultimatum,15
Commander's Sphere,15
Leyline of the Guildpact,15
"Boseiju, Who Endures",15
Mardu Siegebreaker,14
Enlightened Tutor,14
Regisaur Alpha,14
Baleful Strix,14
"Lotho, Corrupt Shirriff",14
Blood Artist,14
Quartzwood Crasher,14
Sakura-Tribe Elder,14
"Etali, Primal Conqueror",14
Beast Whisperer,14
Mortify,14
Akroma's Will,14
Growth Spiral,14
Wear // Tear,14
Night's Whisper,14
Rishkar's Expertise,14
Mirari's Wake,14
Ghostly Prison,14
Jeskai Ascendancy,14
Impact Tremors,14
"Pantlaza, Sun-Favored",13
Elvish Mystic,13
Sun Titan,13
"Etali, Primal Storm",13
Deadly Dispute,13
Fierce Guardianship,13
Inspiring Call,13
Swan Song,13
Faithless Looting,13
Vandalblast,13
Hardened Scales,13
Mystic Remora,13
"Otawara, Soaring City",13
Selesnya Signet,13
Jeska's Will,12
Zulaport Cutthroat,12
"Vito, Thorn of the Dusk Rose",12
Frantic Search,12
Dawn's Truce,12
Deflecting Swat,12
Crackling Doom,12
Shamanic Revelation,12
Wayfarer's Bauble,12
Mosswort Bridge,12
Cruel Celebrant,11
Third Path Iconoclast,11
Kami of Whispered Hopes,11
Viscera Seer,11
Forgotten Ancient,11
Ignoble Hierarch,11
Loran of the Third Path,11
"Jhoira, Weatherlight Captain",11
Vampiric Tutor,11
Fracture,11
Mana Drain,11
Inkshield,11
Terminate,11
Dark Ritual,11
Read the Bones,11
Sign in Blood,11
Windfall,11
Warleader's Call,11
Guardian Project,11
Sanguine Bond,11
Aura Shards,11
Minas Tirith,11
Slayers' Stronghold,11
"Eiganjo, Seat of the Empire",11
Talisman of Unity,11
Timeless Lotus,11
Bone-Cairn Butcher,10
Bolas's Citadel,10
"Aurelia, the Warleader",10
"Rishkar, Peema Renegade",10
"Shalai, Voice of Plenty",10
"Kambal, Consul of Allocation",10
"Jetmir, Nexus of Revels",10
"Kambal, Profiteering Mayor",10
Etherium Sculptor,10
Pitiless Plunderer,10
Village Rites,10
Unbreakable Formation,10
Rakdos Charm,10
Ponder,10
Reanimate,10
Victimize,10
The Great Henge,10
Doubling Season,10
Anointed Procession,10
"Takenuma, Abandoned Mire",10
Zurgo Stormrender,9
Bleachbone Verge,9
All-Out Assault,9
Mystical Tutor,9
"Anim Pakal, Thousandth Moon",9
"Sisay, Weatherlight Captain",9
Tireless Provisioner,9
Knight of the White Orchid,9
Incubation Druid,9
Witch Enchanter,9
"Mondrak, Glory Dominus",9
Worldly Tutor,9
Fell the Profane,9
Eladamri's Call,9
Sink into Stupor,9
Time Wipe,9
Vindicate,9
Skyshroud Claim,9
Harmonize,9
Preordain,9
Idol of Oblivion,9
Sword of the Animist,9
Bident of Thassa,9
Wild Growth,9
Felidar Retreat,9
Temur Ascendancy,9
Simic Ascendancy,9
Land Tax,9
Bastion of Remembrance,9
Call the Spirit Dragons,9
Sylvan Library,9
Utopia Sprawl,9
"Tamiyo, Field Researcher",9
Mystic Sanctuary,9
Seat of the Synod,9
Simic Signet,9
Chromatic Lantern,9
Gruul Signet,9
Opt,8
Legion Leadership,8
Deflecting Palm,8
Deadly Rollick,8
Pongify,8
Utter End,8
Thrill of Possibility,8
Bedevil,8
Reality Shift,8
Bala Ged Recovery,8
Wrath of God,8
Sevinne's Reclamation,8
Sunforger,8
Pearl Medallion,8
Tribute to the World Tree,8
Parallel Lives,8
Darksteel Mutation,8
Brokers Ascendancy,8
Teferi's Ageless Insight,8
"Saheeli, Sublime Artificer",8
War Room,8
Temple of the False God,8
"Sunhome, Fortress of the Legion",8
Castle Ardenvale,8
Talisman of Curiosity,8
Trouble in Pairs,7
Naya Charm,7
Malakir Rebirth,7
Long River's Pull,7
Nature's Claim,7
Dispatch,7
Harrow,7
Tempt with Discovery,7
Painful Truths,7
Open the Armory,7
Expressive Iteration,7
Herald's Horn,7
"Ozolith, the Shattered Spire",7
Ashnod's Altar,7
Exquisite Blood,7
Rising of the Day,7
Beastmaster Ascension,7
Enchantress's Presence,7
Thopter Spy Network,7
Kindred Discovery,7
Kenrith's Transformation,7
Caretaker's Talent,7
Wizard Class,7
Cathars' Crusade,7
Windcrag Siege,7
Sanctum of All,7
Branching Evolution,7
Blind Obedience,7
Animate Dead,7
Intangible Virtue,7
Elemental Bond,7
Phyrexian Tower,7
Hall of Heliod's Generosity,7
"Yavimaya, Cradle of Growth",7
Ancient Tomb,6
Thoughtcast,6
Mythos of Snapdax,6
Wear Down,6
Blasphemous Edict,6
Explore,6
Dance of the Manse,6
Rip Apart,6
Feed the Swarm,6
Overwhelming Stampede,6
Chandra's Ignition,6
Oketra's Monument,6
Archaeomancer's Map,6
Fist of Suns,6
The Reaver Cleaver,6
Blackblade Reforged,6
Innkeeper's Talent,6
"Elspeth, Sun's Champion",6
Academy Ruins,6
Buried Ruin,6
Windbrisk Heights,6
Cabal Coffers,6
"Shizo, Death's Storehouse",6
"Sokenzan, Crucible of Defiance",6
Three Tree City,6
"Emeria, the Sky Ruin",6
Urza's Saga,6
Talisman of Impulse,6
Patchwork Banner,6
Talisman of Resilience,6
Golgari Signet,6
The One Ring,5
Diabolic Intent,5
Fabricate,5
Taunt from the Rampart,5
Primevals' Glorious Rebirth,5
Hour of Reckoning,5
Cut a Deal,5
Vanquish the Horde,5
Distant Melody,5
Mithril Coat,5
Panharmonicon,5
Lifecrafter's Bestiary,5
Ancient Den,5
Great Furnace,5
Castle Locthwain,5
"Urborg, Tomb of Yawgmoth",5
Arena of Glory,5
"Nykthos, Shrine to Nyx",5
Karn's Bastion,5
Marble Diamond,5
Midnight Clock,5
