card name,synergy %
"Omnath, Locus of Creation",93
Command Tower,90
"Xyris, the Writhing Storm",81
Sol Ring,80
"Tatyova, Benthic Druid",77
Arcane Signet,71
"Kalamax, the Stormsire",70
"Storm, Force of Nature",67
"Omo, Queen of Vesuva",61
Cultivate,61
Swords to Plowshares,53
"Miirym, Sentinel Wyrm",52
Rampant Growth,50
Hakbal of the Surging Soul,48
Beast Within,48
Counterspell,47
Farseek,46
Reliquary Tower,45
Kodama's Reach,45
Exotic Orchard,44
Path to Exile,42
Frontier Bivouac,42
Hinterland Harbor,42
"Koma, Cosmos Serpent",41
Opulent Palace,39
"Flubs, the Fool",38
Simic Growth Chamber,38
Ketria Triome,38
Nature's Lore,37
The World Tree,37
Stomping Ground,36
Breeding Pool,36
Nine-Fingers Keene,35
Yavimaya Coast,34
Cinder Glade,34
Steam Vents,33
Evolving Wilds,33
Zagoth Triome,33
Explore,32
Seaside Citadel,32
Overgrown Tomb,32
Temple Garden,32
Spara's Headquarters,32
Rejuvenating Springs,31
Hallowed Fountain,30
Assassin's Trophy,29
Swiftfoot Boots,29
Canopy Vista,29
Three Visits,28
Temple of Mystery,28
Prairie Stream,28
Watery Grave,28
Jetmir's Garden,28
Faeburrow Elder,27
Heroic Intervention,27
Dreamroot Cascade,27
Chaos Warp,26
Negate,26
Terramorphic Expanse,26
Indatha Triome,26
Zimone and Dina,25
Blasphemous Act,25
Jungle Shrine,25
Misty Rainforest,25
Raugrin Triome,25
General Ferrous Rokiric,24
Birds of Paradise,24
Leyline of the Guildpact,24
Sacred Foundry,24
Simic Signet,23
Ziatora's Proving Ground,23
Path of Ancestry,23
Boros Charm,22
Lightning Greaves,22
Sunken Hollow,22
Sulfur Falls,22
Vineglimmer Snarl,22
Crumbling Necropolis,22
Sandsteppe Citadel,22
Mystic Monastery,22
Maelstrom Nexus,21
Savage Lands,21
Godless Shrine,21
Cyclonic Rift,20
Dovin's Veto,20
Arcane Denial,20
Rogue's Passage,20
Myriad Landscape,20
