card name,synergy %
"Klauth, Unrivaled Ancient",99
Sol Ring,92
Command Tower,88
Rivaz of the Claw,87
Dragon Tempest,81
Arcane Signet,80
"Lathliss, Dragon Queen",79
Crux of Fate,79
The Ur-Dragon,76
"Morophon, the Boundless",75
"Atarka, World Render",74
"Kozilek, the Great Distortion",71
Dragonspeaker Shaman,71
Dragon's Hoard,70
"Firkraag, Cunning Instigator",67
Dragonlord's Servant,66
Temur Ascendancy,66
Scourge of Valkas,65
Garruk's Uprising,64
Path of Ancestry,64
Cultivate,61
Dragonlord Dromoka,60
Tiamat,59
Farseek,58
Zurgo and Ojutai,57
"Miirym, Sentinel Wyrm",55
Savage Ventmaw,55
Terror of the Peaks,54
Utvara Hellkite,53
Old Gnawbone,53
Bladewing the Risen,53
"Sarkhan, Soul Aflame",50
Goldspan Dragon,50
Exotic Orchard,50
"Rith, Liberated Primeval",49
Scion of the Ur-Dragon,48
"Ganax, Astral Hunter",48
Thrakkus the Butcher,48
Swords to Plowshares,48
"Ganax, Astral Hunter // Acolyte of Bahamut",47
Kodama's Reach,47
"Silumgar, the Drifting Death",46
Nature's Lore,45
Rhythm of the Wild,45
Ketria Triome,44
"Vrondiss, Rage of Ancients",43
Stomping Ground,43
Ancient Silver Dragon,42
"Korlessa, Scale Singer",42
Cinder Glade,42
Herald's Horn,41
Carnelian Orb of Dragonkind,41
Call the Spirit Dragons,40
Ancient Copper Dragon,40
Wrathful Red Dragon,40
Heroic Intervention,40
Steam Vents,40
Beast Within,39
Overgrown Tomb,39
Frontier Bivouac,39
The World Tree,39
Blood Crypt,39
Two-Headed Hellkite,38
Rampant Growth,38
Breeding Pool,38
"Ramos, Dragon Engine",37
"Drakuseth, Maw of Flames",37
Scalelord Reckoner,37
Urza's Incubator,37
Temple Garden,37
Ancient Gold Dragon,36
Ziatora's Proving Ground,36
Maelstrom of the Spirit Dragon,35
Earthquake Dragon,35
Balefire Dragon,35
Counterspell,35
Three Visits,35
Sacred Foundry,35
Twinflame Tyrant,34
Orb of Dragonkind,34
Temple of the Dragon Queen,34
"Sivitri, Dragon Master",33
Lightning Greaves,33
Kindred Discovery,33
Jetmir's Garden,33
Cavern of Souls,33
Broodcaller Scourge,32
Ancient Brass Dragon,32
Thunderbreak Regent,32
"Lozhan, Dragons' Legacy",32
Scaled Nurturer,32
Crucible of the Spirit Dragon,32
Ureni of the Unwritten,31
Dracogenesis,31
Smothering Tithe,31
Blasphemous Act,31
Crucible of Fire,31
Unclaimed Territory,31
Sarkhan's Triumph,30
Dragonmaster Outcast,29
Dragonborn Champion,29
Elemental Bond,29
Chromatic Lantern,29
Cyclonic Rift,28
Deceptive Frostkite,28
Thundermane Dragon,28
Hellkite Tyrant,28
Parapet Thrasher,28
Roaming Throne,28
Chaos Warp,28
Teferi's Protection,28
Path to Exile,28
Jade Orb of Dragonkind,28
Watery Grave,28
Zagoth Triome,28
Hallowed Fountain,28
Steel Hellkite,27
Birds of Paradise,27
Sarkhan Unbroken,27
Reliquary Tower,27
Indatha Triome,27
Savai Triome,27
Secluded Courtyard,27
"Teneb, the Harvester",26
Astral Dragon,26
Hellkite Charger,26
Scourge of the Throne,26
Hammerhead Tyrant,26
"Kolaghan, the Storm's Fury",26
Swiftfoot Boots,26
Encroaching Dragonstorm,26
Raugrin Triome,26
Hellkite Courser,25
Rockfall Vale,25
Jungle Shrine,25
Savage Lands,25
Fellwar Stone,24
Godless Shrine,24
Spire Garden,24
Rhystic Study,23
"Ojutai, Soul of Winter",23
Decadent Dragon,23
"Iymrith, Desert Doom",23
Return of the Wildspeaker,23
Fist of Suns,23
Sulfur Falls,23
Wooded Foothills,23
"Karrthus, Tyrant of Jund",22
"Dromoka, the Eternal",22
Will of the Temur,22
Commander's Sphere,22
Frontier Siege,22
Rootbound Crag,22
Evolving Wilds,22
Training Center,22
Cavern-Hoard Dragon,21
Mosswort Bridge,21
Demonic Tutor,20
Dragonlord Silumgar,20
Dragonlord Ojutai,20
Mirari's Wake,20
Crumbling Necropolis,20
Rejuvenating Springs,20
Mystic Monastery,20
Scalding Tarn,20
Shivan Reef,20
Spara's Headquarters,20
Spit Flame,19
Assassin's Trophy,19
Skyshroud Claim,19
The Great Henge,19
Lapis Orb of Dragonkind,19
