card name,synergy %
"Kyodai, Soul of Kamigawa",93
"Jodah, Archmage Eternal",85
Command Tower,79
"Kodama of the East Tree // Ravos, Soultender",72
"Kethis, the Hidden Hand",69
Sol Ring,68
Kodama's Reach,65
"Oyobi, Who Split the Heavens",60
Arcane Signet,60
"Iname, Life Aspect",57
"Iname, Death Aspect",54
Myojin of Life's Web,54
"Amzu, Swarm's Hunger",51
Myojin of Seeing Winds,51
Kodama of the South Tree,48
Loam Dweller,48
Cultivate,48
Lifespinner,47
Exotic Orchard,47
Myojin of Cleansing Fire,46
Drogskol Captain,46
Bounteous Kirin,44
"Junji, the Midnight Sky",43
"Keiga, the Tide Star",43
Ribbons of the Reikai,42
"Kura, the Boundless Sky",42
Chromatic Lantern,42
Path of Ancestry,42
"Morophon, the Boundless",41
Farseek,41
Sire of the Storm,41
"Yosei, the Morning Star",40
"Kokusho, the Evening Star",40
Nikko-Onna,40
Kodama of the Center Tree,39
Rend Flesh,38
Elder Pine of Jukai,37
Myojin of Blooming Dawn,37
"Ryusei, the Falling Star",37
Petalmane Baku,37
"Ao, the Dawn Sky",36
Yuki-Onna,36
"Atsushi, the Blazing Sky",36
Long-Forgotten Gohei,36
Rattlechains,35
Infernal Kirin,35
The Kami War,35
Myojin of Night's Reach,34
Myojin of Grim Betrayal,34
Kodama of the East Tree,34
Rampant Growth,34
Wear Away,33
Ethereal Haze,33
"Kairi, the Swirling Sky",32
"Kira, Great Glass-Spinner",31
Myojin of Cryptic Dreams,31
Sandsteppe Citadel,31
The World Tree,30
Kami of False Hope,29
"Kyoki, Sanity's Eclipse",29
Overgrown Tomb,29
Zagoth Triome,29
"Jugan, the Rising Star",28
Myojin of Infinite Rage,28
Skyfire Kirin,28
Reliquary Tower,28
Indatha Triome,28
Evolving Wilds,28
King of the Oathbreakers,27
Swords to Plowshares,27
Soulless Revival,27
Jungle Shrine,27
Opulent Palace,27
Temple Garden,27
Myojin of Roaring Blades,26
Death Denied,26
Herald's Horn,26
Fist of Suns,26
He Who Hungers,25
Selfless Spirit,25
Kindred Boon,25
Seaside Citadel,25
Ketria Triome,25
Haru-Onna,24
Myojin of Towering Might,24
Mirari's Wake,24
Breeding Pool,24
Arcane Sanctum,24
Raugrin Triome,24
Frontier Bivouac,24
Godless Shrine,24
Thief of Hope,23
"Sekki, Seasons' Guide",23
Reach Through Mists,23
Nature's Lore,23
Urza's Incubator,23
Spara's Headquarters,23
Terramorphic Expanse,23
Mystic Monastery,23
Savage Lands,23
Stomping Ground,23
Hallowed Fountain,23
Supreme Phantom,22
Terashi's Grasp,22
Savai Triome,22
Watery Grave,22
Unclaimed Territory,22
Crumbling Necropolis,22
"O-Kagachi, Vengeful Kami",21
Cloudhoof Kirin,21
Ziatora's Proving Ground,21
Nomad Outpost,21
Jetmir's Garden,21
Secluded Courtyard,21
Raffine's Tower,21
"Millicent, Restless Revenant",20
Aether Shockwave,20
Blessed Breath,20
Commander's Sphere,20
That Which Was Taken,20
"Karador, Ghost Chieftain",19
Celestial Kirin,19
Hofri Ghostforge,19
Kami of the Crescent Moon,19
Eerie Procession,19
Timeless Lotus,19
Steam Vents,19
Three Visits,18
Fellwar Stone,18
Blood Crypt,18
Xander's Lounge,18
Sacred Foundry,18
Verdant Catacombs,18
Eerie Ultimatum,17
Leyline of the Guildpact,17
Drogskol Reinforcements,16
Karmic Guide,16
Angel of Flight Alabaster,16
Kindred Discovery,16
Yargle and Multani,15
Sakura-Tribe Elder,15
The Unspeakable,15
Primordial Sage,15
Path to Exile,15
"Boseiju, Who Endures",15
Cascading Cataracts,15
Windswept Heath,15
Call the Spirit Dragons,14
Hana Kami,14
Devouring Greed,14
Abzan Ascendancy,14
Genju of the Realm,14
Field of Souls,14
Leyline of Mutation,14
Canopy Vista,14
Cavern of Souls,14
Marsh Flats,14
Misty Rainforest,14
"Yomiji, Who Bars the Way",13
"Tomorrow, Azami's Familiar",13
Horobi's Whisper,13
Spiritual Visit,13
Peer Through Depths,13
Primevals' Glorious Rebirth,13
Patriarch's Bidding,13
"Miirym, Sentinel Wyrm",12
Sift Through Sands,12
Footsteps of the Goryo,12
Honden of Seeing Winds,12
Chromatic Orrery,12
Myriad Landscape,12
Wooded Foothills,12
Woodland Cemetery,12
Rhystic Study,11
Desperate Ritual,11
Evermind,11
Counterspell,11
Explosive Vegetation,11
Skyshroud Claim,11
Conflux,11
Time of Need,11
Kindred Dominance,11
Honden of Life's Web,11
Omniscience,11
Honden of Infinite Rage,11
"Takenuma, Abandoned Mire",11
"Otawara, Soaring City",11
"Yavimaya, Cradle of Growth",11
Patchwork Banner,11
Polluted Delta,11
Cinder Glade,11
"The Gitrog, Ravenous Ride",10
Ureni of the Unwritten,10
Through the Breach,10
Goryo's Vengeance,10
Baku Altar,10
Lightning Greaves,10
Vanquisher's Banner,10
Breath of the Sleepless,10
"Sokenzan, Crucible of Defiance",10
"Urborg, Tomb of Yawgmoth",10
Three Tree City,10
Séance Board,10
Undergrowth Stadium,10
Demonic Tutor,9
Growth Spiral,9
Rending Vines,9
Ruinous Ultimatum,9
Honden of Cleansing Fire,9
Bojuka Bog,9
Temple of the False God,9
"Esika, God of the Tree",8
"Codie, Vociferous Codex",8
Smothering Tithe,8
Cyclonic Rift,8
Beast Within,8
Release to Memory,8
Teferi's Protection,8
Blasphemous Act,8
Sanctum of All,8
Honden of Night's Reach,8
"Minamo, School at Water's Edge",8
"Eiganjo, Seat of the Empire",8
"Shizo, Death's Storehouse",8
Relic of Legends,8
"Henzie ""Toolbox"" Torre",7
"Neriv, Heart of the Storm",7
Heroic Intervention,7
Choice of Damnations,7
Genesis Ultimatum,7
Cleanfall,7
Living Death,7
Tempt with Discovery,7
Victimize,7
Swiftfoot Boots,7
Door of Destinies,7
Sanctum of Calm Waters,7
Reflections of Littjara,7
Sanctum of Fruitful Harvest,7
Zendikar Resurgent,7
"Shinka, the Bloodsoaked Keep",7
Thought Vessel,7
"Jodah, the Unifier",6
Assassin's Trophy,6
Consuming Vortex,6
Reweave,6
Grisly Salvage,6
Veil of Secrecy,6
Otherworldly Journey,6
Anguished Unmaking,6
Quiet Purity,6
Urza's Ruinous Blast,6
Farewell,6
In Garruk's Wake,6
Distant Melody,6
Ashnod's Altar,6
Sanctum of Stone Fangs,6
Annie Joins Up,6
Jugan Defends the Temple,6
Greater Good,6
Kaya the Inexorable,6
"Okina, Temple to the Grandfathers",6
Decanter of Endless Water,6
