card name,synergy %
Skanos Dragonheart // Acolyte of Bahamut,96
Iname as One,93
"Miirym, Sentinel Wyrm",91
"Korlessa, Scale Singer",84
"Cleopatra, Exiled Pharaoh",83
The Ur-Dragon,80
Sol Ring,75
"Ziatora, the Incinerator",70
"Keiga, the Tide Star",65
Command Tower,65
"Kyodai, Soul of Kamigawa",64
Bounteous Kirin,64
"Dromoka, the Eternal",61
"Junji, the Midnight Sky",58
"Kokusho, the Evening Star",57
Arcane Signet,57
"Yosei, the Morning Star",56
"Kairi, the Swirling Sky",56
"Ao, the Dawn Sky",56
"O-Kagachi, Vengeful Kami",55
Cultivate,55
"Ryusei, the Falling Star",53
"Atarka, World Render",51
"Henzie ""Toolbox"" Torre",51
"Kura, the Boundless Sky",51
Kodama's Reach,48
The Kami War,45
"Atsushi, the Blazing Sky",44
Rampant Growth,42
Swords to Plowshares,38
Garruk's Uprising,36
Path of Ancestry,36
"Renari, Merchant of Marvels // Acolyte of Bahamut",34
Beast Within,33
Counterspell,33
Dragonspeaker Shaman,32
Dragonlord's Servant,31
Lapis Orb of Dragonkind,31
Frontier Bivouac,31
Cinder Glade,31
Call the Spirit Dragons,30
Nature's Lore,30
The World Tree,30
"Iymrith, Desert Doom",29
Path to Exile,29
Jungle Shrine,29
Earthquake Dragon,28
Dragon Tempest,28
Dragon's Hoard,28
"Lathliss, Dragon Queen",27
Thrakkus the Butcher,27
Farseek,27
Ziatora's Proving Ground,27
Savage Lands,27
Exotic Orchard,27
Scaled Nurturer,26
Jade Orb of Dragonkind,26
Overgrown Tomb,26
Indatha Triome,26
Opulent Palace,26
Canopy Vista,26
Kodama of the Center Tree,25
Reliquary Tower,25
Temple Garden,25
Sandsteppe Citadel,25
Evolving Wilds,25
Draconic Muralists,24
Ancient Bronze Dragon,24
Savage Ventmaw,24
Swiftfoot Boots,24
Leyline of the Guildpact,24
Ketria Triome,24
Seaside Citadel,24
Haven of the Spirit Dragon,24
Spara's Headquarters,24
Ancient Silver Dragon,23
Sapphire Dragon,23
"Ganax, Astral Hunter",23
Growth Spiral,23
Crux of Fate,23
Carnelian Orb of Dragonkind,23
Zagoth Triome,23
Breeding Pool,23
Jetmir's Garden,23
Mystic Monastery,23
Sunscorch Regent,22
"Lozhan, Dragons' Legacy",22
Old Gnawbone,22
Dragonlord Dromoka,22
"Drakuseth, Maw of Flames",22
Kindred Discovery,22
Hinterland Harbor,22
Raugrin Triome,22
Savai Triome,22
Astral Dragon,21
Three Visits,21
Temur Ascendancy,21
Crucible of Fire,21
Temple of Mystery,21
Simic Growth Chamber,21
Stomping Ground,21
Crumbling Necropolis,21
"Betor, Kin to All",20
"Renari, Merchant of Marvels",20
Scourge of Valkas,20
Icefall Regent,20
Heroic Intervention,20
Return of the Wildspeaker,20
Herald's Horn,20
Mosswort Bridge,20
Arcane Sanctum,20
Nomad Outpost,20
Drogskol Captain,19
Negate,19
Draconic Lore,19
Mirari's Wake,19
Reflections of Littjara,19
Woodland Cemetery,19
Blood Crypt,19
Myriad Landscape,19
Tiamat,18
"Ureni, the Song Unending",18
Steel Hellkite,18
Bladewing the Risen,18
Juvenile Mist Dragon,18
Nimbleclaw Adept,18
Commander's Sphere,18
Rhythm of the Wild,18
Timeless Lotus,18
Godless Shrine,18
Yavimaya Coast,18
Raffine's Tower,18
Hallowed Fountain,18
Ureni of the Unwritten,17
Destructor Dragon,17
Enduring Scalelord,17
"Oyobi, Who Split the Heavens",17
Dragon Turtle,17
Sakura-Tribe Elder,17
Victimize,17
Eerie Ultimatum,17
Rogue's Passage,17
Watery Grave,17
Rugged Highlands,17
Xander's Lounge,17
Golgari Rot Farm,17
Temple of Abandon,17
Skanos Dragonheart,16
Llanowar Elves,16
Sword Coast Serpent,16
Young Blue Dragon,16
Scalelord Reckoner,16
Rivaz of the Claw,16
Dragonmaster Outcast,16
Ancient Gold Dragon,16
Goldspan Dragon,16
Ambitious Dragonborn,16
Dread Linnorm,16
Generous Gift,16
Blasphemous Act,16
Jugan Defends the Temple,16
Frontier Siege,16
Simic Signet,16
Terramorphic Expanse,16
Dreamroot Cascade,16
Game Trail,16
Sunpetal Grove,16
Rejuvenating Springs,16
Dracogenesis,15
Utvara Hellkite,15
"Neriv, Heart of the Storm",15
Emerald Dragon,15
Assassin's Trophy,15
Chaos Warp,15
Rishkar's Expertise,15
Harmonize,15
Fist of Suns,15
Orb of Dragonkind,15
Lightning Greaves,15
Encroaching Dragonstorm,15
Chromatic Lantern,15
Kami of Whispered Hopes,14
Urza's Incubator,14
Crucible of the Spirit Dragon,14
Dragonstorm Globe,14
Rend Flesh,13
Return to Nature,13
Reanimate,13
"Boseiju, Who Endures",13
Bojuka Bog,13
Golgari Signet,13
Silumgar's Scorn,12
Putrefy,12
Ethereal Haze,12
Skyshroud Claim,12
Primevals' Glorious Rebirth,12
Shamanic Revelation,12
The Great Henge,12
Acolyte of Bahamut,12
Hardened Scales,12
Temple of the False God,12
"Takenuma, Abandoned Mire",12
Sarkhan's Triumph,11
Explore,11
Roiling Dragonstorm,11
Sarkhan Unbroken,11
Gavony Township,11
Gruul Signet,11
Rhystic Study,10
Cyclonic Rift,10
Smothering Tithe,10
Wear Away,10
Dromoka's Command,10
Soulless Revival,10
Brainstorm,10
Krosan Grip,10
Patriarch's Bidding,10
Ribbons of the Reikai,10
Monster Manual,10
Long-Forgotten Gohei,10
Annie Joins Up,10
Riveteers Ascendancy,10
Warstorm Surge,10
"Yavimaya, Cradle of Growth",10
"Otawara, Soaring City",10
"Oran-Rief, the Vastwood",10
Selesnya Signet,10
Demonic Tutor,9
Death Denied,9
Dragon's Fire,9
Spit Flame,9
Farewell,9
Austere Command,9
Emerald Medallion,9
Rhonas's Monument,9
Up the Beanstalk,9
Tribute to the World Tree,9
Wild Growth,9
Colossal Majesty,9
Breaching Dragonstorm,9
Elemental Bond,9
Castle Garenbrig,9
"Eiganjo, Seat of the Empire",9
Fellwar Stone,9
Talisman of Curiosity,9
Inspiring Call,8
Teferi's Protection,8
Terminate,8
Arcane Denial,8
Genesis Ultimatum,8
Living Death,8
Dread Return,8
Citadel Siege,8
Animate Dead,8
Sanctum of All,8
Monastery Siege,8
Unnatural Growth,8
Journey to Eternity,8
Kindred Boon,8
Leyline of Mutation,8
Sarkhan the Masterless,8
Kessig Wolf Run,8
Talisman of Resilience,8
Patchwork Banner,8
Thought Vessel,8
Harrow,7
Unbreakable Formation,7
Magmaquake,7
Revitalizing Repast,7
Aether Shockwave,7
Malakir Rebirth,7
Snakeskin Veil,7
Explosive Vegetation,7
Ruinous Ultimatum,7
Vandalblast,7
Bala Ged Recovery,7
Decimate,7
Will of the Temur,7
Ponder,7
Buried Alive,7
"Ozolith, the Shattered Spire",7
