card name,synergy %
"Rakdos, the Muscle",86
Sol Ring,85
"Marchesa, the Black Rose",83
"Tergrid, God of Fright",82
"Braids, Arisen Nightmare",79
"Teval, the Balanced Scale",78
Command Tower,78
Araumi of the Dead Tide,75
Arcane Signet,75
Rivaz of the Claw,73
Ignoble Hierarch,68
"Tinybones, Trinket Thief",66
"Ziatora, the Incinerator",65
Teysa Karlov,63
Swords to Plowshares,62
Ziatora's Proving Ground,58
Cinder Glade,54
Kishla Skimmer,52
Savage Lands,52
Sakura-Tribe Elder,51
Godless Shrine,51
Smoldering Marsh,51
Overgrown Tomb,50
Isolated Chapel,50
Caves of Koilos,49
Stomping Ground,49
"Henzie ""Toolbox"" Torre",48
Disa the Restless,47
"Miirym, Sentinel Wyrm",46
Blood Crypt,46
"Dihada, Binder of Wills",45
Kaalia of the Vast,45
Riveteers Ascendancy,45
Path to Exile,45
Sunken Hollow,45
"Kotis, Sibsig Champion",44
"Atsushi, the Blazing Sky",44
Victimize,44
Farseek,44
Orzhov Signet,44
Blasphemous Act,42
Talisman of Hierarchy,42
Woodland Cemetery,42
Watery Grave,42
Assassin's Trophy,41
Vault of Champions,41
Dragonskull Summit,41
Birds of Paradise,40
Counterspell,40
Undergrowth Stadium,40
"Elas il-Kor, Sadistic Pilgrim",39
Solemn Simulacrum,39
Indatha Triome,39
Nomad Outpost,39
Opulent Palace,39
Anguished Unmaking,38
Reanimate,38
Rampant Growth,38
Bojuka Bog,38
Exotic Orchard,38
Temple Garden,38
Llanowar Wastes,38
Raffine's Tower,37
Luxury Suite,37
Eternal Witness,36
Beast Within,36
Cultivate,36
Savai Triome,36
Spire Garden,36
Chaos Warp,35
Talisman of Dominance,35
Dimir Signet,35
Drowned Catacomb,35
Xander's Lounge,35
"Ao, the Dawn Sky",34
Nature's Lore,34
Sacred Foundry,34
Hallowed Fountain,34
Arcane Sanctum,34
"Chainer, Nightmare Adept",33
The Kami War,33
Steam Vents,33
The World Tree,33
Diviner of Mist,32
"Kairi, the Swirling Sky",32
Terminate,32
Damn,32
Garruk's Uprising,32
Kessig Wolf Run,32
Zagoth Triome,32
Crumbling Necropolis,32
"Etali, Primal Conqueror",31
"Etali, Primal Storm",31
Twisted Landscape,31
Foreboding Landscape,31
"Kyodai, Soul of Kamigawa",30
"Aurelia, the Warleader",30
Hinterland Harbor,30
Battlefield Forge,30
Shattered Sanctum,30
Rockfall Vale,30
Breeding Pool,30
Morphic Pool,30
Shipwreck Marsh,30
Call the Spirit Dragons,29
Smothering Tithe,29
"Elenda, the Dusk Rose",29
Kodama's Reach,29
Ketria Triome,29
Colossal Grave-Reaver,28
"Gisela, Blade of Goldnight",28
Lightning Greaves,28
Greater Good,28
Dreamroot Cascade,28
Jetmir's Garden,28
Tainted Field,28
Sulfurous Springs,28
Baleful Strix,27
"Kokusho, the Evening Star",27
Talisman of Indulgence,27
Kheru Goldkeeper,26
Ruinous Ultimatum,26
Eerie Ultimatum,26
Skullclamp,26
"Urborg, Tomb of Yawgmoth",26
Anger,25
Protean Hulk,25
Luminous Broodmoth,25
"Liesa, Forgotten Archangel",25
"Syr Konrad, the Grim",25
Generous Gift,25
Faithless Looting,25
Three Visits,25
"Takenuma, Abandoned Mire",25
Honest Rutstein,24
Cruel Celebrant,24
Timeless Witness,24
Gray Merchant of Asphodel,24
Dark Ritual,24
Despark,24
Living Death,24
Talisman of Conviction,24
Rakdos Signet,24
"Shanid, Sleepers' Scourge",23
Tiamat,23
Viscera Seer,23
"Keiga, the Tide Star",23
Ureni of the Unwritten,23
Malakir Rebirth,23
Toxic Deluge,23
Ashnod's Altar,23
Animate Dead,23
Reliquary Tower,23
"Kura, the Boundless Sky",22
Seedguide Ash,22
"Ojer Kaslem, Deepest Growth",22
Industrial Advancement,22
"Boseiju, Who Endures",22
Boros Signet,22
Fellwar Stone,22
Primeval Herald,21
"Athreos, God of Passage",21
Llanowar Elves,21
Void Rend,21
Will of the Sultai,21
Primevals' Glorious Rebirth,21
Essence Anchor,21
Phyrexian Tower,21
Talisman of Creativity,21
Meren of Clan Nel Toth,20
Bartolomé del Presidio,20
Rampant Rejuvenator,20
"Mondrak, Glory Dominus",20
"O-Kagachi, Vengeful Kami",20
"Cadric, Soul Kindler",20
Elves of Deep Shadow,20
Karmic Guide,20
Massacre Wurm,20
Teferi's Protection,20
Negate,20
Swiftfoot Boots,20
Birthing Pod,20
Leyline of the Guildpact,20
Cyclonic Rift,19
Feldon of the Third Path,19
"Roxanne, Starfall Savant",19
"Sheoldred, Whispering One",19
Blood Artist,19
"Goreclaw, Terror of Qal Sisma",19
Treeshaker Chimera,19
"Rith, Liberated Primeval",19
Floral Evoker,19
"Lotho, Corrupt Shirriff",19
Feed the Swarm,19
Rhystic Study,19
Phyrexian Arena,19
Cabal Coffers,19
Demonic Tutor,18
Archon of Cruelty,18
Heroic Intervention,18
Riveteers Charm,18
Village Rites,18
Boros Charm,18
Deadly Dispute,18
Arcane Denial,18
Rhythm of the Wild,18
Temur Ascendancy,18
"Eiganjo, Seat of the Empire",18
Timeless Lotus,18
"The Gitrog, Ravenous Ride",17
Frantic Search,17
Birthing Ritual,17
"Otawara, Soaring City",17
Azorius Signet,17
Izzet Signet,17
An Offer You Can't Refuse,16
Mortify,16
Life's Legacy,16
Buried Alive,16
Rise of the Witch-king,16
The Skullspore Nexus,16
Mind Stone,16
Mosswort Bridge,16
Talisman of Resilience,16
Grisly Salvage,15
Windfall,15
Urza's Ruinous Blast,15
Anointed Procession,15
Talisman of Progress,15
Bedevil,14
Entomb,14
Phyrexian Altar,14
Sneak Attack,14
Mirari's Wake,14
Evolutionary Leap,14
Teval's Judgment,14
High Market,14
Vault of the Archangel,14
Talisman of Impulse,14
Vampiric Tutor,13
Wear // Tear,13
Putrefy,13
Deflecting Swat,13
Dovin's Veto,13
Deadly Rollick,13
Culling Ritual,13
Dread Return,13
Damnation,13
Minas Tirith,13
Fact or Fiction,12
Thrill of Possibility,12
Farewell,12
Diabolic Intent,12
Bala Ged Recovery,12
Commander's Sphere,12
Jet Medallion,12
Altar of Dementia,12
Warstorm Surge,12
Grave Pact,12
Flowering of the White Tree,12
Black Market Connections,12
Awaken the Honored Dead,12
Thought Vessel,12
Fierce Guardianship,11
Bolas's Citadel,11
Brainstorm,11
Fell the Profane,11
Mana Drain,11
Fracture,11
Rakdos Charm,11
Afterlife from the Loam,11
Vandalblast,11
Austere Command,11
Blasphemous Edict,11
Rite of Oblivion,11
The Great Henge,11
Fist of Suns,11
Journey to Eternity,11
Shadow in the Warp,11
Deathreap Ritual,11
Phyrexian Reclamation,11
Spinerock Knoll,11
Golgari Signet,11
Growth Spiral,10
Inkshield,10
Withering Torment,10
Grapple with the Past,10
Unburial Rites,10
Sign in Blood,10
Night's Whisper,10
Kaya's Wrath,10
Wayfarer's Bauble,10
Bastion of Remembrance,10
Mystic Remora,10
Dictate of Erebos,10
Propaganda,10
Tarmogoyf Nest,10
Glacierwood Siege,10
"Grist, the Hunger Tide",10
Sarkhan Unbroken,10
Rogue's Passage,10
Shifting Woodland,10
"Yavimaya, Cradle of Growth",10
Enlightened Tutor,9
Tear Asunder,9
Faithful Mending,9
Big Score,9
Abrupt Decay,9
Infernal Grasp,9
Swan Song,9
Worldly Tutor,9
Crackling Doom,9
Stroke of Midnight,9
Welcome the Dead,9
Rise of the Dark Realms,9
Supreme Verdict,9
Vindicate,9
Jeska's Will,9
Agadeem's Awakening,9
Wrath of God,9
Chandra's Ignition,9
Breach the Multiverse,9
The Reaver Cleaver,9
The Meathook Massacre,9
Moldervine Reclamation,9
Dragon Tempest,9
Kindred Discovery,9
Ripples of Undeath,9
Annie Joins Up,9
Black Market,9
Guardian Project,9
"Liliana, Dreadhorde General",9
"Nicol Bolas, Dragon-God",9
Geier Reach Sanitarium,9
Castle Locthwain,9
Cephalid Coliseum,9
Temple of the False God,9
Relic of Sauron,9
Ancient Tomb,8
Revitalizing Repast,8
Rushed Rebirth,8
Kolaghan's Command,8
Life from the Loam,8
Eldritch Evolution,8
Rishkar's Expertise,8
Syphon Mind,8
Doors of Durin,8
Conduit of Worlds,8
Deadbridge Chant,8
Wild Growth,8
The Kenriths' Royal Funeral,8
Necromancy,8
Kaya the Inexorable,8
Lapis Orb of Dragonkind,8
Gruul Signet,8
Sevinne's Reclamation,7
Death Begets Life,7
Goblin Bombardment,7
Utopia Sprawl,7
Rakdos Joins Up,7
Land Tax,7
Leyline of Mutation,7
Unnatural Growth,7
Sylvan Library,7
"Ashiok, Dream Render",7
"Nykthos, Shrine to Nyx",7
Cabal Stronghold,7
Command Beacon,7
"Shizo, Death's Storehouse",7
Witch's Cottage,7
Mystic Sanctuary,7
Raging Ravine,7
Relic of Legends,7
Chromatic Lantern,7
Bontu's Monument,6
"Nicol Bolas, God-Pharaoh",6
"Sokenzan, Crucible of Defiance",6
Spymaster's Vault,6
Arena of Glory,6
Mortuary Mire,6
Grim Backwoods,6
Charcoal Diamond,6
"Sivitri, Dragon Master",5
"Jin-Gitaxias, Core Augur",5
Whip of Erebos,5
Brass's Tunnel-Grinder,5
Vat of Rebirth,5
Tranquil Thicket,5
"Minamo, School at Water's Edge",5
Dakmor Salvage,5
Forgotten Cave,5
Carnelian Orb of Dragonkind,5
Dragon's Hoard,5
Ratadrabik of Urborg,4
