card name,synergy %
Command Tower,90
"Isshin, Two Heavens as One",89
Sol Ring,88
The Ur-Dragon,83
"Tariel, Reckoner of Souls",83
Arcane Signet,79
"Morophon, the Boundless",74
"Dihada, Binder of Wills",74
"Neriv, Heart of the Storm",64
"Miirym, Sentinel Wyrm",62
"Jodah, Archmage Eternal",61
"Jodah, the Unifier",58
Tiamat,54
Chromatic Lantern,52
Exotic Orchard,50
Farseek,48
"Atarka, World Render",47
Swords to Plowshares,45
"Sisay, Weatherlight Captain",42
Dragon Tempest,42
Old Gnawbone,42
Cultivate,42
Path of Ancestry,42
Scion of the Ur-Dragon,40
Crux of Fate,39
Dragonlord Dromoka,39
Temur Ascendancy,39
"Kaalia, Zenith Seeker",38
Call the Spirit Dragons,37
Stomping Ground,37
Terror of the Peaks,36
Sacred Foundry,36
Dragonspeaker Shaman,35
Temple Garden,35
Smothering Tithe,34
Godless Shrine,34
Savai Triome,34
Ketria Triome,34
"Omnath, Locus of All",33
"Lathliss, Dragon Queen",33
Urza's Incubator,33
Ancient Silver Dragon,33
Path to Exile,33
Nature's Lore,33
Lightning Greaves,33
Blood Crypt,33
Haven of the Spirit Dragon,33
"Sarkhan, Soul Aflame",32
Overgrown Tomb,32
The World Tree,32
Rivaz of the Claw,31
Goldspan Dragon,31
"Rith, Liberated Primeval",31
Dragonlord's Servant,31
Indatha Triome,31
Arid Mesa,31
"Kenrith, the Returned King",30
Ancient Copper Dragon,30
"Ramos, Dragon Engine",30
Birds of Paradise,30
Heroic Intervention,30
Kodama's Reach,30
Herald's Horn,30
Garruk's Uprising,30
Jetmir's Garden,30
Breeding Pool,30
Cavern of Souls,30
Queen Marchesa,29
Dracogenesis,29
Utvara Hellkite,29
"Aurelia, the Warleader",29
Rhythm of the Wild,29
Steam Vents,29
Hallowed Fountain,29
Three Visits,28
Fellwar Stone,28
Dragon's Hoard,28
Raugrin Triome,28
Marsh Flats,28
Rhystic Study,27
Bloodstained Mire,27
Ziatora's Proving Ground,27
Ureni of the Unwritten,26
"Gisela, Blade of Goldnight",26
Teferi's Protection,26
Counterspell,26
Zagoth Triome,26
Demonic Tutor,25
"Klauth, Unrivaled Ancient",25
Balefire Dragon,25
Watery Grave,25
Nomad Outpost,25
"Esika, God of the Tree",24
Maelstrom of the Spirit Dragon,24
Cyclonic Rift,24
"Avacyn, Angel of Hope",23
Two-Headed Hellkite,23
Thrakkus the Butcher,23
Bloom Tender,23
Rampant Growth,23
Commander's Sphere,23
Reliquary Tower,23
Spara's Headquarters,23
Twinflame Tyrant,22
Bladewing the Risen,22
Scourge of Valkas,22
Savage Ventmaw,22
Ancient Gold Dragon,22
"Silumgar, the Drifting Death",22
Fist of Suns,22
Windswept Heath,22
Wooded Foothills,22
Ancient Brass Dragon,21
"Korlessa, Scale Singer",21
Verdant Catacombs,21
Evolving Wilds,21
Mirari's Wake,20
Sarkhan Unbroken,20
Misty Rainforest,20
Reflecting Pool,20
"Liesa, Forgotten Archangel",19
"Giada, Font of Hope",19
Hellkite Courser,19
Scion of Draco,19
Swiftfoot Boots,19
Kindred Discovery,19
Flooded Strand,19
Scalding Tarn,19
Xander's Lounge,19
Hellkite Tyrant,18
"Karrthus, Tyrant of Jund",18
Anguished Unmaking,18
Ruinous Ultimatum,18
Leyline of the Guildpact,18
Unclaimed Territory,18
Mox Jasper,17
Vampiric Tutor,17
"Teneb, the Harvester",17
Lyra Dawnbringer,17
Drana and Linvala,17
Roaming Throne,17
Mana Drain,17
The Great Henge,17
Jungle Shrine,17
Secluded Courtyard,17
Raffine's Tower,17
City of Brass,17
Frontier Bivouac,17
Polluted Delta,17
Spectator Seating,17
Scalelord Reckoner,16
Ancient Bronze Dragon,16
Maelstrom Archangel,16
"Sigarda, Font of Blessings",16
Dragonlord Silumgar,16
"Ganax, Astral Hunter",16
"Bruna, the Fading Light",16
Faeburrow Elder,16
Timeless Lotus,16
