card name,synergy %
"Sarkhan, Soul Aflame",93
"Miirym, Sentinel Wyrm",91
"Millicent, Restless Revenant",87
"Silumgar, the Drifting Death",85
"Taigam, Ojutai Master",84
"Renari, Merchant of Marvels // Acolyte of Bahamut",83
Sol Ring,83
"Shorikai, Genesis Engine",81
Command Tower,79
Arcane Signet,78
"Kyodai, Soul of Kamigawa",76
"O-Kagachi, Vengeful Kami",74
"Firkraag, Cunning Instigator",69
The Ever-Changing 'Dane,69
The Ur-Dragon,64
"Junji, the Midnight Sky",58
Cultivate,53
"Kura, the Boundless Sky",52
"Atsushi, the Blazing Sky",51
"Ao, the Dawn Sky",50
Swords to Plowshares,50
"Korlessa, Scale Singer",49
Sunken Hollow,46
Counterspell,45
Araumi of the Dead Tide,43
Kodama's Reach,43
Dimir Signet,42
The Kami War,41
Farseek,40
"Atarka, World Render",38
Rampant Growth,38
Talisman of Dominance,37
Watery Grave,37
Tiamat,36
"Keiga, the Tide Star",36
"Kokusho, the Evening Star",36
Drowned Catacomb,35
Dragon Tempest,34
Garruk's Uprising,34
Dragonspeaker Shaman,34
Path to Exile,34
Prairie Stream,34
Exotic Orchard,34
"Yosei, the Morning Star",33
"Lathliss, Dragon Queen",33
Nature's Lore,33
Frontier Bivouac,33
"Ryusei, the Falling Star",32
"Ganax, Astral Hunter",32
Thrakkus the Butcher,32
Reliquary Tower,32
The World Tree,32
Dragonlord's Servant,31
Temur Ascendancy,31
Hallowed Fountain,31
Ketria Triome,31
Path of Ancestry,31
Earthquake Dragon,30
Beast Within,30
Shipwreck Marsh,30
Dragon's Hoard,29
Breeding Pool,29
Call the Spirit Dragons,28
Crux of Fate,28
Bojuka Bog,28
Carnelian Orb of Dragonkind,28
Jade Orb of Dragonkind,28
Dimir Aqueduct,28
Steam Vents,28
Zagoth Triome,28
"Iymrith, Desert Doom",27
Scaled Nurturer,27
Negate,27
Azorius Signet,27
Stomping Ground,27
Sulfur Falls,27
Overgrown Tomb,27
Morphic Pool,27
Spara's Headquarters,27
Temple of Deceit,27
Shivan Reef,27
"Jugan, the Rising Star",26
"Lozhan, Dragons' Legacy",26
Scourge of Valkas,26
Old Gnawbone,26
Chaos Warp,26
Blasphemous Act,26
Feed the Swarm,26
Choked Estuary,26
Opulent Palace,26
Ziatora's Proving Ground,26
Raffine's Tower,26
Mystic Monastery,26
Arcane Sanctum,26
Hinterland Harbor,26
Yavimaya Coast,26
