card name,synergy %
The Ever-Changing 'Dane,94
Sol Ring,88
The Ur-Dragon,84
Ureni of the Unwritten,83
Command Tower,83
Arcane Signet,79
"Kyodai, Soul of Kamigawa",78
Araumi of the Dead Tide,74
"Geralf, Visionary Stitcher",68
"Atarka, World Render",66
"Eshki, Temur's Roar",64
Cultivate,59
Broodcaller Scourge,58
Tiamat,57
Frontier Bivouac,57
Kodama's Reach,55
Scion of the Ur-Dragon,54
Parapet Thrasher,53
Thundermane Dragon,53
"O-Kagachi, Vengeful Kami",52
Dragon Tempest,51
Temur Ascendancy,51
"Volo, Guide to Monsters",50
Dragonlord's Servant,50
Farseek,50
"Korlessa, Scale Singer",49
Encroaching Dragonstorm,49
"Lathliss, Dragon Queen",49
Thrakkus the Butcher,49
"Ryusei, the Falling Star",48
Dragonspeaker Shaman,48
Garruk's Uprising,48
Dragon's Hoard,48
Cinder Glade,48
Path of Ancestry,47
Swords to Plowshares,45
Counterspell,45
Hammerhead Tyrant,44
Become the Avalanche,44
Deceptive Frostkite,44
"Ganax, Astral Hunter",44
Savage Ventmaw,44
"Drakuseth, Maw of Flames",44
Beast Within,44
"Junji, the Midnight Sky",43
Rampant Growth,43
Blasphemous Act,43
"Kokusho, the Evening Star",42
"Marchesa, the Black Rose",41
Exotic Orchard,41
"Firkraag, Cunning Instigator",40
Chaos Warp,40
Sunken Hollow,40
Whirlwing Stormbrood,39
Scourge of Valkas,39
Will of the Temur,39
Dimir Signet,39
"Yosei, the Morning Star",38
Earthquake Dragon,38
Carnelian Orb of Dragonkind,38
Reliquary Tower,37
"Lozhan, Dragons' Legacy",36
Thunderbreak Regent,36
Haven of the Spirit Dragon,36
Sulfur Falls,36
Crux of Fate,35
Watery Grave,35
Scaled Nurturer,34
"Ao, the Dawn Sky",34
Dragonlord Silumgar,33
Wrathful Red Dragon,33
Nature's Lore,33
Hinterland Harbor,33
"Atsushi, the Blazing Sky",32
Breaching Dragonstorm,32
Jade Orb of Dragonkind,32
Arcane Sanctum,32
Drowned Catacomb,32
Yavimaya Coast,32
Shivan Reef,32
Steel Hellkite,31
Astral Dragon,31
Path to Exile,31
Crumbling Necropolis,31
Temple of Epiphany,31
"Sarkhan, Soul Aflame",30
"Iymrith, Desert Doom",30
Draconic Muralists,30
Call the Spirit Dragons,30
The Kami War,30
Talisman of Dominance,30
Hallowed Fountain,30
Rockfall Vale,30
Bountiful Landscape,30
Fellwar Stone,29
Talisman of Creativity,29
The World Tree,29
Evolving Wilds,29
Prairie Stream,29
Jungle Shrine,29
Negate,28
Izzet Signet,28
Opulent Palace,28
Temple of Mystery,28
Temple of Abandon,28
Mystic Monastery,28
Swiftfoot Boots,27
Rootbound Crag,27
Myriad Landscape,27
Temple Garden,27
Vengeful Ancestor,26
"Silumgar, the Drifting Death",26
Bladewing the Risen,26
Zenith Festival,26
Mosswort Bridge,26
Seaside Citadel,26
Overgrown Tomb,26
Dimir Aqueduct,26
Izzet Boilerworks,26
"Kairi, the Swirling Sky",25
"Niv-Mizzet, Parun",25
Old Gnawbone,25
Ketria Triome,25
Godless Shrine,25
Shipwreck Marsh,25
Raffine's Tower,25
Blood Crypt,25
Breeding Pool,25
Spara's Headquarters,25
"Miirym, Sentinel Wyrm",24
Goldspan Dragon,24
Terror of the Peaks,24
Utvara Hellkite,24
Rhythm of the Wild,24
Bojuka Bog,24
Temple of the Dragon Queen,24
Sandsteppe Citadel,24
Temple of Deceit,24
Zagoth Triome,24
Morphic Pool,24
Savage Lands,24
Scourge of the Throne,23
"Kura, the Boundless Sky",23
Dragonlord Dromoka,23
Dragonmaster Outcast,23
Lightning Greaves,23
Frontier Siege,23
Elemental Bond,23
Azorius Signet,23
Lapis Orb of Dragonkind,23
Karplusan Forest,23
Raugrin Triome,23
Steam Vents,23
Solemn Simulacrum,22
Heroic Intervention,22
Territorial Hellkite,21
Temur Battlecrier,21
Brainstealer Dragon,21
"Teneb, the Harvester",21
Rivaz of the Claw,21
Ancient Brass Dragon,21
Return of the Wildspeaker,21
Herald's Horn,21
Orb of Dragonkind,21
Crucible of Fire,21
Ancient Silver Dragon,20
"Rith, Liberated Primeval",20
"Renari, Merchant of Marvels",20
Three Visits,20
Mind Stone,20
"Ureni, the Song Unending",19
Growth Spiral,19
Reanimate,19
Feed the Swarm,19
Commander's Sphere,19
Dracogenesis,19
Acolyte of Bahamut,19
Reflections of Littjara,19
Smothering Tithe,18
Wayfarer's Bauble,18
Propaganda,18
Mirari's Wake,18
Kindred Discovery,18
Leyline of the Guildpact,18
Temple of the False God,18
"Renari, Merchant of Marvels // Acolyte of Bahamut",17
Cyclonic Rift,17
Spit Flame,17
Draconic Lore,17
Crucible of the Spirit Dragon,17
Rhystic Study,16
Dark Ritual,16
Generous Gift,16
Kessig Wolf Run,16
Thought Vessel,16
Sarkhan's Triumph,15
Arcane Denial,15
Shamanic Revelation,15
Chain Reaction,15
Urza's Incubator,15
Fist of Suns,15
Talisman of Impulse,15
Timeless Lotus,15
Chromatic Lantern,15
Talisman of Progress,15
Orzhov Signet,15
Demonic Tutor,14
Void Rend,14
Reality Shift,14
Brainstorm,14
Victimize,14
Eerie Ultimatum,14
Genesis Ultimatum,14
Disrupt Decorum,14
Monster Manual,14
Sarkhan Unbroken,14
Dragonstorm Globe,14
Return to Nature,13
Dovin's Veto,13
Migration Path,13
Rishkar's Expertise,13
Warstorm Surge,13
Animate Dead,13
Curse of Opulence,13
Sarkhan the Masterless,13
Rakdos Signet,13
Simic Signet,13
Rapid Hybridization,12
Teferi's Protection,12
Anguished Unmaking,12
An Offer You Can't Refuse,12
Vandalblast,12
Fearsome Awakening,12
Frostcliff Siege,12
Shiny Impetus,12
"Takenuma, Abandoned Mire",12
Rogue's Passage,12
Dragon's Fire,11
Ghostly Flicker,11
Klauth's Will,11
Supreme Verdict,11
Toxic Deluge,11
Spectacular Showdown,11
Farewell,11
Selvala's Stampede,11
Skyshroud Claim,11
Panharmonicon,11
Up the Beanstalk,11
Liliana's Talent,11
Ghostly Prison,11
Castle Vantress,11
Herd Heirloom,11
"Sivitri, Dragon Master",10
Despark,10
Mana Drain,10
Pongify,10
Assassin's Trophy,10
Austere Command,10
Explore,10
Bident of Thassa,10
Phyrexian Arena,10
Desolate Lighthouse,10
Cursed Mirror,10
Gruul Signet,10
Soul Manipulation,9
Silumgar's Scorn,9
Infernal Grasp,9
Withering Torment,9
Terminate,9
Damnation,9
Curse of the Swine,9
Primevals' Glorious Rebirth,9
Patriarch's Bidding,9
Kaya's Ghostform,9
Dragonback Assault,9
Roiling Dragonstorm,9
"Boseiju, Who Endures",9
Wandering Fumarole,9
"Otawara, Soaring City",9
Mistrise Village,9
Talisman of Hierarchy,9
Midnight Clock,9
Mox Jasper,9
Talisman of Indulgence,9
Fierce Guardianship,8
Vampiric Tutor,8
Domineering Will,8
Aetherize,8
Boros Charm,8
Haunting Voyage,8
Damn,8
Ponder,8
The Great Henge,8
Parallel Lives,8
Curse of Verbosity,8
The Akroan War,8
"Sarkhan, Fireblood",8
"Kiora, Behemoth Beckoner",8
Mystic Sanctuary,8
Patchwork Banner,8
Talisman of Curiosity,8
Sky Diamond,8
Enlightened Tutor,7
Ethereal Haze,7
Smuggler's Surprise,7
Double Major,7
Fell the Profane,7
Countersquall,7
Malakir Rebirth,7
Deadly Rollick,7
Worldly Tutor,7
Magmaquake,7
Krosan Grip,7
Reins of Power,7
Unburial Rites,7
Ruinous Ultimatum,7
Rite of Replication,7
Sapphire Medallion,7
Sneak Attack,7
Dissipation Field,7
Mystic Remora,7
Leyline of Mutation,7
Monastery Siege,7
Annie Joins Up,7
Invasion of Tarkir,7
"Nicol Bolas, Planeswalker",7
"Eiganjo, Seat of the Empire",7
Terrain Generator,7
Spinerock Knoll,7
Three Tree City,7
Charcoal Diamond,7
Boros Signet,7
Decanter of Endless Water,7
Jeska's Will,6
Entish Restoration,6
Siphon Insight,6
Deflecting Swat,6
Kindred Dominance,6
Living Death,6
Dread Return,6
Crippling Fear,6
Aether Gale,6
Preordain,6
Blue Sun's Twilight,6
Search for Tomorrow,6
Time Wipe,6
Bala Ged Recovery,6
Earthquake,6
Bloodthirsty Blade,6
Hedron Archive,6
Control Magic,6
Corroding Dragonstorm,6
Rising of the Day,6
Colossal Majesty,6
Black Market Connections,6
Fires of Yavimaya,6
Psychic Impetus,6
Sanctum of All,6
Doubling Season,6
Bower Passage,6
Kindred Boon,6
"Nicol Bolas, Dragon-God",6
"Ashiok, Dream Render",6
Cabal Coffers,6
Kher Keep,6
Phyrexian Tower,6
Talisman of Conviction,6
Thran Dynamo,6
Silumgar Monument,6
Bribery,5
Windfall,5
Molten Echoes,5
Reconnaissance Mission,5
Gilded Lotus,5
