card name,synergy %
Command Tower,93
"Flubs, the Fool",89
"Aragorn, the Uniter",88
Sol Ring,81
Zagoth Triome,77
Indatha Triome,77
Arcane Signet,76
Kynaios and Tiro of Meletis,71
Raugrin Triome,67
Jetmir's Garden,67
Spara's Headquarters,66
"Animar, Soul of Elements",65
Stomping Ground,65
Breeding Pool,64
Farseek,61
Ziatora's Proving Ground,61
"Esika, God of the Tree",60
Exotic Orchard,59
Savai Triome,59
"Storm, Force of Nature",58
Steam Vents,58
Temple Garden,57
Overgrown Tomb,53
Nature's Lore,51
"Omnath, Locus of All",50
Misty Rainforest,50
Hallowed Fountain,50
The World Tree,49
Go-Shintai of Life's Origin,48
Swords to Plowshares,48
Wooded Foothills,46
Three Visits,45
Scalding Tarn,45
Sacred Foundry,44
Raffine's Tower,43
Xander's Lounge,43
Cultivate,42
Watery Grave,41
Godless Shrine,41
The First Sliver,40
Chromatic Lantern,39
Blood Crypt,39
Heroic Intervention,37
Birds of Paradise,36
The Ur-Dragon,35
Reliquary Tower,34
Rejuvenating Springs,34
Beast Within,32
Cyclonic Rift,32
Path to Exile,31
Path of Ancestry,31
Windswept Heath,31
Teferi's Protection,30
Kodama's Reach,30
Spire Garden,30
Training Center,30
Counterspell,29
Rhystic Study,28
Verdant Catacombs,28
Arid Mesa,28
Frontier Bivouac,28
Lightning Greaves,27
Smothering Tithe,27
Faeburrow Elder,26
Rampant Growth,26
Flooded Strand,26
Blasphemous Act,24
Temur Ascendancy,24
Leyline of the Guildpact,24
Fellwar Stone,24
Tom Bombadil,23
"Yavimaya, Cradle of Growth",23
Demonic Tutor,23
"Kenrith, the Returned King",22
Bloom Tender,22
Polluted Delta,22
"Omnath, Locus of Creation",21
Magus Lucea Kane,21
Maelstrom Wanderer,21
Growth Spiral,21
"Boseiju, Who Endures",21
Bloodstained Mire,21
Chaos Warp,20
Rhythm of the Wild,20
Cinder Glade,20
Hinterland Harbor,20
Reflecting Pool,20
Call the Spirit Dragons,19
"Morophon, the Boundless",19
Assassin's Trophy,19
Swiftfoot Boots,19
Marsh Flats,19
Rootbound Crag,19
Sulfur Falls,19
Fierce Guardianship,18
Garruk's Uprising,18
Timeless Lotus,18
City of Brass,18
Mana Confluence,18
Rockfall Vale,18
Dreamroot Cascade,18
Vampiric Tutor,17
Dryad of the Ilysian Grove,17
Delighted Halfling,17
Skyshroud Claim,17
Cavern of Souls,17
"Miirym, Sentinel Wyrm",16
Enlightened Tutor,16
Mana Drain,16
Yavimaya Coast,16
Crux of Fate,15
Roaming Throne,15
Deflecting Swat,15
Mirari's Wake,15
Taiga,15
Tropical Island,15
Terror of the Peaks,14
Old Gnawbone,14
Worldly Tutor,14
Anguished Unmaking,14
Eerie Ultimatum,14
Ruinous Ultimatum,14
The Great Henge,14
Herald's Horn,14
"Otawara, Soaring City",14
Maelstrom of the Spirit Dragon,13
Tiamat,13
An Offer You Can't Refuse,13
Arcane Denial,13
Urza's Incubator,13
Annie Joins Up,13
Dragon Tempest,13
Temur Battlecrier,12
Dracogenesis,12
Ignoble Hierarch,12
Dragonlord Dromoka,12
Two-Headed Hellkite,12
Rivaz of the Claw,12
Brainstorm,12
Dovin's Veto,12
Farewell,12
Jeska's Will,12
Commander's Sphere,12
Ureni of the Unwritten,11
Goldspan Dragon,11
Noble Hierarch,11
Eternal Witness,11
"Atarka, World Render",11
"Lathliss, Dragon Queen",11
Ancient Copper Dragon,11
Swan Song,11
Exploration,11
Kindred Discovery,11
"Sythis, Harvest's Hand",10
"Ramos, Dragon Engine",10
Dragonspeaker Shaman,10
"Azusa, Lost but Seeking",10
Boros Charm,10
Generous Gift,10
Negate,10
Supreme Verdict,10
Primevals' Glorious Rebirth,10
Sylvan Library,10
Mystic Remora,10
Sterling Grove,10
Rogue's Passage,10
Chromatic Orrery,10
Mystical Tutor,9
Ancient Tomb,9
"Etali, Primal Conqueror",9
Thundermane Dragon,9
Sakura-Tribe Elder,9
Utvara Hellkite,9
Ancient Silver Dragon,9
Scourge of Valkas,9
"Klauth, Unrivaled Ancient",9
Twinflame Tyrant,9
"Rith, Liberated Primeval",9
Tireless Provisioner,9
Eladamri's Call,9
Crop Rotation,9
Explore,9
Fist of Suns,9
Maelstrom Nexus,9
Mistrise Village,9
Hall of Heliod's Generosity,9
Three Tree City,9
Dragon's Hoard,9
Thought Vessel,9
Talisman of Curiosity,9
"Xyris, the Writhing Storm",8
The One Ring,8
Broodcaller Scourge,8
Dragonlord's Servant,8
"Sarkhan, Soul Aflame",8
Bladewing the Risen,8
"Tatyova, Benthic Druid",8
Lotus Cobra,8
Jukai Naturalist,8
"Silumgar, the Drifting Death",8
Esper Sentinel,8
"Atraxa, Grand Unifier",8
Ancient Gold Dragon,8
Cloudshredder Sliver,8
Harrow,8
Urza's Ruinous Blast,8
Bala Ged Recovery,8
Genesis Ultimatum,8
The Kami War,8
Doubling Season,8
Ghostly Prison,8
Frostcliff Siege,8
Sphere of Safety,8
Talisman of Creativity,8
"Sisay, Weatherlight Captain",7
"Etali, Primal Storm",7
Balefire Dragon,7
Sliver Hivelord,7
Return of the Wildspeaker,7
Pongify,7
Void Rend,7
Windfall,7
Rishkar's Expertise,7
Patriarch's Bidding,7
Leyline of Mutation,7
Up the Beanstalk,7
Flowering of the White Tree,7
Cascading Cataracts,7
Field of the Dead,7
Temple of the False God,7
Talisman of Impulse,7
Simic Signet,7
Frantic Search,6
Entish Restoration,6
Noxious Revival,6
Manamorphose,6
Planar Genesis,6
Tempt with Discovery,6
Kindred Dominance,6
Ponder,6
Vandalblast,6
Idyllic Tutor,6
Crucible of Worlds,6
The Ozolith,6
Binding the Old Gods,6
Parallel Lives,6
Encroaching Dragonstorm,6
Propaganda,6
Hardened Scales,6
Black Market Connections,6
Guardian Project,6
Kessig Wolf Run,6
Urza's Saga,6
"Urborg, Tomb of Yawgmoth",6
Relic of Legends,6
Izzet Signet,6
Mox Jasper,6
Gruul Signet,6
Mana Crypt,6
Herd Heirloom,6
Nature's Claim,5
Despark,5
Sink into Stupor,5
Naya Charm,5
Rapid Hybridization,5
Will of the Temur,5
Toxic Deluge,5
Panharmonicon,5
Sensei's Divining Top,5
Conduit of Worlds,5
Wilderness Reclamation,5
Sanctum of All,5
"Nicol Bolas, Dragon-God",5
Mox Amber,5
Decanter of Endless Water,5
"Jodah, the Unifier",1
