card name,synergy %
"Muldrotha, the Gravetide",97
Rivaz of the Claw,92
"Ziatora, the Incinerator",88
Sol Ring,86
The Ur-Dragon,83
Command Tower,71
Arcane Signet,69
Overgrown Tomb,67
"Gollum, Obsessed Stalker",64
Ziatora's Proving Ground,62
Stomping Ground,62
Godless Shrine,61
Blood Crypt,61
Swords to Plowshares,59
"Miirym, Sentinel Wyrm",55
Ignoble Hierarch,54
Watery Grave,53
Undergrowth Stadium,50
Isolated Chapel,50
Sakura-Tribe Elder,48
Ratadrabik of Urborg,47
Assassin's Trophy,47
Temple Garden,47
Luxury Suite,46
Woodland Cemetery,46
Reanimate,45
Birds of Paradise,45
"K'rrik, Son of Yawgmoth",44
"Junji, the Midnight Sky",44
Path to Exile,43
Spire Garden,43
Breeding Pool,43
Vault of Champions,43
Indatha Triome,43
Caves of Koilos,43
"Atsushi, the Blazing Sky",42
Bojuka Bog,42
"Urborg, Tomb of Yawgmoth",41
Anguished Unmaking,41
Eternal Witness,41
Orzhov Signet,41
Dragonskull Summit,41
Sacred Foundry,40
Gray Merchant of Asphodel,39
Llanowar Wastes,39
Zagoth Triome,39
Talisman of Hierarchy,38
Steam Vents,38
Savai Triome,38
Drowned Catacomb,38
Counterspell,37
Victimize,37
Solemn Simulacrum,37
Blasphemous Act,37
Smothering Tithe,36
"Elas il-Kor, Sadistic Pilgrim",36
Hallowed Fountain,36
Smoldering Marsh,36
Ketria Triome,36
"Keiga, the Tide Star",35
Beast Within,35
Farseek,35
Dimir Signet,35
Morphic Pool,34
Sunken Hollow,34
"Etali, Primal Conqueror",33
Lightning Greaves,33
Talisman of Dominance,33
Savage Lands,33
Tiamat,32
Terror of the Peaks,32
Chaos Warp,32
Toxic Deluge,32
Skullclamp,32
Temur Ascendancy,32
Riveteers Ascendancy,32
Cabal Coffers,32
The World Tree,32
Cinder Glade,32
"Kairi, the Swirling Sky",31
"Elenda, the Dusk Rose",31
Nature's Lore,31
Cultivate,31
Animate Dead,31
Phyrexian Tower,31
"Yawgmoth, Thran Physician",30
Call the Spirit Dragons,30
Demonic Tutor,30
Ashnod's Altar,30
Raffine's Tower,30
Xander's Lounge,30
Cyclonic Rift,29
Protean Hulk,29
Dragonlord Dromoka,29
Viscera Seer,29
Sulfurous Springs,29
Shattered Sanctum,29
Jetmir's Garden,29
Blood Artist,28
Dark Ritual,28
Damn,28
Birthing Pod,28
Fetid Heath,28
Shipwreck Marsh,28
Raugrin Triome,28
Rhystic Study,27
"Ao, the Dawn Sky",27
Spore Frog,27
Three Visits,27
Living Death,27
"Boseiju, Who Endures",27
Deathcap Glade,27
Exotic Orchard,27
Massacre Wurm,26
Teferi's Protection,26
Kodama's Reach,26
Greater Good,26
Reliquary Tower,26
Rakdos Signet,26
Tainted Field,26
Spara's Headquarters,26
Haunted Ridge,26
Nomad Outpost,26
Twilight Mire,26
Balefire Dragon,25
Ancient Copper Dragon,25
Zulaport Cutthroat,25
Luminous Broodmoth,25
Malakir Rebirth,25
The Kami War,25
"Takenuma, Abandoned Mire",25
Rockfall Vale,25
Ureni of the Unwritten,24
