card name,synergy %
Thalia and The Gitrog Monster,98
"Ziatora, the Incinerator",84
"Titania, Voice of Gaea",83
Sol Ring,75
Command Tower,69
"Henzie ""Toolbox"" Torre",66
Nine-Fingers Keene,64
Meren of Clan Nel Toth,60
Child of Alara,59
"Fynn, the Fangbearer",56
Arcane Signet,54
Cultivate,51
"Atsushi, the Blazing Sky",50
"O-Kagachi, Vengeful Kami",49
"Junji, the Midnight Sky",49
Ziatora's Proving Ground,48
The Ur-Dragon,47
Cinder Glade,43
Beast Within,42
Kodama's Reach,41
Swords to Plowshares,41
Savage Lands,40
Ignoble Hierarch,39
Overgrown Tomb,39
Rampant Growth,37
Stomping Ground,37
Counterspell,36
"Ao, the Dawn Sky",35
Riveteers Ascendancy,35
Blasphemous Act,35
Garruk's Uprising,34
Nature's Lore,34
The World Tree,34
Smoldering Marsh,34
Temur Ascendancy,33
Ketria Triome,33
Blood Crypt,32
"Miirym, Sentinel Wyrm",31
Growth Spiral,31
Farseek,31
Zagoth Triome,31
Path to Exile,30
Assassin's Trophy,30
Exotic Orchard,30
Frontier Bivouac,30
"Kyodai, Soul of Kamigawa",29
Temple Garden,29
Breeding Pool,29
Dimir Guildgate,29
Indatha Triome,29
"Kairi, the Swirling Sky",28
The Kami War,28
Chaos Warp,28
Reliquary Tower,28
Heroic Intervention,27
Undergrowth Stadium,27
Woodland Cemetery,27
Jetmir's Garden,27
Rockfall Vale,27
Call the Spirit Dragons,26
Victimize,26
Bojuka Bog,26
Opulent Palace,26
Tiamat,25
"Keiga, the Tide Star",25
"Lozhan, Dragons' Legacy",25
Three Visits,25
Spire Garden,25
"Atarka, World Render",24
Sakura-Tribe Elder,24
"Korlessa, Scale Singer",24
Dragonspeaker Shaman,24
"Lathliss, Dragon Queen",24
Swiftfoot Boots,24
Dragon Tempest,24
Spara's Headquarters,24
Path of Ancestry,24
Jungle Shrine,24
Evolving Wilds,24
"Kokusho, the Evening Star",23
Rhythm of the Wild,23
Steam Vents,23
"Tatyova, Benthic Druid",22
Goldspan Dragon,22
Terror of the Peaks,22
Terminate,22
Canopy Vista,22
Llanowar Wastes,22
Simic Growth Chamber,22
Luxury Suite,22
Godless Shrine,22
Watery Grave,22
Hinterland Harbor,22
Rootbound Crag,22
"Yosei, the Morning Star",21
Dragonlord's Servant,21
Eternal Witness,21
"Chainer, Nightmare Adept",21
Rogue's Passage,21
Raugrin Triome,21
Rejuvenating Springs,21
Sandsteppe Citadel,21
"Sarkhan, Soul Aflame",20
Dragonlord Dromoka,20
Birds of Paradise,20
Ancient Silver Dragon,20
"Etali, Primal Storm",20
Thrakkus the Butcher,20
"Ganax, Astral Hunter",20
Lightning Greaves,20
"Boseiju, Who Endures",20
Savai Triome,20
Yavimaya Coast,20
Simic Guildgate,20
Dragonskull Summit,20
Myriad Landscape,20
Ureni of the Unwritten,19
Scourge of Valkas,19
Negate,19
"Yavimaya, Cradle of Growth",19
Kessig Wolf Run,19
Dreamroot Cascade,19
Game Trail,19
"Iymrith, Desert Doom",18
"Rith, Liberated Primeval",18
Ancient Copper Dragon,18
Savage Ventmaw,18
Old Gnawbone,18
Leyline of the Guildpact,18
Mosswort Bridge,18
Hallowed Fountain,18
Sacred Foundry,18
Golgari Rot Farm,18
Deathcap Glade,18
Cyclonic Rift,17
Avenger of Zendikar,17
"Ryusei, the Falling Star",17
Ancient Brass Dragon,17
"Morophon, the Boundless",17
Wrathful Red Dragon,17
Eerie Ultimatum,17
Timeless Lotus,17
Llanowar Elves,16
Solemn Simulacrum,16
Honest Rutstein,16
"Drakuseth, Maw of Flames",16
"Ramos, Dragon Engine",16
Astral Dragon,16
Disciple of Bolas,16
Malakir Rebirth,16
Return of the Wildspeaker,16
Reanimate,16
Mirari's Wake,16
"Takenuma, Abandoned Mire",16
Carnelian Orb of Dragonkind,16
Lapis Orb of Dragonkind,16
"Azusa, Lost but Seeking",15
"Renari, Merchant of Marvels // Acolyte of Bahamut",15
"Ureni, the Song Unending",15
Utvara Hellkite,15
Scute Swarm,15
Noxious Gearhulk,15
Generous Gift,15
Crop Rotation,15
Explore,15
Living Death,15
Kindred Discovery,15
Industrial Advancement,15
Dragon's Hoard,15
"Aesi, Tyrant of Gyre Strait",14
Dracogenesis,14
Rhystic Study,14
Smothering Tithe,14
Rampaging Baloths,14
Goblin Anarchomancer,14
Rivaz of the Claw,14
Ancient Gold Dragon,14
"Archelos, Lagoon Mystic",14
Teferi's Protection,14
Rishkar's Expertise,14
Crux of Fate,14
Warstorm Surge,14
Putrefy,13
Harmonize,13
Farewell,13
Bala Ged Recovery,13
Toxic Deluge,13
The Great Henge,13
Sarkhan Unbroken,13
"Betor, Kin to All",12
Arcane Denial,12
Riveteers Charm,12
Skyshroud Claim,12
Orb of Dragonkind,12
Fist of Suns,12
Conduit of Worlds,12
Guild Summit,12
Exploration,12
"Otawara, Soaring City",12
Temple of the False God,12
Chromatic Lantern,12
Demonic Tutor,11
Harrow,11
Commander's Sphere,11
Greater Good,11
Annie Joins Up,11
Spinerock Knoll,11
Jade Orb of Dragonkind,11
"The Gitrog, Ravenous Ride",10
Worldly Tutor,10
An Offer You Can't Refuse,10
Anguished Unmaking,10
Tamiyo's Safekeeping,10
Krosan Grip,10
Archdruid's Charm,10
Culling Ritual,10
Sylvan Scrying,10
Vandalblast,10
Herald's Horn,10
Felidar Retreat,10
Crucible of Fire,10
Guardian Project,10
Reflections of Littjara,10
Frostcliff Siege,10
"Eiganjo, Seat of the Empire",10
Fellwar Stone,10
Simic Signet,10
Lord Windgrace,9
Return to Nature,9
Brainstorm,9
Eureka Moment,9
Nature's Claim,9
Entish Restoration,9
Mana Drain,9
Planar Genesis,9
Revitalizing Repast,9
Deadly Dispute,9
Genesis Ultimatum,9
Rise of the Witch-king,9
Austere Command,9
Urban Evolution,9
Villainous Wealth,9
Emerald Medallion,9
Skullclamp,9
Spelunking,9
Elemental Bond,9
Tribute to the World Tree,9
Encroaching Dragonstorm,9
Sneak Attack,9
Unnatural Growth,9
Thespian's Stage,9
Castle Garenbrig,9
"Urborg, Tomb of Yawgmoth",9
The Black Gate,9
Golgari Signet,9
Gruul Signet,9
Vampiric Tutor,8
Sarkhan's Triumph,8
Tear Asunder,8
Draconic Lore,8
Deflecting Swat,8
Village Rites,8
Ruinous Ultimatum,8
Tempt with Discovery,8
Shamanic Revelation,8
Damnation,8
Life's Legacy,8
Urza's Incubator,8
The Skullspore Nexus,8
Rhonas's Monument,8
Expedition Map,8
Animate Dead,8
Sylvan Library,8
Journey to Eternity,8
Wild Growth,8
Phyrexian Arena,8
Shadow in the Warp,8
Dragonback Assault,8
Up the Beanstalk,8
Kenrith's Transformation,8
Field of the Dead,8
Mistrise Village,8
Shifting Woodland,8
Phyrexian Tower,8
Thought Vessel,8
Talisman of Resilience,8
Fierce Guardianship,7
Enlightened Tutor,7
Boros Charm,7
Pongify,7
Klauth's Will,7
Joint Exploration,7
Despark,7
Deadly Rollick,7
Will of the Temur,7
Decimate,7
Primevals' Glorious Rebirth,7
Circuitous Route,7
Splendid Reclamation,7
Supreme Verdict,7
Life from the Loam,7
Blackblade Reforged,7
Crucible of Worlds,7
Phyrexian Reclamation,7
Roiling Dragonstorm,7
