card name,synergy %
"Jegantha, the Wellspring",95
Child of Alara,90
Command Tower,89
Tiamat,86
"Esika, God of the Tree",84
Scion of the Ur-Dragon,84
"Tazri, Stalwart Survivor",82
Sol Ring,78
Arcane Signet,75
Jared Carthalion,69
Go-Shintai of Life's Origin,65
"Jenson Carthalion, Druid Exile",60
Exotic Orchard,59
"Kenrith, the Returned King",58
Chromatic Lantern,57
Path of Ancestry,54
"Miirym, Sentinel Wyrm",52
Cultivate,50
"O-Kagachi, Vengeful Kami",48
"Omnath, Locus of All",48
Farseek,46
The Ur-Dragon,43
"Atarka, World Render",42
Kodama's Reach,39
Crux of Fate,38
Dragon's Hoard,37
Dragonlord's Servant,36
Dragonspeaker Shaman,36
Rivaz of the Claw,36
Dragon Tempest,36
Haven of the Spirit Dragon,36
"Morophon, the Boundless",34
"Lathliss, Dragon Queen",34
Evolving Wilds,34
Commander's Sphere,33
"Korlessa, Scale Singer",32
"Rith, Liberated Primeval",32
Swords to Plowshares,32
Rampant Growth,32
Thrakkus the Butcher,31
The World Tree,31
"Ganax, Astral Hunter",29
Call the Spirit Dragons,28
Garruk's Uprising,28
Bladewing the Risen,28
Fellwar Stone,28
Jungle Shrine,28
Frontier Bivouac,28
Temple of the Dragon Queen,27
"Ramos, Dragon Engine",26
"Sisay, Weatherlight Captain",25
Dragonlord Dromoka,25
Old Gnawbone,25
Terramorphic Expanse,25
"Lozhan, Dragons' Legacy",24
Scion of Draco,24
"Silumgar, the Drifting Death",24
Nature's Lore,24
Herald's Horn,24
Temur Ascendancy,24
Opulent Palace,24
Secluded Courtyard,24
Ketria Triome,24
Scourge of Valkas,23
Orb of Dragonkind,23
Carnelian Orb of Dragonkind,23
Unclaimed Territory,23
Mystic Monastery,23
Dracogenesis,22
Savage Ventmaw,22
Two-Headed Hellkite,22
Path to Exile,22
The Kami War,22
Reliquary Tower,22
Savage Lands,22
Crumbling Necropolis,22
Jetmir's Garden,22
Maelstrom of the Spirit Dragon,21
Counterspell,21
Ziatora's Proving Ground,21
Stomping Ground,21
Sandsteppe Citadel,21
Scaled Nurturer,20
Terror of the Peaks,20
Crucible of Fire,20
Crucible of the Spirit Dragon,20
Nomad Outpost,20
Seaside Citadel,20
Indatha Triome,20
Spara's Headquarters,20
Earthquake Dragon,19
"Sarkhan, Soul Aflame",19
Utvara Hellkite,19
"Teneb, the Harvester",19
Zagoth Triome,19
"Kura, the Boundless Sky",18
Goldspan Dragon,18
"Dromoka, the Eternal",18
Birds of Paradise,18
"Atsushi, the Blazing Sky",18
Lightning Greaves,18
Rhythm of the Wild,18
Leyline of the Guildpact,18
Jade Orb of Dragonkind,18
Timeless Lotus,18
Temple Garden,18
Raugrin Triome,18
Savai Triome,18
Arcane Sanctum,18
Overgrown Tomb,18
Dragonstorm Globe,17
Wrathful Red Dragon,17
Faeburrow Elder,17
"Ojutai, Soul of Winter",17
Dragonmaster Outcast,17
Three Visits,17
Swiftfoot Boots,17
Urza's Incubator,17
Breeding Pool,17
Cavern of Souls,17
Cinder Glade,17
Steam Vents,17
Ureni of the Unwritten,16
Zurgo and Ojutai,16
Ancient Copper Dragon,16
Ancient Silver Dragon,16
Heroic Intervention,16
Primevals' Glorious Rebirth,16
Cascading Cataracts,16
Xander's Lounge,16
Blood Crypt,16
Sacred Foundry,16
Smothering Tithe,15
Ancient Gold Dragon,15
"Ryusei, the Falling Star",15
"Junji, the Midnight Sky",15
"Klauth, Unrivaled Ancient",15
Negate,15
Fist of Suns,15
Hallowed Fountain,15
Arid Mesa,15
Misty Rainforest,15
Raffine's Tower,15
Verdant Catacombs,15
"Renari, Merchant of Marvels",14
"Drakuseth, Maw of Flames",14
Minion of the Mighty,14
"Amareth, the Lustrous",14
"Kolaghan, the Storm's Fury",14
"Ao, the Dawn Sky",14
Dragonlord Ojutai,14
"Kairi, the Swirling Sky",14
Dragon Arch,14
Godless Shrine,14
Reflecting Pool,14
Windswept Heath,14
Watery Grave,14
Wooded Foothills,14
Marsh Flats,14
"Karrthus, Tyrant of Jund",13
Ancient Brass Dragon,13
Hellkite Courser,13
Decadent Dragon,13
Growth Spiral,13
Beast Within,13
Mirari's Wake,13
Kindred Discovery,13
Lapis Orb of Dragonkind,13
Canopy Vista,13
"Iymrith, Desert Doom",12
Twinflame Tyrant,12
Steel Hellkite,12
Dragon's Fire,12
Sarkhan's Triumph,12
Relic of Legends,12
Teferi's Protection,11
Urza's Ruinous Blast,11
"Sivitri, Dragon Master",11
Sarkhan Unbroken,11
Temple of the False God,11
Mox Jasper,11
Rhystic Study,10
Spit Flame,10
Skyshroud Claim,10
Eerie Ultimatum,10
Explore,10
Monster Manual,10
Leyline of Mutation,10
Frontier Siege,10
Sarkhan the Masterless,10
Chromatic Orrery,10
Decanter of Endless Water,10
Cyclonic Rift,9
Demonic Tutor,9
Maelstrom Nexus,9
Encroaching Dragonstorm,9
Annie Joins Up,9
Acolyte of Bahamut,9
Terminate,8
Assassin's Trophy,8
Generous Gift,8
Despark,8
Blasphemous Act,8
Farewell,8
Ruinous Ultimatum,8
"Boseiju, Who Endures",8
Great Hall of the Citadel,8
Patchwork Banner,8
Chaos Warp,7
Draconic Lore,7
Mortify,7
Anguished Unmaking,7
Boros Charm,7
Return of the Wildspeaker,7
Patriarch's Bidding,7
Migration Path,7
Explosive Vegetation,7
Heroes' Podium,7
The Great Henge,7
Breaching Dragonstorm,7
Up the Beanstalk,7
Invasion of Tarkir,7
"Sarkhan, Fireblood",7
Three Tree City,7
Unite the Coalition,6
Earthquake,6
Wayfarer's Bauble,6
Door to Nothingness,6
Elemental Bond,6
Sanctum of All,6
Honden of Life's Web,6
Sanctum of Fruitful Harvest,6
Roiling Dragonstorm,6
