card name,synergy %
Zurgo and Ojutai,98
Sol Ring,91
Command Tower,86
"Miirym, Sentinel Wyrm",85
"Rohgahh, Kher Keep Overlord",85
Arcane Signet,82
"Atarka, World Render",77
Dragon Tempest,77
Crux of Fate,75
"Ganax, Astral Hunter // Acolyte of Bahamut",69
Temur Ascendancy,69
Dragonspeaker Shaman,67
"Morophon, the Boundless",66
Dragon's Hoard,65
Dragonlord Dromoka,64
Garruk's Uprising,64
Tiamat,63
Scourge of Valkas,62
Dragonlord's Servant,62
Haven of the Spirit Dragon,61
Farseek,60
Cultivate,60
Utvara Hellkite,59
Terror of the Peaks,57
Old Gnawbone,57
Path of Ancestry,56
Rivaz of the Claw,55
"Rith, Liberated Primeval",55
Savage Ventmaw,54
Bladewing the Risen,54
"Karrthus, Tyrant of Jund",53
Goldspan Dragon,53
"Firkraag, Cunning Instigator",52
"Sarkhan, Soul Aflame",51
Thrakkus the Butcher,51
"Ganax, Astral Hunter",50
Swords to Plowshares,50
Kodama's Reach,49
Ureni of the Unwritten,48
Nature's Lore,47
Rhythm of the Wild,47
"Silumgar, the Drifting Death",46
Exotic Orchard,46
"Magda, Brazen Outlaw",44
Stomping Ground,44
Ketria Triome,44
"Korlessa, Scale Singer",43
Ancient Silver Dragon,43
Wrathful Red Dragon,42
Ancient Copper Dragon,42
"Klauth, Unrivaled Ancient",41
Call the Spirit Dragons,41
"Drakuseth, Maw of Flames",41
Heroic Intervention,41
Steam Vents,41
Carnelian Orb of Dragonkind,40
Overgrown Tomb,40
Blood Crypt,40
Two-Headed Hellkite,39
"Ramos, Dragon Engine",39
Rampant Growth,39
Breeding Pool,39
Cinder Glade,39
Ancient Gold Dragon,38
Herald's Horn,38
Temple Garden,38
Scion of the Ur-Dragon,37
Earthquake Dragon,37
Balefire Dragon,37
Beast Within,37
Three Visits,37
Frontier Bivouac,37
Twinflame Tyrant,36
Counterspell,36
The World Tree,36
Ziatora's Proving Ground,36
Sacred Foundry,36
Urza's Incubator,35
"Lozhan, Dragons' Legacy",34
Scalelord Reckoner,34
Blasphemous Act,34
Broodcaller Scourge,33
Smothering Tithe,33
Ancient Brass Dragon,33
Jetmir's Garden,33
Scaled Nurturer,32
Chaos Warp,32
Lightning Greaves,32
Dracogenesis,31
Maelstrom of the Spirit Dragon,31
Hellkite Tyrant,31
Orb of Dragonkind,31
Kindred Discovery,31
Path to Exile,30
Cyclonic Rift,29
Teferi's Protection,29
Chromatic Lantern,29
Hallowed Fountain,29
Cavern of Souls,29
Temple of the Dragon Queen,29
Zagoth Triome,29
Kaalia of the Vast,28
Birds of Paradise,28
Roaming Throne,28
Dragonborn Champion,28
Thunderbreak Regent,28
Scourge of the Throne,28
Dragonmaster Outcast,28
Crucible of Fire,28
Jade Orb of Dragonkind,28
Watery Grave,28
Savai Triome,28
Deceptive Frostkite,27
"Kolaghan, the Storm's Fury",27
Parapet Thrasher,27
Thundermane Dragon,27
Sarkhan's Triumph,27
Elemental Bond,27
Sarkhan Unbroken,27
Indatha Triome,27
Raugrin Triome,27
Astral Dragon,26
Decadent Dragon,26
Swiftfoot Boots,26
Encroaching Dragonstorm,26
Unclaimed Territory,26
Godless Shrine,26
Rockfall Vale,26
Hellkite Charger,25
Hammerhead Tyrant,25
"Teneb, the Harvester",25
Steel Hellkite,25
Reliquary Tower,25
Sulfur Falls,25
Spire Garden,25
Rhystic Study,24
Hellkite Courser,24
Crucible of the Spirit Dragon,24
Fellwar Stone,24
Rootbound Crag,24
Jungle Shrine,24
Cavern-Hoard Dragon,23
Secluded Courtyard,23
Savage Lands,23
Wooded Foothills,23
"Ojutai, Soul of Winter",22
"Iymrith, Desert Doom",22
Return of the Wildspeaker,22
Evolving Wilds,22
Training Center,22
Demonic Tutor,21
"Dromoka, the Eternal",21
Will of the Temur,21
Skyshroud Claim,21
Fist of Suns,21
Shivan Reef,21
Scalding Tarn,21
Assassin's Trophy,20
The Great Henge,20
Mirari's Wake,20
Smoldering Marsh,20
Rejuvenating Springs,20
Dragonskull Summit,20
Spara's Headquarters,20
Xander's Lounge,20
The Ur-Dragon,19
Ancient Bronze Dragon,19
Dragonlord Ojutai,19
"Atsushi, the Blazing Sky",19
Commander's Sphere,19
Mystic Monastery,19
Crumbling Necropolis,19
Misty Rainforest,19
Patriarch's Bidding,18
Rishkar's Expertise,18
Frontier Siege,18
Up the Beanstalk,18
Mosswort Bridge,18
Mox Jasper,18
Nomad Outpost,18
Hinterland Harbor,18
Negate,17
Mana Drain,17
Monster Manual,17
Leyline of the Guildpact,17
Lapis Orb of Dragonkind,17
Opulent Palace,17
Klauth's Will,16
Anguished Unmaking,16
Become the Avalanche,16
Vandalblast,16
Eerie Ultimatum,16
Breaching Dragonstorm,16
"Sarkhan, Fireblood",16
Spit Flame,15
Boros Charm,15
"Sivitri, Dragon Master",15
Vampiric Tutor,14
Terminate,14
Frostcliff Siege,14
Warstorm Surge,14
Dragonstorm Globe,14
Talisman of Creativity,14
Jeska's Will,13
Worldly Tutor,13
Growth Spiral,13
Last March of the Ents,13
Panharmonicon,13
Reflections of Littjara,13
Invasion of Tarkir,13
Mistrise Village,13
Three Tree City,13
Rakdos Signet,13
Izzet Signet,13
Stubborn Denial,12
Deflecting Swat,12
Smuggler's Surprise,12
An Offer You Can't Refuse,12
Dragon's Fire,12
Acolyte of Bahamut,12
"Boseiju, Who Endures",12
Timeless Lotus,12
Fierce Guardianship,11
Ghostly Flicker,11
Shamanic Revelation,11
Ruinous Ultimatum,11
Sarkhan the Masterless,11
Temple of the False God,11
Bojuka Bog,11
Rogue's Passage,11
Arena of Glory,11
Gruul Signet,11
Cursed Mirror,11
Generous Gift,10
Return to Nature,10
Arcane Denial,10
Big Score,10
Reanimate,10
Sneak Attack,10
Leyline of Mutation,10
Kessig Wolf Run,10
Talisman of Impulse,10
Herd Heirloom,10
Talisman of Indulgence,10
Enlightened Tutor,9
Draconic Lore,9
Swan Song,9
Magmaquake,9
Genesis Ultimatum,9
Faithless Looting,9
Farewell,9
Explore,9
Ruby Medallion,9
Parallel Lives,9
Dragonback Assault,9
Ancient Tomb,8
Bedevil,8
Unexpected Windfall,8
Abrade,8
Reality Shift,8
Rapid Hybridization,8
Kindred Summons,8
Earthquake,8
Kindred Dominance,8
Mind Stone,8
Wayfarer's Bauble,8
Roiling Dragonstorm,8
Molten Echoes,8
Monstrous Vortex,8
Aggravated Assault,8
Fires of Yavimaya,8
Shadow in the Warp,8
Colossal Majesty,8
There and Back Again,8
Spinerock Knoll,8
Patchwork Banner,8
Boros Signet,8
Thrill of Possibility,7
Brainstorm,7
Dark Ritual,7
Feed the Swarm,7
Victimize,7
Zenith Festival,7
Migration Path,7
Majestic Genesis,7
Harmonize,7
Sylvan Library,7
Phyrexian Arena,7
Animate Dead,7
Doubling Season,7
Bower Passage,7
Lurking Predators,7
Defense of the Heart,7
Rising of the Day,7
"Kiora, Behemoth Beckoner",7
"Yavimaya, Cradle of Growth",7
"Otawara, Soaring City",7
Thought Vessel,7
Talisman of Conviction,7
Entish Restoration,6
Rakdos Charm,6
Despark,6
Pongify,6
Bolt Bend,6
Primevals' Glorious Rebirth,6
Chain Reaction,6
Mana Geyser,6
Dragon Arch,6
Vanquisher's Banner,6
Annie Joins Up,6
Mystic Remora,6
Black Market Connections,6
Eladamri's Call,5
Lightning Bolt,5
Decimate,5
Toxic Deluge,5
Raise the Palisade,5
Austere Command,5
Maskwood Nexus,5
Hazoret's Monument,5
Rite of the Dragoncaller,5
"Sarkhan, Dragonsoul",5
Command Beacon,5
Simic Signet,5
