card name,synergy %
"Teval, the Balanced Scale",93
The Gitrog Monster,82
Command Tower,82
"Coram, the Undertaker",80
Soul of Windgrace,80
Sol Ring,75
Meren of Clan Nel Toth,74
Overgrown Tomb,69
Godless Shrine,64
Temple Garden,63
Stomping Ground,63
Breeding Pool,62
Indatha Triome,61
Blood Crypt,61
Swords to Plowshares,60
Ziatora's Proving Ground,58
Watery Grave,58
Assassin's Trophy,55
The Mycotyrant,54
Steam Vents,53
Zagoth Triome,53
Ramunap Excavator,52
Eternal Witness,50
Path to Exile,50
Verdant Catacombs,50
Ignoble Hierarch,49
Arcane Signet,49
Abraded Bluffs,48
Ketria Triome,48
Six,47
Crop Rotation,45
"Sidisi, Brood Tyrant",43
Hallowed Fountain,43
The Wise Mothman,42
"Yavimaya, Cradle of Growth",41
Undergrowth Stadium,41
Woodland Cemetery,41
Conduit of Worlds,40
"Azusa, Lost but Seeking",40
Bojuka Bog,40
Underground Mortuary,40
Jetmir's Garden,40
The Necrobloom,39
Exploration,39
Opulent Palace,39
Shadowy Backstreet,39
"Karador, Ghost Chieftain",38
Beast Within,38
"Boseiju, Who Endures",38
Hinterland Harbor,38
Lush Portico,38
Disa the Restless,37
Kishla Skimmer,37
Crucible of Worlds,37
Felidar Retreat,37
Eerie Ultimatum,37
Colossal Grave-Reaver,36
Teval's Judgment,36
Sakura-Tribe Elder,36
Spara's Headquarters,36
Rejuvenating Springs,36
Nature's Lore,35
Sacred Foundry,35
Lord Windgrace,34
Kheru Goldkeeper,34
Aftermath Analyst,34
Lotus Cobra,34
"Tatyova, Benthic Druid",34
"Omnath, Locus of Rage",34
Blasphemous Act,34
Hedge Maze,34
Cinder Glade,34
Misty Rainforest,34
"Muldrotha, the Gravetide",33
Thalia and The Gitrog Monster,33
"Kotis, Sibsig Champion",33
Dakmor Salvage,33
Scute Swarm,33
Birds of Paradise,33
Field of the Dead,33
The World Tree,33
Windswept Heath,33
Llanowar Wastes,33
Dryad of the Ilysian Grove,32
Anguished Unmaking,32
Splendid Reclamation,32
Reanimate,32
Farseek,32
Cultivate,32
Ripples of Undeath,32
Shifting Woodland,32
Wooded Foothills,32
Raucous Theater,32
Commercial District,32
"Flubs, the Fool",31
Cyclonic Rift,31
Avenger of Zendikar,31
"Takenuma, Abandoned Mire",31
Exotic Orchard,31
Tireless Provisioner,30
Oracle of Mul Daya,30
Knight of the Reliquary,30
World Shaper,30
"Hazezon, Shaper of Sand",30
Counterspell,30
Faithless Looting,30
Three Visits,30
Smoldering Marsh,30
Undercity Sewers,30
Fabled Passage,30
"Mina and Denn, Wildborn",29
Harrow,29
Entomb,29
Toxic Deluge,29
Golgari Rot Farm,29
Deathrite Shaman,28
Stitcher's Supplier,28
"Urborg, Tomb of Yawgmoth",28
Vault of Champions,28
Savage Lands,28
Raugrin Triome,28
Drowned Catacomb,28
Ancient Greenwarden,27
Song of Creation,27
"Otawara, Soaring City",27
Morphic Pool,27
Evolving Wilds,27
Sunken Hollow,27
Foreboding Landscape,27
"Titania, Protector of Argoth",26
Wight of the Reliquary,26
Grisly Salvage,26
Heroic Intervention,26
Bountiful Promenade,26
Borborygmos Enraged,25
"Syr Konrad, the Grim",25
"Uro, Titan of Nature's Wrath",25
Valakut Exploration,25
Demonic Tutor,24
Skull Prophet,24
Scapeshift,24
Afterlife from the Loam,24
Damn,24
Hedge Shredder,24
Rhystic Study,24
Sylvan Safekeeper,23
Growth Spiral,23
Chaos Warp,23
Dread Return,23
Victimize,23
Will of the Sultai,23
Rampant Growth,23
Lightning Greaves,23
Animate Dead,23
Anger,22
"Aesi, Tyrant of Gyre Strait",22
Buried Alive,22
Mystic Remora,22
Strip Mine,22
Golgari Grave-Troll,21
"Kirri, Talented Sprout",21
Underrealm Lich,21
Kodama's Reach,21
Zuran Orb,21
Wrenn and Six,21
Sun Titan,20
Diviner of Mist,20
Wonder,20
Teferi's Protection,20
Bala Ged Recovery,20
Insidious Roots,20
Hedron Crab,19
Rampaging Baloths,19
Stinkweed Imp,19
Terminate,19
Welcome the Dead,19
Sevinne's Reclamation,19
Sylvan Library,19
Thespian's Stage,19
Vampiric Tutor,18
"Eruth, Tormented Prophet",18
"Braids, Arisen Nightmare",18
Steward of the Harvest,18
Nyx Weaver,18
Elvish Reclaimer,18
Tireless Tracker,18
Abrupt Decay,18
Generous Gift,18
Living Death,18
Altar of Dementia,18
Walk-In Closet // Forgotten Cellar,18
Floral Evoker,17
"Chainer, Nightmare Adept",17
An Offer You Can't Refuse,17
Worldsoul's Rage,17
Windfall,17
Spelunking,17
Reliquary Tower,17
Kessig Wolf Run,17
Phyrexian Tower,17
"Ob Nixilis, the Fallen",16
Esper Sentinel,16
Satyr Wayfinder,16
Fierce Guardianship,16
Putrefy,16
Culling Ritual,16
"Grist, the Hunger Tide",16
Lotus Field,16
Springheart Nantuko,15
Llanowar Elves,15
Entish Restoration,15
Swan Song,15
Deflecting Swat,15
Supreme Verdict,15
Annie Joins Up,15
Tranquil Thicket,15
Desert of the True,15
Dryad Arbor,15
"Valakut, the Molten Pinnacle",15
Cephalid Coliseum,15
Cabal Coffers,15
Glacial Chasm,14
Arcane Denial,14
Worldly Tutor,14
Realms Uncharted,14
Constant Mists,14
Mana Drain,14
Nahiri's Lithoforming,14
Swiftfoot Boots,14
Skullclamp,14
Awaken the Honored Dead,14
Aura Shards,14
Burgeoning,14
Leyline of the Guildpact,14
Shefet Dunes,14
Dark Depths,14
Enlightened Tutor,13
Frantic Search,13
Sylvan Scrying,13
Explore,13
Mesmeric Orb,13
Essence Anchor,13
Glacierwood Siege,13
Greater Good,13
Barren Moor,13
Command Beacon,13
Desert of the Fervent,13
Talisman of Resilience,13
Mystical Tutor,12
Tear Asunder,12
Dark Ritual,12
Dovin's Veto,12
Thrilling Discovery,12
Green Sun's Zenith,12
Finale of Devastation,12
Decimate,12
Gamble,12
Smothering Tithe,12
"Ashiok, Dream Render",12
Wrenn and Seven,12
Mystic Sanctuary,12
Vesuva,12
"Argoth, Sanctum of Nature",12
Ramunap Ruins,12
Talisman of Indulgence,12
Ancient Tomb,11
Noxious Revival,11
Farewell,11
Wargate,11
Damnation,11
Villainous Wealth,11
Retreat to Hagra,11
Wasteland,11
"Eiganjo, Seat of the Empire",11
Forgotten Cave,11
Thassa's Oracle,10
Eladamri's Call,10
Nature's Claim,10
Grapple with the Past,10
Archdruid's Charm,10
Deadly Rollick,10
Negate,10
Death Begets Life,10
Amulet of Vigor,10
Expedition Map,10
Ashnod's Altar,10
Squandered Resources,10
Out of the Tombs,10
Sultai Ascendancy,10
Undergrowth Recon,10
Echoing Deeps,10
Urza's Saga,10
Golgari Signet,10
Talisman of Dominance,10
Talisman of Curiosity,10
"Yuma, Proud Protector",9
Underworld Breach,9
Fact or Fiction,9
Brainstorm,9
Roiling Regrowth,9
Sink into Stupor,9
Revitalizing Repast,9
Pongify,9
Fell the Profane,9
Breach the Multiverse,9
Squirming Emergence,9
Treasure Cruise,9
Unburial Rites,9
Diabolic Intent,9
Vandalblast,9
Torment of Hailfire,9
Jeska's Will,9
Awaken the Woods,9
Perpetual Timepiece,9
Case of the Locked Hothouse,9
Mirari's Wake,9
Cemetery Tampering,9
"Oko, Thief of Crowns",9
Ghost Quarter,9
Rogue's Passage,9
Mistrise Village,9
Talisman of Impulse,9
Force of Will,8
Veil of Summer,8
Thrill of Possibility,8
Boros Charm,8
Forbidden Alchemy,8
Malakir Rebirth,8
Rise of the Witch-king,8
Skyshroud Claim,8
Lotus Petal,8
Trade Routes,8
Retreat to Coralhelm,8
Druid Class,8
Garruk's Uprising,8
Dragonback Assault,8
Tortured Existence,8
Deadbridge Chant,8
The Mending of Dominaria,8
Anointed Procession,8
Titans' Nest,8
Nissa of Shadowed Boughs,8
Secluded Steppe,8
Maze of Ith,8
Simic Signet,8
Gaea's Cradle,7
Return of the Wildspeaker,7
Phyrexian Altar,7
"Matzalantli, the Great Door",7
Brass's Tunnel-Grinder,7
Pernicious Deed,7
Rhythm of the Wild,7
Phyrexian Arena,7
Wild Growth,7
Crawling Sensation,7
Caretaker's Talent,7
Warleader's Call,7
Necromancy,7
Wrenn and Realmbreaker,7
"Jace, Wielder of Mysteries",7
Lonely Sandbar,7
Alchemist's Refuge,7
"Oboro, Palace in the Clouds",7
Dimir Signet,7
Mox Diamond,6
Door to Nothingness,6
The One Ring,6
Horn of Greed,6
Abundance,6
Secrets of the Dead,6
Phyrexian Reclamation,6
Tectonic Reformation,6
Parallel Lives,6
The Meathook Massacre,6
Temple of the False God,6
Drownyard Temple,6
Tolaria West,6
Scavenger Grounds,6
Desert of the Indomitable,6
Drannith Magistrate,5
Palantír of Orthanc,5
"Nissa, Vital Force",5
"Tamiyo, Collector of Tales",5
Arid Archway,5
Crypt of Agadeem,5
Hall of Heliod's Generosity,5
High Market,5
Fellwar Stone,5
Mana Crypt,5
Chromatic Lantern,5
"Tasigur, the Golden Fang",2
