card name,synergy %
"Eshki, Temur's Roar",98
"Kyodai, Soul of Kamigawa",96
Command Tower,94
"O-Kagachi, Vengeful Kami",93
"Animar, Soul of Elements",92
Sol Ring,90
Arcane Signet,83
"Omnath, Locus of All",81
"Morophon, the Boundless",76
Reaper King,75
Dragon Tempest,75
Crux of Fate,74
Scion of the Ur-Dragon,71
"Atarka, World Render",71
"Lathliss, Dragon Queen",66
The Ur-Dragon,65
Haven of the Spirit Dragon,64
Farseek,63
Exotic Orchard,62
Rivaz of the Claw,61
Dragonspeaker Shaman,60
Path of Ancestry,60
Tiamat,59
Dragonlord Dromoka,59
Old Gnawbone,59
"Jodah, Archmage Eternal",58
Temur Ascendancy,58
Dragon's Hoard,58
Terror of the Peaks,57
Chromatic Lantern,57
Dragonlord's Servant,55
"Rith, Liberated Primeval",52
Utvara Hellkite,52
"Intet, the Dreamer",50
Scourge of Valkas,50
Goldspan Dragon,49
Cultivate,49
"Sarkhan, Soul Aflame",49
Garruk's Uprising,49
Ancient Copper Dragon,47
Swords to Plowshares,46
Bladewing the Risen,45
Nature's Lore,45
Stomping Ground,45
Ancient Silver Dragon,43
Herald's Horn,43
Urza's Incubator,43
Rhythm of the Wild,43
Dracogenesis,42
Hellkite Courser,42
Cavern of Souls,42
Ketria Triome,42
Call the Spirit Dragons,41
"Klauth, Unrivaled Ancient",41
"Silumgar, the Drifting Death",40
Kodama's Reach,40
Savage Ventmaw,39
Heroic Intervention,39
Overgrown Tomb,39
Maelstrom of the Spirit Dragon,38
Three Visits,38
Steam Vents,38
Breeding Pool,38
Two-Headed Hellkite,37
Ancient Gold Dragon,37
Balefire Dragon,37
Blood Crypt,37
Temple Garden,37
Twinflame Tyrant,36
The World Tree,36
"Ramos, Dragon Engine",35
Thrakkus the Butcher,35
"Ganax, Astral Hunter",35
Wooded Foothills,35
Smothering Tithe,34
Birds of Paradise,34
Ziatora's Proving Ground,34
Sacred Foundry,34
Scion of Draco,33
"Korlessa, Scale Singer",33
Lightning Greaves,33
