card name,synergy %
Ranar the Ever-Watchful,91
Command Tower,86
"Vega, the Watcher",85
"Bane, Lord of Darkness",83
Drogskol Captain,83
Sol Ring,83
Arcane Signet,80
"Hinata, Dawn-Crowned",79
"Ghost of Ramirez DePietro // Ravos, Soultender",64
Supreme Phantom,61
King of the Oathbreakers,59
Swords to Plowshares,57
"Morophon, the Boundless",56
Kodama's Reach,55
Loam Dweller,54
Prairie Stream,54
Rattlechains,52
Drogskol Reinforcements,52
Hofri Ghostforge,50
Azorius Signet,48
"Dorothea, Vengeful Victim",44
Mystic Monastery,43
"Aminatou, the Fateshifter",42
Kodama of the South Tree,42
Cultivate,42
"Raffine, Scheming Seer",41
Path to Exile,41
Farseek,41
Lifespinner,40
"Kura, the Boundless Sky",40
The Kami War,40
Path of Ancestry,40
Arcane Sanctum,40
Azorius Chancery,39
Geist of Saint Traft,38
Selfless Spirit,38
Empyrean Eagle,38
Port Town,38
Bounteous Kirin,37
Petalmane Baku,37
Soulherder,37
Exotic Orchard,37
Glacial Fortress,37
Elder Pine of Jukai,35
The World Tree,35
Patrician Geist,34
Ethereal Valkyrie,34
Temple of Enlightenment,34
"Brago, King Eternal",33
Counterspell,33
Reliquary Tower,33
"Kyodai, Soul of Kamigawa",32
"Katilda, Dawnhart Martyr",32
Kodama of the Center Tree,32
Nebelgast Herald,32
Myriad Landscape,32
Raffine's Tower,32
Marneus Calgar,31
Kodama of the East Tree,31
Moorland Haunt,31
Seaside Citadel,31
Spectral Arcanist,30
Saw It Coming,30
Wear Away,30
Rampant Growth,30
Commander's Sphere,30
Jungle Shrine,30
Windborn Muse,29
Cosmic Intervention,29
Ravenform,29
Ghostly Prison,29
Hallowed Fountain,29
"Junji, the Midnight Sky",28
"Oyobi, Who Split the Heavens",28
"Iname, Life Aspect",28
Whirlwind of Thought,28
Raugrin Triome,28
Indatha Triome,28
Spara's Headquarters,28
Behold the Multiverse,27
Doomskar,27
Haunted Library,27
Sandsteppe Citadel,27
Opulent Palace,27
Mirrorhall Mimic,26
Eerie Interlude,26
Breath of the Sleepless,26
Skycloud Expanse,26
