card name,synergy %
Nine-Fingers Keene,98
Command Tower,92
"Teval, Arbiter of Virtue",90
The Mimeoplasm,86
"Jodah, the Unifier",81
Sol Ring,80
"Tasigur, the Golden Fang",76
Arcane Signet,72
"Omnath, Locus of All",70
"Sidisi, Brood Tyrant",67
"The Master, Transcendent",67
Zimone and Dina,65
Exotic Orchard,58
Farseek,54
Overgrown Tomb,49
Cultivate,48
Breeding Pool,47
Zagoth Triome,47
Maelstrom Wanderer,45
Opulent Palace,45
Watery Grave,45
The World Tree,44
"Omnath, Locus of Creation",42
Faeburrow Elder,42
Swords to Plowshares,41
Stomping Ground,40
Temple Garden,40
Ketria Triome,40
Woodland Cemetery,40
Hinterland Harbor,40
"Omnath, Locus of Rage",38
Verdant Catacombs,38
Misty Rainforest,38
Colossal Grave-Reaver,37
Indatha Triome,37
Spara's Headquarters,37
Nature's Lore,36
Eternal Witness,36
Assassin's Trophy,36
Teval's Judgment,35
"Omnath, Locus of the Roil",35
"Animar, Soul of Elements",35
Rampant Growth,35
Hallowed Fountain,35
Polluted Delta,35
Jetmir's Garden,34
Ziatora's Proving Ground,34
Ruinous Ultimatum,33
Counterspell,33
"Teval, the Balanced Scale",32
Leyline of the Guildpact,32
Birds of Paradise,32
Steam Vents,32
Drowned Catacomb,31
Sunken Hollow,31
Godless Shrine,31
Rejuvenating Springs,31
Eerie Ultimatum,30
Evolving Wilds,30
Undergrowth Stadium,30
Maelstrom Nexus,29
Beast Within,29
Void Rend,29
Three Visits,29
"Yarok, the Desecrated",28
Hedge Shredder,28
Reanimate,28
Temur Ascendancy,28
Reliquary Tower,28
Raugrin Triome,28
Sacred Foundry,27
"Syr Konrad, the Grim",26
Six,26
Kodama's Reach,26
Lightning Greaves,26
Conduit of Worlds,26
Path of Ancestry,26
Blood Crypt,26
Terramorphic Expanse,26
"Indominus Rex, Alpha",25
Kishla Skimmer,25
Will of the Sultai,25
Kheru Goldkeeper,25
Heroic Intervention,25
Path to Exile,25
Bojuka Bog,25
"Yavimaya, Cradle of Growth",25
Savai Triome,25
Horde of Notions,24
Cyclonic Rift,24
"Tatyova, Benthic Druid",24
Morphic Pool,24
Raffine's Tower,24
Nuclear Fallout,23
Ramunap Excavator,23
Swiftfoot Boots,23
Annie Joins Up,23
Afterlife from the Loam,22
Thalia and The Gitrog Monster,22
Chromatic Lantern,22
Hedge Maze,22
Xander's Lounge,22
Llanowar Wastes,22
Dreamroot Cascade,22
Underground Mortuary,22
Rhystic Study,21
Sakura-Tribe Elder,21
"Atraxa, Grand Unifier",21
Glowing One,21
"Jegantha, the Wellspring",21
Screeching Scorchbeast,21
Avenger of Zendikar,21
"Urborg, Tomb of Yawgmoth",21
Foreboding Landscape,21
Mirelurk Queen,20
Maelstrom Archangel,20
Putrefy,20
Mesmeric Orb,20
Mirari's Wake,20
Ripples of Undeath,20
"Boseiju, Who Endures",20
Timeless Lotus,20
Yavimaya Coast,20
"Nashi, Moon's Legacy",19
Smothering Tithe,19
Vexing Radgull,19
Steward of the Harvest,19
"Zacama, Primal Calamity",19
"Raul, Trouble Shooter",19
"Aragorn, the Uniter",19
Abzan Charm,19
Undercity Sewers,19
Fabled Passage,19
Dryad of the Ilysian Grove,18
"Kotis, Sibsig Champion",18
Flamekin Harbinger,18
The Gitrog Monster,18
Floral Evoker,18
Tato Farmer,18
Infesting Radroach,18
"Azusa, Lost but Seeking",18
Teferi's Protection,18
Atomize,18
Growth Spiral,18
Life from the Loam,18
Genesis Ultimatum,18
Toxic Deluge,18
Guardian Project,18
Smokebraider,17
Mutational Advantage,17
Welcome the Dead,17
Villainous Wealth,17
Struggle for Project Purity,17
Animate Dead,17
Golgari Rot Farm,17
Frontier Bivouac,17
Temple of Malady,17
Demonic Tutor,16
Lotus Cobra,16
Wonder,16
"Rienne, Angel of Rebirth",16
Aftermath Analyst,16
Feral Ghoul,16
Deathrite Shaman,16
Ignoble Hierarch,16
Crackling Doom,16
Victimize,16
Field of the Dead,16
Shifting Woodland,16
Jungle Shrine,16
Simic Growth Chamber,16
Bloatfly Swarm,15
Scute Swarm,15
Ruin Crab,15
Surrak Dragonclaw,15
"Rocco, Cabaretti Caterer",15
Crucible of Worlds,15
Mindcrank,15
Exploration,15
Mariposa Military Base,15
"Takenuma, Abandoned Mire",15
"Damia, Sage of Stone",14
Mulldrifter,14
Incandescent Soulstoke,14
"Aesi, Tyrant of Gyre Strait",14
Skull Prophet,14
Agent Frank Horrigan,14
"Strong, the Brutish Thespian",14
Seedborn Muse,14
Tireless Provisioner,14
An Offer You Can't Refuse,14
Breach the Multiverse,14
Debt to the Deathless,14
Living Death,14
Dread Return,14
Hardened Scales,14
Talisman of Curiosity,14
Fellwar Stone,14
Talisman of Resilience,14
Fierce Guardianship,13
Naya Charm,13
Brokers Charm,13
Harrow,13
Inexorable Tide,13
"Otawara, Soaring City",13
Talisman of Dominance,13
Arcane Denial,12
Negate,12
Inspiring Call,12
Crop Rotation,12
Radstorm,12
Leyline of Mutation,12
Mortuary Mire,12
Vampiric Tutor,11
Bant Charm,11
Esper Charm,11
Mana Drain,11
Rise of the Dark Realms,11
Supreme Verdict,11
Altar of Dementia,11
Fist of Suns,11
Bloodchief Ascension,11
Vault 12: The Necropolis,11
Branching Evolution,11
Walk-In Closet // Forgotten Cellar,11
Enlightened Tutor,10
Contaminated Drink,10
Sultai Charm,10
Casualties of War,10
Bala Ged Recovery,10
Wargate,10
Buried Alive,10
Splendid Reclamation,10
Skyshroud Claim,10
Glacierwood Siege,10
Rogue's Passage,10
Temple of the False God,10
Unite the Coalition,9
Entomb,9
Deadly Rollick,9
Grisly Salvage,9
Swan Song,9
Worldly Tutor,9
Anguished Unmaking,9
Windfall,9
Conflux,9
Lavalanche,9
Altar of the Brood,9
Commander's Sphere,9
The Great Henge,9
Awaken the Honored Dead,9
Mystic Remora,9
Insidious Roots,9
Rhythm of the Wild,9
Invasion of Alara,9
"Dihada, Binder of Wills",9
"Mimeoplasm, Revered One",8
Frantic Search,8
Riveteers Charm,8
Culling Ritual,8
Primevals' Glorious Rebirth,8
Blasphemous Act,8
Urza's Ruinous Blast,8
Damnation,8
Death Begets Life,8
Torment of Hailfire,8
Nuka-Nuke Launcher,8
Panharmonicon,8
Spelunking,8
Sylvan Library,8
Sultai Ascendancy,8
Zendikar's Roil,8
Karn's Bastion,8
Dakmor Salvage,8
Simic Signet,8
Fell the Profane,7
Ripples of Potential,7
Obscura Charm,7
Drown in the Loch,7
Tear Asunder,7
Revitalizing Repast,7
Brainstorm,7
Sphinx's Revelation,7
Abrupt Decay,7
Fact or Fiction,7
Generous Gift,7
Duneblast,7
Farewell,7
Maddening Cacophony,7
Iridian Maelstrom,7
Blasphemous Edict,7
Explore,7
Essence Anchor,7
Power Fist,7
Wilderness Reclamation,7
Whirlwind of Thought,7
"Nicol Bolas, God-Pharaoh",7
Lord Windgrace,7
Nesting Grounds,7
Command Beacon,7
Mistrise Village,7
Golgari Signet,7
Chromatic Orrery,7
"Glarb, Calamity's Augur",6
Bedevil,6
Dovin's Veto,6
Crib Swap,6
Dark Ritual,6
Deflecting Swat,6
Cruel Ultimatum,6
Treasure Cruise,6
Palantír of Orthanc,6
Retreat to Coralhelm,6
The Kami War,6
Psychic Corrosion,6
Retreat to Hagra,6
Phyrexian Reclamation,6
Wrenn and Realmbreaker,6
Nissa of Shadowed Boughs,6
Cabal Coffers,6
Thought Vessel,6
Dimir Signet,6
Ancient Tomb,5
Rebuild the City,5
Rise of the Witch-king,5
Tempt with Discovery,5
Scapeshift,5
Emergent Ultimatum,5
Squirming Emergence,5
Exsanguinate,5
Sensei's Divining Top,5
The Ozolith,5
Phyrexian Arena,5
Garruk's Uprising,5
Fraying Sanity,5
"Nicol Bolas, Dragon-God",5
Kishla Village,5
Strip Mine,5
Cascading Cataracts,5
The Wise Mothman,2
