card name,synergy %
The Ur-Dragon,97
Command Tower,93
"Sisay, Weatherlight Captain",80
Arcane Signet,77
Sol Ring,68
Exotic Orchard,67
"Morophon, the Boundless",66
Farseek,63
Cultivate,62
Two-Headed Hellkite,59
Chromatic Lantern,59
Go-Shintai of Life's Origin,54
"Jenson Carthalion, Druid Exile",52
Kodama's Reach,52
"Jodah, the Unifier",51
"Kenrith, the Returned King",50
Maelstrom Archangel,46
Maelstrom Nexus,46
Faeburrow Elder,46
"Ramos, Dragon Engine",45
Jungle Shrine,45
"Jodah, Archmage Eternal",44
Frontier Bivouac,44
Fellwar Stone,43
Path of Ancestry,43
Commander's Sphere,42
Opulent Palace,42
Chromanticore,41
Savage Lands,41
Sandsteppe Citadel,41
Mystic Monastery,41
Unite the Coalition,40
Seaside Citadel,40
Scion of the Ur-Dragon,39
Iridian Maelstrom,39
Nomad Outpost,39
Crumbling Necropolis,39
Cascading Cataracts,37
Evolving Wilds,37
"Rienne, Angel of Rebirth",36
Path to Exile,36
Arcane Sanctum,36
Mana Cannons,35
"Atarka, World Render",35
Cinder Glade,35
Tiamat,34
Knight of New Alara,34
"Miirym, Sentinel Wyrm",34
Fallaji Wayfarer,33
Primeval Spawn,33
Leyline of the Guildpact,33
Scion of Draco,32
The Kami War,32
The World Tree,32
Canopy Vista,32
Growth Spiral,31
Terramorphic Expanse,31
Prairie Stream,31
Smoldering Marsh,31
Surrak Dragonclaw,30
Crux of Fate,30
Dragon Tempest,30
Sunken Hollow,30
Dragonspeaker Shaman,29
Crystal Quarry,29
"Jegantha, the Wellspring",28
Progenitus,28
Abzan Charm,28
Haven of the Spirit Dragon,28
"Omnath, Locus of All",27
Dragonlord's Servant,27
Sultai Charm,26
Swords to Plowshares,26
Rampant Growth,26
Terminate,25
Nature's Lore,25
Temur Ascendancy,25
Dragon's Hoard,25
Garth One-Eye,24
General Ferrous Rokiric,24
"Silumgar, the Drifting Death",24
Beast Within,24
Merciless Eviction,24
Fist of Suns,24
Ketria Triome,24
"Teneb, the Harvester",23
Bladewing the Risen,23
Call the Spirit Dragons,22
Birds of Paradise,22
Utvara Hellkite,22
"Rith, Liberated Primeval",22
Rivaz of the Claw,22
"Lathliss, Dragon Queen",22
Naya Charm,22
Painful Truths,22
Herald's Horn,22
Timeless Lotus,22
Obsidian Obelisk,22
