card name,synergy %
"Totentanz, Swarm Piper",94
"Karumonix, the Rat King",93
"Indominus Rex, Alpha",92
"Braids, Arisen Nightmare",87
Sol Ring,81
"Teval, the Balanced Scale",79
"Varina, Lich Queen",78
Meren of Clan Nel Toth,76
Command Tower,70
Arcane Signet,69
Imotekh the Stormlord,64
"Syr Konrad, the Grim",62
"Wilhelt, the Rotcleaver",59
"Henzie ""Toolbox"" Torre",59
Swords to Plowshares,53
Opulent Palace,52
Arcane Sanctum,51
The Mycotyrant,50
Sunken Hollow,49
Smoldering Marsh,48
Woodland Cemetery,46
Crumbling Necropolis,45
Savage Lands,44
Isolated Chapel,43
"The Gitrog, Ravenous Ride",42
Hinterland Harbor,42
Raffine's Tower,41
Cinder Glade,40
Caves of Koilos,40
Dragonskull Summit,40
"Hashaton, Scarab's Fist",39
Counterspell,39
Ignoble Hierarch,39
Ziatora's Proving Ground,39
Zagoth Triome,39
Eternal Witness,38
Cultivate,38
Drowned Catacomb,38
The Wise Mothman,37
Path to Exile,37
Prairie Stream,37
Overgrown Tomb,37
Glacial Fortress,37
Godless Shrine,36
Breeding Pool,36
Hallowed Fountain,36
Nomad Outpost,36
Zoyowa Lava-Tongue,35
Watery Grave,35
Llanowar Wastes,35
Sakura-Tribe Elder,34
Orzhov Signet,34
Sandsteppe Citadel,34
"Sidisi, Brood Tyrant",33
Victimize,33
Blasphemous Act,33
Bojuka Bog,33
Rakdos Signet,33
Talisman of Dominance,33
Assassin's Trophy,32
Rampant Growth,32
Talisman of Hierarchy,32
Stomping Ground,32
Dimir Signet,31
"Temmet, Naktamun's Will",30
Farseek,30
Indatha Triome,30
Blood Crypt,30
Rejuvenating Springs,30
Temple Garden,30
Undergrowth Stadium,30
Exotic Orchard,30
Adarkar Wastes,30
Beast Within,29
Canopy Vista,29
Foreboding Ruins,29
Renewed Solidarity,28
"Muldrotha, the Gravetide",28
Terminate,28
Savai Triome,28
Xander's Lounge,28
Yavimaya Coast,28
Twisted Landscape,28
Golgari Rot Farm,28
Sulfur Falls,28
Kishla Skimmer,27
Kheru Goldkeeper,27
Chaos Warp,27
Talisman of Progress,27
Sacred Foundry,27
Orzhov Basilica,27
Dreamroot Cascade,27
Sea of Clouds,27
Temple of Malady,27
Vault of Champions,27
Venomthrope,26
Damn,26
Morphic Pool,26
Kodama's Reach,25
Talisman of Indulgence,25
Riveteers Ascendancy,24
Reanimate,24
Nature's Lore,24
Faithless Looting,24
Reliquary Tower,24
On Wings of Gold,23
Rhet-Tomb Mystic,23
Birds of Paradise,23
Dark Ritual,23
Putrefy,22
Feed the Swarm,22
Swiftfoot Boots,22
Azorius Signet,22
Skull Prophet,21
Honest Rutstein,21
Colossal Grave-Reaver,21
Anguished Unmaking,21
"Kotis, Sibsig Champion",20
"Ziatora, the Incinerator",20
Sliver Hivelord,20
"Elas il-Kor, Sadistic Pilgrim",20
Bedevil,20
Eerie Ultimatum,20
Lightning Greaves,20
Insidious Roots,20
Phyrexian Arena,20
Kessig Wolf Run,20
Negate,19
Void Rend,19
Despark,19
Rogue's Passage,19
"Chainer, Nightmare Adept",18
Six,18
Nyx Weaver,18
"Morophon, the Boundless",18
Cruel Celebrant,18
Blood Artist,18
Wight of the Reliquary,18
Baleful Strix,18
Frantic Search,18
Village Rites,18
Dread Return,18
Skullclamp,18
Hedge Shredder,18
Conduit of Worlds,18
Izzet Signet,18
Talisman of Creativity,18
Smothering Tithe,17
Aftermath Analyst,17
Angel of the Ruins,17
"Raffine, Scheming Seer",17
Golgari Grave-Troll,17
Gray Merchant of Asphodel,17
Likeness Looter,17
Anger,17
Solemn Simulacrum,17
An Offer You Can't Refuse,17
Heroic Intervention,17
Rakdos Charm,17
Rise of the Witch-king,17
Life from the Loam,17
"Urborg, Tomb of Yawgmoth",17
Golgari Signet,17
Boros Signet,17
Rhystic Study,16
Sliver Legion,16
Llanowar Elves,16
World Shaper,16
Diregraf Captain,16
The Scarab God,16
Faithful Mending,16
Grisly Salvage,16
Three Visits,16
Living Death,16
Ashnod's Altar,16
Commander's Sphere,16
Mind Stone,16
Rhythm of the Wild,16
Impact Tremors,16
Vault of the Archangel,16
Cabal Coffers,16
"Mahadi, Emporium Master",15
Sun Titan,15
Zulaport Cutthroat,15
Mayhem Devil,15
Cankerbloom,15
Wonder,15
Growth Spiral,15
Boros Charm,15
Thrill of Possibility,15
Ruinous Ultimatum,15
Squirming Emergence,15
Mortuary Mire,15
Thought Vessel,15
Talisman of Resilience,15
Relic of Sauron,15
Marrow-Gnawer,14
Cyclonic Rift,14
Esper Sentinel,14
Gleaming Overseer,14
Corpse Knight,14
Old Rutstein,14
Arcane Denial,14
Generous Gift,14
Deadly Dispute,14
Toxic Deluge,14
Rooftop Storm,14
Moldervine Reclamation,14
Phyrexian Reclamation,14
Animate Dead,14
Fellwar Stone,14
Talisman of Conviction,14
Ramunap Excavator,13
Reclamation Sage,13
Accursed Marauder,13
Splinterfright,13
Elvish Mystic,13
Dovin's Veto,13
Vandalblast,13
Will of the Sultai,13
Grave Pact,13
Leyline of the Guildpact,13
Goblin Bombardment,13
Deadbridge Chant,13
Garruk's Uprising,13
"Takenuma, Abandoned Mire",13
"Boseiju, Who Endures",13
Demonic Tutor,12
The Mimeoplasm,12
"Miirym, Sentinel Wyrm",12
Mirkwood Bats,12
Satyr Wayfinder,12
Viscera Seer,12
Prophet of the Scarab,12
Revitalizing Repast,12
Jet Medallion,12
Tortured Existence,12
Shifting Woodland,12
Witch's Cottage,12
Mortify,11
Teferi's Protection,11
Austere Command,11
Culling Ritual,11
Windfall,11
Bala Ged Recovery,11
Song of Totentanz,11
Bontu's Monument,11
Ripples of Undeath,11
Awaken the Honored Dead,11
Glacierwood Siege,11
"Grist, the Hunger Tide",11
Phyrexian Tower,11
Crackling Doom,10
Go for the Throat,10
Grapple with the Past,10
Harrow,10
Mutational Advantage,10
Corrupted Conviction,10
Abrade,10
Buried Alive,10
Sevinne's Reclamation,10
Sign in Blood,10
Wayfarer's Bauble,10
The Skullspore Nexus,10
Monument to Endurance,10
Black Market,10
Bastion of Remembrance,10
Crawling Infestation,10
Vampiric Rites,10
Necroduality,10
Shared Animosity,10
Accursed Duneyard,10
"Otawara, Soaring City",10
Simic Signet,10
Talisman of Curiosity,10
Talisman of Impulse,10
Timeless Lotus,10
Fierce Guardianship,9
Vampiric Tutor,9
Tear Asunder,9
Entomb,9
Malakir Rebirth,9
Withering Torment,9
Tragic Slip,9
Riveteers Charm,9
Supreme Verdict,9
Rise of the Dark Realms,9
Unearth,9
Blasphemous Edict,9
Damnation,9
"Matzalantli, the Great Door",9
Kindred Discovery,9
Anointed Procession,9
Teval's Judgment,9
Mirari's Wake,9
Blind Obedience,9
Deathreap Ritual,9
Crawling Sensation,9
Greater Good,9
Temple of the False God,9
Enlightened Tutor,8
Big Score,8
Demand Answers,8
Abrupt Decay,8
Infernal Grasp,8
Fell the Profane,8
Stroke of Midnight,8
Deadly Rollick,8
Auroral Procession,8
Sultai Charm,8
Distant Melody,8
Diabolic Tutor,8
Diabolic Intent,8
Decimate,8
Phyrexian Altar,8
Altar of Dementia,8
Brass's Tunnel-Grinder,8
Fist of Suns,8
Journey to Eternity,8
Mystic Remora,8
Warstorm Surge,8
Reflections of Littjara,8
Virtue of Persistence,8
Black Market Connections,8
Aura Shards,8
Sultai Ascendancy,8
Barren Moor,8
Forgotten Cave,8
Charcoal Diamond,8
Gruul Signet,8
Bolas's Citadel,7
Mana Drain,7
Fracture,7
Lich-Knights' Conquest,7
Vindicate,7
Read the Bones,7
Night's Whisper,7
Herald's Horn,7
"Shorikai, Genesis Engine",7
The Great Henge,7
Temur Ascendancy,7
Guardian Project,7
Sneak Attack,7
The Meathook Massacre,7
Dictate of Erebos,7
Maelstrom Nexus,7
Doubling Season,7
Grim Backwoods,7
Geier Reach Sanitarium,7
Cabal Stronghold,7
Secluded Steppe,7
Three Tree City,7
Tranquil Thicket,7
Patchwork Banner,7
"Jin-Gitaxias, Core Augur",6
Rite of Oblivion,6
Death Begets Life,6
Wrath of God,6
Exsanguinate,6
Unburial Rites,6
Casualties of War,6
Stump Stomp,6
Stitch Together,6
Breach the Multiverse,6
Empty the Laboratory,6
Farewell,6
Splendid Reclamation,6
Whip of Erebos,6
Vat of Rebirth,6
Annie Joins Up,6
Propaganda,6
Growing Rites of Itlimoc,6
Death's Oasis,6
"Liliana, Death's Majesty",6
"Liliana, Dreadhorde General",6
Restless Vents,6
Crypt of Agadeem,6
Castle Locthwain,6
Spymaster's Vault,6
Restless Cottage,6
Dakmor Salvage,6
High Market,6
"Yavimaya, Cradle of Growth",6
Gavony Township,6
Mosswort Bridge,6
Desert of the True,6
Restless Fortress,6
Hall of Heliod's Generosity,6
Chromatic Lantern,6
Jeska's Will,5
Perpetual Timepiece,5
Mesmeric Orb,5
Vanquisher's Banner,5
Swarmyard,5
Restless Reef,5
"Nykthos, Shrine to Nyx",5
Cephalid Coliseum,5
