card name,synergy %
"Ulalek, Fused Atrocity",96
"Lathril, Blade of the Elves",94
Command Tower,92
"Éowyn, Shieldmaiden",88
Sol Ring,88
"Rin and Seri, Inseparable",85
The Wise Mothman,84
"Wilhelt, the Rotcleaver",83
Arcane Signet,82
"Pantlaza, Sun-Favored",69
Swords to Plowshares,62
Exotic Orchard,57
Cultivate,53
"Giada, Font of Hope",52
"Atraxa, Praetors' Voice",52
Path to Exile,48
Sunken Hollow,47
Cinder Glade,45
Canopy Vista,45
"Aragorn, the Uniter",44
Farseek,44
Jungle Shrine,44
Crumbling Necropolis,41
Prairie Stream,40
Rampant Growth,39
Counterspell,39
Frontier Bivouac,39
Smoldering Marsh,39
Nomad Outpost,38
The World Tree,38
Sandsteppe Citadel,37
Arcane Sanctum,37
Opulent Palace,36
Beast Within,35
Seaside Citadel,34
Mystic Monastery,34
Kodama's Reach,33
Clifftop Retreat,33
Evolving Wilds,33
Blasphemous Act,32
Bojuka Bog,32
Isolated Chapel,32
Sidar Jabari of Zhalfir,31
Talisman of Dominance,31
Sulfur Falls,31
The Ur-Dragon,30
Nature's Lore,30
Dragonskull Summit,30
"Miirym, Sentinel Wyrm",29
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",29
Heroic Intervention,29
Reliquary Tower,29
Dimir Signet,29
Jetmir's Garden,29
Savage Lands,29
Caves of Koilos,29
Woodland Cemetery,29
Swiftfoot Boots,28
Orzhov Signet,28
Ketria Triome,28
Stomping Ground,28
Temple Garden,28
Chaos Warp,27
Rhythm of the Wild,27
Overgrown Tomb,27
Godless Shrine,27
Drowned Catacomb,27
Hinterland Harbor,27
Rogue's Passage,26
Rakdos Signet,26
Breeding Pool,26
Myriad Landscape,26
Glacial Fortress,26
Temple of Silence,26
Battlefield Forge,25
Watery Grave,25
Spara's Headquarters,25
Ziatora's Proving Ground,25
Hallowed Fountain,25
Terramorphic Expanse,25
Shivan Reef,25
Indatha Triome,25
Llanowar Wastes,25
Blood Crypt,25
Choked Estuary,25
Captain N'ghathrod,24
Anguished Unmaking,24
Lightning Greaves,24
Talisman of Hierarchy,24
Zagoth Triome,24
Yavimaya Coast,24
Boros Charm,23
Generous Gift,23
Commander's Sphere,22
Fellwar Stone,22
Izzet Signet,22
"Morophon, the Boundless",21
Assassin's Trophy,21
Negate,21
Three Visits,21
Garruk's Uprising,21
Talisman of Creativity,21
Talisman of Indulgence,21
Edgar Markov,20
Talisman of Conviction,20
Terminate,19
Ruinous Ultimatum,19
Temur Ascendancy,19
Azorius Signet,19
Talisman of Progress,19
Herald's Horn,18
Growth Spiral,18
Boros Signet,18
Kindred Discovery,17
Birds of Paradise,17
Despark,17
Putrefy,17
Arcane Denial,17
Feed the Swarm,17
Smothering Tithe,16
Leyline of the Guildpact,16
Vault of the Archangel,16
Kessig Wolf Run,16
Chromatic Lantern,16
Cyclonic Rift,15
Mortify,15
Teferi's Protection,15
Damn,15
Austere Command,15
Mind Stone,15
Rhystic Study,14
Return of the Wildspeaker,14
Skullclamp,14
Mosswort Bridge,14
Thought Vessel,14
Call the Spirit Dragons,13
Ignoble Hierarch,13
Realmwalker,13
"Zacama, Primal Calamity",13
Llanowar Elves,13
An Offer You Can't Refuse,13
Brainstorm,13
Dark Ritual,13
Annie Joins Up,13
Reflections of Littjara,13
Phyrexian Arena,13
Mirari's Wake,13
Temple of the False God,13
Talisman of Resilience,13
Roaming Throne,12
"Kutzil, Malamet Exemplar",12
Sakura-Tribe Elder,12
Akroma's Will,12
Rakdos Charm,12
Inspiring Call,12
Distant Melody,12
Vandalblast,12
Faithless Looting,12
Talisman of Curiosity,12
Patchwork Banner,12
Timeless Lotus,12
Demonic Tutor,11
"Atarka, World Render",11
Elvish Mystic,11
Mirkwood Bats,11
Sliver Hivelord,11
Beast Whisperer,11
Void Rend,11
Dovin's Veto,11
Bedevil,11
Deadly Dispute,11
Unbreakable Formation,11
Farewell,11
Supreme Verdict,11
Shamanic Revelation,11
Victimize,11
Toxic Deluge,11
Vanquisher's Banner,11
Hardened Scales,11
Black Market Connections,11
Three Tree City,11
Simic Signet,11
Golgari Signet,11
Hakbal of the Surging Soul,10
Ureni of the Unwritten,10
Tiamat,10
Faeburrow Elder,10
Eternal Witness,10
"Etali, Primal Storm",10
Flawless Maneuver,10
Rishkar's Expertise,10
Reanimate,10
Wayfarer's Bauble,10
Bident of Thassa,10
Impact Tremors,10
Guardian Project,10
Moldervine Reclamation,10
Gruul Signet,10
Talisman of Impulse,10
Solemn Simulacrum,9
Blood Artist,9
"Etali, Primal Conqueror",9
"Ramos, Dragon Engine",9
Savage Ventmaw,9
Cruel Celebrant,9
Esper Sentinel,9
Goblin Anarchomancer,9
"Elas il-Kor, Sadistic Pilgrim",9
Sliver Legion,9
"Tatyova, Benthic Druid",9
Village Rites,9
Frantic Search,9
Stroke of Midnight,9
Eerie Ultimatum,9
Kindred Dominance,9
Harmonize,9
Explore,9
Night's Whisper,9
The Great Henge,9
Warleader's Call,9
Doubling Season,9
Shared Animosity,9
Propaganda,9
Gavony Township,9
Minas Tirith,9
"Boseiju, Who Endures",9
Windbrisk Heights,9
Relic of Sauron,9
"Gishath, Sun's Avatar",8
Temur Battlecrier,8
Mardu Siegebreaker,8
"Hashaton, Scarab's Fist",8
Fierce Guardianship,8
Avacyn's Pilgrim,8
Two-Headed Hellkite,8
Regisaur Alpha,8
Quartzwood Crasher,8
Thrakkus the Butcher,8
Mirror Entity,8
Tireless Provisioner,8
Reclamation Sage,8
Baleful Strix,8
"Elenda, the Dusk Rose",8
"Aragorn, King of Gondor",8
Go for the Throat,8
Abrade,8
Crackling Doom,8
Reality Shift,8
Skyshroud Claim,8
Decimate,8
Fist of Suns,8
Urza's Incubator,8
Anointed Procession,8
Ghostly Prison,8
Dragon Tempest,8
Vampiric Tutor,7
Enlightened Tutor,7
Jeska's Will,7
Corpse Knight,7
"Jetmir, Nexus of Revels",7
"Adeline, Resplendent Cathar",7
"Syr Konrad, the Grim",7
Changeling Outcast,7
Ghalta and Mavren,7
Viscera Seer,7
"Lotho, Corrupt Shirriff",7
Fyndhorn Elves,7
Mana Drain,7
Dawn's Truce,7
Rapid Hybridization,7
Opt,7
Revitalizing Repast,7
Utter End,7
Swan Song,7
Worldly Tutor,7
Deflecting Swat,7
Thrill of Possibility,7
Naya Charm,7
Ponder,7
Preordain,7
Casualties of War,7
Patriarch's Bidding,7
