card name,synergy %
The Ur-Dragon,97
Queen Marchesa,95
Sol Ring,90
"Isshin, Two Heavens as One",87
"Éowyn, Shieldmaiden",86
Command Tower,85
Swords to Plowshares,84
Arcane Signet,83
"Aragorn, the Uniter",77
Kaalia of the Vast,71
"Voja, Jaws of the Conclave",69
"Pantlaza, Sun-Favored",67
"Arcades, the Strategist",55
"Giada, Font of Hope",53
Farseek,52
Cultivate,52
Counterspell,49
Godless Shrine,48
Canopy Vista,47
Hallowed Fountain,47
Exotic Orchard,46
Temple Garden,45
Watery Grave,43
Prairie Stream,42
Overgrown Tomb,42
Jungle Shrine,42
Clifftop Retreat,42
Sacred Foundry,42
Breeding Pool,41
Stomping Ground,40
Isolated Chapel,40
Beast Within,39
Heroic Intervention,39
Blood Crypt,39
Glacial Fortress,39
Nature's Lore,38
Rampant Growth,37
Jetmir's Garden,37
Cinder Glade,37
Steam Vents,36
Spara's Headquarters,36
Nomad Outpost,36
Caves of Koilos,36
Anguished Unmaking,35
Arcane Sanctum,35
The World Tree,35
Indatha Triome,35
Generous Gift,34
Talisman of Hierarchy,34
Sandsteppe Citadel,34
Vault of Champions,34
Sunpetal Grove,34
"Gishath, Sun's Avatar",33
Kodama's Reach,33
Boros Charm,33
Talisman of Progress,33
Orzhov Signet,33
Mystic Monastery,33
Sea of Clouds,33
Savai Triome,33
Raffine's Tower,33
Battlefield Forge,33
Sidar Jabari of Zhalfir,32
Azorius Signet,32
Talisman of Conviction,32
Seaside Citadel,32
Spectator Seating,32
Birds of Paradise,31
Swiftfoot Boots,31
"Atraxa, Praetors' Voice",30
Rhystic Study,30
Assassin's Trophy,30
Three Visits,30
Bojuka Bog,30
Reliquary Tower,30
Raugrin Triome,30
Bountiful Promenade,30
Cyclonic Rift,29
Boros Signet,29
Ketria Triome,29
Smothering Tithe,28
Blasphemous Act,28
Zagoth Triome,28
Lightning Greaves,27
Talisman of Dominance,27
Path of Ancestry,27
Dragonskull Summit,27
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",26
Dovin's Veto,26
Ruinous Ultimatum,26
Rhythm of the Wild,26
Sunken Hollow,26
Sulfur Falls,26
Fellwar Stone,25
Chaos Warp,24
Teferi's Protection,24
Talisman of Creativity,24
Ziatora's Proving Ground,24
Rejuvenating Springs,24
Adarkar Wastes,24
Morphic Pool,24
Demonic Tutor,23
Esper Sentinel,23
Damn,23
Luxury Suite,23
Teysa Karlov,22
An Offer You Can't Refuse,22
Talisman of Indulgence,22
Rakdos Signet,22
Evolving Wilds,22
Negate,21
Void Rend,21
Rogue's Passage,21
Arcane Denial,20
Supreme Verdict,20
Leyline of the Guildpact,20
Dimir Signet,20
Izzet Signet,20
Noble Hierarch,19
Despark,19
Phyrexian Arena,19
Enlightened Tutor,18
Vampiric Tutor,18
"Kutzil, Malamet Exemplar",18
Avacyn's Pilgrim,18
Fierce Guardianship,18
Mystic Remora,18
Brainstorm,17
Toxic Deluge,17
"Boseiju, Who Endures",17
Thought Vessel,17
Llanowar Elves,16
Swan Song,16
Growth Spiral,16
Farewell,16
Skullclamp,16
Mind Stone,16
Propaganda,16
Annie Joins Up,16
"Lotho, Corrupt Shirriff",15
Eternal Witness,15
Dark Ritual,15
Mana Drain,15
Deflecting Swat,15
Austere Command,15
Commander's Sphere,15
Mirari's Wake,15
"Otawara, Soaring City",15
Timeless Lotus,15
Solemn Simulacrum,14
"Morophon, the Boundless",14
Mirkwood Bats,14
Mortify,14
Stroke of Midnight,14
Flawless Maneuver,14
Eerie Ultimatum,14
Whirlwind of Thought,14
Black Market Connections,14
