card name,synergy %
"Wilhelt, the Rotcleaver",98
"Hashaton, Scarab's Fist",95
"Glarb, Calamity's Augur",92
Sol Ring,92
"Raffine, Scheming Seer",87
"Mirko, Obsessive Theorist",86
Lord of the Nazgûl,83
Arcane Signet,81
Command Tower,79
"Sauron, the Dark Lord",76
Swords to Plowshares,75
Meren of Clan Nel Toth,71
"Henzie ""Toolbox"" Torre",70
Godless Shrine,68
Overgrown Tomb,67
Ignoble Hierarch,64
Blood Crypt,63
Watery Grave,63
Hallowed Fountain,62
Breeding Pool,62
Stomping Ground,62
Temple Garden,59
Sacred Foundry,57
The Wise Mothman,56
Assassin's Trophy,55
"K'rrik, Son of Yawgmoth",54
Birds of Paradise,53
Steam Vents,52
Path to Exile,50
Talisman of Dominance,50
Ziatora's Proving Ground,48
The Necrobloom,47
Undergrowth Stadium,47
Luxury Suite,47
Dark Ritual,46
Vault of Champions,46
Morphic Pool,46
Dragonskull Summit,46
Eternal Witness,45
Talisman of Indulgence,44
Drowned Catacomb,44
Rhystic Study,43
Woodland Cemetery,43
Counterspell,42
Blasphemous Act,42
Zagoth Triome,42
Crumbling Necropolis,42
Sunken Hollow,42
Esper Sentinel,41
Raffine's Tower,41
Demonic Tutor,40
Talisman of Hierarchy,40
Indatha Triome,40
Sulfur Falls,40
Sea of Clouds,40
Animate Dead,39
Cyclonic Rift,39
Talisman of Creativity,39
Caves of Koilos,39
Xander's Lounge,39
Isolated Chapel,39
"Korvold, Fae-Cursed King",38
Toxic Deluge,38
Smothering Tithe,38
Savai Triome,38
Rejuvenating Springs,38
Kaalia of the Vast,37
Llanowar Wastes,37
Exotic Orchard,37
Sulfurous Springs,37
"Boseiju, Who Endures",36
Bojuka Bog,36
Smoldering Marsh,36
Underground River,36
"Urborg, Tomb of Yawgmoth",35
Dimir Signet,35
Training Center,35
An Offer You Can't Refuse,34
Noble Hierarch,34
Anguished Unmaking,34
Deflecting Swat,34
Farseek,34
Vampiric Tutor,34
Relic of Sauron,34
Spectator Seating,34
Nature's Lore,33
Faithless Looting,33
Rakdos Signet,33
Spire Garden,33
Sakura-Tribe Elder,32
Beast Within,32
Lightning Greaves,32
Talisman of Progress,32
"Muldrotha, the Gravetide",31
Enlightened Tutor,31
Fierce Guardianship,31
Deathrite Shaman,31
Swan Song,31
Mystic Remora,31
Chaos Warp,30
Cultivate,30
Talisman of Conviction,30
Polluted Delta,30
Hinterland Harbor,30
Heroic Intervention,29
Damn,29
Three Visits,29
"Otawara, Soaring City",29
Orzhov Signet,29
Fellwar Stone,29
Tundra,29
Plateau,29
Bloodstained Mire,29
Underground Mortuary,29
Shipwreck Marsh,29
Savannah,29
Entomb,28
Verdant Catacombs,28
Tropical Island,28
Opulent Palace,28
Arcane Denial,27
Jeska's Will,27
Feed the Swarm,27
"Lotho, Corrupt Shirriff",26
Teferi's Protection,26
Victimize,26
Grand Abolisher,25
Abrupt Decay,25
Worldly Tutor,25
Mana Drain,25
Windfall,25
Rampant Growth,25
Culling Ritual,25
Reliquary Tower,25
Six,24
Deadly Rollick,24
"Be'lakor, the Dark Master",23
Ancient Tomb,23
"Aurelia, the Warleader",23
Delighted Halfling,23
Mystical Tutor,23
Shifting Woodland,23
Izzet Signet,23
Elves of Deep Shadow,22
Llanowar Elves,22
Orcish Bowmasters,22
Terminate,22
Force of Will,22
Swiftfoot Boots,22
Cabal Coffers,22
"Takenuma, Abandoned Mire",22
"Gisela, Blade of Goldnight",21
Anger,21
Void Rend,21
Boros Charm,21
Ruinous Ultimatum,21
Gamble,21
Eerie Ultimatum,21
Phyrexian Tower,21
Talisman of Resilience,21
"Sheoldred, the Apocalypse",20
Dockside Extortionist,20
"Ragavan, Nimble Pilferer",20
Avacyn's Pilgrim,20
Brainstorm,20
Silence,20
Frantic Search,20
Phyrexian Arena,20
Sylvan Library,20
Boros Signet,20
Kheru Goldkeeper,19
Underworld Breach,19
"Saruman, the White Hand",19
Gray Merchant of Asphodel,19
Dovin's Veto,19
Eladamri's Call,19
Sevinne's Reclamation,19
Diabolic Intent,19
Buried Alive,19
In the Darkness Bind Them,19
Thassa's Oracle,18
Dauthi Voidwalker,18
Kodama's Reach,18
Vandalblast,18
The One Ring,18
Mayhem Devil,17
Elvish Mystic,17
"Miirym, Sentinel Wyrm",17
Crop Rotation,17
Force of Negation,17
Noxious Revival,17
Negate,17
Life from the Loam,17
Lotus Petal,17
Mind Stone,17
Skullclamp,17
Black Market Connections,17
Rhythm of the Wild,17
Rogue's Passage,17
Azorius Signet,17
Talisman of Curiosity,17
Colossal Grave-Reaver,16
Call the Spirit Dragons,16
Blood Artist,16
Solemn Simulacrum,16
"Syr Konrad, the Grim",16
Baleful Strix,16
Malakir Rebirth,16
Generous Gift,16
Pyroblast,16
Veil of Summer,16
Red Elemental Blast,16
Wheel of Fortune,16
Ashnod's Altar,16
Bolas's Citadel,16
Thought Vessel,16
Chrome Mox,16
Kishla Skimmer,15
Ranger-Captain of Eos,15
Drannith Magistrate,15
Opposition Agent,15
"Sauron, Lord of the Rings",15
"Ziatora, the Incinerator",15
"Etali, Primal Conqueror",15
Haywire Mite,15
Thrill of Possibility,15
Flusterstorm,15
Rakdos Charm,15
Pact of Negation,15
Putrefy,15
Cabal Ritual,15
Eldritch Evolution,15
Living Death,15
Necromancy,15
Mana Vault,15
Ureni of the Unwritten,14
Simian Spirit Guide,14
"Elas il-Kor, Sadistic Pilgrim",14
"Morophon, the Boundless",14
Viscera Seer,14
Aftermath Analyst,14
Wight of the Reliquary,14
Grisly Salvage,14
Bedevil,14
Despark,14
Withering Torment,14
Mental Misstep,14
Damnation,14
Finale of Devastation,14
Imperial Seal,14
Hedge Shredder,14
Jet Medallion,14
Sun Titan,13
Karmic Guide,13
Ramunap Excavator,13
Notion Thief,13
"Sheoldred, Whispering One",13
Faeburrow Elder,13
Archivist of Oghma,13
"Elesh Norn, Grand Cenobite",13
Skull Prophet,13
Sink into Stupor,13
Fell the Profane,13
Summons of Saruman,13
Bala Ged Recovery,13
Dread Return,13
Neoform,13
Phyrexian Altar,13
Necropotence,13
Temur Ascendancy,13
Golgari Signet,13
Mana Crypt,13
"Rowan, Scion of War",12
Phyrexian Metamorph,12
Tireless Provisioner,12
Deadly Dispute,12
Culling the Weak,12
Revitalizing Repast,12
Blasphemous Edict,12
Night's Whisper,12
Farewell,12
Conduit of Worlds,12
Wishclaw Talisman,12
Greater Good,12
Kessig Wolf Run,12
Desolate Lighthouse,12
Vault of the Archangel,12
"Eiganjo, Seat of the Empire",12
Village Rites,11
Consider,11
Lightning Bolt,11
Infernal Grasp,11
Flawless Maneuver,11
Sign in Blood,11
Rise of the Witch-king,11
Supreme Verdict,11
Ponder,11
Commander's Sphere,11
Ripples of Undeath,11
Riveteers Ascendancy,11
Leyline of the Guildpact,11
"Grist, the Hunger Tide",11
Urza's Saga,11
Mox Diamond,11
Talisman of Impulse,11
Rite of Flame,10
Rise of the Dark Realms,10
Birthing Pod,10
Altar of Dementia,10
Insidious Roots,10
Blind Obedience,10
The Meathook Massacre,10
Exploration,10
"Teferi, Time Raveler",10
Gaea's Cradle,10
"Yavimaya, Cradle of Growth",10
Dryad Arbor,10
Mystic Sanctuary,10
Grim Tutor,9
Breach the Multiverse,9
Unburial Rites,9
Jeweled Lotus,9
The Great Henge,9
Sensei's Divining Top,9
Wayfarer's Bauble,9
Renewed Solidarity,9
Goblin Bombardment,9
Carpet of Flowers,9
Arena of Glory,9
"Nykthos, Shrine to Nyx",9
Mox Opal,9
Mox Amber,9
Ringsight,8
Persist,8
Unearth,8
Exsanguinate,8
Beseech the Mirror,8
Green Sun's Zenith,8
Gitaxian Probe,8
Twinflame,8
Agadeem's Awakening,8
Anointed Procession,8
Wild Growth,8
Garruk's Uprising,8
Guardian Project,8
Sneak Attack,8
Propaganda,8
Grave Pact,8
Kindred Discovery,8
Survival of the Fittest,8
Castle Locthwain,8
Timeless Lotus,8
Whip of Erebos,7
Land Tax,7
Dance of the Dead,7
On Wings of Gold,7
Glacierwood Siege,7
Aura Shards,7
Moldervine Reclamation,7
Bloodchief Ascension,7
Trouble in Pairs,7
Cephalid Coliseum,7
Cabal Stronghold,7
"Shizo, Death's Storehouse",7
Command Beacon,7
Geier Reach Sanitarium,7
High Market,7
Simic Signet,7
Chromatic Lantern,7
Talisman of Unity,7
Bontu's Monument,6
Lion's Eye Diamond,6
Aetherflux Reservoir,6
Mesmeric Orb,6
Mindcrank,6
Exquisite Blood,6
Awaken the Honored Dead,6
Doubling Season,6
Phyrexian Reclamation,6
Rooftop Storm,6
Bastion of Remembrance,6
Mirari's Wake,6
Ghostly Prison,6
Walk-In Closet // Forgotten Cellar,6
Call of the Ring,6
Journey to Eternity,6
Black Market,6
Authority of the Consuls,6
"Liliana, Dreadhorde General",6
"Oko, Thief of Crowns",6
The Black Gate,6
Temple of the False God,6
Minas Tirith,6
"Minamo, School at Water's Edge",6
Mistrise Village,6
Field of the Dead,6
Cursed Mirror,6
The Skullspore Nexus,5
Fist of Suns,5
Invasion of Ikoria,5
"Dihada, Binder of Wills",5
Witch's Cottage,5
Spymaster's Vault,5
Grim Backwoods,5
Mortuary Mire,5
Mines of Moria,5
Emergence Zone,5
Gruul Signet,5
