card name,synergy %
"Nicol Bolas, the Ravager",95
Command Tower,94
"Ramos, Dragon Engine",89
Sol Ring,88
"Miirym, Sentinel Wyrm",84
Arcane Signet,83
Tiamat,82
"Piru, the Volatile",73
Crux of Fate,72
Dragon Tempest,71
"Atarka, World Render",71
"Rohgahh, Kher Keep Overlord",68
"Niv-Mizzet, Guildpact",63
Dragonspeaker Shaman,63
Farseek,63
"Lathliss, Dragon Queen",62
Exotic Orchard,62
Haven of the Spirit Dragon,61
Bladewing the Risen,60
Dragon's Hoard,60
Path of Ancestry,60
"Wasitora, Nekoru Queen",59
Dragonlord Dromoka,58
Temur Ascendancy,58
The Ur-Dragon,57
Niv-Mizzet Reborn,57
Dragonlord's Servant,57
"Rith, Liberated Primeval",57
Old Gnawbone,56
"Vaevictis Asmadi, the Dire",55
"Sarkhan, Soul Aflame",54
Chromatic Lantern,53
Terror of the Peaks,52
Cultivate,51
Garruk's Uprising,50
Utvara Hellkite,50
"Morophon, the Boundless",49
Scourge of Valkas,49
Swords to Plowshares,48
Goldspan Dragon,47
Rhythm of the Wild,46
Stomping Ground,46
Nature's Lore,45
"Silumgar, the Drifting Death",42
Ancient Copper Dragon,42
Ancient Silver Dragon,42
Ketria Triome,42
Herald's Horn,41
Call the Spirit Dragons,40
Two-Headed Hellkite,40
Savage Ventmaw,40
"Klauth, Unrivaled Ancient",39
Urza's Incubator,39
Overgrown Tomb,39
Blood Crypt,39
Steam Vents,39
The World Tree,39
Thrakkus the Butcher,38
Heroic Intervention,38
Kodama's Reach,38
Breeding Pool,38
Dracogenesis,37
Three Visits,37
Temple Garden,37
Cavern of Souls,37
Ziatora's Proving Ground,37
Hellkite Courser,36
Maelstrom of the Spirit Dragon,35
"Korlessa, Scale Singer",35
Birds of Paradise,35
Ancient Gold Dragon,35
"Ganax, Astral Hunter",35
Sacred Foundry,35
Balefire Dragon,34
Scion of the Ur-Dragon,33
Lightning Greaves,33
Jetmir's Garden,33
Ureni of the Unwritten,32
Twinflame Tyrant,32
Orb of Dragonkind,32
Unclaimed Territory,32
Wooded Foothills,32
Smothering Tithe,31
Rampant Growth,31
Fellwar Stone,31
Scalelord Reckoner,30
Scion of Draco,30
Carnelian Orb of Dragonkind,30
Ancient Brass Dragon,29
Teferi's Protection,29
Bloodstained Mire,29
Verdant Catacombs,29
Arid Mesa,29
Zagoth Triome,29
Cyclonic Rift,28
Roaming Throne,28
Path to Exile,28
Secluded Courtyard,28
Watery Grave,28
Hallowed Fountain,28
Crucible of the Spirit Dragon,27
Indatha Triome,27
Misty Rainforest,27
Temple of the Dragon Queen,27
Savai Triome,27
Scalding Tarn,26
Godless Shrine,26
Wrathful Red Dragon,25
"Teneb, the Harvester",25
Counterspell,25
Sarkhan Unbroken,25
Windswept Heath,25
Raugrin Triome,25
Rhystic Study,24
Decadent Dragon,24
Zurgo and Ojutai,24
Bloom Tender,24
Hellkite Tyrant,24
Sarkhan's Triumph,24
Commander's Sphere,24
Kindred Discovery,24
Crucible of Fire,24
Reliquary Tower,23
Reflecting Pool,23
Savage Lands,23
Evolving Wilds,23
Frontier Bivouac,23
Mox Jasper,22
"Lozhan, Dragons' Legacy",22
Earthquake Dragon,22
Assassin's Trophy,22
Skyshroud Claim,22
Marsh Flats,22
Jungle Shrine,22
"Kolaghan, the Storm's Fury",21
Hellkite Charger,21
Scaled Nurturer,21
Polluted Delta,21
Spara's Headquarters,21
Demonic Tutor,20
The Great Henge,20
Mirari's Wake,20
Flooded Strand,20
Xander's Lounge,20
"Karrthus, Tyrant of Jund",19
Scourge of the Throne,19
Faeburrow Elder,19
"Ojutai, Soul of Winter",19
Dragonmaster Outcast,19
Fist of Suns,19
Crumbling Necropolis,19
"Dromoka, the Eternal",18
"Drakuseth, Maw of Flames",18
Swiftfoot Boots,18
Leyline of the Guildpact,18
Jade Orb of Dragonkind,18
City of Brass,18
Cinder Glade,18
Cavern-Hoard Dragon,17
Dragonlord Ojutai,17
Anguished Unmaking,17
Beast Within,17
Nomad Outpost,17
Mana Confluence,17
Mystic Monastery,17
Opulent Palace,17
Steel Hellkite,16
Ignoble Hierarch,16
Dragonborn Champion,16
Mana Drain,16
Blasphemous Act,16
Up the Beanstalk,16
