card name,synergy %
"Korvold, Fae-Cursed King",99
"Bhaal, Lord of Murder",99
"Coram, the Undertaker",96
Command Tower,93
"Korvold, Gleeful Glutton",89
Sol Ring,83
"Vaevictis Asmadi, the Dire",82
Arcane Signet,77
Shattergang Brothers,76
"Sek'Kuar, Deathkeeper",74
"Xira, the Golden Sting",73
Victimize,62
Savage Lands,62
Ignoble Hierarch,61
Exotic Orchard,61
Cinder Glade,58
"Omnath, Locus of All",57
Ziatora's Proving Ground,57
Farseek,56
"Henzie ""Toolbox"" Torre",55
Solemn Simulacrum,55
Smoldering Marsh,55
Sakura-Tribe Elder,50
Blasphemous Act,50
Garruk's Uprising,49
Rampant Growth,47
Cultivate,47
Kresh the Bloodbraided,46
"Junji, the Midnight Sky",44
Beast Within,43
Stomping Ground,42
Overgrown Tomb,41
Chaos Warp,40
Kodama's Reach,40
"Ziatora, the Incinerator",39
"Etali, Primal Storm",39
Riveteers Overlook,39
Blood Crypt,38
"Prossh, Skyraider of Kher",37
Terminate,37
Nature's Lore,36
"Mr. Orfeo, the Boulder",35
Industrial Advancement,35
Disciple of Bolas,35
"Atsushi, the Blazing Sky",34
Birds of Paradise,34
Woodland Cemetery,34
Assassin's Trophy,33
Brokers Ascendancy,33
Undergrowth Stadium,33
Dragonskull Summit,33
Jetmir's Garden,33
Spara's Headquarters,33
"Chainer, Nightmare Adept",32
Rockfall Vale,32
Skullclamp,31
Spire Garden,31
Evolving Wilds,31
Honest Rutstein,30
Brokers Charm,30
Maestros Ascendancy,30
Luxury Suite,30
"Gyrus, Waker of Corpses",29
Noxious Gearhulk,29
Obscura Charm,29
Greater Good,29
Cabaretti Ascendancy,29
Kessig Wolf Run,29
Bojuka Bog,29
Indatha Triome,29
Xander's Lounge,29
Raffine's Tower,29
Treeshaker Chimera,28
Temur Ascendancy,28
Llanowar Wastes,28
Twisted Landscape,28
Stalking Vengeance,27
Eternal Witness,27
Life's Legacy,27
Rootbound Crag,27
Woodfall Primus,26
Ravenous Chupacabra,26
Mayhem Devil,26
Verdant Catacombs,26
The World Tree,26
Path of Ancestry,26
Temple of Malady,26
"Goreclaw, Terror of Qal Sisma",25
Archpriest of Shadows,25
Maestros Charm,25
Evolutionary Leap,25
Zagoth Triome,25
Game Trail,25
"Mahadi, Emporium Master",24
"Juri, Master of the Revue",24
Malakir Rebirth,24
Deadly Dispute,24
Cabaretti Charm,24
Three Visits,24
Rhythm of the Wild,24
Mosswort Bridge,24
Wooded Foothills,24
Bloodstained Mire,24
Giant Adephage,23
Feldon of the Third Path,23
"Etali, Primal Conqueror",23
Daemogoth Woe-Eater,23
Seedguide Ash,23
Timeless Witness,23
Living Death,23
Rise of the Witch-king,23
The Skullspore Nexus,23
Swiftfoot Boots,23
Ketria Triome,23
Terramorphic Expanse,23
Foreboding Ruins,23
Myriad Landscape,23
"Ojer Kaslem, Deepest Growth",22
Primeval Herald,22
Greenwarden of Murasa,22
Yargle and Multani,22
Riveteers Charm,22
Swords to Plowshares,22
Reanimate,22
Sultai Ascendancy,22
Rampant Rejuvenator,21
"Ilharg, the Raze-Boar",21
"Braids, Arisen Nightmare",21
Village Rites,21
Warstorm Surge,21
Fellwar Stone,21
Savai Triome,21
Jungle Shrine,21
Mossfire Valley,21
Temple Garden,21
"Kethek, Crucible Goliath",20
Ziatora's Envoy,20
"Jaxis, the Troublemaker",20
Void Rend,20
Sultai Charm,20
Lightning Greaves,20
Obscura Ascendancy,20
Reliquary Tower,20
Raugrin Triome,20
Shadowblood Ridge,20
Canopy Vista,20
Twilight Mire,20
Karplusan Forest,20
Protean Hulk,19
Ancient Brass Dragon,19
Viscera Seer,19
Abzan Charm,19
Moldervine Reclamation,19
Abzan Ascendancy,19
Jeskai Ascendancy,19
Deathcap Glade,19
"Ognis, the Dragon's Lash",18
Bringer of the Last Gift,18
Grim Haruspex,18
Daemogoth Titan,18
Artisan of Kozilek,18
Bant Charm,18
Esper Charm,18
Godless Shrine,18
Sulfurous Springs,18
Opulent Palace,18
Phytotitan,17
Pitiless Plunderer,17
