card name,synergy %
"Henzie ""Toolbox"" Torre",99
Scion of the Ur-Dragon,97
"Lathliss, Dragon Queen",96
"Sarkhan, Soul Aflame",91
Sol Ring,87
"Atarka, World Render",81
Command Tower,77
Arcane Signet,75
"Miirym, Sentinel Wyrm",70
Cultivate,69
"Kyodai, Soul of Kamigawa",68
"Firkraag, Cunning Instigator",64
Savage Ventmaw,58
Kaalia of the Vast,57
Dragon's Hoard,57
Garruk's Uprising,56
Kodama's Reach,56
Dragonspeaker Shaman,54
Crux of Fate,53
Thrakkus the Butcher,53
Path of Ancestry,53
"Drakuseth, Maw of Flames",52
Dragon Tempest,52
Frontier Bivouac,52
"Keiga, the Tide Star",51
Dragonlord's Servant,51
"Korlessa, Scale Singer",51
Bladewing the Risen,51
Farseek,50
Scourge of Valkas,48
"Silumgar, the Drifting Death",47
Rampant Growth,47
"Teneb, the Harvester",45
Cinder Glade,45
Jungle Shrine,44
"Ganax, Astral Hunter",43
Haven of the Spirit Dragon,43
"Lozhan, Dragons' Legacy",42
Temur Ascendancy,42
Savage Lands,42
"Dromoka, the Eternal",40
Nomad Outpost,40
Earthquake Dragon,39
Steel Hellkite,39
"Ojutai, Soul of Winter",39
Swords to Plowshares,39
Carnelian Orb of Dragonkind,39
Crumbling Necropolis,38
Opulent Palace,38
Mystic Monastery,38
"Ramos, Dragon Engine",37
Chaos Warp,37
Blasphemous Act,37
Utvara Hellkite,36
Sandsteppe Citadel,36
"Purphoros, Bronze-Blooded",35
"O-Kagachi, Vengeful Kami",35
Tiamat,35
"Kolaghan, the Storm's Fury",35
Beast Within,35
Exotic Orchard,35
Wrathful Red Dragon,34
Scaled Nurturer,34
Counterspell,34
Seaside Citadel,34
"Ganax, Astral Hunter // Acolyte of Bahamut",33
"Rith, Liberated Primeval",33
Crucible of Fire,33
Thunderbreak Regent,32
"Iymrith, Desert Doom",32
Jade Orb of Dragonkind,32
Arcane Sanctum,32
Astral Dragon,31
Swiftfoot Boots,31
Rivaz of the Claw,30
Nature's Lore,30
Temple of Epiphany,30
Smoldering Marsh,30
"Wasitora, Nekoru Queen",29
"Kokusho, the Evening Star",29
Sunscorch Regent,29
Terror of the Peaks,29
Myriad Landscape,29
"Junji, the Midnight Sky",28
"Atsushi, the Blazing Sky",28
Dragonlord Dromoka,28
Herald's Horn,28
Rhythm of the Wild,28
Frontier Siege,28
Dragonskull Summit,28
Draconic Muralists,27
Dragonmaster Outcast,27
Goldspan Dragon,27
Fist of Suns,27
Lightning Greaves,27
Elemental Bond,27
Izzet Signet,27
Evolving Wilds,27
Commander's Sphere,26
The World Tree,26
"Niv-Mizzet, Parun",25
Old Gnawbone,25
Path to Exile,25
Negate,25
Crucible of the Spirit Dragon,25
Rakdos Signet,25
