card name,synergy %
"Morophon, the Boundless",97
Command Tower,94
Sol Ring,93
"Intet, the Dreamer",91
Arcane Signet,87
Dragon Tempest,85
Crux of Fate,82
The Ur-Dragon,79
"Atarka, World Render",77
Rivaz of the Claw,75
"Lathliss, Dragon Queen",75
Temur Ascendancy,74
Dragonspeaker Shaman,72
Haven of the Spirit Dragon,72
Dragonlord Dromoka,69
Tiamat,68
Dragonlord's Servant,68
Farseek,67
Dragon's Hoard,67
Zurgo and Ojutai,64
Old Gnawbone,64
Terror of the Peaks,64
Path of Ancestry,64
Nicol Bolas,62
"Rith, Liberated Primeval",62
"Miirym, Sentinel Wyrm",61
Garruk's Uprising,61
Exotic Orchard,61
"Firkraag, Cunning Instigator",60
Scourge of Valkas,60
Goldspan Dragon,60
Utvara Hellkite,57
Goro-Goro and Satoru,55
"Ramos, Dragon Engine",54
Niv-Mizzet Reborn,54
Cultivate,53
Swords to Plowshares,52
Nature's Lore,52
Rhythm of the Wild,51
Stomping Ground,51
Ancient Copper Dragon,50
Ketria Triome,49
"Ganax, Astral Hunter",48
"Niv-Mizzet, Guildpact",47
"Klauth, Unrivaled Ancient",47
Ancient Silver Dragon,47
Bladewing the Risen,47
Heroic Intervention,47
Kodama's Reach,47
Urza's Incubator,47
Savage Ventmaw,46
Thrakkus the Butcher,46
Two-Headed Hellkite,46
Herald's Horn,46
Steam Vents,46
Call the Spirit Dragons,44
Ancient Gold Dragon,44
Overgrown Tomb,44
Blood Crypt,44
"Korlessa, Scale Singer",43
"Silumgar, the Drifting Death",43
Three Visits,43
Breeding Pool,43
Temple Garden,42
Cavern of Souls,42
"Eshki, Temur's Roar",41
Broodcaller Scourge,41
Roaming Throne,41
Sacred Foundry,41
Ziatora's Proving Ground,41
Twinflame Tyrant,40
Chromatic Lantern,40
Scion of the Ur-Dragon,39
Smothering Tithe,39
Balefire Dragon,39
Wrathful Red Dragon,39
Maelstrom of the Spirit Dragon,38
Carnelian Orb of Dragonkind,38
Jetmir's Garden,38
The World Tree,38
Birds of Paradise,37
Hellkite Courser,37
Teferi's Protection,37
Dracogenesis,36
Scalelord Reckoner,36
Ancient Brass Dragon,36
Counterspell,36
Frontier Bivouac,36
Ureni of the Unwritten,35
Parapet Thrasher,35
Thundermane Dragon,35
Temple of the Dragon Queen,35
"Ganax, Astral Hunter // Feywild Visitor",34
Deceptive Frostkite,34
Rampant Growth,34
Lightning Greaves,34
Wooded Foothills,34
Scalding Tarn,34
Earthquake Dragon,33
Orb of Dragonkind,33
Unclaimed Territory,33
Cyclonic Rift,32
Beast Within,32
Blasphemous Act,32
Hallowed Fountain,32
"Lozhan, Dragons' Legacy",31
Scaled Nurturer,31
Encroaching Dragonstorm,31
Kindred Discovery,31
Reliquary Tower,31
Fellwar Stone,31
Misty Rainforest,31
Zagoth Triome,31
Secluded Courtyard,31
Watery Grave,31
Hammerhead Tyrant,30
Path to Exile,30
Sarkhan Unbroken,30
Cinder Glade,30
Savai Triome,30
Sarkhan's Triumph,29
Raugrin Triome,29
Indatha Triome,29
Rhystic Study,27
Demonic Tutor,27
Scourge of the Throne,27
Chaos Warp,27
Godless Shrine,27
Astral Dragon,26
"Drakuseth, Maw of Flames",26
Hellkite Tyrant,26
Will of the Temur,26
Spire Garden,26
Sulfur Falls,26
Dragonborn Champion,25
Decadent Dragon,25
The Great Henge,25
Crucible of the Spirit Dragon,25
Rockfall Vale,25
Training Center,25
Cavern-Hoard Dragon,24
Jade Orb of Dragonkind,24
Arid Mesa,24
Assassin's Trophy,23
Elemental Bond,23
Mox Jasper,23
Reflecting Pool,23
Thunderbreak Regent,22
Scion of Draco,22
Hellkite Charger,22
Become the Avalanche,22
Skyshroud Claim,22
Xander's Lounge,22
Rejuvenating Springs,22
Verdant Catacombs,22
Evolving Wilds,22
Spara's Headquarters,22
Bloodstained Mire,22
Shivan Reef,22
"Nicol Bolas, the Ravager",21
Temur Battlecrier,21
Bloom Tender,21
"Karrthus, Tyrant of Jund",21
Fist of Suns,21
Rootbound Crag,21
Windswept Heath,21
"Teneb, the Harvester",20
Whirlwing Stormbrood,20
"Dragonhawk, Fate's Tempest",20
Dragonmaster Outcast,20
Mana Drain,20
Crucible of Fire,20
Leyline of the Guildpact,20
Mirari's Wake,20
"Iymrith, Desert Doom",19
Dragonlord Ojutai,19
"Ojutai, Soul of Winter",19
Swiftfoot Boots,19
Up the Beanstalk,19
Breaching Dragonstorm,19
Jungle Shrine,19
Hinterland Harbor,19
Flooded Strand,19
"Kolaghan, the Storm's Fury",18
Monster Manual,18
Savage Lands,18
Vampiric Tutor,17
Anguished Unmaking,17
Last March of the Ents,17
Commander's Sphere,17
"Sivitri, Dragon Master",17
Three Tree City,17
Smuggler's Surprise,16
Worldly Tutor,16
Return of the Wildspeaker,16
Panharmonicon,16
Frostcliff Siege,16
Mosswort Bridge,16
Lapis Orb of Dragonkind,16
Negate,15
Eerie Ultimatum,15
Frontier Siege,15
Invasion of Tarkir,15
"Boseiju, Who Endures",15
Stubborn Denial,14
Patriarch's Bidding,14
"Sarkhan, Fireblood",14
Mistrise Village,14
Talisman of Creativity,14
Dragonstorm Globe,14
An Offer You Can't Refuse,13
Timeless Lotus,13
Fierce Guardianship,12
Klauth's Will,12
Boros Charm,12
Deflecting Swat,12
Growth Spiral,12
Spit Flame,12
Rishkar's Expertise,12
Sneak Attack,12
Reflections of Littjara,12
Enlightened Tutor,11
Ancient Tomb,11
Zenith Festival,11
Acolyte of Bahamut,11
Leyline of Mutation,11
Herd Heirloom,11
Izzet Signet,11
Jeska's Will,10
Ghostly Flicker,10
Swan Song,10
Arcane Denial,10
Vandalblast,10
Parallel Lives,10
Temple of the False God,10
"Yavimaya, Cradle of Growth",10
Cursed Mirror,10
Dragon's Fire,9
Rapid Hybridization,9
Farewell,9
Majestic Genesis,9
Ruinous Ultimatum,9
Kindred Dominance,9
Aggravated Assault,9
Monstrous Vortex,9
Shadow in the Warp,9
Dragonback Assault,9
Warstorm Surge,9
Sarkhan the Masterless,9
Arena of Glory,9
Talisman of Impulse,9
Patchwork Banner,9
Draconic Lore,8
Generous Gift,8
Reality Shift,8
Genesis Ultimatum,8
Dragon Arch,8
Roiling Dragonstorm,8
Sylvan Library,8
Defense of the Heart,8
"Otawara, Soaring City",8
The One Ring,7
Eladamri's Call,7
Selvala's Stampede,7
Earthquake,7
Migration Path,7
Mystic Remora,7
Doubling Season,7
"Kiora, Behemoth Beckoner",7
Kessig Wolf Run,7
Thought Vessel,7
Brainstorm,6
Entish Restoration,6
Dovin's Veto,6
Explore,6
Raise the Palisade,6
Shamanic Revelation,6
Primevals' Glorious Rebirth,6
Steely Resolve,6
Annie Joins Up,6
Bower Passage,6
Rogue's Passage,6
Cascading Cataracts,6
Command Beacon,6
Mana Crypt,6
Gruul Signet,6
Kindred Summons,5
Despark,5
Reanimate,5
Wayfarer's Bauble,5
Lurking Predators,5
Virtue of Knowledge,5
There and Back Again,5
Chromatic Orrery,5
Decanter of Endless Water,5
