card name,synergy %
Command Tower,94
Sol Ring,91
"Rukarumel, Biologist",83
Dragon Tempest,83
"Miirym, Sentinel Wyrm",83
Crux of Fate,81
Arcane Signet,79
"Atarka, World Render",78
Haven of the Spirit Dragon,74
Tiamat,72
Farseek,69
Dragonspeaker Shaman,68
"Lathliss, Dragon Queen",68
"Jenson Carthalion, Druid Exile",66
Dragonlord Dromoka,66
The Ur-Dragon,65
Utvara Hellkite,65
Temur Ascendancy,64
Chromatic Lantern,63
Path of Ancestry,63
Dragonlord's Servant,62
Old Gnawbone,62
"Jegantha, the Wellspring",61
Dragon's Hoard,61
Exotic Orchard,61
Terror of the Peaks,60
Rivaz of the Claw,60
Scourge of Valkas,60
Bladewing the Risen,58
Niv-Mizzet Reborn,57
"Morophon, the Boundless",56
Herald's Horn,56
Cultivate,53
"Rith, Liberated Primeval",52
Goldspan Dragon,52
Hellkite Courser,51
"Sarkhan, Soul Aflame",51
"Ramos, Dragon Engine",50
Urza's Incubator,50
"Silumgar, the Drifting Death",49
Ancient Copper Dragon,49
Garruk's Uprising,49
Stomping Ground,49
Swords to Plowshares,48
Rhythm of the Wild,47
Two-Headed Hellkite,46
Cavern of Souls,46
Scalelord Reckoner,45
Ancient Silver Dragon,45
Nature's Lore,45
Savage Ventmaw,44
"Klauth, Unrivaled Ancient",44
Kodama's Reach,43
Lightning Greaves,43
Ketria Triome,43
Steam Vents,43
Overgrown Tomb,43
Scion of Draco,42
Balefire Dragon,42
Blood Crypt,42
Heroic Intervention,41
Temple Garden,41
Breeding Pool,41
"Kyodai, Soul of Kamigawa",40
Three Visits,40
Dracogenesis,39
Sacred Foundry,39
Wooded Foothills,38
The World Tree,38
Call the Spirit Dragons,37
Ancient Gold Dragon,37
Crucible of the Spirit Dragon,36
Arid Mesa,36
Unclaimed Territory,36
Ziatora's Proving Ground,36
Verdant Catacombs,36
"Esika, God of the Tree",35
Progenitus,35
Maelstrom of the Spirit Dragon,35
Smothering Tithe,35
Misty Rainforest,35
Cyclonic Rift,34
Twinflame Tyrant,34
Birds of Paradise,34
Teferi's Protection,34
Orb of Dragonkind,34
Scalding Tarn,34
Jetmir's Garden,33
Hallowed Fountain,33
"Jodah, the Unifier",32
"Omnath, Locus of All",32
Hellkite Charger,32
Kindred Discovery,32
Sarkhan Unbroken,32
Windswept Heath,32
Watery Grave,32
Bloodstained Mire,32
"Teneb, the Harvester",31
Roaming Throne,31
Sarkhan's Triumph,31
Ancient Brass Dragon,30
Fist of Suns,30
Fellwar Stone,30
Secluded Courtyard,30
Zagoth Triome,30
Ureni of the Unwritten,29
Thrakkus the Butcher,29
Commander's Sphere,29
Indatha Triome,29
Godless Shrine,29
Savai Triome,29
"Korlessa, Scale Singer",28
Rampant Growth,28
Crucible of Fire,28
Marsh Flats,28
Rhystic Study,27
Hellkite Tyrant,27
Raugrin Triome,27
Flooded Strand,27
Reflecting Pool,27
Polluted Delta,26
Temple of the Dragon Queen,26
Demonic Tutor,25
"Ganax, Astral Hunter",25
"Ojutai, Soul of Winter",25
Skyshroud Claim,25
Frontier Bivouac,25
Jared Carthalion,24
"Karrthus, Tyrant of Jund",24
"Dromoka, the Eternal",24
Path to Exile,24
Jungle Shrine,24
Mox Jasper,23
"Kolaghan, the Storm's Fury",23
Bloom Tender,23
The Great Henge,23
Savage Lands,23
Zurgo and Ojutai,22
Reliquary Tower,22
City of Brass,22
Steel Hellkite,21
Counterspell,21
Carnelian Orb of Dragonkind,21
Mana Confluence,21
Crumbling Necropolis,21
Mystic Monastery,21
"Kenrith, the Returned King",20
Scourge of the Throne,20
Mirari's Wake,20
Spara's Headquarters,20
Nomad Outpost,20
Opulent Palace,20
Wrathful Red Dragon,19
Decadent Dragon,19
Assassin's Trophy,19
Elemental Bond,19
Leyline of the Guildpact,19
Xander's Lounge,19
Evolving Wilds,19
Sandsteppe Citadel,19
"Nicol Bolas, the Ravager",18
Dragonlord Silumgar,18
Mana Drain,18
Anguished Unmaking,18
"O-Kagachi, Vengeful Kami",17
Vampiric Tutor,17
Cavern-Hoard Dragon,16
Earthquake Dragon,16
"Wasitora, Nekoru Queen",16
Sunscorch Regent,16
Dragonlord Ojutai,16
"Lozhan, Dragons' Legacy",16
Last March of the Ents,16
Dragonlord Kolaghan,15
Dragonmaster Outcast,15
Dragon Arch,15
Frontier Siege,15
"Sisay, Weatherlight Captain",14
Scaled Nurturer,14
Ancient Bronze Dragon,14
Dragonborn Champion,14
Faeburrow Elder,14
Patriarch's Bidding,14
Eerie Ultimatum,14
Up the Beanstalk,14
"Sivitri, Dragon Master",14
Three Tree City,14
Worldly Tutor,13
Beast Within,13
Earthquake,13
"Sarkhan, Fireblood",13
Timeless Lotus,13
Swiftfoot Boots,12
Monster Manual,12
Cascading Cataracts,12
Ancient Tomb,11
Smuggler's Surprise,11
Majestic Genesis,11
Leyline of Mutation,11
Jade Orb of Dragonkind,11
Dragonstorm Globe,11
Enlightened Tutor,10
Boros Charm,10
Aggravated Assault,10
Invasion of Tarkir,10
"Boseiju, Who Endures",10
Chromatic Orrery,10
Return of the Wildspeaker,9
Swan Song,9
Blasphemous Act,9
Ruinous Ultimatum,9
Sylvan Library,9
Monstrous Vortex,9
Mana Crypt,9
Kindred Dominance,8
Farewell,8
Encroaching Dragonstorm,8
Defense of the Heart,8
Sneak Attack,8
Lurking Predators,8
"Yavimaya, Cradle of Growth",8
Temple of the False God,8
Darksteel Ingot,8
Patchwork Banner,8
The One Ring,7
Stubborn Denial,7
Growth Spiral,7
Chaos Warp,7
Dragon's Fire,7
Eladamri's Call,7
Spit Flame,7
Primevals' Glorious Rebirth,7
Shadow in the Warp,7
Breaching Dragonstorm,7
Sarkhan the Masterless,7
Mistrise Village,7
Lapis Orb of Dragonkind,7
Mana Vault,6
Fierce Guardianship,6
Negate,6
Klauth's Will,6
An Offer You Can't Refuse,6
Deflecting Swat,6
Painful Truths,6
Rishkar's Expertise,6
Wayfarer's Bauble,6
Vanquisher's Banner,6
Quicksilver Amulet,6
Mystic Remora,6
Monastery Siege,6
Bower Passage,6
Steely Resolve,6
"Ugin, the Spirit Dragon",6
Gilded Lotus,6
Herd Heirloom,6
Generous Gift,5
Despark,5
The Kami War,5
Palace Siege,5
Frostcliff Siege,5
Roiling Dragonstorm,5
"Sarkhan, Dragonsoul",5
Arena of Glory,5
Thought Vessel,5
"Jodah, Archmage Eternal",4
