card name,synergy %
"Wilhelt, the Rotcleaver",96
Sol Ring,90
"Henzie ""Toolbox"" Torre",87
"Krenko, Mob Boss",84
Arcane Signet,76
Command Tower,75
Swords to Plowshares,74
Teysa Karlov,63
"Caesar, Legion's Emperor",58
"Alela, Cunning Conqueror",55
Path to Exile,55
Overgrown Tomb,55
Godless Shrine,52
Woodland Cemetery,52
Temple Garden,52
Stomping Ground,52
Blood Crypt,49
Llanowar Wastes,49
Ignoble Hierarch,48
Counterspell,48
Isolated Chapel,48
Hallowed Fountain,48
Assassin's Trophy,47
Talisman of Dominance,47
Watery Grave,47
Sacred Foundry,47
Jetmir's Garden,47
Steam Vents,46
Breeding Pool,46
Beast Within,44
Talisman of Hierarchy,44
Dragonskull Summit,44
Caves of Koilos,44
Ziatora's Proving Ground,44
Nomad Outpost,44
Bojuka Bog,43
Sunken Hollow,43
Undergrowth Stadium,42
Clifftop Retreat,42
"Rin and Seri, Inseparable",41
"Urza, Chief Artificer",41
Cultivate,41
Prairie Stream,41
Arcane Sanctum,41
"Shorikai, Genesis Engine",40
Dimir Signet,40
Orzhov Signet,40
Jungle Shrine,40
Cinder Glade,40
Canopy Vista,40
Impact Tremors,39
Anguished Unmaking,39
Vault of Champions,39
Azorius Signet,38
Talisman of Progress,38
Indatha Triome,38
Heroic Intervention,37
Talisman of Creativity,37
Smoldering Marsh,37
Shivan Reef,37
Savai Triome,37
Luxury Suite,36
Spectator Seating,36
Sulfur Falls,36
Blood Artist,35
Nature's Lore,35
Blasphemous Act,35
Battlefield Forge,35
Sunpetal Grove,35
Exotic Orchard,35
Zulaport Cutthroat,34
Chaos Warp,34
Farseek,34
Sea of Clouds,34
Bountiful Promenade,34
Training Center,34
Boros Charm,33
Talisman of Conviction,33
Izzet Signet,33
Talisman of Indulgence,33
Spire Garden,33
Mystic Monastery,33
Savage Lands,33
Raugrin Triome,32
Ketria Triome,32
Rootbound Crag,32
Glacial Fortress,32
Morphic Pool,32
"Jetmir, Nexus of Revels",31
Cruel Celebrant,31
Cyclonic Rift,31
Rhystic Study,31
Birds of Paradise,31
Rampant Growth,31
Ruinous Ultimatum,31
Lightning Greaves,31
Rakdos Signet,31
