card name,synergy %
"Oloro, Ageless Ascetic",93
Sol Ring,93
Command Tower,85
Arcane Signet,84
The Ur-Dragon,78
"Kenrith, the Returned King",76
"Esika, God of the Tree",74
Swords to Plowshares,74
"Tivit, Seller of Secrets",73
"Shorikai, Genesis Engine",71
Kaalia of the Vast,69
Rhystic Study,67
Teysa Karlov,65
Hallowed Fountain,65
"Mr. House, President and CEO",63
Godless Shrine,63
"Giada, Font of Hope",61
Temple Garden,61
Watery Grave,59
"Atraxa, Grand Unifier",58
Sacred Foundry,58
Breeding Pool,57
"Atraxa, Praetors' Voice",55
Stomping Ground,55
Overgrown Tomb,55
Path to Exile,54
Cyclonic Rift,53
Steam Vents,52
Blood Crypt,51
Edgar Markov,47
Marneus Calgar,47
Birds of Paradise,46
"Alela, Artful Provocateur",45
Farseek,45
Queen Marchesa,44
Esper Sentinel,44
Demonic Tutor,44
Exotic Orchard,44
Heroic Intervention,42
Sea of Clouds,42
Vault of Champions,42
Teferi's Protection,41
Jetmir's Garden,41
Counterspell,40
Spectator Seating,40
Indatha Triome,39
Savai Triome,39
Nature's Lore,38
Spara's Headquarters,38
Cultivate,37
Vampiric Tutor,37
Enlightened Tutor,37
Ketria Triome,37
Raffine's Tower,37
Mystic Remora,36
Fierce Guardianship,36
The World Tree,36
Raugrin Triome,36
Bountiful Promenade,35
Marsh Flats,35
Three Visits,34
Reliquary Tower,34
Talisman of Progress,33
Zagoth Triome,33
Isolated Chapel,33
"Boseiju, Who Endures",32
Talisman of Hierarchy,32
Flooded Strand,32
Morphic Pool,32
Clifftop Retreat,32
"Sisay, Weatherlight Captain",31
Lightning Greaves,31
Mana Drain,30
Swan Song,30
Anguished Unmaking,30
Fellwar Stone,30
Arid Mesa,30
Deflecting Swat,29
An Offer You Can't Refuse,29
"Otawara, Soaring City",29
Talisman of Dominance,29
Underground Sea,29
Caves of Koilos,29
Glacial Fortress,29
Tropical Island,29
Noble Hierarch,28
Talisman of Conviction,28
Ziatora's Proving Ground,28
Tundra,28
Bayou,28
Luxury Suite,28
Volcanic Island,28
Worldly Tutor,27
Dovin's Veto,27
Boros Charm,27
Generous Gift,27
Orzhov Signet,27
Windswept Heath,27
Prairie Stream,27
Savannah,27
Assassin's Trophy,26
Beast Within,26
Azorius Signet,26
Canopy Vista,26
Scrubland,26
Taiga,26
Battlefield Forge,26
Kodama's Reach,25
Swiftfoot Boots,25
Bojuka Bog,25
Training Center,25
Sunpetal Grove,25
Rejuvenating Springs,25
Mystical Tutor,24
Force of Will,24
"Lotho, Corrupt Shirriff",24
Blasphemous Act,24
Ruinous Ultimatum,24
"Breya, Etherium Shaper",23
Bloom Tender,23
Delighted Halfling,23
Boros Signet,23
Ancient Tomb,22
Farewell,22
Rhythm of the Wild,22
Ignoble Hierarch,21
Dark Ritual,21
Rampant Growth,21
Toxic Deluge,21
Sylvan Library,21
Propaganda,21
Jeska's Will,20
Damn,20
Black Market Connections,20
Leyline of the Guildpact,20
Talisman of Creativity,20
The One Ring,19
Grand Abolisher,19
"Morophon, the Boundless",19
Force of Negation,19
Arcane Denial,19
Supreme Verdict,19
Mirari's Wake,19
Ghostly Prison,19
Talisman of Indulgence,19
Chaos Warp,18
Phyrexian Arena,18
Thought Vessel,18
Orcish Bowmasters,17
Dockside Extortionist,17
Eladamri's Call,17
Skullclamp,17
Doubling Season,17
Timeless Lotus,17
Call the Spirit Dragons,16
Faeburrow Elder,16
Deathrite Shaman,16
"Kutzil, Malamet Exemplar",16
"Miirym, Sentinel Wyrm",16
Flawless Maneuver,16
Brainstorm,16
Void Rend,16
Flusterstorm,16
Anointed Procession,16
Temur Ascendancy,16
Chromatic Lantern,16
Rakdos Signet,16
Dimir Signet,16
Eternal Witness,15
Thassa's Oracle,15
Pact of Negation,15
Deadly Rollick,15
Windfall,15
Reanimate,15
Land Tax,15
"Teferi, Time Raveler",15
Rogue's Passage,15
Avacyn's Pilgrim,14
Opposition Agent,14
"Mondrak, Glory Dominus",14
Tiamat,14
Seedborn Muse,14
Silence,14
Akroma's Will,14
Mental Misstep,14
Finale of Devastation,14
The Great Henge,14
Urza's Saga,14
Izzet Signet,14
Chrome Mox,14
Dryad of the Ilysian Grove,13
"Ragavan, Nimble Pilferer",13
Drannith Magistrate,13
Sanctum Weaver,13
Negate,13
Abrupt Decay,13
Despark,13
Eerie Ultimatum,13
Lotus Petal,13
Mind Stone,13
Aura Shards,13
Parallel Lives,13
Blind Obedience,13
Gaea's Cradle,13
"Eiganjo, Seat of the Empire",13
"Urborg, Tomb of Yawgmoth",13
Mana Vault,13
Ureni of the Unwritten,12
Solemn Simulacrum,12
Faerie Mastermind,12
Mirkwood Bats,12
Professional Face-Breaker,12
Displacer Kitten,12
Phyrexian Metamorph,12
Mindbreak Trap,12
Imperial Seal,12
Gamble,12
Diabolic Intent,12
Bolas's Citadel,12
Trouble in Pairs,12
Sterling Grove,12
Vault of the Archangel,12
Mana Crypt,12
Blood Artist,11
"Kinnan, Bonder Prodigy",11
Llanowar Elves,11
Archivist of Oghma,11
"Etali, Primal Conqueror",11
Enduring Vitality,11
Baleful Strix,11
Goldspan Dragon,11
Stroke of Midnight,11
Vandalblast,11
Austere Command,11
Skyshroud Claim,11
Commander's Sphere,11
Wishclaw Talisman,11
Annie Joins Up,11
Wild Growth,11
Garruk's Uprising,11
Hall of Heliod's Generosity,11
"Talion, the Kindly Lord",10
"Elas il-Kor, Sadistic Pilgrim",10
"Vito, Thorn of the Dusk Rose",10
"Aurelia, the Warleader",10
Pitiless Plunderer,10
Roaming Throne,10
Eidolon of Blossoms,10
"Sythis, Harvest's Hand",10
Destiny Spinner,10
Two-Headed Hellkite,10
Ancient Copper Dragon,10
Ranger-Captain of Eos,10
Sink into Stupor,10
Tainted Pact,10
Dawn's Truce,10
Sevinne's Reclamation,10
Culling Ritual,10
Fist of Suns,10
Whirlwind of Thought,10
Sanguine Bond,10
Enchantress's Presence,10
Exquisite Blood,10
Impact Tremors,10
"Takenuma, Abandoned Mire",10
Mox Opal,10
Mox Diamond,10
Deadly Dispute,9
Demonic Consultation,9
Inkshield,9
Faithless Looting,9
Ponder,9
Ashnod's Altar,9
Sensei's Divining Top,9
Necropotence,9
Underworld Breach,9
Utopia Sprawl,9
Warleader's Call,9
Animate Dead,9
Authority of the Consuls,9
"Narset, Parter of Veils",9
"Oko, Thief of Crowns",9
"Yavimaya, Cradle of Growth",9
Minas Tirith,9
Phyrexian Tower,9
Mox Amber,9
Voice of Victory,8
Bleachbone Verge,8
Chord of Calling,8
Mortify,8
Crop Rotation,8
Veil of Summer,8
Wear // Tear,8
Entomb,8
Growth Spiral,8
Frantic Search,8
Wrath of God,8
Eldritch Evolution,8
Wheel of Fortune,8
Idyllic Tutor,8
Time Sieve,8
Pearl Medallion,8
Herald's Horn,8
Sword of the Animist,8
Exploration,8
Guardian Project,8
Sphere of Safety,8
Carpet of Flowers,8
"Nicol Bolas, Dragon-God",8
Cabal Coffers,8
Seat of the Synod,8
Academy Ruins,8
Talisman of Curiosity,8
Talisman of Unity,8
Sunbillow Verge,7
Red Elemental Blast,7
Chain of Vapor,7
Pyroblast,7
Crackling Doom,7
Ephemerate,7
Strix Serenade,7
Neoform,7
Fabricate,7
Night's Whisper,7
Tempt with Discovery,7
Jeweled Lotus,7
Aetherflux Reservoir,7
Darksteel Mutation,7
The Meathook Massacre,7
Sanctum of All,7
Cathars' Crusade,7
"Tamiyo, Field Researcher",7
Three Tree City,7
"Nykthos, Shrine to Nyx",7
Mystic Sanctuary,7
"Minamo, School at Water's Edge",7
Mistrise Village,7
Gavony Township,7
War Room,7
Selesnya Signet,7
Fracture,6
Borne Upon a Wind,6
Deflecting Palm,6
Terminate,6
Fell the Profane,6
Mnemonic Betrayal,6
Grim Tutor,6
Approach of the Second Sun,6
Bala Ged Recovery,6
Vindicate,6
Preordain,6
Victimize,6
Green Sun's Zenith,6
Archaeomancer's Map,6
Urza's Incubator,6
Wayfarer's Bauble,6
The Reaver Cleaver,6
Phyrexian Altar,6
Mithril Coat,6
Kindred Discovery,6
Caretaker's Talent,6
Revel in Riches,6
Dragon Tempest,6
Maelstrom Nexus,6
Leyline of Mutation,6
Fertile Ground,6
Teferi's Ageless Insight,6
Bitterblossom,6
Bastion of Remembrance,6
Brokers Ascendancy,6
"Dihada, Binder of Wills",6
"Elspeth, Sun's Champion",6
Temple of the False God,6
Ancient Den,6
Inventors' Fair,6
Great Furnace,6
"Emeria, the Sky Ruin",6
Arena of Glory,6
Blasphemous Edict,5
Beseech the Mirror,5
Sign in Blood,5
Idol of Oblivion,5
Sunforger,5
Panharmonicon,5
Invasion of Ikoria,5
Sarkhan Unbroken,5
Castle Ardenvale,5
Shifting Woodland,5
"Sokenzan, Crucible of Defiance",5
Slayers' Stronghold,5
Vault of Whispers,5
