card name,synergy %
"Giada, Font of Hope",95
"Nekusar, the Mindrazer",87
"Krenko, Mob Boss",86
"Miirym, Sentinel Wyrm",85
"Sauron, the Dark Lord",82
Arcane Signet,80
"Pantlaza, Sun-Favored",77
Command Tower,77
"Isshin, Two Heavens as One",74
"Wilhelt, the Rotcleaver",72
Swords to Plowshares,67
Kaalia of the Vast,64
Path to Exile,50
Cultivate,48
Counterspell,45
"Kenrith, the Returned King",43
Overgrown Tomb,43
Breeding Pool,42
Watery Grave,42
Hallowed Fountain,42
Stomping Ground,42
Godless Shrine,42
"Gishath, Sun's Avatar",41
Temple Garden,41
Cinder Glade,40
Steam Vents,40
Blood Crypt,40
Beast Within,39
Canopy Vista,38
Exotic Orchard,38
Farseek,37
Sacred Foundry,37
Sunken Hollow,37
Rampant Growth,36
Blasphemous Act,36
Prairie Stream,36
Talisman of Dominance,35
Smoldering Marsh,35
"Atraxa, Praetors' Voice",34
Nature's Lore,34
Sulfur Falls,34
Dragonskull Summit,34
Jungle Shrine,34
Chaos Warp,33
Ketria Triome,33
Assassin's Trophy,32
Heroic Intervention,32
Kodama's Reach,32
Reliquary Tower,32
Talisman of Creativity,32
Clifftop Retreat,32
Crumbling Necropolis,32
The World Tree,32
Jetmir's Garden,32
The Ur-Dragon,31
Bojuka Bog,31
Rakdos Signet,31
Dimir Signet,31
Isolated Chapel,31
Woodland Cemetery,31
Hinterland Harbor,31
Caves of Koilos,31
Birds of Paradise,30
Talisman of Indulgence,30
Ziatora's Proving Ground,30
Rejuvenating Springs,30
Zagoth Triome,30
Indatha Triome,30
Spara's Headquarters,30
Nomad Outpost,30
Rhystic Study,29
Cyclonic Rift,29
Swiftfoot Boots,29
Izzet Signet,29
Orzhov Signet,29
Glacial Fortress,29
Arcane Sanctum,29
Shivan Reef,29
Frontier Bivouac,29
Yavimaya Coast,29
Training Center,29
Ignoble Hierarch,28
Talisman of Hierarchy,28
Drowned Catacomb,28
Mystic Monastery,28
Opulent Palace,28
Battlefield Forge,28
Luxury Suite,28
Sea of Clouds,28
Lightning Greaves,27
Azorius Signet,27
Talisman of Progress,27
Llanowar Wastes,27
Morphic Pool,27
Vault of Champions,27
Smothering Tithe,26
Generous Gift,26
Boros Charm,26
Three Visits,26
Talisman of Conviction,26
Anguished Unmaking,25
Dark Ritual,25
Rhythm of the Wild,25
Boros Signet,24
Demonic Tutor,23
An Offer You Can't Refuse,23
Negate,23
Fellwar Stone,23
Esper Sentinel,22
Growth Spiral,22
Llanowar Elves,21
Terminate,21
Arcane Denial,21
Brainstorm,21
Teferi's Protection,21
Rogue's Passage,21
Fierce Guardianship,20
Eternal Witness,20
"Boseiju, Who Endures",20
Vampiric Tutor,19
Enlightened Tutor,19
Dovin's Veto,19
Ruinous Ultimatum,19
Toxic Deluge,19
Feed the Swarm,19
Mystic Remora,19
Thought Vessel,19
"Lathril, Blade of the Elves",18
"Shorikai, Genesis Engine",18
Jeska's Will,18
Sakura-Tribe Elder,18
Elvish Mystic,18
Noble Hierarch,18
Deflecting Swat,18
Swan Song,18
Reanimate,18
Mind Stone,18
Putrefy,17
Damn,17
Faithless Looting,17
Vandalblast,17
Garruk's Uprising,17
Phyrexian Arena,17
"Otawara, Soaring City",17
Mystical Tutor,16
"Morophon, the Boundless",16
Mana Drain,16
Temur Ascendancy,16
Leyline of the Guildpact,16
Kessig Wolf Run,16
"Kutzil, Malamet Exemplar",15
Despark,15
Worldly Tutor,15
Rakdos Charm,15
Commander's Sphere,15
Simic Signet,15
Talisman of Curiosity,15
Avacyn's Pilgrim,14
Solemn Simulacrum,14
Goblin Anarchomancer,14
"Lotho, Corrupt Shirriff",14
Bedevil,14
Void Rend,14
Supreme Verdict,14
Windfall,14
Farewell,14
Talisman of Resilience,14
Baleful Strix,13
Delighted Halfling,13
Deathrite Shaman,13
Return of the Wildspeaker,13
Frantic Search,13
Ponder,13
Austere Command,13
Skullclamp,13
Mirari's Wake,13
Propaganda,13
Annie Joins Up,13
Golgari Signet,13
Timeless Lotus,13
Gruul Signet,13
Edgar Markov,12
Call the Spirit Dragons,12
Blood Artist,12
Fyndhorn Elves,12
"Tatyova, Benthic Druid",12
Deadly Rollick,12
Pongify,12
Force of Will,12
Mortify,12
Abrade,12
Victimize,12
Eerie Ultimatum,12
Culling Ritual,12
Ghostly Prison,12
Black Market Connections,12
Sylvan Library,12
Vault of the Archangel,12
Mystic Sanctuary,12
Ancient Tomb,11
Faeburrow Elder,11
Beast Whisperer,11
Tireless Provisioner,11
"Elas il-Kor, Sadistic Pilgrim",11
Mayhem Devil,11
Deadly Dispute,11
Abrupt Decay,11
Eladamri's Call,11
Lightning Bolt,11
Flawless Maneuver,11
Gamble,11
Preordain,11
Rishkar's Expertise,11
Wild Growth,11
Whirlwind of Thought,11
Cabal Coffers,11
Mosswort Bridge,11
Talisman of Impulse,11
Mirkwood Bats,10
Elves of Deep Shadow,10
"Etali, Primal Conqueror",10
Grand Abolisher,10
Orcish Bowmasters,10
"Zacama, Primal Calamity",10
Sun Titan,10
Reclamation Sage,10
Zulaport Cutthroat,10
Scute Swarm,10
Stroke of Midnight,10
Thrill of Possibility,10
Akroma's Will,10
Village Rites,10
Rapid Hybridization,10
Force of Negation,10
Crop Rotation,10
Sink into Stupor,10
Opt,10
Sign in Blood,10
The Great Henge,10
Wayfarer's Bauble,10
Impact Tremors,10
Doubling Season,10
Hardened Scales,10
Animate Dead,10
Temple of the False God,10
"Urborg, Tomb of Yawgmoth",10
"Takenuma, Abandoned Mire",10
Chromatic Lantern,10
Relic of Sauron,10
Mardu Siegebreaker,9
Dockside Extortionist,9
Gray Merchant of Asphodel,9
Goblin Electromancer,9
Storm-Kiln Artist,9
"Etali, Primal Storm",9
"Syr Konrad, the Grim",9
Viscera Seer,9
Professional Face-Breaker,9
Seedborn Muse,9
Avenger of Zendikar,9
Cruel Celebrant,9
"Niv-Mizzet, Parun",9
Tiamat,9
Big Score,9
Reality Shift,9
Nature's Claim,9
Harrow,9
Night's Whisper,9
Diabolic Intent,9
Explore,9
Finale of Devastation,9
Skyshroud Claim,9
Shamanic Revelation,9
Bolas's Citadel,9
The One Ring,9
Anointed Procession,9
Moldervine Reclamation,9
Guardian Project,9
Aura Shards,9
Gavony Township,9
Phyrexian Tower,9
"Yavimaya, Cradle of Growth",9
Selesnya Signet,9
Talisman of Unity,9
Temur Battlecrier,8
Ureni of the Unwritten,8
"Ragavan, Nimble Pilferer",8
Bloom Tender,8
Revitalizing Repast,8
Withering Torment,8
Decimate,8
Harmonize,8
Villainous Wealth,8
Bala Ged Recovery,8
Damnation,8
Blasphemous Edict,8
Lotus Petal,8
Ashnod's Altar,8
Warleader's Call,8
Exploration,8
Kindred Discovery,8
Utopia Sprawl,8
Parallel Lives,8
"Eiganjo, Seat of the Empire",8
Urza's Saga,8
Minas Tirith,8
Bleachbone Verge,7
Sevinne's Reclamation,7
Read the Bones,7
Mana Geyser,7
Expressive Iteration,7
Fist of Suns,7
Herald's Horn,7
Bident of Thassa,7
Blind Obedience,7
Sterling Grove,7
Land Tax,7
Tribute to the World Tree,7
Brokers Ascendancy,7
Underworld Breach,7
"Teferi, Time Raveler",7
Shifting Woodland,7
Seat of the Synod,7
Alchemist's Refuge,7
Hall of Heliod's Generosity,7
Mana Vault,7
Chrome Mox,7
Mana Crypt,7
Time Wipe,6
Imperial Seal,6
Wrath of God,6
Diabolic Tutor,6
Fabricate,6
Exsanguinate,6
Vindicate,6
Buried Alive,6
Overwhelming Stampede,6
Green Sun's Zenith,6
Stump Stomp,6
Gitaxian Probe,6
Wishclaw Talisman,6
Sensei's Divining Top,6
Felidar Retreat,6
Goblin Bombardment,6
Bastion of Remembrance,6
Maelstrom Nexus,6
Unnatural Growth,6
Branching Evolution,6
Sanguine Bond,6
Jeskai Ascendancy,6
The Kami War,6
Simic Ascendancy,6
All-Out Assault,6
Necropotence,6
Darksteel Mutation,6
Insidious Roots,6
Beastmaster Ascension,6
Cathars' Crusade,6
Windcrag Siege,6
"Oko, Thief of Crowns",6
War Room,6
Gaea's Cradle,6
Arena of Glory,6
Slayers' Stronghold,6
Great Furnace,6
Three Tree City,6
"Nykthos, Shrine to Nyx",6
Cursed Mirror,6
Neoform,5
"Ozolith, the Shattered Spire",5
Conduit of Worlds,5
"Tamiyo, Field Researcher",5
Ancient Den,5
Academy Ruins,5
Buried Ruin,5
"Sunhome, Fortress of the Legion",5
Castle Ardenvale,5
Midnight Clock,5
Patchwork Banner,5
Thran Dynamo,5
Mox Opal,5
Mox Diamond,5
"Yuriko, the Tiger's Shadow",4
"Zhulodok, Void Gorger",2
