card name,synergy %
"Otharri, Suns' Glory",97
Rashmi and Ragavan,92
Sol Ring,90
"Kadena, Slinking Sorcerer",89
Captain N'ghathrod,86
"Jon Irenicus, Shattered One",81
Arcane Signet,79
Command Tower,77
Zur the Enchanter,71
Meren of Clan Nel Toth,70
Swords to Plowshares,67
"Arabella, Abandoned Doll",64
"Lynde, Cheerful Tormentor",60
Cultivate,53
"Narset, Enlightened Master",50
Counterspell,49
Path to Exile,47
The World Tree,46
Crumbling Necropolis,44
Cinder Glade,44
"Brago, King Eternal",42
Swiftfoot Boots,42
Farseek,42
Hallowed Fountain,42
Sunken Hollow,42
The Kami War,41
Chaos Warp,41
Blasphemous Act,41
Exotic Orchard,41
Jungle Shrine,41
Prairie Stream,41
Dimir Signet,40
Canopy Vista,40
Arcane Sanctum,40
Godless Shrine,39
Smoldering Marsh,39
Ketria Triome,39
Lightning Greaves,38
Beast Within,38
Kodama's Reach,38
Reliquary Tower,38
Overgrown Tomb,38
Stomping Ground,38
Azorius Signet,37
Breeding Pool,37
Spara's Headquarters,37
Sacred Foundry,37
Indatha Triome,37
Steam Vents,36
Temple Garden,36
Nature's Lore,35
Rampant Growth,35
Rakdos Signet,35
Orzhov Signet,35
Watery Grave,35
Blood Crypt,34
Frontier Bivouac,34
Zagoth Triome,34
Raffine's Tower,33
Ziatora's Proving Ground,33
Jetmir's Garden,33
Clifftop Retreat,33
Opulent Palace,33
Dragonskull Summit,33
Heroic Intervention,32
Talisman of Dominance,32
Raugrin Triome,32
Glacial Fortress,32
Bojuka Bog,31
Rogue's Passage,31
Isolated Chapel,31
Xander's Lounge,31
Talisman of Creativity,30
Boros Signet,30
Caves of Koilos,30
Mystic Monastery,30
Battlefield Forge,30
Sulfur Falls,30
"Sythis, Harvest's Hand",29
Boros Charm,29
Izzet Signet,29
Talisman of Conviction,29
Yavimaya Coast,29
Savai Triome,29
Nomad Outpost,29
Talisman of Progress,28
Fellwar Stone,28
Talisman of Hierarchy,28
Sea of Clouds,28
Training Center,28
Drowned Catacomb,28
Spectator Seating,28
Llanowar Wastes,28
Seaside Citadel,28
"Mishra, Eminent One",27
Kaalia of the Vast,27
Generous Gift,27
Three Visits,27
Shivan Reef,27
Sterling Grove,26
Smothering Tithe,26
Talisman of Indulgence,26
"Narci, Fable Singer",25
Dovin's Veto,25
Jukai Naturalist,24
Cyclonic Rift,24
Negate,24
Mind Stone,24
Rhystic Study,24
Solemn Simulacrum,23
Birds of Paradise,23
Anguished Unmaking,23
Rhythm of the Wild,23
Thought Vessel,23
Teferi's Protection,22
Assassin's Trophy,22
Binding the Old Gods,21
Terminate,21
Feed the Swarm,21
Sanctum of All,20
Sakura-Tribe Elder,20
"Isshin, Two Heavens as One",20
Bedevil,20
Brainstorm,20
Arcane Denial,20
Ruinous Ultimatum,20
Annie Joins Up,20
Propaganda,20
"Satsuki, the Living Lore",19
Enlightened Tutor,19
"Aurelia, the Warleader",19
Eternal Witness,19
Growth Spiral,19
An Offer You Can't Refuse,19
Void Rend,19
Vandalblast,19
Commander's Sphere,19
Lithoform Engine,18
Jeska's Will,18
Esper Sentinel,18
Soulherder,18
Dark Ritual,18
Phyrexian Arena,18
Kessig Wolf Run,18
Simic Signet,18
"Chiss-Goria, Forge Tyrant",17
"Brudiclad, Telchor Engineer",17
Damn,17
Supreme Verdict,17
Demonic Tutor,17
Leyline of the Guildpact,17
Garruk's Uprising,17
"Jhoira, Weatherlight Captain",16
Llanowar Elves,16
Baleful Strix,16
Sun Titan,16
Roaming Throne,16
Faeburrow Elder,16
Putrefy,16
Deflecting Swat,16
Faithless Looting,16
Ghostly Prison,16
Gruul Signet,16
"Bright-Palm, Soul Awakener",15
"Gisela, Blade of Goldnight",15
Ignoble Hierarch,15
Shalai and Hallar,15
Spark Double,15
Fierce Guardianship,15
Eerie Ultimatum,15
Farewell,15
Birth of the Imperium,15
Great Furnace,15
Gavony Township,15
Cursed Mirror,15
Satyr Enchanter,14
"Kaalia, Zenith Seeker",14
Goblin Anarchomancer,14
"Ghen, Arcanum Weaver",14
Sanctum Weaver,14
Despark,14
Mana Drain,14
Austere Command,14
Wayfarer's Bauble,14
Mystic Remora,14
Seat of the Synod,14
Mosswort Bridge,14
Talisman of Curiosity,14
Glissa Sunslayer,13
"Sigurd, Jarl of Ravensthorpe",13
Elvish Mystic,13
"Anikthea, Hand of Erebos",13
Vampiric Tutor,13
Ephemerate,13
Toxic Deluge,13
Panharmonicon,13
Mirari's Wake,13
The Horus Heresy,13
"Boseiju, Who Endures",13
Temple of the False God,13
Golgari Signet,13
"Etali, Primal Conqueror",12
Conclave Mentor,12
"Etali, Primal Storm",12
Tireless Provisioner,12
Abrade,12
Swan Song,12
Flawless Maneuver,12
Return of the Wildspeaker,12
Reanimate,12
Rishkar's Expertise,12
Helm of the Host,12
Whirlwind of Thought,12
Vault of the Archangel,12
"Otawara, Soaring City",12
