card name,synergy %
Teysa Karlov,97
Sol Ring,90
Command Tower,87
Ms. Bumbleflower,86
"Giada, Font of Hope",84
Arcane Signet,83
"Isshin, Two Heavens as One",70
"Aragorn, the Uniter",65
Path to Exile,63
"Voja, Jaws of the Conclave",59
Farseek,49
Cultivate,48
Godless Shrine,48
Hallowed Fountain,47
Exotic Orchard,47
Temple Garden,47
Counterspell,44
Overgrown Tomb,44
Watery Grave,44
Breeding Pool,44
Stomping Ground,44
Sacred Foundry,43
Canopy Vista,43
"Kenrith, the Returned King",41
Prairie Stream,40
Blood Crypt,40
Steam Vents,38
Jetmir's Garden,38
Nature's Lore,37
Beast Within,37
Clifftop Retreat,37
Heroic Intervention,36
Isolated Chapel,36
The World Tree,36
Jungle Shrine,35
Spara's Headquarters,35
Birds of Paradise,34
Indatha Triome,34
Glacial Fortress,34
Caves of Koilos,34
Rampant Growth,33
Rhystic Study,33
Arcane Sanctum,33
Anguished Unmaking,32
Talisman of Hierarchy,32
Orzhov Signet,32
Talisman of Progress,32
Nomad Outpost,32
Sea of Clouds,32
Battlefield Forge,32
Generous Gift,31
Boros Charm,31
Cyclonic Rift,31
Vault of Champions,31
Savai Triome,31
Sunpetal Grove,31
Spectator Seating,31
Mystic Monastery,31
Raffine's Tower,31
Ketria Triome,31
Kodama's Reach,30
Bojuka Bog,30
Talisman of Conviction,30
Azorius Signet,30
Seaside Citadel,30
Cinder Glade,30
Raugrin Triome,30
"Gishath, Sun's Avatar",29
Three Visits,29
Swiftfoot Boots,29
Reliquary Tower,29
Bountiful Promenade,29
Sandsteppe Citadel,29
"Urza, Chief Artificer",28
Smothering Tithe,28
Assassin's Trophy,28
Talisman of Dominance,28
Zagoth Triome,28
Boros Signet,27
Path of Ancestry,27
Demonic Tutor,26
Blasphemous Act,26
Lightning Greaves,26
Fellwar Stone,26
Esper Sentinel,25
"Frodo, Adventurous Hobbit // Sam, Loyal Attendant",24
Rhythm of the Wild,24
Talisman of Creativity,24
Ziatora's Proving Ground,24
Sunken Hollow,24
Dragonskull Summit,24
An Offer You Can't Refuse,23
Dovin's Veto,23
Teferi's Protection,23
Ruinous Ultimatum,23
Morphic Pool,23
Adarkar Wastes,23
Rejuvenating Springs,23
Kaalia of the Vast,22
Noble Hierarch,22
Damn,22
Sulfur Falls,22
Luxury Suite,22
Evolving Wilds,22
"Shorikai, Genesis Engine",21
Vampiric Tutor,21
Chaos Warp,21
Mystic Remora,21
"Rin and Seri, Inseparable",20
Fierce Guardianship,20
Enlightened Tutor,20
"Boseiju, Who Endures",20
Talisman of Indulgence,20
Edgar Markov,19
Swan Song,19
Arcane Denial,19
Despark,19
Negate,19
Leyline of the Guildpact,19
Rogue's Passage,19
Dimir Signet,19
Rakdos Signet,19
The Ur-Dragon,18
"Kutzil, Malamet Exemplar",18
Avacyn's Pilgrim,18
Ignoble Hierarch,18
Void Rend,18
"Otawara, Soaring City",18
"Arcades, the Strategist",17
Deflecting Swat,17
Supreme Verdict,17
Toxic Deluge,17
Phyrexian Arena,17
Izzet Signet,17
"Lotho, Corrupt Shirriff",16
Eternal Witness,16
Llanowar Elves,16
Brainstorm,16
Dark Ritual,16
Worldly Tutor,16
Mana Drain,16
Farewell,16
Skullclamp,16
Annie Joins Up,16
Thought Vessel,16
Delighted Halfling,15
Mystical Tutor,15
Austere Command,15
Commander's Sphere,15
Mind Stone,15
"Atraxa, Praetors' Voice",14
"Morophon, the Boundless",14
Solemn Simulacrum,14
Propaganda,14
Mirari's Wake,14
Vault of the Archangel,14
Chromatic Lantern,14
Timeless Lotus,14
Force of Will,13
Bloom Tender,13
Blood Artist,13
Baleful Strix,13
Elvish Mystic,13
Eladamri's Call,13
Growth Spiral,13
Mortify,13
Eerie Ultimatum,13
Reanimate,13
Whirlwind of Thought,13
Black Market Connections,13
Sylvan Library,13
Ghostly Prison,13
Sidar Jabari of Zhalfir,12
Call the Spirit Dragons,12
"Elas il-Kor, Sadistic Pilgrim",12
Deathrite Shaman,12
Mirkwood Bats,12
Faeburrow Elder,12
Grand Abolisher,12
Stroke of Midnight,12
Flawless Maneuver,12
Jeska's Will,12
Temur Ascendancy,12
Impact Tremors,12
Garruk's Uprising,12
Mardu Siegebreaker,11
Champion of Lambholt,11
Sakura-Tribe Elder,11
Akroma's Will,11
Faithless Looting,11
Gavony Township,11
Ancient Tomb,11
Sun Titan,10
Viscera Seer,10
"Miirym, Sentinel Wyrm",10
"Vito, Thorn of the Dusk Rose",10
Orcish Bowmasters,10
Cruel Celebrant,10
Beast Whisperer,10
Tireless Provisioner,10
"Etali, Primal Conqueror",10
"Jhoira, Weatherlight Captain",10
Force of Negation,10
Abrupt Decay,10
Wear // Tear,10
Deadly Dispute,10
Deadly Rollick,10
Windfall,10
Night's Whisper,10
Vandalblast,10
Ponder,10
The Great Henge,10
Doubling Season,10
Sanguine Bond,10
Aura Shards,10
Warleader's Call,10
Wild Growth,10
Hardened Scales,10
"Eiganjo, Seat of the Empire",10
Selesnya Signet,10
Talisman of Unity,10
Bleachbone Verge,9
"Zacama, Primal Calamity",9
Professional Face-Breaker,9
"Jetmir, Nexus of Revels",9
Sanctum Weaver,9
Dryad of the Ilysian Grove,9
Zulaport Cutthroat,9
"Aurelia, the Warleader",9
Fyndhorn Elves,9
"Mondrak, Glory Dominus",9
Dawn's Truce,9
Crackling Doom,9
Frantic Search,9
Inspiring Call,9
Terminate,9
Flusterstorm,9
Return of the Wildspeaker,9
Village Rites,9
Diabolic Intent,9
Shamanic Revelation,9
Finale of Devastation,9
Victimize,9
The One Ring,9
Wayfarer's Bauble,9
Bolas's Citadel,9
Anointed Procession,9
Guardian Project,9
Minas Tirith,9
"Takenuma, Abandoned Mire",9
Ureni of the Unwritten,8
Bone-Cairn Butcher,8
Drannith Magistrate,8
Dockside Extortionist,8
"Shalai, Voice of Plenty",8
"Sisay, Weatherlight Captain",8
Tiamat,8
"Esika, God of the Tree",8
Opposition Agent,8
Etherium Sculptor,8
Thassa's Oracle,8
Seedborn Muse,8
Crop Rotation,8
Pact of Negation,8
Silence,8
Sink into Stupor,8
