card name,synergy %
Marneus Calgar,97
Arcane Signet,96
Sol Ring,94
Command Tower,94
"Nekusar, the Mindrazer",87
"Obeka, Splitter of Seconds",82
Talisman of Curiosity,76
"Wilhelt, the Rotcleaver",75
Talisman of Creativity,75
Lord of the Nazgûl,70
Swords to Plowshares,70
Talisman of Indulgence,70
Talisman of Progress,69
Talisman of Resilience,69
Talisman of Hierarchy,67
The Wise Mothman,63
"Be'lakor, the Dark Master",61
Talisman of Impulse,61
"Ulalek, Fused Atrocity",60
Exotic Orchard,58
"Alela, Artful Provocateur",56
Hallowed Fountain,54
Watery Grave,54
"Sauron, the Dark Lord",53
Dimir Signet,53
Godless Shrine,52
"Yuriko, the Tiger's Shadow",50
Sunken Hollow,50
Steam Vents,50
Blood Crypt,50
Counterspell,46
Fellwar Stone,45
Karplusan Forest,45
"Hashaton, Scarab's Fist",44
Crumbling Necropolis,44
Drowned Catacomb,44
Blasphemous Act,43
Path to Exile,42
Morphic Pool,42
Caves of Koilos,41
Xander's Lounge,41
Breeding Pool,41
Overgrown Tomb,41
Arcane Sanctum,40
Polluted Delta,40
Smothering Tithe,39
Brushland,39
Sea of Clouds,39
Dragonskull Summit,38
Raffine's Tower,38
Underground River,38
"Talion, the Kindly Lord",37
Training Center,37
Esper Sentinel,36
Chaos Warp,36
Farseek,36
Birds of Paradise,36
Rakdos Signet,36
Yavimaya Coast,36
Luxury Suite,36
Shivan Reef,36
Sulfur Falls,36
Twisted Landscape,36
Rhystic Study,35
Izzet Signet,35
Llanowar Wastes,35
Adarkar Wastes,35
Orzhov Signet,34
Vault of Champions,34
Battlefield Forge,34
Dark Ritual,33
Reliquary Tower,33
Azorius Signet,33
Cyclonic Rift,32
An Offer You Can't Refuse,32
Tranquil Landscape,32
Cultivate,31
Bojuka Bog,31
Prairie Stream,31
Shipwreck Marsh,31
Sulfurous Springs,31
Titans' Vanguard,30
"Morophon, the Boundless",30
Opulent Palace,30
Hinterland Harbor,30
Path of Ancestry,30
Glacial Fortress,30
Woodland Cemetery,30
Enlightened Tutor,29
Isolated Chapel,29
Smoldering Marsh,29
Assassin's Trophy,28
Toxic Deluge,28
Rampant Growth,28
Lightning Greaves,28
Talisman of Conviction,28
Choked Estuary,28
Demonic Tutor,27
Feed the Swarm,27
Arcane Denial,26
Talisman of Unity,26
Thought Vessel,26
Void Rend,25
Mystic Remora,25
Darkwater Catacombs,25
Rejuvenating Springs,25
Captain N'ghathrod,24
Vampiric Tutor,24
Swan Song,24
Fierce Guardianship,24
Negate,24
Temple of Deceit,24
Zagoth Triome,24
Satoru Umezawa,23
"Lotho, Corrupt Shirriff",23
Dovin's Veto,23
Anguished Unmaking,23
Brainstorm,23
Mind Stone,23
Swiftfoot Boots,23
"Boseiju, Who Endures",23
"Otawara, Soaring City",23
Marsh Flats,23
The Scarab God,22
Terminate,22
Deflecting Swat,22
Reanimate,22
Damn,22
Deathrite Shaman,21
Grand Abolisher,20
Nature's Lore,20
Windfall,20
Glowing One,19
"Azlask, the Swelling Scourge",19
Snapping Voidcraw,19
Atomize,19
Mana Drain,19
Mystical Tutor,19
Jeska's Will,19
Renewed Solidarity,18
Writhing Chrysalis,18
Ancient Tomb,18
Noble Hierarch,18
Eternal Witness,18
Abrupt Decay,18
Worldly Tutor,18
Silence,18
Putrefy,18
Mutational Advantage,18
Culling Ritual,18
"Urborg, Tomb of Yawgmoth",18
Chittering Dispatcher,17
Delighted Halfling,17
Teferi's Protection,17
Force of Will,17
Beast Within,17
Three Visits,17
Rogue's Passage,17
Relic of Sauron,17
On Wings of Gold,16
Tato Farmer,16
Underworld Breach,16
Baleful Strix,16
"The Master, Transcendent",16
Orcish Bowmasters,16
Deadly Rollick,16
Frantic Search,16
Vandalblast,16
Commander's Sphere,16
Guardian Project,16
Hardened Scales,16
Drannith Magistrate,15
Wastescape Battlemage,15
Agent Frank Horrigan,15
Dockside Extortionist,15
"Strong, the Brutish Thespian",15
"Ragavan, Nimble Pilferer",15
Bedevil,15
Heroic Intervention,15
Inspiring Call,15
Gamble,15
Faithless Looting,15
The One Ring,15
Thassa's Oracle,14
Ignoble Hierarch,14
Corpsejack Menace,14
Ranger-Captain of Eos,14
Generous Gift,14
Force of Negation,14
Despark,14
Sevinne's Reclamation,14
Wayfarer's Bauble,14
Lotus Petal,14
Garruk's Uprising,14
Branching Evolution,14
Chrome Mox,13
Mana Vault,13
Winding Constrictor,13
"Marcus, Mutant Mayor",13
Solemn Simulacrum,13
Veil of Summer,13
Sink into Stupor,13
Wheel of Fortune,13
Supreme Verdict,13
Kodama's Reach,13
Ghostly Prison,13
Awakening Zone,13
Propaganda,13
Path of Annihilation,13
Animate Dead,13
Opposition Agent,12
Rampaging Yao Guai,12
Seedborn Muse,12
Dauthi Voidwalker,12
Corpse Knight,12
World Breaker,12
Noxious Revival,12
Pact of Negation,12
Demonic Consultation,12
Flusterstorm,12
Rakdos Charm,12
Ponder,12
Blind Obedience,12
Phyrexian Arena,12
Black Market Connections,12
Simic Signet,12
Simian Spirit Guide,11
Elvish Spirit Guide,11
Bloom Tender,11
Elves of Deep Shadow,11
"Muldrotha, the Gravetide",11
Roaming Throne,11
Notion Thief,11
Faerie Mastermind,11
Phyrexian Metamorph,11
Tainted Pact,11
Withering Torment,11
Fell the Profane,11
Return of the Wildspeaker,11
Mental Misstep,11
Finale of Devastation,11
Eldritch Evolution,11
Imperial Seal,11
Casualties of War,11
Farewell,11
Wishclaw Talisman,11
Power Fist,11
Kindred Discovery,11
Sylvan Library,11
"Teferi, Time Raveler",11
"Takenuma, Abandoned Mire",11
Mox Opal,11
Chromatic Lantern,11
Golgari Signet,11
Alpha Deathclaw,10
Sowing Mycospawn,10
Archivist of Oghma,10
Llanowar Elves,10
Hullbreaker Horror,10
Cathedral Acolyte,10
Evolution Sage,10
Drown in the Loch,10
Pongify,10
Reality Shift,10
Red Elemental Blast,10
Infernal Grasp,10
Victimize,10
Skullclamp,10
Carpet of Flowers,10
Mystic Sanctuary,10
Mana Crypt,10
Mox Diamond,10
Wizened Mentor,9
Changeling Outcast,9
Spark Double,9
Watchful Radstag,9
Fact or Fiction,9
Final Fortune,9
Go for the Throat,9
Pyroblast,9
Rite of Flame,9
Rishkar's Expertise,9
Diabolic Intent,9
Damnation,9
Ashnod's Altar,9
Rhythm of the Wild,9
Anointed Procession,9
Hall of Heliod's Generosity,9
Urza's Saga,9
Ancient Den,9
Bleachbone Verge,8
Sakura-Tribe Elder,8
"Syr Konrad, the Grim",8
"Mondrak, Glory Dominus",8
Hideous Taskmaster,8
Distant Melody,8
Neoform,8
Preordain,8
Ancient Stirrings,8
Sensei's Divining Top,8
Herald's Horn,8
Hedge Shredder,8
Bident of Thassa,8
Reconnaissance Mission,8
Shifting Woodland,8
Temple of the False God,8
Accursed Duneyard,8
Find // Finality,7
Blasphemous Edict,7
Villainous Wealth,7
Austere Command,7
Mnemonic Betrayal,7
Harmonize,7
Gitaxian Probe,7
Breach the Multiverse,7
Mindcrank,7
Jeweled Lotus,7
Necropotence,7
Vault 87: Forced Evolution,7
Reflections of Littjara,7
Trouble in Pairs,7
Rooftop Storm,7
All That Glitters,7
Food Chain,7
Cabal Coffers,7
Mox Amber,7
Kindred Dominance,6
Wheel of Misfortune,6
Treasure Cruise,6
Bolas's Citadel,6
Warstorm Surge,6
From Beyond,6
Wild Growth,6
Bloodchief Ascension,6
Sphere of Safety,6
Darksteel Mutation,6
Grasp of Fate,6
Bitterblossom,6
Gaea's Cradle,6
Phyrexian Tower,6
