card name,synergy %
The Ur-Dragon,98
Command Tower,92
Sol Ring,89
Tiamat,82
Arcane Signet,82
"Atarka, World Render",74
Dragon Tempest,72
Dragon's Hoard,72
Haven of the Spirit Dragon,72
Dragonspeaker Shaman,70
Crux of Fate,69
Dragonlord's Servant,69
Path of Ancestry,69
"Sivitri, Dragon Master",67
"Lathliss, Dragon Queen",67
"Miirym, Sentinel Wyrm",66
Cultivate,63
Garruk's Uprising,62
"Firkraag, Cunning Instigator",61
Thrakkus the Butcher,59
Temur Ascendancy,59
Scourge of Valkas,57
"Ganax, Astral Hunter",57
Exotic Orchard,56
Rivaz of the Claw,55
Farseek,55
"Korlessa, Scale Singer",55
Savage Ventmaw,54
Bladewing the Risen,52
Frontier Bivouac,52
Kodama's Reach,51
Carnelian Orb of Dragonkind,51
"Rith, Liberated Primeval",50
Kaalia of the Vast,49
"Sarkhan, Soul Aflame",48
"Vrondiss, Rage of Ancients",48
Dragonlord Dromoka,47
Old Gnawbone,46
Cinder Glade,46
"Morophon, the Boundless",45
Earthquake Dragon,45
Rampant Growth,45
"Lozhan, Dragons' Legacy",44
Terror of the Peaks,43
Utvara Hellkite,43
Goldspan Dragon,43
Swords to Plowshares,43
Wrathful Red Dragon,42
Scaled Nurturer,42
Scion of the Ur-Dragon,41
Broodcaller Scourge,41
Call the Spirit Dragons,41
Orb of Dragonkind,41
Jade Orb of Dragonkind,40
Zurgo and Ojutai,39
"Drakuseth, Maw of Flames",39
"Silumgar, the Drifting Death",39
Deceptive Frostkite,38
Beast Within,38
Counterspell,38
Nature's Lore,38
Herald's Horn,38
Rhythm of the Wild,38
Unclaimed Territory,38
Crucible of the Spirit Dragon,37
Evolving Wilds,37
The World Tree,37
Parapet Thrasher,36
Encroaching Dragonstorm,36
Thundermane Dragon,35
Ancient Silver Dragon,35
Hammerhead Tyrant,34
"Ramos, Dragon Engine",34
Thunderbreak Regent,34
Secluded Courtyard,34
"Klauth, Unrivaled Ancient",33
Ancient Copper Dragon,33
Jungle Shrine,33
"Ganax, Astral Hunter // Acolyte of Bahamut",32
Two-Headed Hellkite,32
Blasphemous Act,32
Crucible of Fire,32
Ketria Triome,32
Ancient Gold Dragon,31
Dragonmaster Outcast,31
Heroic Intervention,31
Will of the Temur,31
Maelstrom of the Spirit Dragon,31
Ancient Brass Dragon,30
"Iymrith, Desert Doom",30
Sarkhan's Triumph,30
Savage Lands,30
Ureni of the Unwritten,29
Chaos Warp,29
Urza's Incubator,29
Dracogenesis,29
Rockfall Vale,29
Stomping Ground,29
Twinflame Tyrant,28
Kindred Discovery,28
Lapis Orb of Dragonkind,28
Chromatic Lantern,28
Ziatora's Proving Ground,28
Astral Dragon,27
"Teneb, the Harvester",27
Steel Hellkite,27
Path to Exile,27
Reliquary Tower,27
Dragonborn Champion,26
Balefire Dragon,26
"Kolaghan, the Storm's Fury",26
Become the Avalanche,26
Swiftfoot Boots,26
Elemental Bond,26
Crumbling Necropolis,26
Mystic Monastery,26
Decadent Dragon,25
Whirlwing Stormbrood,25
"Renari, Merchant of Marvels",25
Draconic Muralists,25
Scourge of the Throne,25
Three Visits,25
Lightning Greaves,25
Mosswort Bridge,25
Jetmir's Garden,25
Steam Vents,25
Sulfur Falls,25
Minion of the Mighty,24
Hellkite Tyrant,24
"Dromoka, the Eternal",24
Return of the Wildspeaker,24
Commander's Sphere,24
Breeding Pool,24
Opulent Palace,24
Nomad Outpost,24
Blood Crypt,24
"Ojutai, Soul of Winter",23
Scalelord Reckoner,23
Hellkite Charger,23
Sarkhan Unbroken,23
Fellwar Stone,23
Shivan Reef,23
Roaming Throne,22
"Karrthus, Tyrant of Jund",22
Negate,22
Spit Flame,22
Frontier Siege,22
Breaching Dragonstorm,22
Rootbound Crag,22
Overgrown Tomb,22
Cavern of Souls,22
Smothering Tithe,21
Ancient Bronze Dragon,21
Dragon's Fire,21
Yavimaya Coast,21
Zagoth Triome,21
Indatha Triome,21
Spire Garden,21
Temple Garden,21
Sandsteppe Citadel,21
Fist of Suns,20
Monster Manual,20
Acolyte of Bahamut,20
Bountiful Landscape,20
Savai Triome,20
Smoldering Marsh,20
Temple of Abandon,20
Raugrin Triome,20
Hinterland Harbor,20
Sacred Foundry,19
Terramorphic Expanse,19
Klauth's Will,18
Rishkar's Expertise,18
Leyline of the Guildpact,18
Mox Jasper,18
Dragonstorm Globe,18
Draconic Lore,17
Patriarch's Bidding,17
Reflections of Littjara,17
Mirari's Wake,17
Myriad Landscape,17
Karplusan Forest,17
Spara's Headquarters,17
Training Center,17
Dragonskull Summit,17
Rejuvenating Springs,17
"Eshki, Temur's Roar",16
Cyclonic Rift,16
Teferi's Protection,16
Growth Spiral,16
Warstorm Surge,15
Up the Beanstalk,15
Temple of the False God,15
Terminate,14
Ghostly Flicker,14
Eerie Ultimatum,14
Panharmonicon,14
Sarkhan the Masterless,14
"Sarkhan, Fireblood",14
Rhystic Study,13
Return to Nature,13
Zenith Festival,13
Shamanic Revelation,13
Frostcliff Siege,13
Mistrise Village,13
Three Tree City,13
Timeless Lotus,13
Demonic Tutor,12
Boros Charm,12
Assassin's Trophy,12
Skyshroud Claim,12
Vandalblast,12
The Great Henge,12
Leyline of Mutation,12
Invasion of Tarkir,12
Talisman of Creativity,12
Rakdos Signet,12
Smuggler's Surprise,11
Genesis Ultimatum,11
Explore,11
Kessig Wolf Run,11
Bojuka Bog,11
Rogue's Passage,11
Izzet Signet,11
Herd Heirloom,11
Gruul Signet,11
Magmaquake,10
Anguished Unmaking,10
Stubborn Denial,10
Reality Shift,10
Last March of the Ents,10
Migration Path,10
Roiling Dragonstorm,10
Cave of the Frost Dragon,10
Talisman of Impulse,10
Cursed Mirror,10
Mana Drain,9
An Offer You Can't Refuse,9
Generous Gift,9
Rapid Hybridization,9
Ruinous Ultimatum,9
Fearsome Awakening,9
Earthquake,9
Wayfarer's Bauble,9
Dragonback Assault,9
Colossal Majesty,9
Sneak Attack,9
Spinerock Knoll,9
Patchwork Banner,9
Jeska's Will,8
Silumgar's Scorn,8
Bedevil,8
Arcane Denial,8
Kindred Summons,8
Worldly Tutor,8
Despark,8
Victimize,8
Reanimate,8
Feed the Swarm,8
Dragon Arch,8
Parallel Lives,8
Arena of Glory,8
Vampiric Tutor,7
Dark Ritual,7
Deflecting Swat,7
Brainstorm,7
Entish Restoration,7
Dispelling Exhale,7
Big Score,7
Primevals' Glorious Rebirth,7
Farewell,7
Faithless Looting,7
Kindred Dominance,7
Mind Stone,7
Fires of Yavimaya,7
There and Back Again,7
Molten Echoes,7
Bower Passage,7
Monstrous Vortex,7
Rising of the Day,7
The Kami War,7
"Boseiju, Who Endures",7
Talisman of Indulgence,7
Thought Vessel,7
Decanter of Endless Water,7
Fierce Guardianship,6
Enlightened Tutor,6
Blur,6
Unexpected Windfall,6
Rakdos Charm,6
Mortify,6
Thrill of Possibility,6
Harmonize,6
Selvala's Stampede,6
Chain Reaction,6
