card name,synergy %
Command Tower,94
"Aragorn, the Uniter",86
Sol Ring,86
Arcane Signet,80
"Ulalek, Fused Atrocity",77
"Yidris, Maelstrom Wielder",73
"Eshki, Temur's Roar",68
Farseek,65
Exotic Orchard,63
Scion of the Ur-Dragon,61
"Miirym, Sentinel Wyrm",56
Cultivate,55
Surrak Dragonclaw,53
Crux of Fate,53
Garruk's Uprising,53
Maelstrom Wanderer,51
Ketria Triome,51
Stomping Ground,51
Swords to Plowshares,50
Nature's Lore,49
Breeding Pool,47
Path of Ancestry,47
Rhythm of the Wild,46
Ureni of the Unwritten,45
Steam Vents,45
Overgrown Tomb,45
Temple Garden,45
Kodama's Reach,44
Tiamat,43
Dragonlord Dromoka,42
Dragon Tempest,42
Heroic Intervention,42
Frontier Bivouac,42
The World Tree,42
Rivaz of the Claw,41
Three Visits,40
"Morophon, the Boundless",39
Rampant Growth,38
Blood Crypt,38
Jetmir's Garden,38
Sacred Foundry,38
Ziatora's Proving Ground,38
"Atarka, World Render",37
Beast Within,37
Birds of Paradise,37
Chromatic Lantern,37
"Lathliss, Dragon Queen",36
Terror of the Peaks,35
Misty Rainforest,35
Wooded Foothills,35
Hallowed Fountain,35
Haven of the Spirit Dragon,35
Call the Spirit Dragons,34
Two-Headed Hellkite,34
Lightning Greaves,34
Reliquary Tower,34
Zagoth Triome,34
Cinder Glade,34
"Rith, Liberated Primeval",33
Scalding Tarn,33
Indatha Triome,33
Old Gnawbone,32
Dragonspeaker Shaman,32
Bladewing the Risen,32
Counterspell,32
Dragon's Hoard,32
Watery Grave,32
Smothering Tithe,31
Teferi's Protection,31
Scourge of Valkas,30
Dragonlord's Servant,30
"Silumgar, the Drifting Death",30
Path to Exile,30
Godless Shrine,30
Raugrin Triome,30
Cyclonic Rift,29
Faeburrow Elder,29
"Ramos, Dragon Engine",29
Spara's Headquarters,29
Rejuvenating Springs,29
Savai Triome,29
Utvara Hellkite,28
Goldspan Dragon,28
Blasphemous Act,28
Herald's Horn,28
Spire Garden,28
Thundermane Dragon,27
"Sarkhan, Soul Aflame",27
Urza's Incubator,26
"Owen Grady, Raptor Trainer // Blue, Loyal Raptor",25
Broodcaller Scourge,25
Hinterland Harbor,25
Training Center,25
Evolving Wilds,25
Rootbound Crag,25
Cavern of Souls,25
"Jodah, the Unifier",24
Temur Battlecrier,24
Maelstrom of the Spirit Dragon,24
Rhystic Study,24
Ancient Gold Dragon,24
Ancient Copper Dragon,24
Savage Ventmaw,24
Roaming Throne,24
"Klauth, Unrivaled Ancient",24
Chaos Warp,24
Fellwar Stone,24
Rockfall Vale,24
Sulfur Falls,24
"Averna, the Chaos Bloom",23
Ancient Silver Dragon,23
"Ganax, Astral Hunter",23
Scalelord Reckoner,23
Swiftfoot Boots,23
The Great Henge,23
Mirari's Wake,23
Dracogenesis,23
Demonic Tutor,22
Parapet Thrasher,22
Twinflame Tyrant,22
Deceptive Frostkite,22
Leyline of the Guildpact,22
Yavimaya Coast,22
Unclaimed Territory,22
Xander's Lounge,22
Magus Lucea Kane,21
Thrakkus the Butcher,21
Bloom Tender,21
Ancient Brass Dragon,21
Hammerhead Tyrant,21
Assassin's Trophy,21
Eerie Ultimatum,21
Balefire Dragon,20
Growth Spiral,20
Skyshroud Claim,20
Fist of Suns,20
Windswept Heath,20
Shivan Reef,20
Arid Mesa,20
"Korlessa, Scale Singer",19
Encroaching Dragonstorm,19
Kindred Discovery,19
Jungle Shrine,19
Verdant Catacombs,19
Reflecting Pool,19
Hellkite Courser,18
Wrathful Red Dragon,18
Anguished Unmaking,18
Will of the Temur,18
Ruinous Ultimatum,18
Secluded Courtyard,18
Dreamroot Cascade,18
Savage Lands,18
"Teneb, the Harvester",17
Elemental Bond,17
Up the Beanstalk,17
"Yavimaya, Cradle of Growth",17
Karplusan Forest,17
Vampiric Tutor,16
Ignoble Hierarch,16
Earthquake Dragon,16
Mana Drain,16
Return of the Wildspeaker,16
Become the Avalanche,16
Timeless Lotus,16
Carnelian Orb of Dragonkind,16
Delighted Halfling,15
"Lozhan, Dragons' Legacy",15
Zurgo and Ojutai,15
"Karrthus, Tyrant of Jund",15
Worldly Tutor,15
Rishkar's Expertise,15
Orb of Dragonkind,15
Frostcliff Siege,15
"Boseiju, Who Endures",15
Scaled Nurturer,14
"Drakuseth, Maw of Flames",14
Boros Charm,14
Negate,14
Sarkhan's Triumph,14
Commander's Sphere,14
Annie Joins Up,14
Sarkhan Unbroken,14
Fierce Guardianship,13
Decadent Dragon,13
Hellkite Charger,13
Hellkite Tyrant,13
Genesis Ultimatum,13
Mistrise Village,13
Mox Jasper,13
Deflecting Swat,12
Patriarch's Bidding,12
Maelstrom Nexus,12
Mosswort Bridge,12
Crucible of the Spirit Dragon,12
An Offer You Can't Refuse,11
Stubborn Denial,11
Panharmonicon,11
Breaching Dragonstorm,11
Hardened Scales,11
Temple of the False God,11
Herd Heirloom,11
Jade Orb of Dragonkind,11
Enlightened Tutor,10
Arcane Denial,10
Swan Song,10
Last March of the Ents,10
Monster Manual,10
Leyline of Mutation,10
Shadow in the Warp,10
"Kiora, Behemoth Beckoner",10
Three Tree City,10
Rogue's Passage,10
Ancient Tomb,9
Void Rend,9
Dovin's Veto,9
Brainstorm,9
Smuggler's Surprise,9
Farewell,9
Explore,9
Sylvan Library,9
Crucible of Fire,9
Kessig Wolf Run,9
Eladamri's Call,8
Entish Restoration,8
Naya Charm,8
Generous Gift,8
Klauth's Will,8
Brokers Charm,8
The Ozolith,8
Warstorm Surge,8
Monstrous Vortex,8
Reflections of Littjara,8
"Sivitri, Dragon Master",8
"Otawara, Soaring City",8
Gruul Signet,8
Dragonstorm Globe,8
Simic Signet,8
Talisman of Impulse,8
The Ur-Dragon,7
Jeska's Will,7
Ghostly Flicker,7
Harrow,7
Inspiring Call,7
Abzan Charm,7
Bant Charm,7
Primevals' Glorious Rebirth,7
Zenith Festival,7
Kindred Dominance,7
Supreme Verdict,7
Frontier Siege,7
Dragonback Assault,7
Doubling Season,7
Mystic Remora,7
Guardian Project,7
Cascading Cataracts,7
Chromatic Orrery,7
Talisman of Creativity,7
Izzet Signet,7
Talisman of Curiosity,7
Thought Vessel,7
The One Ring,6
Rapid Hybridization,6
Despark,6
Reality Shift,6
Sultai Charm,6
Pongify,6
Villainous Wealth,6
Vandalblast,6
Hull Breach,6
Bala Ged Recovery,6
"Ozolith, the Shattered Spire",6
Parallel Lives,6
Sneak Attack,6
Unbound Flourishing,6
Kozilek's Unsealing,6
Exploration,6
Branching Evolution,6
"Sarkhan, Fireblood",6
Arena of Glory,6
Lapis Orb of Dragonkind,6
Cursed Mirror,6
"Animar, Soul of Elements",5
"Omnath, Locus of All",5
Migration Path,5
Shamanic Revelation,5
Aggravated Assault,5
Defense of the Heart,5
Invasion of Tarkir,5
Patchwork Banner,5
Mana Crypt,5
