card name,synergy %
Command Tower,91
"Sin, Spira's Punishment",85
"Kotis, the Fangkeeper",85
Tiamat,85
"Mimeoplasm, Revered One",80
Sol Ring,78
"Tasigur, the Golden Fang",73
"Yarok, the Desecrated",71
Arcane Signet,68
Ureni of the Unwritten,67
"Miirym, Sentinel Wyrm",63
"Omnath, Locus of All",59
Overgrown Tomb,57
Breeding Pool,54
Zagoth Triome,54
Colossal Grave-Reaver,53
Dragon Tempest,53
Watery Grave,53
Exotic Orchard,51
Polluted Delta,50
Verdant Catacombs,50
Misty Rainforest,49
Teval's Judgment,47
Ripples of Undeath,47
Six,47
Call the Spirit Dragons,45
Dragonlord Dromoka,45
Life from the Loam,45
Opulent Palace,45
Dracogenesis,44
Hinterland Harbor,44
Woodland Cemetery,44
Farseek,43
Temur Ascendancy,43
Underground Mortuary,43
Hedge Maze,43
"Atarka, World Render",42
Stomping Ground,42
Ketria Triome,42
Stitcher's Supplier,41
Terror of the Peaks,41
Sakura-Tribe Elder,41
"Betor, Kin to All",40
Eternal Witness,40
Skull Prophet,39
Reanimate,39
Undercity Sewers,39
"Muldrotha, the Gravetide",38
"Sidisi, Brood Tyrant",38
Assassin's Trophy,38
Kheru Goldkeeper,38
Rejuvenating Springs,38
Temple Garden,38
Undergrowth Stadium,38
Rivaz of the Claw,37
"Neriv, Heart of the Storm",36
Hedron Crab,36
Aftermath Analyst,36
"Lathliss, Dragon Queen",35
"Ureni, the Song Unending",35
"Betor, Ancestor's Voice",35
Birds of Paradise,35
"Sarkhan, Soul Aflame",35
Swords to Plowshares,35
Ziatora's Proving Ground,35
Dragonlord's Servant,34
Nature's Lore,34
Dreamroot Cascade,34
Ancient Copper Dragon,33
Goldspan Dragon,33
Hedge Shredder,33
The World Tree,33
Jetmir's Garden,33
Cultivate,32
Indatha Triome,32
Dragonspeaker Shaman,31
"Shiko, Paragon of the Way",31
Mesmeric Orb,31
"Boseiju, Who Endures",31
Morphic Pool,31
Blood Crypt,31
Sacred Foundry,31
Steam Vents,31
Drowned Catacomb,31
Two-Headed Hellkite,30
"Syr Konrad, the Grim",30
Hermit Druid,30
Shifting Woodland,30
Twinflame Tyrant,29
Llanowar Wastes,29
"Nashi, Moon's Legacy",28
Hellkite Courser,28
Bladewing the Risen,28
"Rith, Liberated Primeval",28
Grisly Salvage,28
Three Visits,28
"Yavimaya, Cradle of Growth",28
"Takenuma, Abandoned Mire",28
Foreboding Landscape,28
Lightning Greaves,27
Sunken Hollow,27
Scion of the Ur-Dragon,26
"Klauth, Unrivaled Ancient",26
The Gitrog Monster,26
Counterspell,26
Conduit of Worlds,26
Animate Dead,26
"Urborg, Tomb of Yawgmoth",26
Godless Shrine,26
Savai Triome,26
"Teval, Arbiter of Virtue",25
Nyx Weaver,25
Hallowed Fountain,25
"Uro, Titan of Nature's Wrath",24
Kishla Skimmer,24
"Neriv, Crackling Vanguard",24
Beast Within,24
Bojuka Bog,24
"Glarb, Calamity's Augur",23
Deathrite Shaman,23
Underrealm Lich,23
Harrow,23
Rampant Growth,23
Living Death,23
Victimize,23
Eerie Ultimatum,23
Fabled Passage,23
Raugrin Triome,23
Spara's Headquarters,23
The Mimeoplasm,22
Golgari Grave-Troll,22
Frantic Search,22
Breach the Multiverse,22
Will of the Sultai,22
Altar of Dementia,22
"Otawara, Soaring City",22
Terramorphic Expanse,22
"Morophon, the Boundless",21
Utvara Hellkite,21
Wonder,21
Timeless Witness,21
Path to Exile,21
Exsanguinate,21
Toxic Deluge,21
Field of the Dead,21
Frontier Bivouac,21
Cyclonic Rift,20
Smothering Tithe,20
Scourge of Valkas,20
World Shaper,20
Balefire Dragon,20
Millikin,20
Teferi's Protection,20
Rhythm of the Wild,20
Awaken the Honored Dead,20
Command Beacon,20
Evolving Wilds,20
Yavimaya Coast,20
"Shiko and Narset, Unified",19
Satyr Wayfinder,19
An Offer You Can't Refuse,19
Orb of Dragonkind,19
Insidious Roots,19
Breaching Dragonstorm,19
Dakmor Salvage,19
Carnelian Orb of Dragonkind,19
Sandsteppe Citadel,19
Shipwreck Marsh,19
Deathcap Glade,19
Stormscale Scion,18
Parapet Thrasher,18
Ramunap Excavator,18
Ancient Gold Dragon,18
