card name,synergy %
Command Tower,94
Sol Ring,79
Arcane Signet,79
"Azlask, the Swelling Scourge",75
Ezio Auditore da Firenze,75
Exotic Orchard,72
"Sisay, Weatherlight Captain",71
"Omnath, Locus of All",70
The First Sliver,69
"Jodah, Archmage Eternal",69
Chromatic Lantern,69
"Jodah, the Unifier",68
Farseek,58
Path of Ancestry,49
"Esika, God of the Tree",48
Swords to Plowshares,46
Cultivate,43
Ketria Triome,40
Nature's Lore,39
Temple Garden,39
Indatha Triome,38
Breeding Pool,38
Stomping Ground,38
Overgrown Tomb,38
Zagoth Triome,36
Spara's Headquarters,36
Jetmir's Garden,35
Tom Bombadil,34
Fellwar Stone,34
Hallowed Fountain,34
Three Visits,33
Child of Alara,32
Tiamat,32
Ziatora's Proving Ground,32
Reliquary Tower,31
Godless Shrine,31
Misty Rainforest,30
Kodama's Reach,29
Path to Exile,29
Steam Vents,29
Raugrin Triome,29
Watery Grave,29
Sacred Foundry,29
Heroic Intervention,28
Faeburrow Elder,28
Verdant Catacombs,28
Windswept Heath,28
Go-Shintai of Life's Origin,26
Blood Crypt,26
Savai Triome,26
Birds of Paradise,25
Leyline of the Guildpact,25
Arid Mesa,25
Wooded Foothills,25
Marsh Flats,25
Rampant Growth,24
Smothering Tithe,23
Counterspell,23
Teferi's Protection,23
Raffine's Tower,23
Scalding Tarn,23
Reflecting Pool,23
Rhystic Study,22
Bloom Tender,22
Flooded Strand,22
"Kenrith, the Returned King",21
Cyclonic Rift,21
Lightning Greaves,21
Cascading Cataracts,21
Evolving Wilds,21
Xander's Lounge,21
"Morophon, the Boundless",20
Dryad of the Ilysian Grove,20
City of Brass,20
Polluted Delta,20
"Urtet, Remnant of Memnarch",19
Commander's Sphere,19
Bloodstained Mire,19
Mana Confluence,19
Jungle Shrine,19
Unclaimed Territory,19
Reaper King,18
Beast Within,18
Herald's Horn,18
Secluded Courtyard,18
Cavern of Souls,18
Frontier Bivouac,18
"Yavimaya, Cradle of Growth",17
Timeless Lotus,17
Chromatic Orrery,17
Seaside Citadel,17
Opulent Palace,17
Demonic Tutor,16
Assassin's Trophy,16
Sandsteppe Citadel,16
Terramorphic Expanse,16
"Ramos, Dragon Engine",15
"Sythis, Harvest's Hand",15
Sanctum Weaver,15
Urza's Incubator,15
Mirari's Wake,15
Skyshroud Claim,14
Temur Ascendancy,14
Rhythm of the Wild,14
Sterling Grove,14
Kindred Discovery,14
Plaza of Heroes,14
Mystic Monastery,14
Enlightened Tutor,13
Roaming Throne,13
Anguished Unmaking,13
Eerie Ultimatum,13
Ruinous Ultimatum,13
Swiftfoot Boots,13
Savage Lands,13
Call the Spirit Dragons,12
