card name,synergy %
Command Tower,93
"Ramos, Dragon Engine",92
Sol Ring,90
"Jegantha, the Wellspring",86
"Miirym, Sentinel Wyrm",85
"Jodah, Archmage Eternal",84
"O-Kagachi, Vengeful Kami",82
Arcane Signet,82
"Omnath, Locus of All",81
Dragon Tempest,77
Crux of Fate,76
"Atarka, World Render",71
Jared Carthalion,68
"Lathliss, Dragon Queen",67
Haven of the Spirit Dragon,66
Dragonlord Dromoka,65
Old Gnawbone,65
"Rukarumel, Biologist",64
Farseek,63
Terror of the Peaks,62
Dragonspeaker Shaman,61
Rivaz of the Claw,61
Temur Ascendancy,61
Chromatic Lantern,61
Exotic Orchard,61
Path of Ancestry,59
Utvara Hellkite,58
Dragon's Hoard,58
"Morophon, the Boundless",57
Dragonlord's Servant,55
Goldspan Dragon,55
"Rith, Liberated Primeval",53
Ancient Copper Dragon,52
Hellkite Courser,52
"Sarkhan, Soul Aflame",51
Scourge of Valkas,51
"Kyodai, Soul of Kamigawa",49
Herald's Horn,49
Urza's Incubator,49
Garruk's Uprising,49
Stomping Ground,49
Cavern of Souls,49
Ancient Silver Dragon,48
"Jenson Carthalion, Druid Exile",46
"Klauth, Unrivaled Ancient",46
Cultivate,46
Nature's Lore,46
Rhythm of the Wild,46
Swords to Plowshares,45
Ketria Triome,45
The Ur-Dragon,44
"Niv-Mizzet, Guildpact",44
Two-Headed Hellkite,44
Bladewing the Risen,44
Scion of the Ur-Dragon,42
Dracogenesis,42
Balefire Dragon,42
Heroic Intervention,42
Overgrown Tomb,42
Call the Spirit Dragons,41
"Silumgar, the Drifting Death",41
Steam Vents,41
Temple Garden,41
Scion of Draco,40
Three Visits,40
Breeding Pool,40
Blood Crypt,40
Ancient Gold Dragon,39
Wooded Foothills,39
The World Tree,39
Maelstrom of the Spirit Dragon,38
Twinflame Tyrant,38
Smothering Tithe,37
Savage Ventmaw,37
Birds of Paradise,37
Sacred Foundry,37
Arid Mesa,37
Scalelord Reckoner,36
Kodama's Reach,36
Lightning Greaves,36
Ziatora's Proving Ground,36
Misty Rainforest,36
Verdant Catacombs,36
Ureni of the Unwritten,35
Teferi's Protection,35
Scalding Tarn,35
Cyclonic Rift,34
Roaming Throne,34
Jetmir's Garden,34
