card name,synergy %
Scion of the Ur-Dragon,97
Eshki Dragonclaw,96
"Morophon, the Boundless",95
Command Tower,95
Sol Ring,92
Dragon Tempest,86
Arcane Signet,86
The Ur-Dragon,85
"Ureni, the Song Unending",84
Temur Ascendancy,78
Crux of Fate,76
"Lathliss, Dragon Queen",74
Dragonlord Dromoka,71
Haven of the Spirit Dragon,71
Terror of the Peaks,69
"Atarka, World Render",69
Farseek,67
"Kyodai, Soul of Kamigawa",64
"Sarkhan, Soul Aflame",64
Old Gnawbone,63
"Jodah, the Unifier",61
"Miirym, Sentinel Wyrm",60
Tiamat,60
Call the Spirit Dragons,60
Exotic Orchard,60
Rivaz of the Claw,59
Goldspan Dragon,56
Path of Ancestry,56
Dracogenesis,55
Dragonlord's Servant,55
Maelstrom of the Spirit Dragon,54
Garruk's Uprising,54
Dragonspeaker Shaman,54
Stomping Ground,54
Dragon's Hoard,53
Scourge of Valkas,52
Ancient Copper Dragon,52
Ketria Triome,52
Nature's Lore,51
Utvara Hellkite,49
"Rith, Liberated Primeval",49
Overgrown Tomb,49
Breeding Pool,48
Blood Crypt,48
Steam Vents,48
"Rukarumel, Biologist",47
Ancient Silver Dragon,47
Urza's Incubator,47
Temple Garden,47
Cavern of Souls,47
Twinflame Tyrant,46
Swords to Plowshares,46
Sacred Foundry,45
"Klauth, Unrivaled Ancient",44
Three Visits,44
Wooded Foothills,44
Heroic Intervention,43
"Ramos, Dragon Engine",42
Cultivate,42
Rhythm of the Wild,42
Ancient Gold Dragon,41
Hellkite Courser,41
Kodama's Reach,41
"Ganax, Astral Hunter",40
Misty Rainforest,40
Teferi's Protection,39
Scalding Tarn,39
Ziatora's Proving Ground,39
Mox Jasper,38
Broodcaller Scourge,38
Balefire Dragon,38
Two-Headed Hellkite,38
Roaming Throne,38
Jetmir's Garden,38
Birds of Paradise,37
Ancient Brass Dragon,37
Smothering Tithe,36
Frontier Bivouac,36
Bladewing the Risen,35
Chromatic Lantern,35
Temple of the Dragon Queen,35
Herald's Horn,34
Hallowed Fountain,34
Watery Grave,34
Beast Within,33
Fellwar Stone,33
Zagoth Triome,33
The World Tree,33
"Silumgar, the Drifting Death",32
Savage Ventmaw,32
Thundermane Dragon,32
Indatha Triome,32
"Eshki, Temur's Roar",31
Thrakkus the Butcher,31
"Korlessa, Scale Singer",31
Blasphemous Act,31
Savai Triome,31
Godless Shrine,31
"Jodah, Archmage Eternal",30
"O-Kagachi, Vengeful Kami",30
Cyclonic Rift,30
Demonic Tutor,30
Wrathful Red Dragon,30
Rockfall Vale,30
"Esika, God of the Tree",29
Scalelord Reckoner,29
Parapet Thrasher,29
Path to Exile,29
Cinder Glade,29
Raugrin Triome,29
"Betor, Kin to All",28
Deceptive Frostkite,28
Counterspell,28
Rampant Growth,28
Elemental Bond,28
Verdant Catacombs,28
Rootbound Crag,28
Windswept Heath,28
Bloodstained Mire,28
Arid Mesa,28
Sulfur Falls,28
Scourge of the Throne,27
Hinterland Harbor,27
Rhystic Study,26
Lightning Greaves,26
Encroaching Dragonstorm,26
Carnelian Orb of Dragonkind,26
Reliquary Tower,25
Secluded Courtyard,25
Reflecting Pool,25
Unclaimed Territory,25
Spire Garden,25
Temur Battlecrier,24
Bloom Tender,24
Chaos Warp,24
The Great Henge,24
"Animar, Soul of Elements",23
Hammerhead Tyrant,23
Earthquake Dragon,23
Scaled Nurturer,23
"Nogi, Draco-Zealot",23
"Karrthus, Tyrant of Jund",23
Mana Drain,23
Kindred Discovery,23
Polluted Delta,23
Flooded Strand,23
Spara's Headquarters,23
Shivan Reef,23
Hellkite Tyrant,22
Dragonlord Kolaghan,22
Assassin's Trophy,22
Orb of Dragonkind,22
Yavimaya Coast,22
Karplusan Forest,22
Rejuvenating Springs,22
Training Center,22
Zurgo and Ojutai,21
Astral Dragon,21
Thunderbreak Regent,21
Xander's Lounge,21
"Lozhan, Dragons' Legacy",20
Scavenger Regent,20
Scion of Draco,20
"Atsushi, the Blazing Sky",20
Sarkhan's Triumph,20
Skyshroud Claim,20
Sarkhan Unbroken,20
Mosswort Bridge,20
Dragonborn Champion,19
Vampiric Tutor,18
Dragonlord Atarka,18
Ignoble Hierarch,18
"Drakuseth, Maw of Flames",18
Frontier Siege,18
Breaching Dragonstorm,18
Stormscale Scion,17
Will of the Temur,17
Fist of Suns,17
Up the Beanstalk,17
Frostcliff Siege,17
Mistrise Village,17
Three Tree City,17
"Boseiju, Who Endures",17
Stubborn Denial,16
An Offer You Can't Refuse,16
Fierce Guardianship,16
Worldly Tutor,16
Eerie Ultimatum,16
Reflections of Littjara,16
Crucible of the Spirit Dragon,16
Jade Orb of Dragonkind,16
Dragonstorm Globe,16
Enlightened Tutor,15
Deflecting Swat,15
Selvala's Stampede,15
Monster Manual,15
Leyline of the Guildpact,15
Mirari's Wake,15
Talisman of Impulse,15
Rapid Hybridization,14
Anguished Unmaking,14
Reality Shift,13
Become the Avalanche,13
Patriarch's Bidding,13
Swiftfoot Boots,13
Panharmonicon,13
Talisman of Creativity,13
Herd Heirloom,13
"Intet, the Dreamer",12
Ancient Tomb,12
Smuggler's Surprise,12
Spit Flame,12
Swan Song,12
Last March of the Ents,12
"Yavimaya, Cradle of Growth",12
Ruinous Ultimatum,11
Migration Path,11
Crucible of Fire,11
Kessig Wolf Run,11
Timeless Lotus,11
The One Ring,10
Return of the Wildspeaker,10
Rishkar's Expertise,10
Jeska's Will,10
Dragonback Assault,10
Sneak Attack,10
"Sivitri, Dragon Master",10
"Sarkhan, Fireblood",10
Arena of Glory,10
Negate,9
Growth Spiral,9
Klauth's Will,9
Arcane Denial,9
Majestic Genesis,9
Reanimate,9
Commander's Sphere,9
Roiling Dragonstorm,9
Parallel Lives,9
Aggravated Assault,9
Invasion of Tarkir,9
Boros Charm,8
Draconic Lore,8
Kindred Dominance,8
Genesis Ultimatum,8
Sylvan Library,8
Defense of the Heart,8
"Otawara, Soaring City",8
Temple of the False God,8
Lapis Orb of Dragonkind,8
Cursed Mirror,8
Mana Vault,7
Ghostly Flicker,7
Generous Gift,7
Farewell,7
Zenith Festival,7
Doubling Season,7
Monstrous Vortex,7
Leyline of Mutation,7
Mystic Remora,7
Patchwork Banner,7
Chrome Mox,6
Eladamri's Call,6
Raise the Palisade,6
Explore,6
Storm's Wrath,6
Acolyte of Bahamut,6
Shadow in the Warp,6
Steely Resolve,6
Warstorm Surge,6
All-Out Assault,6
"Kiora, Behemoth Beckoner",6
Command Beacon,6
Chromatic Orrery,6
Thought Vessel,6
Vandalblast,5
Dragon Arch,5
Animate Dead,5
Talisman of Curiosity,5
Maelstrom Wanderer,4
